Unnamed: 0,1_서울버스종점,2_장지공영차고지,3_아이코리아,4_송파글마루도서관.버들어린이집,5_송파파인타운3단지.한림예고,6_장지동주민센터앞,7_한림연예예술고교,8_구송파세무서,9_문덕초등학교.문정고등학교,10_문정동푸르지오아파트,11_문정동래미안아파트,12_가락동미륭아파트,13_가윤예식장,14_경찰병원.서울동부고용노동지청,15_제일오피스텔,16_가락시장.가락시장역,17_송파역,18_석촌역,19_석촌호수.한솔병원,20_잠실역.롯데월드,21_잠실5단지,22_잠실새내역.잠실2동주민센터,23_잠실엘스아파트앞,24_종합운동장사거리,25_잠실종합운동장,26_강남경찰서면허시험장,27_삼성역7번출구,28_봉은사역3번출구.삼성1파출소,29_청담역.경기고교,30_진흥아파트,31_강남구청.강남세무서,32_청담동래미안아파트,33_강남구청역,34_영동고교앞,35_일지아트홀.압구정동노인복지센터,36_한양아파트.압구정로데오역,37_압구정파출소,38_현대아파트,39_금호역,40_약수역4번출구.금호터널입구,41_약수역1번출구,42_장충체육관앞,43_장충동.동국대입구,44_광희동,45_동대문역사문화공원,46_충신동,47_이화동(이화장),48_방송통신대.이화장,49_혜화역.마로니에공원,50_혜화동로터리,51_명륜3가.성대입구,52_창경궁.서울대학교병원,53_현대그룹빌딩,54_이화동(이화장),55_충신동,56_동대문,57_동대문역사문화공원,58_광희동,59_장충동.동국대입구,60_장충체육관앞,61_약수역10번출구,62_약수역5번출구.금호터널입구,63_금호역,64_현대아파트,65_압구정파출소,66_한양아파트.압구정로데오역,67_일지아트홀,68_영동고등학교현대아파트,69_강남구청역,70_삼성동서광아파트,71_강남구청.강남세무서,72_진흥아파트청담역,73_청담역.경기고교,74_봉은사.삼성1파출소앞,75_무역센타,76_강남경찰서.강남운전면허시험장,77_잠실종합운동장,78_종합운동장사거리,79_잠실새내역4번출구,80_잠실트리지움아파트앞,81_잠실역.롯데월드,82_석촌호수.한솔병원,83_석촌역,84_송파역,85_가락시장.가락시장역,86_가락시장역,87_경찰병원.서울동부고용노동지청,88_건너말공원입구,89_문정현대아파트,90_문정래미안현대아파트앞,91_문정동대우아파트,92_문덕초등학교.문정고등학교,93_구송파세무서,94_한림연예예술고교,95_장지동주민센터.송파파인타운1단지,96_송파파인타운2단지.구립송파복지센터,97_송파글마루도서관.버들어린이집,98_아이코리아앞,99_장지공영차고지,100_서울버스종점
2022-03-05 04:00:00,1,3,0,2,1,4,0,0,0,2,3,6,4,8,3,9,4,10,10,10,0,3,12,14,14,2,3,13,14,11,12,0,11,4,14,15,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,1,2,1,2,2,4,4,3,4,4,3,1,5,4,5,4,0,4,3,1,2,5,6,5,6,5,4,6,7,3,8,7,8,10,12,13,8,6,12,20,31,3,28,18,12,11,10,5,5,10,11,10,11,11,9,0,10,11,10,10,10,8,6,3,5,3,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,1,2,1,2,2,3,4,5,4,7,4,6,4,4,4,7,9,8,8,6,9,4,3,2,4,6,4,4,5,5,9,5,4,2,2,5,6,6,3,6,4,3,5,6,4,3,2,2,5,3,4,4,7,7,6,5,5,6,5,10,11,12,11,11,9,3,6,3,5,5,3,6,2,3,4,0,6,6,6,6,8,7,2,6,6,2,6,5,5,1,0,3,2,0,0,0,0,0
2022-03-05 07:00:00,0,1,1,2,1,2,3,3,4,6,7,8,8,9,7,5,4,6,6,5,5,6,5,4,3,5,6,8,4,4,5,7,9,8,5,8,6,7,6,6,5,8,4,6,5,4,3,1,3,3,7,7,9,10,6,11,8,8,9,1,5,11,13,11,10,8,5,3,4,3,4,6,7,3,2,1,2,1,3,2,3,5,4,5,5,6,5,4,3,4,5,4,3,1,0,0,2,0,0,0
2022-03-05 08:00:00,1,1,1,2,2,5,4,6,8,10,16,17,16,14,12,9,12,13,14,13,12,9,10,9,10,7,11,8,8,7,9,8,14,12,11,12,9,10,11,5,11,11,11,5,4,3,2,1,2,3,8,9,12,5,13,14,9,18,16,16,14,17,20,17,13,12,9,7,5,6,5,5,6,5,4,3,2,3,3,4,5,4,7,6,5,5,4,4,2,2,0,1,0,0,2,0,1,0,0,0
2022-03-05 09:00:00,3,1,4,0,5,6,7,9,10,12,14,17,18,19,16,16,19,18,19,12,11,10,10,11,12,13,15,18,16,13,11,12,22,19,12,12,12,12,11,9,8,8,5,7,7,8,5,6,8,9,10,11,9,12,13,13,12,17,14,13,11,19,27,31,24,19,14,12,10,9,5,12,11,6,3,2,5,6,8,10,6,8,6,5,7,7,9,8,6,4,5,5,4,2,1,1,0,0,0,0
2022-03-05 10:00:00,1,2,5,6,5,4,6,8,9,9,13,14,17,17,16,17,17,19,21,16,17,12,10,11,13,10,12,15,14,11,12,12,15,15,13,13,13,12,10,7,10,10,9,8,9,8,5,4,4,6,12,12,14,13,18,20,18,18,17,14,18,20,26,24,17,13,10,12,9,11,12,12,14,9,8,10,10,11,9,11,7,9,8,10,13,15,15,12,9,8,1,6,4,1,2,0,1,0,0,0
2022-03-05 11:00:00,0,2,0,0,2,5,6,9,9,11,17,20,26,29,28,28,28,24,19,15,16,11,12,15,13,13,15,17,16,15,17,17,20,17,15,19,22,20,14,16,17,18,17,11,11,10,9,6,4,4,6,7,9,12,8,11,8,10,8,19,21,21,21,24,22,18,13,15,12,12,15,17,22,20,15,15,5,14,17,16,13,8,8,8,8,9,6,7,6,5,4,3,2,2,0,2,1,0,0,0
2022-03-05 12:00:00,1,3,3,3,4,6,7,9,6,12,17,23,25,25,24,25,29,14,31,16,15,14,15,16,18,19,24,24,20,16,14,15,18,19,15,23,20,22,20,20,19,19,20,17,15,16,14,12,7,13,16,11,15,23,26,21,18,18,20,19,17,24,27,23,20,16,16,16,16,15,17,18,19,15,7,7,5,7,10,9,10,12,11,13,12,10,9,9,8,5,3,5,4,3,1,3,2,0,0,0
2022-03-05 13:00:00,0,2,3,4,5,4,5,7,6,10,17,19,26,29,26,27,30,30,26,14,15,15,14,15,17,11,15,18,16,17,19,23,24,23,18,22,23,24,21,20,25,24,25,17,19,18,17,13,10,8,11,11,11,13,13,14,15,17,16,19,16,21,25,23,21,20,19,19,18,16,17,16,18,16,11,10,9,10,16,14,14,15,15,17,16,12,10,8,6,7,6,1,5,3,2,3,1,0,0,0
