Unnamed: 0,1_상대원차고지,2_보통골동양공업사,3_스타타워.동방렌탈,4_공단오거리.공단주유소,5_고려당사거리,6_공단본부.샤니,7_상대원1동주민센터,8_대원터널앞사거리,9_성남자이아파트,10_대하초등학교.중원청소년수련관,11_아튼빌후문,12_영성중학교.하대원동주민센터,13_현대아파트.중원도서관,14_중원구청,15_성남종합운동장,16_성일중고.성일정보고.동광중고,17_성호시장,18_성호시장입구.단대리약국,19_성남시의료원.신흥1동행정복지센터,20_성남시여성비전센터.성남수정새마을금고.한국사회적기업진흥원,21_중앙시장,22_통계청.태평역,23_성남수정경찰서,24_수진리고개.태평고개,25_가천대역.가천대학교,26_복우물.웃말입구,27_복정파출소.복정캠퍼스맛집거리,28_동서울대학교,29_복정초등학교,30_복정동주민센터,31_복정역2번출구,32_복정역1번출구,33_장지역.가든파이브,34_문정법조단지.건영아파트,35_문정로데오거리입구,36_가락시장.가락시장역,37_송파역,38_석촌역,39_석촌호수.한솔병원,40_잠실역.롯데월드몰,41_잠실역.잠실대교남단,42_잠실대교전망쉼터,43_자양동잠실대교북단,44_동서울우편집중국앞,45_구의역3번출구,46_구의3동주민센터,47_올림픽대교북단사거리,48_래미안구의파크스위트,49_구의사거리.광진소방서앞,50_어린이회관,51_화양리,52_화양사거리,53_성동세무서,54_제인병원,55_성수2가3동주민센터,56_리버하우스,57_상원,58_한양대정문앞,59_서울숲삼부아파트,60_왕십리역,61_코스모타워.서울신용보증재단성동지점,62_상왕십리역,63_왕십리센트라스아파트,64_왕십리교회,65_왕십리도선동주민센터,66_도선고등학교.꽃재교회,67_상왕십리역.센트라스아파트,68_왕십리2동주민센터,69_왕십리역,70_행당1동주민센터.성동소방서,71_한양대정문,72_상원,73_리버하우스,74_성수2가3동주민센터,75_성동세무서앞,76_우리은행화양동지점,77_화양리,78_어린이대공원역3번출구,79_어린이회관,80_구의사거리.광진소방서앞,81_래미안구의파크스위트,82_올림픽대교북단사거리,83_구의3동주민센터,84_구의역2번출구,85_자양동잠실대교북단,86_잠실대교전망쉼터,87_잠실역.잠실대교남단,88_석촌호수.한솔병원,89_석촌역,90_송파역,91_가락시장.가락시장역,92_문정로데오거리입구,93_문정법조단지.건영아파트,94_장지역.가든파이브,95_장지동,96_복정동주민센터,97_동서울대학교,98_복정파출소.복정캠퍼스맛집거리,99_복우물.웃말입구,100_가천대역.가천대학교,101_수진리고개.태평고개,102_통계청.태평역,103_중앙시장.농협,104_성남시여성비전센터.삼성생명.한국사회적기업진흥원,105_성남시의료원.신흥1동행정복지센터,106_단대리약국,107_성호시장,108_성일중고.성일정보고.동광중고,109_성남종합운동장,110_중원구청,111_제일아파트.현대아파트.중원도서관,112_하대원시장,113_영성중학교.하대원동주민센터,114_아튼빌아파트후문.성남방송고,115_아튼빌아파트.중원청소년수련관,116_성남냉동,117_대원사거리,118_상대원1동주민센터앞,119_공단본부.샤니,120_고려당사거리,121_공단오거리.공단주유소,122_스타타워.동방렌탈,123_보통골동양공업사,124_상대원차고지
2022-03-05 04:00:00,0,1,0,1,0,3,3,5,4,4,3,6,6,11,13,0,15,14,14,7,17,2,16,17,18,0,0,0,17,16,13,13,12,0,11,7,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,2,0,1,3,2,0,2,4,5,1,3,4,6,3,4,6,10,10,7,8,8,9,10,7,11,9,7,3,10,9,10,8,8,5,8,6,4,4,0,8,9,3,2,0,3,11,10,9,8,6,9,0,8,8,6,1,4,2,0,0,1,2,0,0,2,4,0,1,0,0,5,4,4,6,5,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,2,2,0,3,3,3,3,1,4,3,4,2,4,6,3,4,4,6,5,5,7,4,3,6,2,5,3,6,7,0,8,5,7,8,10,11,11,4,1,0,4,0,2,4,5,6,8,4,4,5,8,2,1,4,4,3,2,1,1,0,0,1,1,0,2,3,4,4,5,3,4,5,2,4,4,5,4,2,3,7,6,5,12,0,11,11,12,14,15,11,5,8,6,5,0,4,6,6,4,4,3,1,3,4,0,3,0,5,0,0,6,5,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,3,1,0,0,0,3,4,3,1,3,3,2,5,6,6,5,5,4,7,8,9,9,0,9,2,7,8,4,6,6,5,3,5,8,5,7,8,6,4,2,0,0,3,0,1,0,2,3,3,2,4,3,7,0,0,6,7,6,2,5,3,0,1,0,1,1,3,4,2,3,5,0,3,6,3,5,7,12,8,6,6,4,5,5,6,5,6,3,5,4,6,7,4,5,5,4,3,6,5,4,7,8,8,7,8,9,8,8,8,7,6,0,5,4,5,4,3,3,2,2,1,0,0,0
2022-03-05 08:00:00,0,2,1,0,1,0,4,4,3,2,7,8,8,9,6,9,9,8,7,7,7,7,13,7,17,20,19,10,11,11,10,8,11,11,11,11,10,12,13,6,7,0,9,7,6,7,8,10,11,9,8,10,12,11,4,6,8,5,7,6,7,4,5,4,3,1,2,3,4,5,4,5,5,5,6,6,9,14,13,12,13,11,12,11,14,7,12,11,12,10,13,12,13,10,13,15,13,10,10,8,9,9,8,5,7,8,7,8,9,8,8,7,9,8,6,4,3,3,0,2,1,0,0,0
2022-03-05 09:00:00,2,2,0,3,0,1,5,6,8,7,7,7,9,11,13,14,11,12,9,13,15,13,11,11,13,19,20,21,25,24,20,21,17,18,17,17,13,13,12,8,8,0,7,3,6,6,6,9,13,10,8,9,12,5,7,6,6,6,4,3,3,2,1,2,4,5,5,3,4,4,6,6,7,7,8,9,15,19,17,16,18,15,14,13,15,13,10,7,7,8,6,5,6,3,2,4,5,6,2,5,4,12,10,8,10,10,9,8,7,4,2,2,4,5,4,0,3,2,2,0,0,0,0,0
2022-03-05 10:00:00,1,1,0,0,0,2,7,8,11,12,13,17,17,20,19,17,13,10,8,11,13,12,15,16,17,23,22,22,24,23,18,19,18,16,14,12,15,15,11,8,9,0,7,5,6,6,9,9,11,11,9,7,11,0,11,12,10,6,0,5,6,6,5,1,3,2,5,6,7,9,10,8,7,5,7,6,9,11,8,7,9,8,6,4,16,15,10,8,8,7,5,4,5,7,1,3,8,10,9,5,8,6,7,9,10,11,10,11,9,8,6,5,7,6,4,1,2,2,0,1,0,1,0,0
2022-03-05 11:00:00,0,0,2,1,0,0,3,3,7,6,9,12,12,15,15,17,19,17,16,14,11,10,8,9,7,8,9,11,14,16,10,0,12,19,16,21,24,29,30,16,14,0,13,12,10,17,18,18,19,14,11,12,16,16,15,16,17,17,16,10,5,6,1,5,3,6,10,9,9,6,11,11,0,7,8,6,8,11,10,11,11,10,12,7,9,0,8,10,10,12,8,7,6,7,2,6,15,7,15,14,17,13,15,13,16,12,11,9,8,7,3,6,5,4,3,3,1,3,0,0,0,0,0,0
2022-03-05 12:00:00,0,3,4,2,5,6,8,12,13,13,16,17,20,22,23,18,19,13,16,16,23,18,18,11,22,28,26,18,20,17,12,0,19,17,17,15,23,22,23,9,10,9,11,10,11,9,14,17,19,15,11,10,13,10,9,15,8,12,10,8,7,6,4,4,4,4,5,7,9,6,10,8,9,9,12,15,20,23,21,19,17,19,18,14,14,13,11,10,6,11,14,15,15,16,16,15,13,4,11,14,13,14,15,13,15,15,13,12,12,9,6,5,4,4,5,2,5,4,2,0,0,0,0,0
2022-03-05 13:00:00,1,2,0,2,3,0,5,5,6,7,8,9,12,11,13,15,15,16,11,12,10,11,17,14,18,19,20,20,25,25,21,17,17,23,29,29,37,35,28,17,15,0,14,14,13,12,16,17,18,14,12,14,15,14,15,13,10,8,9,8,7,4,2,4,6,5,10,9,10,9,12,15,14,13,10,13,16,16,15,14,12,14,15,16,15,14,12,12,13,12,15,11,6,13,14,14,13,9,10,8,7,8,10,14,21,21,7,17,16,14,8,8,5,6,0,1,0,0,0,0,0,0,0,0
