Unnamed: 0,1_상대원차고지,2_보통골동양공업사,3_스타타워.동방렌탈,4_공단오거리.공단주유소,5_고려당사거리,6_공단본부.샤니,7_상대원1동주민센터,8_대원터널앞사거리,9_상대원시장,10_상대원고개,11_단대오거리역.세이브존,12_성남우체국,13_신흥역.종합시장,14_성남시의료원.신흥1동행정복지센터,15_성남시여성비전센터.성남수정새마을금고.한국사회적기업진흥원,16_중앙시장,17_통계청.태평역,18_성남수정경찰서,19_수진리고개.태평고개,20_가천대역.가천대학교,21_복우물.웃말입구,22_복정파출소.복정캠퍼스맛집거리,23_동서울대학교,24_복정초등학교,25_복정동주민센터,26_복정역2번출구,27_복정역1번출구,28_장지역.가든파이브,29_문정법조단지.건영아파트,30_문정로데오거리입구,31_가락시장.가락시장역,32_송파역,33_석촌역,34_석촌호수.한솔병원,35_잠실역.롯데월드몰,36_잠실역.잠실대교남단,37_잠실대교전망쉼터,38_자양동잠실대교북단,39_동서울우편집중국앞,40_광진구청,41_광진경찰서,42_구의사거리,43_구의2동주민센터입구,44_어린이대공원후문아차산역,45_중곡동입구삼거리,46_군자역4번출구.용마초등학교,47_군자교입구,48_장한평역,49_청년회의소,50_답십리역사거리,51_신답초등학교.청계한신휴플러스,52_동대문구청,53_서울시동부병원,54_신설동역.서울풍물시장,55_신설동역,56_용두로타리한국의류시험연구원,57_서울시동부병원,58_용두동신동아아파트,59_용두역,60_동대문구청,61_신답초등학교.청계한신휴플러스,62_답십리역사거리,63_청년회의소.서울새활용플라자,64_장한평역,65_군자교입구,66_군자역5번출구.용마초등학교,67_중곡동입구삼거리,68_어린이대공원후문아차산역,69_구의2동주민센터입구,70_구의사거리,71_광진경찰서,72_광진구청,73_자양동잠실대교북단,74_잠실대교전망쉼터,75_잠실역.잠실대교남단,76_석촌호수.한솔병원,77_석촌역,78_송파역,79_가락시장.가락시장역,80_문정로데오거리입구,81_문정법조단지.건영아파트,82_장지역.가든파이브,83_장지동,84_복정동주민센터,85_동서울대학교,86_복정파출소.복정캠퍼스맛집거리,87_복우물.웃말입구,88_가천대역.가천대학교,89_수진리고개.태평고개,90_통계청.태평역,91_중앙시장.농협,92_성남시여성비전센터.삼성생명.한국사회적기업진흥원,93_성남시의료원.신흥1동행정복지센터,94_신흥역.종합시장,95_성남우체국,96_단대오거리역.(구)종점,97_상대원고개,98_상대원시장,99_대원사거리,100_상대원1동주민센터앞,101_공단본부.샤니,102_고려당사거리,103_공단오거리.공단주유소,104_스타타워.동방렌탈,105_보통골동양공업사,106_상대원차고지
2022-03-05 04:00:00,0,2,0,3,0,7,8,6,11,14,15,17,22,27,10,26,28,26,29,30,0,10,0,0,27,26,24,21,20,19,13,13,13,12,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,0,2,5,10,6,14,16,7,5,9,8,10,10,10,12,12,13,10,10,0,11,11,11,0,11,10,11,10,9,11,9,8,6,0,10,12,14,14,13,13,10,11,13,10,12,11,6,9,9,6,5,13,2,14,1,15,18,4,3,5,18,19,18,0,12,13,14,14,14,14,13,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,2,1,3,2,5,6,10,11,8,8,4,7,4,8,9,10,12,11,12,9,12,10,10,9,7,6,9,8,8,8,10,9,11,13,4,12,4,11,8,7,6,8,9,9,8,6,8,10,9,5,4,5,3,2,2,3,3,4,4,5,6,7,9,8,7,10,11,10,9,11,14,6,12,13,12,12,14,16,14,14,15,2,14,0,4,12,12,10,12,11,11,8,8,11,11,4,7,6,5,4,0,1,0,0
2022-03-05 07:00:00,0,2,0,3,4,6,11,15,17,15,10,7,6,8,9,8,8,12,12,12,15,15,14,15,16,13,11,12,14,12,12,14,14,13,11,10,2,8,7,8,11,10,9,9,8,8,7,8,9,9,9,8,4,2,7,9,7,8,8,5,9,11,10,10,11,6,7,14,15,9,18,20,12,10,9,9,8,8,9,9,9,12,13,3,8,0,7,5,8,10,8,10,11,11,10,15,16,15,13,5,9,5,2,1,0,0
2022-03-05 08:00:00,0,2,1,3,0,3,11,12,13,20,18,20,18,14,19,16,14,17,21,22,25,23,22,21,19,17,16,21,22,19,19,17,18,15,11,12,10,13,12,14,15,15,14,16,20,19,18,15,15,15,12,11,9,5,4,4,7,6,7,9,10,11,13,16,15,18,21,21,20,23,22,16,20,14,17,18,10,15,13,15,13,13,14,14,13,8,12,10,11,8,10,12,13,14,13,13,14,14,15,8,12,7,4,1,0,0
2022-03-05 09:00:00,0,2,0,2,3,2,8,11,18,20,18,14,12,17,17,18,20,22,25,29,30,30,24,25,22,17,16,13,14,12,18,18,17,18,12,15,12,17,17,13,18,19,18,17,14,14,15,15,16,11,14,10,7,4,4,5,2,3,2,8,6,9,11,11,12,11,13,12,14,14,16,19,25,19,17,15,19,17,19,17,13,12,11,12,13,17,18,17,19,19,18,20,13,12,9,10,9,5,4,2,3,1,2,0,0,0
2022-03-05 10:00:00,1,3,4,2,2,3,12,13,22,29,22,20,19,26,27,18,15,15,14,18,17,18,20,21,19,17,15,18,26,23,21,21,25,26,17,17,10,15,16,18,18,14,15,16,14,16,19,17,18,16,14,14,10,4,4,5,6,8,10,11,12,14,11,15,15,20,14,30,29,27,29,30,34,32,20,15,14,14,15,13,13,14,14,13,17,14,13,12,10,12,16,15,16,10,8,9,8,6,3,3,2,1,0,1,0,0
2022-03-05 11:00:00,0,4,4,1,2,5,15,18,23,25,17,16,18,16,19,17,18,20,25,30,30,32,39,44,38,36,33,24,27,34,34,34,36,35,24,24,0,22,20,21,23,22,18,21,18,17,16,14,15,12,10,11,10,5,4,5,6,8,9,9,9,12,14,18,16,14,13,15,20,19,19,19,29,26,13,15,14,18,17,18,14,14,15,15,25,26,27,21,17,10,12,13,17,16,12,13,12,10,6,3,0,1,2,0,0,0
2022-03-05 12:00:00,0,2,1,2,1,2,11,13,16,18,17,18,20,17,17,16,14,17,22,33,35,34,28,30,29,27,25,21,30,31,29,31,28,32,20,19,17,20,18,25,25,27,26,25,23,20,18,14,15,14,12,11,12,7,10,10,14,8,10,13,12,14,16,24,23,25,15,23,23,22,23,21,23,22,19,20,23,22,23,17,17,20,19,17,15,19,21,20,17,15,18,17,16,16,14,18,12,6,3,5,4,2,1,1,0,0
2022-03-05 13:00:00,3,3,4,5,4,4,10,14,26,27,21,19,18,21,19,18,22,21,26,30,30,29,32,32,33,31,29,27,25,26,24,31,31,29,22,20,23,22,21,22,23,24,20,23,23,21,22,19,16,17,14,16,12,7,9,7,8,9,11,15,16,17,17,19,20,22,19,21,25,26,19,20,24,24,24,19,16,15,21,21,19,17,18,23,22,20,17,15,15,18,17,19,19,16,14,15,10,8,3,0,1,1,0,0,0,0
