Unnamed: 0,1_복정역환승센터3번승강장,2_장지역.가든파이브,3_문정법조단지.건영아파트,4_문정로데오거리입구,5_가락시장.가락시장역,6_송파역,7_석촌역,8_석촌호수.한솔병원,9_잠실역.롯데월드몰,10_잠실역.잠실대교남단,11_잠실대교전망쉼터,12_자양동잠실대교북단,13_동서울우편집중국앞,14_광진구청,15_광진경찰서,16_구의사거리,17_구의2동주민센터입구,18_어린이대공원후문,19_중곡동입구,20_신성시장,21_중곡동종점,22_대원고교앞,23_용암사입구,24_면목동,25_용마산역,26_용마폭포공원,27_면목동금호어울림아파트,28_한양수자인사가정파크,29_면중초등학교,30_중화중학교,31_중화중학교삼거리,32_면목본동파출소,33_동원시장,34_망우3동주민센터.혜원여중고후문,35_상봉신협,36_면목6거리,37_서울창업카페상봉점,38_면목2동주민센터,39_면목2동,40_동서그랜드맨션,41_면목5동,42_면목2동한신아파트,43_신성은하수아파트,44_서울우유앞,45_중랑역.동부시장1,46_상봉역.중랑우체국,47_상봉1동주민센터,48_신내쌍용아파트,49_쌍용아파트신내테크노타운앞,50_엘지아파트앞,51_신현중학교,52_중랑구청,53_중랑구청사거리,54_성원아파트경남아너스빌앞,55_국민은행망우동지점,56_망우지구대,57_상봉터미널,58_망우3동주민센터.혜원여중고후문,59_동원시장,60_면목본동파출소,61_중화중학교.다문화가족지원센터,62_면중초등학교,63_면목동금호어울림아파트,64_면목동대원칸타빌아파트,65_용마폭포공원,66_용마산역,67_면목동,68_용암사입구,69_대원고교앞,70_중곡동종점,71_신성시장앞,72_중곡동입구,73_어린이대공원후문아차산역,74_구의2동주민센터입구,75_구의사거리,76_광진경찰서,77_광진구청,78_자양동잠실대교북단,79_잠실대교전망쉼터,80_잠실역.잠실대교남단,81_석촌호수.한솔병원,82_석촌역,83_송파역,84_가락시장.가락시장역,85_문정로데오거리입구,86_문정법조단지.건영아파트,87_장지역.가든파이브,88_복정역환승주차장
2022-03-05 04:00:00,2,6,2,4,8,8,9,12,16,0,2,17,18,17,20,1,19,10,8,11,11,13,0,0,6,0,11,5,0,10,9,7,4,2,4,3,0,2,3,5,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,1,2,2,4,3,5,2,3,0,4,5,4,4,5,7,7,6,5,3,4,4,4,1,0,3,6,7,4,5,5,4,6,2,5,4,1,0,2,7,4,3,5,5,5,4,5,4,5,4,2,5,5,7,8,10,15,12,17,18,20,14,15,20,11,21,22,14,25,29,26,30,32,31,27,27,28,26,21,6,20,17,15,8,4,0,0
2022-03-05 06:00:00,0,1,1,2,4,4,7,7,5,5,5,6,4,7,10,7,9,8,9,11,12,6,10,4,6,8,0,8,7,0,6,5,4,4,1,2,0,1,0,2,1,5,3,5,2,1,2,0,2,2,0,3,4,5,6,7,9,11,12,11,13,10,10,15,11,15,12,14,14,15,20,19,19,21,20,22,20,21,17,16,14,15,13,8,5,3,3,0
2022-03-05 07:00:00,0,2,3,2,5,6,7,7,8,9,8,8,8,9,9,8,8,10,11,15,15,8,7,11,11,11,8,9,8,9,6,7,6,5,4,4,3,1,0,3,2,3,4,2,3,3,4,2,3,0,3,2,5,6,7,7,7,9,11,12,14,15,16,14,15,14,12,17,18,20,25,24,17,15,14,16,13,13,12,11,10,10,8,5,3,3,0,0
2022-03-05 08:00:00,0,4,11,12,17,14,13,14,12,11,13,14,14,14,16,17,18,18,21,19,17,15,21,14,24,10,12,24,20,17,15,12,9,7,5,6,3,5,6,4,7,7,8,6,8,6,5,3,6,0,7,13,12,11,12,16,15,18,19,17,27,27,29,32,30,28,29,29,27,29,31,27,26,22,21,22,20,19,17,15,14,11,7,6,3,3,1,0
2022-03-05 09:00:00,1,7,6,8,13,16,17,21,9,13,14,14,10,12,14,14,15,14,14,14,15,11,9,11,10,11,5,10,8,8,5,7,6,8,3,3,1,2,1,4,5,7,6,7,8,8,3,6,8,6,5,6,11,5,7,6,9,13,15,17,17,22,20,24,24,25,24,25,27,28,31,27,22,23,22,20,20,23,21,15,14,12,9,8,7,6,2,0
2022-03-05 10:00:00,1,2,9,8,11,14,19,18,16,13,4,15,17,18,17,16,16,15,15,16,15,15,13,12,11,10,11,8,10,11,10,6,5,10,8,4,6,2,1,3,5,6,9,2,8,7,7,9,10,12,11,12,14,14,14,13,16,17,22,23,23,24,23,23,23,22,24,27,23,24,27,25,20,18,19,19,17,16,15,11,7,6,6,6,4,2,0,0
2022-03-05 11:00:00,1,4,11,13,15,18,17,21,19,21,5,14,16,19,20,20,18,14,18,21,22,20,19,15,21,21,18,18,17,17,16,10,7,6,5,4,2,4,5,12,3,11,12,10,8,9,6,7,9,6,8,15,23,19,20,21,20,22,18,18,20,19,19,21,22,26,26,27,29,34,34,35,29,26,27,27,23,23,18,11,9,8,8,6,5,4,2,0
2022-03-05 12:00:00,1,3,17,21,21,28,30,28,15,14,6,21,20,18,19,18,17,22,20,25,23,22,22,19,17,16,15,12,15,14,15,13,12,10,7,6,3,5,0,3,6,15,18,17,17,9,4,8,4,9,8,11,12,14,11,15,20,20,22,24,28,27,30,31,31,28,30,36,37,42,48,42,37,39,37,33,30,21,25,15,13,10,9,11,7,5,0,0
2022-03-05 13:00:00,6,8,5,11,14,18,19,19,16,19,0,19,18,17,18,20,21,24,23,25,24,21,18,20,19,15,17,18,15,17,12,15,10,13,12,9,10,9,3,10,9,11,10,9,7,8,9,5,7,6,8,9,9,9,9,14,20,19,17,19,22,25,24,25,24,24,23,29,31,32,35,33,30,27,22,24,24,32,30,19,15,11,13,12,10,3,2,0
