Unnamed: 0,1_강동공영차고지,2_강일초등학교,3_강일고등학교.강일리버파크7단지,4_강일리버파크9단지후문,5_강일리버파크9단지.10단지,6_고덕리엔파크2단지,7_강명초등학교.고덕리엔파크3단지,8_고덕자이.고덕천물놀이장,9_고덕자이.상일여고,10_상일1동주민센터.고덕사회체육센터,11_고덕숲아이파크,12_강동고등학교,13_한영중고한영외고,14_명일동현대아파트,15_고덕삼환.주공9단지아파트,16_명일여자고등학교,17_길동성당,18_길동신동아아파트,19_강동농협,20_강동주유소,21_천동초등학교.천호도서관,22_강동성심병원(동신중학교),23_조은마디병원,24_성내구립도서관.엔젤공방허브센터,25_대순진리회,26_성내2동주민센터.성내복지관,27_성내삼성청구아파트,28_성내주유소,29_영파여고.강동구청역,30_현대아파트앞,31_풍납동극동.쌍용아파트,32_올림픽대교남단,33_테크노마트앞.강변역,34_현대아파트앞,35_풍납동극동.쌍용아파트,36_강동구청역농협중앙회,37_강동구청역1번출구.영파여고,38_성내주유소,39_성내삼성청구아파트,40_성내2동주민센터.성내복지관,41_대순진리회,42_성내구립도서관.엔젤공방허브센터,43_조은마디병원,44_강동성심병원(동신중학교),45_천동초등학교.천호도서관,46_강동주유소,47_강동농협,48_길동신동아아파트,49_길동성당,50_명일여자고등학교,51_고덕삼환.주공9단지아파트,52_한영중고한영외고,53_강동고등학교,54_고덕숲아이파크,55_상일1동주민센터.롯데캐슬베네루체,56_고덕자이.상일여고,57_강명초등학교,58_강명초등학교.고덕리엔파크3단지,59_고덕리엔파크2단지,60_강일역3번출구,61_강일리버파크10단지.9단지,62_강일리버파크9단지후문,63_강일고등학교.강일리버파크7단지,64_강일초등학교,65_강일리버파크6단지
2022-03-05 04:00:00,0,0,0,1,0,0,0,0,1,1,0,2,0,3,2,0,3,6,8,8,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,0,2,0,1,2,3,5,0,6,5,6,3,4,3,3,2,0,4,2,0,10,7,6,10,8,6,0,4,5,2,4,4,4,3,5,5,0,6,8,0,5,6,9,0,5,7,5,6,0,0,0,4,5,6,0,0,0,5,4,3,0,0
2022-03-05 06:00:00,0,0,2,0,0,0,2,0,3,3,2,0,2,1,2,5,1,6,5,5,6,5,2,5,4,5,2,4,5,3,6,0,1,2,1,0,4,3,3,1,2,1,3,3,0,3,3,2,3,14,4,11,12,5,3,2,0,4,0,0,0,3,2,0,0
2022-03-05 07:00:00,0,0,2,3,2,2,1,0,2,3,5,4,0,6,4,8,5,10,5,7,8,9,8,6,7,8,9,6,5,3,0,4,1,2,2,2,0,0,4,4,2,3,2,2,1,3,3,0,0,3,2,0,0,9,8,5,5,2,0,1,0,0,0,0,0
2022-03-05 08:00:00,0,0,1,2,2,0,3,3,4,4,4,4,5,6,8,8,7,8,11,13,13,13,12,13,14,16,17,14,13,11,5,12,3,4,3,2,1,2,1,4,6,4,6,7,1,4,10,5,0,4,4,0,5,3,4,3,0,2,0,1,0,0,1,0,0
2022-03-05 09:00:00,0,3,4,5,6,6,8,9,9,10,11,12,10,9,10,11,12,9,9,10,11,12,11,12,17,15,17,16,11,10,10,12,5,2,3,5,5,3,7,9,8,10,9,8,7,6,5,7,8,7,8,7,6,3,2,2,2,1,1,1,2,1,0,0,0
2022-03-05 10:00:00,0,1,1,4,7,3,5,2,5,8,10,10,9,7,10,7,9,14,13,12,13,15,14,17,19,11,9,7,8,7,4,5,6,5,2,6,7,5,6,7,10,6,4,7,6,3,5,5,5,4,6,5,8,0,5,1,4,3,1,0,0,2,0,0,0
2022-03-05 11:00:00,0,0,1,1,5,0,5,4,7,8,7,10,9,9,11,10,9,10,10,8,9,13,13,8,12,11,15,12,7,3,6,3,5,4,4,0,1,6,6,4,3,9,8,5,9,5,11,7,7,7,7,8,0,6,5,5,4,3,2,4,2,1,0,0,0
2022-03-05 12:00:00,0,0,3,4,2,3,6,4,10,14,13,13,10,11,8,9,9,10,9,11,10,10,9,11,10,9,10,7,7,8,0,0,4,2,4,4,5,3,7,8,10,10,11,11,10,10,10,12,12,8,10,9,8,7,7,5,2,2,2,5,1,2,1,0,0
2022-03-05 13:00:00,0,1,3,3,2,2,6,5,6,11,12,12,8,8,9,8,9,7,6,7,9,8,7,0,5,6,6,0,3,4,3,0,5,4,5,4,6,3,4,5,7,0,3,8,5,8,10,9,8,5,6,9,7,7,5,7,3,2,8,0,0,6,4,0,0
