Unnamed: 0,1_복정역환승센터3번승강장,2_위례31단지.위례포레샤인후문,3_위례아이파크아파트앞,4_서울위례별초교.위례별유치원,5_스타필드시티.위례지웰푸르지오,6_위례포레샤인17단지후문,7_덕수고등학교,8_위례포레샤인17단지정문,9_위례포레샤인18단지,10_비호아파트,11_송파파크센트럴,12_거여역4번출구,13_거여역,14_보인고교.오금동삼성아파트,15_오금동상아아파트,16_송파중학교,17_가락동쌍용아파트앞,18_가락동미륭아파트,19_문정1동주민센터.로데오거리,20_문정로데오거리입구,21_가락시장.가락시장역,22_송파역,23_석촌역,24_석촌호수.한솔병원,25_잠실역.롯데월드,26_잠실5단지,27_잠실새내역.잠실2동주민센터,28_잠실엘스아파트앞,29_종합운동장사거리,30_잠실종합운동장,31_강남경찰서면허시험장,32_삼성역7번출구,33_봉은사역3번출구.삼성1파출소,34_청담역.경기고교,35_우리은행청담지점.청담삼익아파트,36_영동교입구.청담자이아파트,37_영동대교북단,38_노룬산시장,39_건대입구역6번출구,40_건대입구(가상),41_건대입구역사거리.건대병원,42_어린이대공원역.화양천주교회,43_화양리,44_화양사거리,45_성수사거리.성수초등학교,46_경수중학교,47_영동대교북단,48_영동교입구,49_청담역.경기고교,50_봉은사.삼성1파출소앞,51_무역센타,52_강남경찰서.강남운전면허시험장,53_잠실종합운동장,54_종합운동장사거리,55_잠실새내역4번출구,56_잠실트리지움아파트앞,57_잠실역.롯데월드,58_석촌호수.한솔병원,59_석촌역,60_송파역,61_가락시장.가락시장역,62_문정1동주민센터.로데오거리,63_문정현대아파트,64_가락동쌍용아파트,65_가락동극동아파트,66_개롱역3번출구,67_삼환아파트,68_거여역현대아파트,69_거여역5번출구,70_송파파크센트럴,71_종점,72_비호아파트,73_위례포레샤인18단지,74_위례포레샤인17단지정문,75_덕수고등학교,76_송파위례리슈빌,77_스타필드시티.위례스타힐스,78_서울위례별초교,79_송파꿈에그린아파트,80_위례포레샤인.위례31단지후문,81_복정역환승주차장
2022-03-05 04:00:00,2,1,1,0,0,1,0,1,2,4,9,12,14,15,8,14,0,12,5,9,6,0,6,0,6,0,0,7,8,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,5,3,2,1,2,3,2,3,4,0,5,6,7,5,8,9,6,7,0,7,4,2,3,3,5,0,3,4,0,0,0,3,7,6,1,0,5,5,3,2,0,0,2,4,0,0,8,6,0,0,5,0,6,0,3,0,7,9,9,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,7,5,8,6,7,7,7,2,7,3,8,7,8,5,9,6,10,11,4,9,7,6,3,7,6,0,5,2,0,1,0,6,7,5,2,4,2,1,1,0,1,2,2,5,6,5,6,5,4,3,3,1,2,0,4,4,6,6,6,7,11,7,8,9,0,10,0,7,12,6,11,3,7,6,5,4,3,4,2,1,0
2022-03-05 07:00:00,2,3,0,4,4,6,2,8,10,9,11,13,15,16,8,14,8,13,11,9,8,7,6,5,4,2,3,2,4,3,2,4,5,4,0,5,4,3,1,2,3,3,3,1,4,5,6,5,3,2,3,2,0,0,2,1,2,0,3,1,5,3,2,3,2,5,0,5,4,5,0,10,11,6,5,4,1,2,2,3,0
2022-03-05 08:00:00,2,3,2,4,5,8,0,10,11,6,10,10,14,12,9,11,10,11,12,11,11,9,8,10,9,3,8,6,7,6,5,5,9,7,7,5,6,7,2,1,2,3,4,6,5,7,10,7,6,6,4,5,4,3,3,3,4,4,4,5,6,7,8,0,9,12,9,6,9,8,0,7,5,5,0,3,8,7,5,4,0
2022-03-05 09:00:00,5,5,6,5,5,6,7,12,14,13,13,14,16,17,18,17,16,16,16,15,11,11,8,13,6,5,2,4,2,1,3,3,6,1,5,6,5,5,4,3,4,3,4,6,5,8,12,10,11,7,3,6,4,2,4,3,4,4,7,9,14,11,9,5,10,12,12,11,11,13,14,13,11,9,0,11,6,5,4,3,0
2022-03-05 10:00:00,6,5,7,7,8,12,13,17,20,18,17,18,23,22,21,21,18,21,22,19,19,20,18,16,9,6,7,7,8,9,7,6,9,6,3,3,4,3,2,2,8,8,9,7,7,10,15,14,12,9,8,5,0,3,4,2,6,7,6,9,10,17,17,15,12,11,12,10,13,0,14,0,12,10,5,10,8,7,3,3,0
2022-03-05 11:00:00,5,5,5,7,8,10,0,15,22,11,22,22,25,25,23,21,23,26,23,21,23,25,24,18,13,11,6,5,6,5,5,5,8,7,6,9,7,7,3,2,7,3,7,6,9,10,10,10,11,9,8,3,7,8,7,6,8,10,12,15,19,16,16,17,16,15,13,12,13,9,13,4,11,13,14,11,10,9,5,9,0
2022-03-05 12:00:00,12,6,11,10,12,15,14,15,21,15,19,16,22,22,23,22,24,25,24,27,26,25,21,18,13,14,11,11,12,11,10,13,15,15,12,8,12,11,10,2,12,11,10,9,8,10,12,11,6,9,8,6,6,4,10,11,11,11,12,14,13,12,14,13,11,15,16,15,21,19,20,21,22,21,20,19,11,6,4,4,0
2022-03-05 13:00:00,7,10,11,13,14,14,0,18,20,19,17,21,21,20,20,20,20,20,22,21,20,20,20,20,10,12,9,8,8,7,7,10,12,10,12,12,10,9,6,4,8,8,9,8,9,5,10,11,9,10,5,8,7,10,11,12,15,11,14,11,20,21,17,16,15,17,15,11,14,15,18,0,16,14,6,18,14,10,5,4,0
