Unnamed: 0,1_복정역환승센터3번승강장,2_위례31단지.위례포레샤인후문,3_송파꿈에그린서문.위례포레샤인,4_웨례송파더센트레.송파푸르지오,5_호반써밋송파2차,6_세계로병원,7_거여아파트단지앞,8_거여역6번출구,9_거여역,10_보인고교.오금동삼성아파트,11_오금동상아아파트,12_오금공원앞,13_오금동현대아파트,14_한양삼익아파트,15_서울방이동고분군,16_방이우체국,17_송파나루역,18_송파구청.방이맛골,19_잠실역8번출구,20_잠실역.롯데월드,21_잠실리센츠아파트앞,22_잠실트리지움아파트앞,23_잠실역.롯데월드,24_잠실역1번.11번출구,25_송파구청.방이맛골,26_방이동사거리,27_송파나루역,28_서울방이동고분군,29_삼익아파트미성아파트,30_송파경찰서.오금역,31_가락래미안앞,32_개롱역3번출구,33_삼환아파트,34_거여역현대아파트,35_거여역7번출구,36_체육문화회관,37_세계로병원,38_호반써밋송파1차,39_웨례송파푸르지오.송파더센트레,40_위례포레샤인.송파꿈에그린서문,41_위례포레샤인.위례31단지후문,42_복정역환승주차장
2022-03-05 04:00:00,3,4,3,0,2,0,3,4,5,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,5,1,4,4,2,2,5,8,11,3,7,1,6,3,0,5,4,3,1,0,0,0,3,0,1,2,4,6,8,7,6,5,7,6,5,6,7,6,5,5,0,0
2022-03-05 06:00:00,4,5,6,7,4,3,5,4,6,11,12,5,7,6,7,8,11,6,1,0,0,1,3,3,4,2,2,5,4,4,2,2,0,5,6,7,6,4,4,4,2,0
2022-03-05 07:00:00,3,3,5,7,6,8,10,8,12,12,15,16,16,13,2,12,11,9,3,1,1,2,2,4,0,2,3,3,3,3,0,2,3,3,6,5,2,2,1,4,3,0
2022-03-05 08:00:00,6,6,12,12,14,17,19,17,23,22,24,24,23,25,24,22,22,19,4,3,2,2,3,6,7,6,8,9,8,7,7,8,9,6,7,5,4,3,5,4,6,0
2022-03-05 09:00:00,5,8,13,18,8,18,20,19,23,26,25,20,23,23,26,25,25,13,3,2,1,1,3,5,4,3,3,5,5,4,3,4,5,7,6,8,0,7,6,7,5,0
2022-03-05 10:00:00,3,4,7,12,14,16,18,14,18,19,18,18,22,24,26,20,19,17,4,2,2,3,4,6,10,9,10,12,12,10,9,10,8,7,6,6,8,5,7,5,4,0
2022-03-05 11:00:00,6,6,10,12,16,18,17,20,22,20,22,24,24,28,27,29,25,17,5,4,3,5,8,10,13,10,8,10,12,12,11,8,8,8,13,13,14,15,13,10,11,0
2022-03-05 12:00:00,4,6,14,19,18,19,19,21,24,24,30,32,26,29,26,30,29,24,3,2,2,4,9,14,16,17,18,19,15,17,16,13,12,10,15,14,15,15,12,10,5,0
2022-03-05 13:00:00,3,4,12,15,17,21,19,17,20,25,24,25,23,26,22,19,21,18,3,1,1,2,15,19,17,14,17,12,12,11,10,12,12,11,10,10,9,9,6,4,4,1
2022-03-05 14:00:00,4,5,10,17,18,20,26,23,26,26,24,22,28,30,21,18,20,16,7,2,2,6,14,21,25,28,26,25,23,22,20,21,13,20,15,13,12,13,11,9,6,0
2022-03-05 15:00:00,6,5,6,10,6,10,14,16,16,18,19,21,28,28,30,27,26,16,7,7,6,7,11,20,23,24,23,20,19,17,14,15,13,13,13,15,13,14,13,9,8,0
2022-03-05 16:00:00,9,10,7,8,11,18,16,17,19,20,20,21,27,35,38,25,32,22,7,6,3,4,14,27,31,32,35,32,30,27,20,17,17,11,20,24,26,21,16,12,11,0
2022-03-05 17:00:00,7,3,8,12,12,16,17,19,26,24,24,28,27,39,36,24,18,15,3,2,4,5,15,23,30,28,28,27,27,25,25,24,23,20,23,23,22,18,13,6,5,0
2022-03-05 18:00:00,7,4,7,8,11,12,11,7,8,9,10,12,17,23,27,35,29,15,5,3,2,8,17,28,32,35,41,50,50,48,45,36,34,23,17,15,14,11,7,6,3,0
2022-03-05 19:00:00,10,7,7,5,6,4,4,5,7,6,8,10,13,15,17,9,9,7,4,1,3,4,15,19,21,18,15,18,20,17,16,17,14,16,18,20,20,12,14,9,4,0
2022-03-05 20:00:00,6,7,6,6,8,7,6,6,6,5,4,0,3,5,1,4,4,5,4,3,1,2,22,32,31,28,26,23,20,18,17,10,12,10,15,15,14,10,7,1,0,0
2022-03-05 21:00:00,9,7,8,11,10,9,6,5,5,4,5,4,3,4,4,3,4,5,1,1,0,1,8,13,18,19,20,21,21,21,22,25,23,19,18,17,14,11,7,3,1,0
2022-03-05 22:00:00,14,10,8,9,8,7,6,6,5,6,5,4,5,4,6,0,7,8,3,0,0,6,21,24,25,30,29,26,23,18,15,17,16,13,14,13,11,10,7,4,1,0
2022-03-05 23:00:00,6,5,4,5,3,1,2,1,3,2,2,1,2,3,0,0,1,6,1,0,0,2,8,10,13,15,13,14,16,12,11,12,12,12,11,10,9,7,5,3,1,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,1,2,0,0,0,3,2,3,2,0,0,2,2,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,2,2,1,2,1,2,2,4,2,3,6,0,4,5,0,0,3,1,1,0,0,1,3,0,0,4,2,3,4,0,3,0,3,1,0,1,4,5,3,0,3,0
