Unnamed: 0,1_장지공영차고지,2_위례포레샤인13단지,3_호반써밋송파2차,4_세계로병원,5_거여아파트단지앞,6_거여역6번출구,7_거여역5번출구,8_송파파크센트럴,9_종점,10_비호아파트,11_남한산성입구,12_송파구립마천청소년센터,13_송파보훈회관.금호어울림2차,14_마천동금호어울림1차아파트,15_남천초교마천동우방아파트앞,16_청암노인요양원,17_마천동사거리,18_마천2동윤진빌딩.신동아아파트,19_송파두산위브.송파소방서,20_송파사회복지관.성요셉성당,21_보인고교.오금동삼성아파트,22_오금동상아아파트,23_오금공원앞,24_오금동현대아파트,25_한양삼익아파트,26_서울방이동고분군,27_방이우체국,28_송파나루역,29_송파구청.방이맛골,30_잠실역8번출구,31_잠실역.롯데월드,32_잠실트리지움,33_영동일고트리지움APT정문앞,34_영빌딩앞,35_삼전역,36_송파구민회관구의회,37_배명중고교,38_삼전사회복지관,39_삼전동쌍용하이츠빌라,40_삼전동현대APT,41_삼전역.잠실현대아파트,42_삼전삼밭나루공원입구,43_영동일고레이크팰리스앞,44_갤러리아팰리스,45_잠실역.롯데월드,46_잠실역1번.11번출구,47_송파구청.방이맛골,48_방이동사거리,49_송파나루역,50_서울방이동고분군,51_삼익아파트미성아파트,52_송파경찰서.오금역,53_가락래미안앞,54_개롱역3번출구,55_삼환아파트,56_송파사회복지관.성요셉성당,57_송파두산위브.송파소방서,58_마천2동윤진빌딩.신동아아파트,59_마천동사거리,60_청암노인요양원,61_마천시장마천동우방아파트앞,62_마천동금호어울림1차아파트,63_송파보훈회관.금호어울림2차,64_송파구립마천청소년센터,65_남한산성입구,66_비호아파트,67_송파파크센트럴,68_거여역7번출구,69_체육문화회관,70_세계로병원,71_호반써밋송파1차,72_위례포레샤인13단지,73_위례포레샤인13단지공원,74_장지공영차고지
2022-03-05 04:00:00,2,0,1,0,0,0,0,0,0,0,1,2,3,7,9,0,8,4,0,0,0,7,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,1,3,0,3,0,0,0,2,2,2,4,4,5,5,8,9,7,9,8,10,4,7,8,9,9,5,8,2,3,3,2,0,3,0,3,4,4,4,5,6,5,3,5,6,3,0,0,5,6,6,0,5,6,0,5,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,2,0,3,1,0,8,9,1,4,3,4,6,7,9,6,11,12,11,10,12,14,0,11,13,12,11,9,9,3,4,0,3,1,0,2,2,2,4,4,4,5,2,4,3,4,3,3,5,4,4,6,3,7,5,1,5,7,6,3,6,5,6,0,1,5,4,10,8,3,2,2,0,0
2022-03-05 07:00:00,2,3,4,6,5,1,2,0,0,0,2,2,5,6,12,14,15,18,21,22,19,22,15,20,23,23,25,25,21,4,5,3,2,1,1,3,2,3,4,6,6,7,6,5,3,4,3,4,4,3,3,6,4,6,3,5,4,3,4,4,1,5,3,1,3,1,0,2,3,2,1,0,1,0
2022-03-05 08:00:00,3,4,3,5,3,3,1,0,3,2,3,7,10,11,16,14,16,24,25,24,26,30,26,23,25,24,22,24,17,9,7,8,6,5,2,5,7,5,9,10,14,21,22,22,13,13,10,7,10,11,14,14,12,12,11,8,10,4,7,6,6,4,4,4,7,0,8,7,5,4,2,1,1,0
2022-03-05 09:00:00,2,4,3,5,2,2,4,3,4,2,5,5,9,10,17,20,22,27,28,30,29,29,29,39,41,40,38,36,26,7,9,8,9,5,4,4,4,8,13,14,15,20,18,18,11,19,16,16,15,16,15,18,17,17,20,17,15,14,13,14,12,11,10,8,5,2,6,5,5,0,0,3,2,0
2022-03-05 10:00:00,3,7,8,9,6,4,12,13,3,0,11,10,10,17,20,18,26,24,28,29,24,31,30,28,32,29,31,29,22,7,11,11,10,9,6,4,5,6,10,14,15,17,18,18,12,11,11,11,12,13,13,13,11,16,13,14,15,11,8,6,7,5,9,6,6,1,6,5,7,0,1,5,2,0
2022-03-05 11:00:00,5,3,2,7,5,6,5,2,0,6,10,11,15,17,25,24,27,34,37,42,42,39,37,41,47,46,47,44,26,12,13,13,11,7,7,6,10,13,17,20,25,28,27,28,20,17,23,20,20,17,18,23,20,23,23,22,20,15,12,9,9,8,8,6,4,5,3,4,5,2,4,4,2,0
2022-03-05 12:00:00,2,6,8,10,7,3,3,0,2,2,9,7,10,11,17,16,27,28,31,33,31,41,40,42,43,39,34,32,25,13,15,16,14,13,11,12,8,11,13,16,16,19,21,19,16,17,25,22,28,28,33,25,23,23,22,14,14,16,13,10,8,10,6,10,6,5,4,4,4,0,2,0,3,0
2022-03-05 13:00:00,2,5,9,9,7,4,4,3,3,0,5,5,6,8,10,12,13,18,21,20,23,22,22,24,25,30,33,36,27,7,12,13,11,9,6,7,5,7,8,10,12,19,18,16,16,25,26,26,25,21,18,19,18,18,17,15,15,18,18,14,13,13,11,10,10,4,7,6,3,4,2,1,3,0
