Unnamed: 0,1_남한산성입구(가상),2_비호아파트,3_마천역.송파파크센트럴,4_마천1동주민센터,5_마천2동주민센터,6_마천2동윤진빌딩.신동아아파트,7_거여초등학교,8_오금동사거리,9_송파도서관,10_송파중학교,11_가락동쌍용아파트앞,12_가락동미륭아파트,13_문정1동주민센터.로데오거리,14_문정로데오거리입구,15_가락시장.가락시장역,16_송파역,17_석촌역,18_석촌호수.한솔병원,19_잠실역.롯데월드,20_잠실리센츠아파트앞,21_잠실트리지움아파트앞,22_잠실역.롯데월드,23_석촌호수.한솔병원,24_석촌역,25_송파역,26_가락시장.가락시장역,27_문정1동주민센터.로데오거리,28_문정현대아파트,29_가락동쌍용아파트,30_가락동극동아파트,31_우창아파트,32_오금동사거리,33_거여초등학교,34_마천2동윤진빌딩.신동아아파트,35_마천2동주민센터,36_마천1동주민센터,37_마천역.송파파크센트럴,38_종점,39_비호아파트,40_남한산성입구
2022-03-05 04:00:00,3,2,5,5,7,9,11,0,12,9,11,8,9,7,5,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,3,1,2,6,7,6,4,5,4,5,3,2,1,0,0,1,0,0,1,2,3,5,5,7,6,6,3,2,4,0,7,5,3,2,0,1,0,0
2022-03-05 06:00:00,1,0,2,0,3,4,7,9,7,8,7,9,9,6,4,2,1,3,0,0,1,2,3,6,5,6,5,5,6,6,6,4,5,4,5,1,6,5,4,0
2022-03-05 07:00:00,3,2,2,2,3,6,8,10,10,9,10,10,9,9,7,8,6,3,0,0,1,1,1,4,7,9,8,1,9,7,5,4,6,6,4,3,0,3,2,0
2022-03-05 08:00:00,3,2,4,6,9,10,10,13,14,11,15,14,13,12,9,7,5,5,1,1,1,3,4,5,7,17,17,16,14,13,12,9,7,9,8,6,5,3,1,0
2022-03-05 09:00:00,5,2,3,6,7,10,13,15,17,14,12,13,14,13,11,10,7,4,1,0,0,2,6,7,9,13,14,11,14,12,10,7,10,11,8,8,5,8,1,0
2022-03-05 10:00:00,4,5,5,7,9,13,14,20,25,25,31,27,29,28,21,19,14,13,2,0,1,2,4,4,8,12,9,10,13,12,10,9,8,9,7,5,6,3,2,0
2022-03-05 11:00:00,4,5,6,6,9,13,15,15,15,13,13,13,17,17,15,15,11,10,1,1,1,6,5,7,9,14,18,16,16,15,14,13,12,14,6,8,1,1,1,0
2022-03-05 12:00:00,12,0,3,11,9,13,12,14,16,18,19,20,24,25,22,20,13,12,1,1,1,6,7,11,12,16,17,17,16,18,13,10,13,13,11,7,6,4,4,0
2022-03-05 13:00:00,12,13,13,15,11,14,15,18,19,20,10,17,16,14,12,11,6,8,1,0,4,10,11,13,13,13,15,14,14,15,14,8,10,8,5,2,4,3,1,0
2022-03-05 14:00:00,6,7,9,10,12,14,15,18,15,16,17,18,17,16,18,19,17,14,3,0,2,10,11,6,11,15,13,14,12,10,9,7,6,7,2,4,5,2,0,0
2022-03-05 15:00:00,10,0,11,10,18,18,17,19,19,19,19,20,20,13,10,10,9,3,1,0,1,13,14,13,15,21,19,18,16,16,13,12,11,9,5,4,1,0,2,0
2022-03-05 16:00:00,2,2,3,5,10,15,14,19,21,22,22,22,22,20,17,13,12,9,4,4,4,15,15,17,20,23,28,21,20,18,15,12,13,12,6,3,4,3,2,0
2022-03-05 17:00:00,2,2,0,6,7,9,10,11,15,14,17,14,18,15,12,14,11,10,4,2,3,13,9,14,13,15,14,15,19,17,16,12,13,10,5,3,2,0,2,1
