Unnamed: 0,1_강동공영차고지,2_강일초등학교,3_미사강변루나리움.강일리버5단지,4_미사강변리버뷰자이.베라체,5_강동리버스트상가,6_강동리버스트6.7단지,7_강일리버파크1단지.3단지,8_강일동주민센터,9_강동공영차고지,10_고덕리엔파크1단지,11_해뜨는주유소,12_상일동역4번출구.센트럴푸르지오,13_상일동역1번출구,14_고덕그라시움,15_고덕평생학습관.온조대왕체육관,16_강동아트센터.강동경희대병원,17_명일동현대아파트,18_고덕삼환.주공9단지아파트,19_명일여자고등학교,20_명일1동주민센터,21_명일역3번출구.래미안솔베뉴,22_서울시동부기술교육원,23_암사3동주민센터(강동롯데캐슬퍼스트),24_강일중.선사고,25_신암중학교,26_삼성광나루아파트.암사동유적,27_암사역선사현대아파트,28_천호동공원,29_서울현대요양병원,30_천호역현대백화점.노동권익센터,31_천호역.풍납시장,32_영파여고.강동구청역,33_현대아파트앞,34_풍납동극동.쌍용아파트,35_잠실파크리오아파트상가.올림픽회관,36_잠실파크리오아파트앞,37_잠실나루역,38_잠실중학교.장미종합상가,39_잠실역.잠실대교남단,40_석촌호수.한솔병원,41_송파여성문화회관,42_송파초등학교.송파동성당,43_송파나루역,44_서울방이동고분군,45_삼익아파트미성아파트,46_송파경찰서.오금역,47_가락래미안앞,48_개롱역3번출구,49_삼환아파트,50_거여역현대아파트,51_거여역3번출구.현대2차아파트,52_마천동사거리,53_청암노인요양원,54_마천시장마천동우방아파트앞,55_파크데일아파트입구,56_파크데일아파트2단지앞,57_파크데일아파트1단지앞,58_파크데일아파트입구,59_남천초교마천동우방아파트앞,60_청암노인요양원,61_마천동사거리,62_거여역2번출구,63_거여역,64_보인고교.오금동삼성아파트,65_오금동상아아파트,66_오금공원앞,67_오금동현대아파트,68_한양삼익아파트,69_서울방이동고분군,70_방이우체국,71_송파초등학교.송파동성당,72_송파여성문화회관,73_석촌호수.한솔병원,74_잠실역,75_잠실중학교,76_잠실나루역,77_잠실진주아파트,78_올림픽회관,79_풍납동극동.쌍용아파트,80_강동구청역농협중앙회,81_강동구청역1번출구.영파여고,82_천호역,83_천호역현대백화점.노동권익센터,84_서울현대요양병원,85_천호동공원,86_암사역2번출구.암사종합시장,87_삼성광나루아파트.암사동유적,88_신암중학교,89_강일중.선사고,90_암사3동주민센터프라이어팰리스,91_서울시동부기술교육원,92_명일역2번출구,93_명일1동주민센터,94_명일여자고등학교,95_고덕삼환.주공9단지아파트,96_한영중고한영외고,97_강동아트센터.강동경희대병원후문,98_강동경희대병원.명일동이마트,99_고덕그라시움,100_상일동역8번출구,101_상일동역6번출구.고덕아르테온,102_해뜨는주유소,103_고덕리엔파크1단지,104_강일동주민센터,105_강일리버파크1단지,106_강동리버스트7.6단지,107_강동리버스트상가,108_강동리버스트8단지,109_강일리버5단지.미사강변루나리움,110_강일초등학교,111_강일리버파크6단지
2022-03-05 04:00:00,0,0,0,2,2,5,7,6,7,8,0,10,0,0,10,0,8,7,3,0,4,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,2,8,4,12,16,17,14,20,11,14,16,7,0,11,11,14,5,3,4,4,6,7,6,7,5,4,4,4,3,3,0,0,0,0,0,3,3,2,4,0,2,5,3,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,1,2,4,9,5,7,6,7,4,5,4,0,3,6,5,6,16,18,16,15,16,15,16,14,10,10,3,4,2,2,3,3,1,2,1,2,4,2,1,0,1,0,3,2,2,1,1,1,0,2,0,1,0,1,2,0,3,5,5,4,5,6,2,0,5,4,3,3,0,1,2,3,2,2,0,1,4,5,6,5,8,6,5,6,7,5,4,5,0,6,10,45,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,1,3,11,20,10,21,20,10,17,10,7,8,5,8,7,0,5,4,5,16,16,16,14,15,7,9,12,8,7,7,6,6,3,2,4,3,3,2,0,0,1,3,4,3,0,4,0,3,4,2,3,0,1,3,4,0,5,6,8,7,6,6,8,0,9,7,9,7,6,5,4,1,2,0,0,0,3,2,0,1,6,4,5,5,0,5,4,4,0,3,2,6,1,0,1,44,32,28,27,21,20,10,9,5,1,1,0,0,0
2022-03-05 08:00:00,0,0,0,3,16,29,32,33,18,16,32,16,15,0,14,13,12,9,10,7,11,13,16,21,22,18,13,14,12,6,3,6,7,7,5,6,2,5,5,2,6,3,3,4,4,4,3,3,0,2,2,1,0,0,0,3,10,7,12,8,11,7,8,7,8,8,8,10,11,8,8,9,7,5,6,1,6,5,6,7,9,11,11,11,9,7,8,7,10,9,8,6,7,3,4,4,3,2,3,4,5,6,0,6,0,4,2,0,0,0,0
2022-03-05 09:00:00,0,0,1,2,8,18,20,17,22,23,23,15,10,6,5,8,8,13,12,13,18,15,17,19,25,21,20,18,12,8,11,11,6,12,11,11,11,12,7,10,5,7,10,7,5,7,5,9,7,3,5,5,4,5,4,7,8,9,10,7,13,11,12,12,11,13,14,7,16,16,13,11,9,8,7,6,6,0,8,9,1,7,7,8,7,11,10,8,6,8,2,7,10,11,10,7,6,6,7,8,9,5,4,9,8,4,1,2,0,0,0
2022-03-05 10:00:00,0,0,0,2,8,17,17,17,13,17,18,12,0,8,11,15,16,7,6,16,12,18,21,17,19,18,17,19,18,12,11,11,12,13,12,13,7,11,11,6,13,9,9,8,7,6,8,8,0,8,8,8,1,6,4,5,15,0,20,21,17,12,13,12,10,10,10,14,17,16,15,12,9,4,2,2,3,5,7,8,10,13,18,17,16,13,12,14,13,12,10,9,8,9,10,9,7,11,0,6,8,10,7,9,7,4,2,0,1,0,0
2022-03-05 11:00:00,0,2,5,6,8,18,16,15,15,0,12,9,5,5,8,6,9,10,11,11,11,15,24,33,36,28,19,21,20,13,9,6,8,12,14,15,11,12,8,7,8,5,7,8,6,7,6,10,9,8,7,6,4,3,2,3,12,13,15,14,18,20,21,17,19,21,13,16,16,15,13,11,10,12,10,8,7,8,9,13,15,12,15,15,12,11,12,12,13,17,12,9,10,9,8,6,4,8,4,10,10,11,10,9,8,5,3,2,0,0,0
2022-03-05 12:00:00,0,0,5,6,8,16,18,19,22,26,24,17,6,15,12,15,15,16,15,13,12,11,15,20,18,17,15,13,8,9,8,4,6,7,9,7,6,11,9,8,9,8,9,10,9,6,4,9,4,7,10,7,5,8,7,7,16,12,17,19,20,12,15,17,17,12,20,19,17,11,13,11,10,5,5,8,7,9,8,8,8,9,12,11,11,17,19,19,22,20,16,10,14,11,14,10,10,12,11,11,15,13,0,10,8,7,3,1,2,1,0
2022-03-05 13:00:00,0,0,1,6,14,22,25,15,26,27,22,15,18,20,20,23,18,20,23,22,22,23,23,22,11,16,13,14,13,10,10,7,8,7,4,6,7,7,11,9,8,10,11,10,10,12,10,9,10,9,12,14,8,14,10,3,11,6,11,12,12,11,11,13,16,16,19,19,18,16,15,16,14,14,14,15,16,11,14,13,15,14,14,14,14,19,19,15,11,9,6,9,14,13,4,11,12,16,15,13,20,21,5,22,21,14,4,1,0,0,0
