Unnamed: 0,1_장지공영차고지,2_아이코리아,3_송파글마루도서관.버들어린이집,4_송파파인타운3단지.한림예고,5_문정3차푸르지오아파트.송파파인타운1단지,6_문정동래미안아파트남문,7_문정현대아파트,8_가윤예식장,9_경찰병원.서울동부고용노동지청,10_제일오피스텔,11_가락시장.가락시장역,12_가락대림아파트,13_가락동쌍용아파트,14_방이역,15_올림픽선수촌아파트,16_올림픽공원역,17_오륜교회앞,18_JYP엔터테인먼트.윤선생영어교실,19_한양수자인아파트,20_강동보건소,21_강동구청,22_풍납동극동.쌍용아파트,23_잠실파크리오아파트상가.올림픽회관,24_몽촌토성역,25_신천동진주아파트,26_잠실역9번출구,27_잠실역,28_잠실중학교,29_잠실나루역,30_잠실진주아파트,31_올림픽회관,32_풍납동극동.쌍용아파트,33_강동구청,34_강동보건소,35_한양수자인아파트,36_JYP엔터테인먼트.윤선생영어교실,37_서울체육중.고등학교,38_보성중고등학교,39_올림픽공원역,40_올림픽공원테니스장,41_방이역3번출구대림아파트,42_송파동삼익아파트,43_성지아파트,44_가락시장.가락시장역,45_가락시장역,46_경찰병원.서울동부고용노동지청,47_건너말공원입구,48_문정동현대아파트,49_문정중학교후문,50_문정3차푸르지오아파트.송파파인타운1단지,51_송파파인타운2단지.구립송파복지센터,52_송파글마루도서관.버들어린이집,53_아이코리아앞,54_장지공영차고지
2022-03-05 04:00:00,2,0,0,0,0,3,0,4,0,0,6,6,0,5,4,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,2,0,1,0,0,0,0,0,5,6,3,3,2,1,0,1,2,3,0,2,3,2,0,1,2,0,0,0,1,2,3,4,6,8,0,0,0,0,6,0,5,3,3,4,3,0,2,0,3,0,2,0
2022-03-05 06:00:00,0,0,0,1,2,3,1,4,0,1,2,3,4,2,3,2,1,2,3,3,2,3,0,2,0,0,2,1,2,0,0,0,3,2,0,6,0,2,5,6,6,0,3,4,5,5,0,0,3,2,1,0,0,0
2022-03-05 07:00:00,1,1,0,3,2,3,3,0,2,2,5,5,6,4,1,2,0,3,4,3,2,4,5,4,3,2,2,3,2,0,0,0,2,2,4,2,0,6,8,7,0,4,2,1,1,0,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,0,0,0,0,1,2,4,4,1,4,9,5,10,9,3,8,4,5,6,7,2,9,8,8,5,3,2,0,1,1,0,5,4,3,5,0,0,5,9,8,10,9,6,3,2,3,1,2,0,1,0,0,0,0
2022-03-05 09:00:00,3,0,2,4,2,7,10,6,9,9,10,10,10,6,7,8,4,5,6,8,8,7,0,5,3,2,6,5,0,0,0,6,5,8,7,9,0,8,6,0,7,9,8,6,7,0,5,4,2,0,0,0,0,0
2022-03-05 10:00:00,0,0,0,3,3,0,5,5,7,5,10,8,10,6,5,5,4,6,10,9,9,9,6,8,7,6,7,6,7,0,0,5,4,5,6,8,0,9,8,7,6,0,5,4,4,3,3,2,0,2,4,0,0,0
2022-03-05 11:00:00,2,0,1,4,5,8,10,12,10,6,13,17,18,16,13,11,10,11,11,8,9,11,10,9,8,4,4,4,5,0,4,0,5,4,7,13,0,12,9,3,10,7,7,5,5,2,2,1,1,0,0,0,0,0
2022-03-05 12:00:00,3,1,1,3,5,6,8,9,7,4,12,15,16,8,7,6,2,6,9,8,5,6,0,5,4,3,6,7,10,6,4,9,6,9,6,6,0,7,11,10,14,8,6,6,7,6,5,2,3,2,0,0,1,0
2022-03-05 13:00:00,1,1,3,4,5,6,5,7,6,6,15,17,14,10,8,10,7,9,15,16,15,14,8,6,13,10,5,5,5,6,7,9,8,10,10,14,0,14,11,9,17,11,12,7,6,6,5,4,2,1,0,0,0,0
2022-03-05 14:00:00,1,0,0,0,3,2,4,5,5,6,8,9,14,9,8,8,5,8,8,9,11,11,13,11,12,6,3,0,4,0,0,5,8,9,9,7,8,7,8,9,12,10,8,6,9,8,0,5,0,4,2,1,0,0
2022-03-05 15:00:00,0,1,1,0,2,6,6,11,0,11,16,17,17,16,12,12,9,9,10,10,10,9,11,10,8,7,7,8,6,9,7,8,11,9,7,9,0,6,13,14,14,13,10,8,6,7,6,2,1,5,3,1,0,0
2022-03-05 16:00:00,1,0,2,0,1,0,3,5,2,5,11,14,16,13,15,12,11,11,10,7,9,13,6,0,10,9,8,9,10,0,5,5,6,1,7,5,0,6,6,3,8,8,6,3,6,6,3,5,2,1,1,0,0,0
2022-03-05 17:00:00,0,1,2,2,3,4,5,7,6,8,13,17,20,15,14,15,12,10,10,12,11,6,5,10,10,7,10,9,10,10,12,12,11,14,14,16,15,14,15,19,24,22,17,11,11,8,9,6,0,4,3,2,0,0
2022-03-05 18:00:00,2,0,1,0,0,2,0,1,3,0,8,13,0,6,8,8,7,8,8,8,5,7,7,8,5,7,7,6,4,0,6,7,8,9,6,10,11,10,10,9,17,16,11,7,9,8,7,5,4,4,0,2,1,0
2022-03-05 19:00:00,1,0,0,1,0,2,2,3,1,4,7,7,6,4,3,2,4,2,4,3,8,7,3,2,6,6,6,6,8,0,6,8,6,7,3,5,4,5,4,4,7,6,7,6,7,8,8,7,6,7,4,0,3,0
2022-03-05 20:00:00,1,0,1,0,2,2,2,3,2,0,5,4,4,4,3,3,4,5,6,6,7,4,3,0,4,2,4,0,0,0,4,5,4,5,4,5,0,6,6,6,13,11,10,1,2,0,0,0,0,1,0,0,0,0
