Unnamed: 0,1_강동공영차고지(기점가상),2_강동공영차고지,3_고덕리엔파크1단지,4_해뜨는주유소,5_고덕천교차로,6_고덕자이.고덕천물놀이장,7_고덕자이,8_삼성엔지니어링,9_고덕리엔파크3단지서문,10_고덕자이.상일여고,11_상일1동주민센터.고덕사회체육센터,12_고덕센트럴.고덕숲아이파크,13_고현초등학교,14_상일파출소.고덕아르테온,15_상일동역1번출구,16_고덕그라시움,17_고덕평생학습관.온조대왕체육관,18_강동아트센터.강동경희대병원,19_명일동현대아파트,20_고덕삼환.주공9단지아파트,21_명일여자고등학교,22_명일1동주민센터,23_명일역1번출구.명일전통시장,24_굽은다리사거리,25_굽은다리역구민회관.강동홈플러스,26_십자성마을,27_강동주유소,28_천동초교삼거리,29_동아하이빌,30_천일초교사거리,31_천일중.구강사,32_서울현대요양병원,33_천호역현대백화점.노동권익센터,34_천호역.풍납시장,35_풍납1치안센터입구,36_강동구청,37_강동보건소,38_한양수자인아파트,39_JYP엔터테인먼트.윤선생영어교실,40_현대토파즈아파트,41_채선당앞,42_강동구청역농협중앙회,43_강동구청역1번출구.영파여고,44_천호역,45_천호역현대백화점.노동권익센터,46_서울현대요양병원,47_천일중.구강사,48_천일초교사거리,49_동아하이빌,50_천동초교삼거리,51_십자성마을,52_굽은다리역구민회관.강동홈플러스,53_굽은다리사거리,54_명일역4번출구.명일전통시장,55_명일1동주민센터,56_명일여자고등학교,57_고덕삼환.주공9단지아파트,58_한영중고한영외고,59_강동아트센터.강동경희대병원후문,60_강동경희대병원.명일동이마트,61_고덕그라시움,62_상일동역8번출구,63_고현초등학교,64_고덕숲.고덕센트럴아이파크,65_상일1동주민센터.롯데캐슬베네루체,66_고덕자이.상일여고,67_고덕리엔파크3단지서문,68_삼성엔지니어링,69_강동첨단업무단지.상일여고입구,70_고덕리엔파크3단지,71_강명초등학교,72_고덕천교차로,73_해뜨는주유소,74_고덕리엔파크1단지,75_강동공영차고지
2022-03-05 04:00:00,0,1,0,0,0,0,0,2,1,3,0,0,0,0,5,0,0,0,0,4,3,0,2,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,0,0,2,0,1,5,3,6,0,4,6,6,9,0,9,10,8,3,2,2,3,5,4,6,9,11,13,14,11,8,5,0,4,5,2,3,0,0,0,0,2,6,7,9,10,12,0,11,11,9,8,8,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,0,0,0,0,2,2,4,2,0,1,3,2,3,0,3,0,5,3,2,6,1,2,7,8,6,9,11,8,6,7,2,5,3,0,2,1,0,0,3,3,2,2,2,3,2,5,4,5,5,5,1,7,0,4,2,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
2022-03-05 07:00:00,0,0,0,0,0,1,0,1,3,4,5,6,4,3,4,3,3,2,1,2,3,4,5,7,3,8,8,9,8,7,9,11,7,5,0,4,5,6,6,7,0,6,5,0,5,4,4,2,5,4,5,3,4,4,5,6,6,5,3,4,3,3,6,5,1,4,0,0,0,1,0,0,0,0,0
2022-03-05 08:00:00,0,1,0,0,0,2,0,3,5,8,10,5,10,5,9,11,9,9,9,0,8,0,7,7,8,5,9,11,17,20,21,16,12,8,11,8,5,3,4,5,2,4,3,3,4,5,6,6,5,7,6,4,4,5,9,11,10,9,8,10,8,11,10,7,3,6,1,0,2,0,0,0,0,0,0
2022-03-05 09:00:00,0,1,2,0,3,0,2,2,5,8,10,17,19,20,21,4,13,10,13,15,3,13,12,7,8,7,8,12,14,15,17,15,12,14,12,10,9,9,9,10,6,5,10,8,8,0,6,8,10,12,12,11,11,10,5,11,5,10,5,3,0,4,0,1,3,2,0,0,0,0,0,0,0,0,0
2022-03-05 10:00:00,0,2,1,0,0,3,4,3,9,10,13,15,11,14,13,12,8,8,7,4,0,8,10,11,13,11,15,16,14,16,18,16,9,12,11,8,6,5,9,9,0,9,10,9,6,5,5,5,6,5,5,6,5,5,5,6,7,8,3,5,3,4,4,3,1,1,1,0,1,1,0,0,0,0,0
2022-03-05 11:00:00,0,0,1,2,1,3,1,4,9,13,15,12,18,10,20,21,17,13,11,12,11,10,11,10,10,12,13,17,17,19,21,17,11,13,10,8,3,3,4,7,0,2,0,5,7,4,8,9,11,11,9,10,8,7,5,4,4,4,4,6,7,9,5,1,8,7,4,0,2,3,1,0,0,0,0
2022-03-05 12:00:00,0,2,0,1,0,2,0,4,6,11,14,20,21,21,18,14,16,7,8,9,8,11,10,9,13,12,4,14,15,13,12,14,11,11,10,7,7,7,12,13,8,13,14,12,16,18,15,13,16,16,20,22,21,18,17,17,17,13,8,11,12,16,15,10,7,4,2,1,0,0,0,0,0,0,0
2022-03-05 13:00:00,0,2,0,0,0,3,0,1,7,14,17,18,19,18,16,15,15,6,6,6,7,11,11,12,11,17,19,23,22,19,14,13,9,6,8,8,7,7,10,12,15,7,16,12,10,11,11,10,9,11,9,8,18,16,18,17,12,10,10,14,11,16,9,11,8,4,2,0,1,0,0,0,0,0,0
