Unnamed: 0,1_강동공영차고지,2_강일초등학교,3_강일고등학교.강일리버파크7단지,4_강일리버파크9단지후문,5_강일리버파크9단지.10단지,6_센트럴풍경채.동일하이빌,7_미사강변동원로얄듀크,8_미사강변더샵센트럴포레.동원로얄듀크,9_강동리엔파크13.14단지,10_강동리엔파크11단지,11_강동리엔파크9단지,12_고덕리엔파크2단지.3단지,13_상일동역4번출구.센트럴푸르지오,14_고현초등학교,15_고덕숲.고덕센트럴아이파크,16_상일동산.롯데캐슬베네루체,17_상일근린공원,18_초이동,19_일자산입구.둔촌도서관,20_중앙보훈병원역2번출구,21_중앙보훈병원1번출구,22_보훈회관,23_중앙보훈병원1번출구,24_중앙보훈병원역3번출구,25_일자산입구.둔촌도서관,26_초이동,27_상일근린공원,28_상일동산.롯데캐슬베네루체,29_고덕센트럴.고덕숲아이파크,30_고현초등학교,31_상일파출소.고덕아르테온,32_상일동역6번출구.고덕아르테온,33_고덕리엔파크3단지.2단지,34_강일역3번출구,35_강동리엔파크9단지,36_강동리엔파크11단지,37_강동리엔파크13.14단지,38_미사강변더샵센트럴포레.동원로얄듀크,39_미사강변동원로얄듀크,40_센트럴풍경채.동일하이빌,41_강일리버파크10단지.9단지,42_강일리버파크9단지후문,43_강일고등학교.강일리버파크7단지,44_강일초등학교,45_강일리버파크6단지
2022-03-05 04:00:00,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,3,4,2,1,0,0,0,2,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,0,0,0,0,0,0,2,4,2,1,0,0,0,5,5,0,1,0,0,0,0,1,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,0,0,0,0,0,1,1,0,3,8,0,5,3,4,0,5,6,3,5,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 09:00:00,0,0,0,0,0,0,1,0,3,2,5,3,0,2,2,4,7,7,6,0,0,0,0,3,0,2,2,3,3,2,0,1,4,1,0,0,0,1,1,0,0,0,0,0,0
2022-03-05 10:00:00,0,1,0,0,0,1,2,0,3,4,4,2,3,4,5,7,8,0,5,0,0,0,0,3,2,1,4,3,6,2,2,1,2,4,0,2,0,0,0,0,0,0,0,0,0
2022-03-05 11:00:00,0,0,0,1,0,0,2,1,1,3,3,3,2,0,3,5,4,5,5,0,0,0,0,4,0,2,3,2,0,0,0,4,0,5,4,1,1,0,0,0,2,0,0,0,0
2022-03-05 12:00:00,0,0,0,1,0,0,0,0,3,4,6,5,5,6,0,6,7,5,2,1,0,0,0,5,0,5,6,3,0,4,4,2,1,2,1,1,1,0,0,0,0,0,0,0,0
2022-03-05 13:00:00,0,2,4,0,2,2,4,2,6,1,0,2,1,3,0,5,5,7,5,1,0,0,1,5,6,5,4,3,2,0,1,3,5,6,5,2,0,3,0,1,0,0,0,0,0
