Unnamed: 0,1_강동공영차고지(기점가상),2_강동공영차고지,3_고덕리엔파크1단지,4_해뜨는주유소,5_고덕천교차로,6_고덕자이.고덕천물놀이장,7_고덕자이,8_강동첨단업무단지.상일여고입구,9_상일초등학교,10_초이동,11_강동자이.프라자아파트,12_길동주민센터.둔촌2동주민센터,13_길동사거리.강동세무서,14_강동역,15_천호역,16_천호역.풍납시장,17_영파여고.강동구청역,18_현대아파트앞,19_풍납동극동.쌍용아파트,20_잠실파크리오아파트상가.올림픽회관,21_몽촌토성역,22_신천동진주아파트,23_잠실역8번출구,24_잠실역.롯데월드,25_잠실5단지,26_잠실새내역.잠실2동주민센터,27_잠실엘스아파트앞,28_종합운동장사거리,29_잠실종합운동장,30_강남경찰서면허시험장,31_한국무역센터.삼성역,32_포스코건너편,33_선릉역,34_서울상록회관.한국기술센터,35_아가방빌딩.하나은행,36_역삼역,37_신분당선강남역,38_래미안아파트.파이낸셜뉴스(중),39_뱅뱅사거리,40_양재역.서초문화예술회관,41_일동제약사거리,42_현대빌라.에코맘코리아,43_우성아파트.양재초등학교,44_코오롱아파트.양재1동주민센터,45_우면주공아파트.우면한라아파트,46_서울시품질시험소한국교원단체총연합회,47_성촌마을입구,48_삼성전자서울R&D,49_형촌마을입구(서초네이처힐1.2단지),50_네이처힐5단지,51_네이처힐3.4단지,52_서울시품질시험소한국교원단체총연합회,53_우면주공아파트.양재1동주민센터,54_우면코오롱아파트,55_우성아파트.양재초등학교,56_현대빌라.에코맘코리아,57_양재역.서초문화예술회관,58_뱅뱅사거리,59_래미안아파트.파이낸셜뉴스(중),60_신분당선.강남역4번출구,61_강남역.역삼세무서,62_역삼역.포스코타워역삼,63_한서병원,64_한국자산신탁.센터필드,65_선릉역,66_포스코빌딩,67_무역센터.삼성역,68_강남경찰서.강남운전면허시험장,69_잠실종합운동장,70_종합운동장사거리,71_잠실새내역4번출구,72_잠실트리지움아파트앞,73_잠실역.롯데월드,74_잠실역1번.11번출구,75_잠실진주아파트,76_올림픽회관,77_풍납동극동.쌍용아파트,78_강동구청역농협중앙회,79_강동구청역1번출구.영파여고,80_천호역,81_천호역6번출구.천호사거리,82_강동역,83_길동사거리.강동세무서,84_길동주민센터.둔촌2동주민센터,85_강동자이·프라자아파트,86_초이동,87_상일초교,88_강동첨단업무단지.상일여고입구,89_고덕리엔파크3단지,90_강명초등학교,91_고덕천교차로,92_해뜨는주유소,93_고덕리엔파크1단지,94_강동공영차고지
2022-03-05 04:00:00,0,0,0,0,0,1,2,2,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,0,0,2,1,2,4,1,6,8,6,10,12,11,12,8,6,0,5,7,11,10,9,8,8,0,6,5,3,4,0,4,5,1,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,1,1,4,3,4,6,6,8,7,7,8,8,8,9,9,10,11,10,11,8,9,8,6,0,7,7,6,4,3,4,2,4,2,1,2,4,4,3,0,2,1,3,2,1,0,0,0,1,0,3,4,3,1,3,4,3,0,4,4,0,0,4,1,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,2,3,0,1,4,6,5,4,4,10,10,10,6,13,14,15,17,16,0,15,11,13,5,12,6,11,7,5,3,10,5,9,9,8,5,1,0,4,3,0,2,1,0,1,1,0,3,2,6,6,8,9,11,11,10,8,7,6,3,2,2,0,1,2,1,1,0,3,1,0,4,5,4,4,6,7,6,4,5,3,5,5,0,4,3,2,0,0,0,0,0,0
2022-03-05 08:00:00,0,2,2,2,5,6,8,11,14,4,16,16,17,16,16,17,21,23,28,26,16,24,17,11,15,13,12,10,9,8,6,5,4,6,5,2,4,2,3,3,3,0,4,0,2,0,0,0,4,5,7,0,12,10,13,12,10,9,6,5,4,3,1,2,4,5,5,2,3,2,4,6,8,5,7,3,3,0,4,5,3,4,3,5,7,6,6,4,3,1,0,2,1,0
2022-03-05 09:00:00,0,1,3,0,1,4,5,7,11,13,20,20,21,23,22,23,27,27,34,33,28,23,17,18,14,17,16,14,4,11,7,6,6,7,6,9,6,5,4,3,0,4,2,1,4,3,1,0,2,4,11,9,16,19,23,25,15,15,16,16,13,11,10,10,9,9,7,6,7,6,6,7,5,6,8,1,7,9,8,10,8,8,7,4,5,2,4,3,4,1,2,0,0,0
2022-03-05 10:00:00,0,1,1,0,2,4,5,6,10,11,13,23,22,26,27,32,32,31,32,35,33,29,24,11,10,10,11,11,12,10,10,9,11,10,9,8,5,4,1,5,5,4,2,1,1,0,0,0,1,6,9,10,15,12,16,16,14,12,13,14,10,9,9,9,10,9,8,5,5,6,7,8,6,8,8,10,9,8,7,4,8,9,6,7,5,3,4,3,2,3,1,0,0,0
2022-03-05 11:00:00,0,4,0,5,1,5,11,7,12,12,15,18,25,24,24,24,29,24,33,41,40,34,15,17,17,14,12,12,10,5,7,7,9,14,10,9,8,7,4,5,8,0,4,2,5,0,1,4,3,6,12,8,19,23,22,24,17,17,17,19,17,17,14,12,13,12,11,10,11,10,20,17,20,20,23,21,6,8,10,9,9,8,8,8,6,6,7,5,4,4,3,1,0,0
2022-03-05 12:00:00,0,0,2,3,0,3,4,6,8,8,10,11,12,15,14,15,21,21,25,26,26,23,15,16,11,15,12,12,13,12,11,10,11,12,11,9,7,8,6,9,2,10,11,8,4,1,2,1,4,8,11,0,22,24,25,26,24,24,20,19,18,23,19,17,15,16,17,11,16,15,16,18,16,13,13,18,15,12,13,11,13,13,11,8,2,7,4,2,3,2,1,0,0,0
2022-03-05 13:00:00,0,3,4,2,3,5,7,7,10,10,14,16,17,14,14,16,17,21,27,27,27,20,16,15,15,14,13,14,12,11,11,12,12,11,9,9,10,9,10,12,12,11,3,7,3,0,2,1,9,8,12,6,13,14,15,15,15,15,17,19,19,18,20,22,20,25,24,13,20,11,22,21,18,22,23,22,23,13,23,22,20,15,10,9,8,8,9,8,7,2,0,1,0,0
