Unnamed: 0,1_강동공영차고지,2_강일리버파크6단지,3_강일리버파크8단지,4_강일리버파크9단지후문,5_강일리버파크9단지.10단지,6_고덕리엔파크2단지.3단지,7_상일동역4번출구.센트럴푸르지오,8_상일동역1번출구,9_고덕그라시움,10_고덕평생학습관.온조대왕체육관,11_강동아트센터.강동경희대병원,12_명일동현대아파트,13_고덕삼환.주공9단지아파트,14_명일여자고등학교,15_명일1동주민센터,16_명일역3번출구.래미안솔베뉴,17_서울시동부기술교육원,18_암사3동주민센터(강동롯데캐슬퍼스트),19_강일중.선사고,20_신암중학교,21_삼성광나루아파트.암사동유적,22_암사역선사현대아파트,23_천호동공원,24_서울현대요양병원,25_천호역현대백화점.노동권익센터,26_천호역.풍납시장,27_영파여고.강동구청역,28_현대아파트앞,29_풍납동극동.쌍용아파트,30_잠실파크리오아파트상가.올림픽회관,31_몽촌토성역,32_신천동진주아파트,33_잠실역8번출구,34_잠실역.롯데월드,35_잠실5단지,36_잠실새내역.잠실2동주민센터,37_잠실엘스아파트앞,38_종합운동장사거리,39_잠실종합운동장,40_강남경찰서면허시험장,41_한국무역센터.삼성역,42_포스코사거리,43_한별구립어린이집,44_봉은사.코엑스북문,45_무역센타,46_강남경찰서.강남운전면허시험장,47_잠실종합운동장,48_종합운동장사거리,49_잠실새내역4번출구,50_잠실트리지움아파트앞,51_잠실역.롯데월드,52_잠실역1번.11번출구,53_잠실진주아파트,54_올림픽회관,55_풍납동극동.쌍용아파트,56_강동구청역농협중앙회,57_강동구청역1번출구.영파여고,58_천호역,59_천호역현대백화점.노동권익센터,60_서울현대요양병원,61_천호동공원,62_암사역2번출구.암사종합시장,63_삼성광나루아파트.암사동유적,64_신암중학교,65_강일중.선사고,66_암사3동주민센터프라이어팰리스,67_서울시동부기술교육원,68_명일역2번출구,69_명일1동주민센터,70_명일여자고등학교,71_고덕삼환.주공9단지아파트,72_한영중고한영외고,73_강동아트센터.강동경희대병원후문,74_강동경희대병원.명일동이마트,75_고덕그라시움,76_상일동역8번출구,77_상일동역6번출구.고덕아르테온,78_고덕리엔파크3단지.2단지,79_강일역3번출구,80_강일리버파크10단지.9단지,81_강일리버파크9단지후문,82_강일리버파크8단지,83_강일리버파크6단지
2022-03-05 04:00:00,11,0,3,5,8,10,10,0,0,9,10,0,8,5,7,9,3,9,10,0,14,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,2,3,5,6,8,10,12,14,14,9,10,11,2,2,7,3,6,9,10,9,10,13,7,8,9,24,9,25,6,23,24,19,17,8,3,13,10,8,5,4,3,2,1,2,0,0,3,4,3,4,0,0,5,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,2,4,7,7,6,5,1,0,0,2,2,12,13,12,14,12,12,9,8,9,8,13,8,8,10,5,11,9,0,10,6,5,4,2,0,2,4,4,3,1,0,1,2,0,3,5,5,4,4,5,0,4,3,0,3,2,2,6,0,8,9,9,9,11,10,8,3,16,4,18,3,6,0,5,2,1,0,0,0,1,0
2022-03-05 07:00:00,0,0,2,6,7,5,4,5,0,0,5,3,6,9,13,9,10,13,14,12,12,9,5,7,7,8,9,10,8,9,7,9,4,4,3,3,0,2,1,1,2,0,1,2,0,0,1,3,2,0,3,0,3,3,4,0,2,4,4,0,5,4,5,4,6,5,3,7,8,7,8,7,4,3,17,16,15,2,2,11,7,0,0
2022-03-05 08:00:00,0,1,6,4,8,7,5,6,7,5,5,6,8,7,9,14,13,14,16,19,16,17,19,20,18,17,21,22,23,19,19,15,14,13,11,8,4,3,4,3,2,0,0,0,0,1,1,4,5,6,6,6,4,3,1,2,6,7,12,15,13,11,11,13,11,14,12,9,8,11,10,8,5,4,4,3,2,1,0,0,0,0,0
2022-03-05 09:00:00,0,1,2,6,7,6,9,10,9,8,7,7,10,12,15,16,12,15,16,23,18,16,10,11,10,14,17,18,22,24,24,22,16,17,17,12,7,6,6,4,4,2,2,2,0,3,4,3,5,4,5,6,6,5,7,6,7,10,13,15,14,18,18,18,17,15,13,9,9,8,10,7,4,2,3,2,4,5,0,2,0,0,0
2022-03-05 10:00:00,0,0,4,12,16,11,11,8,12,8,7,8,12,14,12,19,24,30,42,41,35,29,17,19,13,18,17,14,16,17,17,17,17,15,18,12,10,6,5,5,4,4,2,3,4,3,2,5,7,9,8,8,6,7,8,7,8,7,8,8,7,9,8,10,11,9,9,10,12,10,10,11,11,12,0,9,5,4,0,2,0,0,0
2022-03-05 11:00:00,0,1,3,6,7,6,9,5,6,8,7,8,6,8,10,13,18,21,23,25,19,18,32,25,20,20,20,21,21,24,22,21,16,20,8,12,10,9,7,6,4,6,3,4,3,4,5,4,10,11,11,11,11,5,9,15,14,15,13,17,23,23,28,24,23,21,17,15,14,9,9,4,7,8,3,4,4,0,0,1,2,1,0
2022-03-05 12:00:00,0,1,2,4,8,7,9,11,11,11,9,13,15,16,16,19,19,27,30,30,24,21,23,21,15,19,22,24,27,28,27,23,16,18,19,12,10,8,7,6,6,2,4,3,6,7,9,10,16,17,15,18,17,15,14,7,14,13,14,15,17,18,17,14,13,18,15,11,13,13,15,12,9,8,0,7,5,2,6,3,2,1,0
2022-03-05 13:00:00,0,0,2,5,9,7,7,7,8,7,11,16,16,17,17,19,21,25,24,27,25,24,22,25,17,12,18,18,19,21,24,20,11,7,10,8,6,5,1,4,5,6,10,11,17,16,14,14,15,16,20,16,16,15,14,15,18,19,21,18,16,20,20,21,19,18,15,14,15,13,11,7,4,8,7,3,7,0,6,4,1,0,0
