Unnamed: 0,1_송파레미니스후문,2_신흥운수입구,3_오금동사거리,4_송파도서관,5_오금공원앞,6_오금역2번출구,7_오금공원사거리,8_오금동대림아파트,9_방이동대림코오롱아파트,10_신구블레스밸리,11_방이초등학교,12_방이시장입구,13_서울방이동고분군,14_방이우체국,15_송파나루역,16_송파구청.방이맛골,17_잠실역8번출구,18_잠실역.롯데월드,19_잠실5단지,20_잠실새내역.잠실2동주민센터,21_잠실엘스아파트앞,22_종합운동장사거리,23_잠실종합운동장,24_강남경찰서면허시험장,25_삼성역7번출구,26_봉은사역3번출구.삼성1파출소,27_청담역.경기고교,28_진흥아파트,29_강남구청.강남세무서,30_청담동래미안아파트,31_강남구청역,32_세관앞,33_논현동사거리.학동역,34_영동시장,35_논현사거리.논현역5번출구,36_반포역,37_고속터미널,38_센트럴시티,39_고속터미널,40_반포역,41_논현사거리.논현역4번출구,42_영동시장,43_논현동사거리.학동역,44_세관앞,45_강남구청역,46_삼성동서광아파트,47_강남구청.강남세무서,48_진흥아파트청담역,49_청담역.경기고교,50_봉은사.삼성1파출소앞,51_무역센타,52_강남경찰서.강남운전면허시험장,53_잠실종합운동장,54_종합운동장사거리,55_잠실새내역4번출구,56_잠실트리지움아파트앞,57_잠실역.롯데월드,58_잠실역1번.11번출구,59_송파구청.방이맛골,60_방이동사거리,61_송파나루역,62_서울방이동고분군,63_방이시장입구,64_방이초등학교,65_올림픽공원남2문,66_신구블레스밸리앞,67_방이동대림코오롱아파트,68_오금동대림아파트,69_오금공원사거리,70_오금역3번출구,71_가락현대5차아파트,72_우창아파트,73_송파참병원,74_인애가요양병원,75_송파레미니스후문
2022-03-05 04:00:00,1,1,3,0,2,0,2,2,0,3,6,1,0,7,8,0,6,0,9,8,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,0,1,0,0,0,1,2,1,2,4,5,5,3,5,0,4,5,5,8,4,0,9,3,8,8,7,6,7,2,7,3,6,3,1,1,0,0,2,0,2,1,3,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,4,6,2,1,1,1,0,2,3,5,5,4,5,4,4,6,4,4,1,0,3,0,1,0,4,1,2,4,0,3,2,2,1,0,0,0,0,0,3,0,3,3,1,2,2,0,4,1,3,0,0,2,1,0,2,3,2,1,0,1,0,1,2,0,0,0,0,1,0,2,1,1,0,0,0
2022-03-05 07:00:00,3,4,4,4,3,5,4,5,0,6,9,11,10,1,12,10,8,1,0,1,0,2,4,0,3,3,0,2,4,3,4,2,1,0,0,0,0,0,2,0,4,0,1,0,1,0,2,4,5,3,4,3,2,2,3,2,4,7,3,0,6,1,4,3,4,5,2,3,2,0,0,2,1,0,0
2022-03-05 08:00:00,6,7,2,5,5,4,6,8,8,10,15,17,17,19,22,13,10,11,10,8,8,7,6,5,6,6,7,0,8,7,6,4,4,4,4,3,0,1,1,2,4,0,3,2,3,3,4,4,5,3,4,3,4,2,6,4,5,8,8,6,5,1,6,5,6,7,6,7,6,4,1,2,1,0,0
2022-03-05 09:00:00,3,0,4,6,6,5,4,5,9,13,16,19,20,21,22,20,10,9,8,8,6,7,5,5,6,10,9,6,6,5,5,5,4,4,3,1,1,1,4,3,3,6,9,9,7,6,8,11,12,11,2,0,3,3,3,3,0,8,3,9,10,9,6,4,0,2,4,2,1,3,2,3,0,0,0
2022-03-05 10:00:00,4,4,6,5,6,4,9,13,16,16,21,24,23,24,22,21,8,8,9,6,6,6,6,5,8,8,8,12,8,0,8,9,7,4,3,2,1,1,4,1,5,7,8,9,10,11,8,8,11,11,8,9,5,10,12,11,9,9,8,7,9,3,4,6,7,6,5,3,2,4,0,3,2,0,0
2022-03-05 11:00:00,5,2,6,8,4,6,7,14,17,19,19,24,25,27,25,25,16,15,13,9,7,8,7,5,6,7,8,7,10,6,7,3,5,2,3,2,0,1,5,6,7,6,9,6,5,6,7,3,8,6,6,2,5,6,13,10,14,19,22,22,14,13,7,7,6,7,5,4,3,4,2,3,2,0,0
2022-03-05 12:00:00,8,9,11,16,14,9,9,12,13,18,19,23,23,25,28,30,19,16,9,11,12,12,11,6,11,15,0,13,14,13,4,5,12,5,3,1,1,0,5,2,6,6,12,11,9,15,16,17,18,15,12,11,12,14,17,17,19,18,19,20,18,19,18,18,16,13,11,10,9,7,3,2,0,0,0
2022-03-05 13:00:00,3,4,5,8,8,8,7,10,15,20,23,29,27,29,33,24,16,17,16,15,9,8,10,8,3,10,9,4,8,8,9,7,4,4,2,1,2,3,6,5,8,8,9,8,9,13,16,15,14,16,14,15,18,19,20,18,20,23,20,19,17,14,13,16,15,12,11,8,6,6,4,3,2,1,0
