Unnamed: 0,1_남한산성입구,2_송파구립마천청소년센터,3_송파보훈회관.금호어울림2차,4_마천동금호어울림1차아파트,5_남천초교마천동우방아파트앞,6_청암노인요양원,7_마천동사거리,8_거여역2번출구,9_거여역,10_송파배드민턴체육관,11_문정시영.세영청마루아파트,12_가락2동프라자아파트,13_극동아파트,14_가동초등학교,15_가락2동주민센터,16_홍이공원,17_석촌중학교후문,18_가락대림아파트,19_경찰병원.KT가락지사,20_경찰병원.서울동부고용노동지청,21_제일오피스텔,22_가락시장.가락몰,23_가락시장남문,24_수서역,25_쟁골마을,26_래미안포레아파트,27_방죽마을,28_세곡문화복지회관,29_대왕파출소,30_은곡마을.강남신동아파밀리에,31_대왕초등학교,32_세곡동사거리,33_세곡문화복지관,34_방죽마을,35_래미안포레아파트,36_쟁골마을,37_고속철도수서역,38_수서역5번.출구,39_수서역.로즈데일빌딩,40_문정2동주민센터.청소년수련관,41_훼미리근린공원,42_가락시장역,43_경찰병원.KT가락지사,44_샛별어린이공원입구,45_석촌중학교후문,46_홍이공원,47_가락2동주민센터,48_가주초등학교,49_가락2동극동아파트,50_가락2동프라자아파트,51_문정시영.세양청마루아파트,52_송파배드민턴체육관,53_거여역현대아파트,54_거여역3번출구.현대2차아파트,55_마천동사거리,56_청암노인요양원,57_마천시장마천동우방아파트앞,58_마천동금호어울림1차아파트,59_송파보훈회관.금호어울림2차,60_송파구립마천청소년센터,61_남한산성입구
2022-03-05 04:00:00,1,0,1,7,9,10,11,0,6,10,9,10,0,0,0,11,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,3,5,5,3,8,6,8,2,8,9,8,9,6,10,12,9,10,12,9,4,3,4,0,4,4,0,0,3,5,0,0,7,6,4,4,5,4,5,0,4,3,3,4,4,3,3,2,0,3,0,2,0,1,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,3,7,11,11,11,10,12,9,7,9,10,9,7,0,9,10,0,8,4,7,6,3,0,2,0,0,2,2,0,0,0,3,4,0,3,3,5,4,4,4,4,5,1,2,4,0,4,3,5,3,1,4,1,0,1,0,0,0,0
2022-03-05 07:00:00,1,2,4,5,9,8,11,6,5,7,6,8,9,6,9,7,7,6,7,7,5,2,3,3,0,1,0,2,0,4,5,6,5,4,2,3,3,4,6,6,7,10,7,7,8,9,5,9,8,5,6,4,2,3,2,1,2,1,0,0,0
2022-03-05 08:00:00,1,3,5,4,8,5,12,10,14,13,13,14,15,13,14,8,15,14,13,8,7,8,7,5,4,3,1,4,1,2,3,1,2,4,8,6,8,4,5,5,9,11,10,9,10,8,7,7,7,8,9,7,6,5,4,2,5,4,2,1,0
2022-03-05 09:00:00,2,3,4,6,9,11,11,10,11,11,11,18,14,18,15,10,18,15,13,13,10,8,10,3,0,3,2,1,1,8,1,9,8,9,12,0,8,5,7,10,9,5,9,5,9,5,6,8,6,9,10,9,9,10,7,5,6,3,2,1,0
2022-03-05 10:00:00,0,2,4,7,11,14,11,11,12,11,11,12,13,12,6,7,8,10,9,9,10,9,8,9,0,8,4,1,2,6,7,2,8,10,10,5,16,16,18,17,16,23,21,11,22,7,18,16,13,10,10,11,9,9,8,6,6,3,1,1,0
2022-03-05 11:00:00,3,0,6,6,8,8,14,13,10,11,12,12,8,5,13,6,7,10,8,8,5,7,8,10,9,7,3,5,3,6,7,3,8,9,10,0,23,21,24,21,21,20,21,20,20,12,24,21,10,9,7,5,6,7,6,4,5,4,3,1,0
2022-03-05 12:00:00,4,1,5,8,12,12,15,15,19,15,19,21,22,13,8,12,13,11,12,9,7,8,7,6,4,6,7,4,3,3,1,4,6,8,13,13,7,6,7,15,18,18,13,10,11,4,11,10,9,9,10,10,11,9,6,8,6,5,5,2,0
2022-03-05 13:00:00,1,2,4,6,7,0,9,10,13,9,11,17,21,18,6,16,7,14,12,13,14,10,9,8,5,8,6,2,3,7,6,0,7,4,10,12,13,8,11,9,10,6,12,13,14,10,16,17,16,18,17,14,13,11,9,6,6,2,1,0,0
