Unnamed: 0,1_장지공영차고지,2_아이코리아,3_송파글마루도서관.버들어린이집,4_문현고등학교,5_문현중학교,6_건영아파트,7_문덕초등학교.문정고등학교,8_문정동푸르지오아파트,9_문정동래미안아파트,10_가락동쌍용아파트,11_가락동극동아파트,12_오금공원앞,13_오금동현대아파트,14_한양삼익아파트,15_송파동한양1차아파트,16_송파2동한양아파트,17_잠실여고후문,18_송파사거리,19_송파책박물관.헬리오시티,20_석촌동남현교회앞,21_배명중고교,22_송파구민회관구의회,23_삼전역,24_잠실우성4차현대아파트,25_잠실근린공원.성현교회,26_아시아선수촌아파트,27_잠실종합운동장,28_강남경찰서면허시험장,29_삼성역7번출구,30_봉은사역5번출구.광동한방병원,31_노블발렌티웨딩홀,32_서울의료원강남분원,33_강남경찰서.강남운전면허시험장,34_잠실종합운동장,35_아시아선수촌아파트,36_아시아선수촌아파트삼거리.성현교회,37_잠실우성4차현대아파트,38_삼전역,39_송파구민회관구의회,40_배명중고교,41_석촌동남현교회앞,42_송파책박물관.헬리오시티,43_송파사거리.석촌시장,44_잠실여고후문,45_한양공원,46_송파2동한양삼성아파트,47_삼익아파트미성아파트,48_송파경찰서.오금역,49_가락래미안앞,50_송파중학교,51_문정래미안현대아파트앞,52_문정동대우아파트,53_문덕초등학교.문정고등학교,54_건영아파트앞,55_문현중학교,56_송파구립산모건강증진센터,57_송파파인타운10단지.13단지,58_송파파인타운11단지,59_아이코리아앞,60_장지공영차고지
2022-03-05 04:00:00,1,1,0,3,4,0,0,1,3,0,0,5,8,7,0,0,6,0,0,5,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,2,2,1,2,4,3,4,1,1,4,2,2,2,1,0,1,3,1,3,3,3,4,2,3,1,3,2,0,0,3,0,4,5,5,3,3,5,4,3,5,0,0,5,4,2,2,0,1,0,2,0,0,2,0,0,1,0
2022-03-05 06:00:00,1,2,0,3,4,1,1,5,0,4,2,3,2,1,2,2,2,4,5,7,3,5,4,5,7,6,4,1,1,2,0,0,1,5,4,3,2,3,4,1,4,4,3,2,2,1,3,3,2,3,1,1,1,0,2,2,0,0,0,0
2022-03-05 07:00:00,0,1,0,0,4,1,5,4,3,5,6,8,6,2,4,7,6,5,5,6,6,5,6,8,8,5,3,2,2,1,1,0,0,3,5,4,3,3,3,3,4,1,0,3,3,4,4,4,2,5,4,3,2,2,2,3,0,3,0,0
2022-03-05 08:00:00,1,2,2,5,7,8,7,10,9,9,8,8,5,5,6,10,5,8,9,10,12,12,16,16,19,15,7,5,4,3,2,0,0,2,3,5,6,8,10,12,13,15,11,14,13,14,9,6,5,7,10,7,3,4,3,1,1,0,0,0
2022-03-05 09:00:00,2,1,0,3,5,9,11,8,14,17,18,19,10,7,12,12,12,10,10,12,13,12,12,14,17,13,9,6,3,3,3,2,0,6,5,8,10,9,8,8,7,9,8,9,8,9,9,6,5,8,9,6,5,4,2,1,0,1,0,0
2022-03-05 10:00:00,1,2,1,4,3,0,6,7,6,5,9,9,22,23,23,9,22,18,8,9,8,9,12,11,15,10,6,5,5,3,2,0,3,7,4,3,4,5,5,7,7,9,7,6,5,8,8,6,7,7,6,7,2,5,2,1,0,0,0,0
2022-03-05 11:00:00,2,3,1,3,7,2,4,8,9,6,8,9,12,9,8,12,13,13,12,13,12,15,14,14,15,13,7,5,2,3,4,3,5,6,6,9,10,12,10,14,14,10,10,6,7,8,6,9,7,11,11,7,6,1,5,3,1,1,0,0
2022-03-05 12:00:00,2,3,4,3,4,6,9,11,13,12,12,11,10,13,9,10,6,6,7,10,11,12,12,13,19,15,9,8,5,3,2,4,5,8,6,8,9,10,14,15,17,17,16,13,10,9,9,8,9,10,8,8,5,3,1,2,0,0,0,0
2022-03-05 13:00:00,0,2,0,3,5,0,7,10,10,8,6,8,9,9,11,11,12,13,11,12,11,13,14,13,14,13,8,4,5,3,3,0,4,8,10,8,8,10,11,15,15,13,14,10,9,8,10,6,5,5,3,4,2,2,1,1,0,0,0,0
2022-03-05 14:00:00,2,2,0,2,5,5,7,4,4,6,7,8,9,10,9,9,10,8,11,8,12,9,13,17,17,14,7,4,2,4,3,1,2,9,12,12,10,10,10,12,14,17,16,11,10,10,7,6,5,13,15,16,15,12,4,1,1,0,1,0
2022-03-05 15:00:00,2,1,2,3,5,6,7,6,6,7,3,10,10,10,11,8,9,12,16,17,12,11,12,14,11,9,5,3,2,4,3,1,4,8,8,7,6,11,12,13,10,11,12,12,11,9,10,9,10,13,12,16,12,9,3,6,3,2,1,0
2022-03-05 16:00:00,2,0,2,2,9,8,9,10,12,4,9,11,9,10,9,10,10,12,12,11,11,12,12,10,12,10,6,5,6,7,7,8,6,21,22,12,13,15,15,16,15,12,12,12,10,11,10,10,11,12,12,7,11,9,3,6,2,4,2,0
2022-03-05 17:00:00,2,3,0,2,7,4,8,9,8,8,10,10,9,9,10,11,5,10,13,14,14,15,14,12,13,10,5,3,2,3,4,4,7,12,17,13,10,10,9,10,9,10,9,11,12,12,12,7,5,9,6,6,5,0,3,4,4,2,1,0
2022-03-05 18:00:00,4,1,5,5,6,7,7,7,7,6,2,6,6,7,9,11,5,12,11,11,9,9,9,10,8,4,4,2,2,6,1,5,4,14,15,9,10,9,10,13,13,12,14,12,10,9,9,10,8,10,10,7,6,7,5,4,3,2,2,0
2022-03-05 19:00:00,1,0,0,2,5,6,4,8,9,5,3,5,7,7,5,9,13,10,7,9,4,6,4,7,6,4,5,4,5,7,4,2,0,11,12,10,11,11,10,12,12,11,6,5,7,6,6,7,6,5,4,3,4,0,0,4,0,3,0,0
2022-03-05 20:00:00,1,0,0,0,4,3,6,7,5,5,4,10,6,6,3,5,6,5,8,6,7,6,7,3,5,4,3,2,4,3,5,0,6,15,12,10,9,9,8,8,6,6,10,9,7,5,7,5,5,5,3,2,2,1,2,4,2,1,0,0
2022-03-05 21:00:00,0,0,0,1,6,7,9,4,3,9,6,7,6,4,6,5,5,6,9,7,10,9,2,5,4,2,3,4,3,4,1,2,5,11,12,9,8,6,8,6,5,8,5,8,3,7,6,3,4,3,2,1,1,1,0,5,4,1,1,0
2022-03-05 22:00:00,1,0,0,1,4,2,5,6,5,4,2,3,3,6,7,7,4,6,4,3,5,6,4,1,5,4,1,2,4,5,6,5,6,16,20,18,16,17,18,18,14,11,9,10,9,7,7,3,5,5,4,2,1,1,4,5,3,4,2,0
2022-03-05 23:00:00,0,0,1,0,3,5,6,7,7,6,2,5,6,7,6,4,5,5,5,3,3,4,2,0,1,0,0,0,0,1,2,2,1,14,17,9,8,9,11,11,8,6,7,6,5,5,8,7,3,4,3,2,2,2,1,4,0,3,2,0
