Unnamed: 0,1_강동공영차고지,2_강일초등학교,3_미사강변루나리움.강일리버5단지,4_미사강변리버뷰자이.베라체,5_강동리버스트상가,6_강동리버스트6.7단지,7_강일리버파크3단지.1단지,8_강일리버파크4단지.2단지,9_강일리버파크4단지.5단지,10_강일초등학교,11_강동공영차고지,12_고덕리엔파크1단지,13_해뜨는주유소,14_상일동역4번출구.센트럴푸르지오,15_상일동역1번출구,16_고덕그라시움,17_고덕평생학습관.온조대왕체육관,18_강동아트센터.강동경희대병원,19_한영중고한영외고,20_길동자연생태공원,21_일자산입구.둔촌도서관,22_중앙보훈병원역2번출구,23_중앙보훈병원1번출구,24_보훈회관,25_보훈병원,26_약수터,27_길동사거리.강동세무서,28_강동역,29_천호역,30_천호역.풍납시장,31_영파여고.강동구청역,32_현대아파트앞,33_풍납동극동.쌍용아파트,34_잠실파크리오아파트상가.올림픽회관,35_잠실파크리오아파트앞,36_잠실나루역,37_잠실중학교.장미종합상가,38_잠실역.롯데월드,39_잠실5단지,40_잠실새내역.잠실2동주민센터,41_잠실엘스아파트앞,42_종합운동장사거리,43_잠실종합운동장,44_강남경찰서면허시험장,45_삼성역7번출구,46_봉은사.코엑스북문,47_삼성중앙역.플래티넘아파트,48_삼성2문화센터,49_한국토지주택공사앞,50_강남보건소.강남구립국제교육원,51_강남구청역,52_영동고교앞,53_씨네시티앞,54_도산공원사거리,55_도산공원,56_신구중학교,57_압구정파출소,58_한양아파트.압구정로데오역,59_일지아트홀,60_영동고등학교현대아파트,61_강남구청역,62_강남보건소.강남구립국제교육원,63_한국토지주택공사앞,64_라마다서울호텔앞,65_삼성중앙역.플래티넘아파트,66_봉은사.코엑스북문,67_무역센타,68_강남경찰서.강남운전면허시험장,69_잠실종합운동장,70_종합운동장사거리,71_잠실새내역4번출구,72_잠실트리지움아파트앞,73_잠실역,74_잠실중학교,75_잠실나루역,76_잠실진주아파트,77_올림픽회관,78_풍납동극동.쌍용아파트,79_강동구청역농협중앙회,80_강동구청역1번출구.영파여고,81_천호역,82_천호역6번출구.천호사거리,83_강동역.강풀만화거리입구,84_길동사거리.강동세무서,85_약수터,86_보훈병원,87_보훈회관,88_중앙보훈병원1번출구,89_중앙보훈병원역3번출구,90_일자산입구.둔촌도서관,91_길동자연생태공원,92_한영중고한영외고,93_강동아트센터.강동경희대병원후문,94_강동경희대병원.명일동이마트,95_고덕그라시움,96_상일동역8번출구,97_상일동역6번출구.고덕아르테온,98_해뜨는주유소,99_고덕리엔파크1단지,100_강동공영차고지,101_강일초등학교,102_강일리버파크5단지.4단지,103_강일리버파크2단지.4단지,104_강일리버파크1단지,105_강동리버스트7.6단지,106_강동리버스트상가,107_강동리버스트8단지,108_강일리버5단지.미사강변루나리움,109_강일초등학교,110_강일리버파크6단지
2022-03-05 04:00:00,0,0,0,2,3,2,0,3,0,0,0,4,1,5,3,0,6,3,4,0,0,1,0,5,7,7,10,15,18,21,21,21,22,5,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,2,4,6,0,3,4,4,8,8,0,7,7,0,1,5,3,0,3,2,0,1,2,4,1,3,8,9,7,5,5,4,0,4,5,13,12,11,4,3,10,1,8,5,0,0,1,3,2,0,1,0,2,3,4,3,4,3,0,0,0,0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,0,2,5,11,0,12,14,9,15,11,15,8,9,5,8,9,10,8,7,4,0,3,4,5,6,7,10,6,5,5,0,3,3,4,4,5,4,3,6,5,5,4,3,4,4,2,5,0,9,8,5,0,1,0,1,1,0,2,0,0,0,1,1,1,2,0,4,2,3,2,3,0,0,4,3,4,2,4,3,7,4,9,8,7,4,3,5,0,3,2,1,1,0,5,7,4,1,0,5,0,0,3,2,1,0,0,0,0
2022-03-05 07:00:00,0,0,0,3,9,14,15,16,18,11,20,21,20,11,6,7,11,12,13,12,11,6,0,7,4,7,7,8,8,9,8,8,5,3,2,7,7,7,5,3,4,1,5,0,6,4,3,5,0,3,5,4,3,1,1,0,1,1,1,0,0,2,1,2,2,0,0,0,0,2,3,0,4,2,3,0,0,1,1,0,3,2,2,2,1,2,2,0,6,4,0,5,3,2,0,5,6,5,4,4,2,3,0,3,2,0,0,0,0,0
2022-03-05 08:00:00,1,0,1,4,9,14,14,16,18,18,22,23,22,14,13,13,13,17,22,21,17,6,2,6,9,11,12,11,9,13,12,0,13,14,12,11,7,9,8,5,4,3,6,5,4,4,8,10,9,9,20,17,13,12,5,2,1,0,1,2,3,1,1,3,4,3,0,4,4,5,7,0,8,5,9,6,11,4,9,7,6,5,5,5,5,6,4,4,7,9,0,5,5,3,0,4,5,4,0,2,0,1,3,4,0,0,0,0,0,0
2022-03-05 09:00:00,0,0,1,2,10,18,17,19,18,21,23,24,20,16,19,18,14,13,16,17,14,10,8,9,10,11,11,10,12,14,12,9,10,10,10,10,11,11,12,9,9,12,9,8,7,7,10,16,15,17,31,21,7,5,5,2,2,1,2,4,5,5,6,8,5,4,3,2,3,4,5,6,6,7,3,4,4,8,9,8,7,6,6,3,6,7,5,4,10,9,5,7,5,3,0,0,9,3,8,6,1,4,2,1,0,0,0,0,0,0
2022-03-05 10:00:00,0,0,2,4,6,14,16,18,22,23,22,23,21,12,10,10,11,13,15,14,11,5,6,7,9,11,11,14,12,11,12,11,15,14,15,13,12,15,14,12,11,11,12,6,14,11,12,12,15,13,16,13,8,7,4,2,2,2,3,4,4,3,3,2,4,3,4,0,4,4,5,0,4,3,5,4,0,6,0,6,8,9,11,7,7,5,5,4,6,6,5,8,3,5,5,4,7,6,0,4,5,5,3,4,1,2,1,0,0,0
2022-03-05 11:00:00,0,0,0,5,10,18,0,22,23,24,25,27,26,19,18,8,16,17,18,17,14,8,10,3,12,17,17,12,10,11,11,7,11,12,11,7,11,6,5,6,6,5,5,4,6,6,7,8,7,6,9,7,4,3,5,5,6,5,6,8,8,8,6,5,5,6,4,2,6,5,5,0,6,7,4,0,2,8,7,8,6,9,8,7,7,6,7,7,11,12,11,6,10,11,10,10,9,0,8,7,7,5,7,4,6,1,1,0,0,0
2022-03-05 12:00:00,0,0,0,3,6,17,16,19,22,20,22,23,16,13,14,15,12,12,12,13,10,4,3,4,8,12,14,19,14,12,11,13,13,16,10,10,11,11,11,10,9,8,7,5,7,9,11,13,14,22,24,19,9,7,2,2,3,4,7,7,7,12,10,8,7,10,8,6,10,12,14,12,11,13,14,13,10,8,11,9,8,12,11,9,5,4,3,5,10,0,9,7,5,6,7,8,7,7,6,6,4,5,4,3,2,2,0,0,0,0
2022-03-05 13:00:00,2,0,0,1,5,18,16,5,20,10,24,12,14,13,14,17,19,13,15,7,14,4,5,6,15,16,14,15,14,10,12,11,12,14,17,15,11,15,20,17,10,8,7,7,12,9,7,9,8,6,12,10,8,1,4,3,4,3,6,8,6,8,9,13,13,10,8,9,11,11,10,10,8,10,13,0,16,17,16,16,14,17,12,19,17,16,12,13,23,22,0,20,16,15,14,12,13,12,0,11,10,9,0,7,4,0,0,0,0,0
2022-03-05 14:00:00,0,2,0,4,11,19,0,21,17,20,21,20,19,12,13,9,18,18,14,14,11,7,7,9,11,15,13,14,13,16,18,17,23,27,7,24,15,7,9,8,10,8,8,6,9,10,8,10,9,7,7,5,5,3,2,1,3,2,9,11,10,11,9,11,12,12,12,11,13,12,15,17,12,15,16,18,18,17,9,10,10,10,11,9,10,9,0,9,13,16,15,12,13,15,7,14,13,13,5,12,4,7,6,6,4,1,0,0,0,0
