Unnamed: 0,1_장지공영차고지,2_아이코리아,3_송파글마루도서관.버들어린이집,4_문현고등학교,5_문현중학교,6_건영아파트,7_문덕초등학교.문정고등학교,8_문정동푸르지오아파트,9_문정동래미안아파트,10_가락동미륭아파트,11_문정1동주민센터.로데오거리,12_문정로데오거리입구,13_가락시장.가락시장역,14_송파역,15_송파사거리,16_송파책박물관.헬리오시티,17_석촌동남현교회앞,18_배명중고교,19_삼학사길사거리,20_잠실119안전센터,21_영동일고레이크팰리스앞,22_잠실리센츠아파트앞,23_잠실새내역.잠실2동주민센터,24_잠실엘스아파트앞,25_종합운동장사거리,26_잠실종합운동장,27_삼성역,28_휘문중고등학교,29_영동농협풍림아이원아파트,30_도성초교사거리,31_역삼e-편한세상이아파트,32_한티역,33_한티역7번출구,34_역삼중학교.강남세브란스병원,35_역삼2동주민센터.대림역삼아파트,36_역삼자이아파트,37_KT강남지사,38_국민은행논현동지점,39_언주역4번출구.차병원사거리,40_삼정호텔,41_신논현역,42_신논현역.구교보타워사거리,43_서초푸르지오써밋,44_진흥아파트,45_강남역,46_신논현역.구교보타워사거리,47_신논현역,48_삼정호텔앞,49_언주역5번출구.차병원사거리,50_스포월드.라움아트센터,51_KT강남지사,52_역삼동성당.역삼자이아파트,53_래미안그레이튼아파트,54_도곡렉슬아파트.강남세브란스병원,55_한티역,56_도성초등학교,57_도성초교사거리,58_영동농협풍림아이원아파트,59_휘문중고등학교,60_삼성역,61_강남경찰서.강남운전면허시험장,62_잠실종합운동장,63_종합운동장사거리,64_잠실새내역4번출구,65_잠실트리지움아파트앞,66_잠실트리지움,67_영동일고트리지움APT정문앞,68_잠실119안전센터,69_삼학사길사거리,70_배명중고교,71_석촌동남현교회앞,72_송파책박물관.헬리오시티,73_송파사거리.석촌시장,74_송파역.헬리오시티,75_가락시장.가락시장역,76_문정1동주민센터.로데오거리,77_문정현대아파트,78_문정래미안현대아파트앞,79_문정동대우아파트,80_문덕초등학교.문정고등학교,81_문현고등학교.송파파인타운5단지,82_송파글마루도서관.버들어린이집,83_아이코리아앞,84_장지공영차고지
2022-03-05 04:00:00,0,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,1,0,0,1,0,1,0,0,0,4,0,0,5,6,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,2,3,1,0,0,2,0,0,3,1,2,1,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,3,2,2,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,2,4,3,2,1,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,0,0,0,1,0,1,0,0,3,4,2,3,4,3,3,4,6,5,4,2,3,2,1,2,3,2,2,2,2,1,0,2,1,1,2,0,0,1,0,0,0,0,2,0,4,3,0,2,1,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,3,2,0,2,4,3,2,2,0,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,3,6,4,3,6,7,8,6,9,10,11,11,4,3,1,0,0,3,0,1,2,0,3,2,1,0,0,0,0,2,4,4,1,0,3,0,3,0,4,2,3,3,4,2,0,0,0,0,1,0,0,0,3,4,7,8,7,5,4,3,1,0,0,0,0,1,1,0,0
2022-03-05 09:00:00,0,0,0,0,1,0,0,1,2,4,2,5,5,4,3,5,10,11,12,11,11,9,7,8,8,10,9,5,3,2,0,2,4,2,4,1,6,3,0,5,3,1,0,0,2,4,6,5,7,6,6,7,5,6,5,0,0,9,9,6,1,5,4,3,2,0,0,1,3,0,3,7,1,5,1,0,0,0,0,0,0,0,0,0
2022-03-05 10:00:00,1,0,0,0,0,0,2,0,3,4,0,0,5,7,6,5,4,6,5,4,2,5,3,6,5,4,5,3,5,6,4,2,2,2,1,0,2,0,4,2,0,0,0,1,1,5,6,3,4,4,10,9,6,6,8,0,7,9,9,9,1,6,0,8,7,0,0,7,5,5,6,6,8,4,3,4,0,1,0,0,0,0,0,0
2022-03-05 11:00:00,0,0,0,1,2,0,2,1,0,3,9,10,10,6,8,6,9,7,6,10,9,10,7,5,7,6,5,4,1,0,0,0,2,0,2,1,3,6,3,5,4,0,0,0,4,2,4,1,1,2,7,2,5,2,8,1,9,3,2,1,2,6,5,6,7,0,5,5,6,5,10,11,9,0,6,1,0,0,0,0,0,0,0,0
2022-03-05 12:00:00,0,0,0,1,0,0,0,1,0,1,2,3,4,6,4,5,5,6,5,9,2,8,6,6,8,0,13,6,3,4,0,7,6,5,6,3,7,4,7,5,4,3,3,0,6,6,7,4,5,4,6,5,6,7,7,3,3,3,11,9,0,8,9,7,3,1,6,4,6,9,10,12,13,1,4,1,0,0,0,0,1,0,0,0
2022-03-05 13:00:00,0,0,0,0,2,0,1,0,0,4,5,0,4,6,6,9,10,4,6,8,7,7,5,5,5,6,5,6,6,5,4,6,8,9,10,10,11,16,15,13,4,3,1,5,4,5,9,5,8,6,5,4,5,9,15,14,10,15,15,11,10,9,10,11,10,0,10,7,3,5,6,7,11,10,7,4,2,1,2,0,1,0,0,0
