Unnamed: 0,1_송파공영차고지(가상),2_복정역3번출구,3_삼일자동차학원.강남자동차검사소,4_광연자동차학원앞,5_세곡동,6_은곡마을.LH이편한세상,7_은곡마을진입로,8_세곡푸르지오,9_세곡중학교.세명초등학교,10_래미안강남힐즈,11_못골마을,12_강남현대힐스테이트에코,13_쟁골마을,14_고속철도수서역,15_수서역KT수서지점,16_궁마을,17_태화기독교사회복지관,18_수서삼성아파트앞,19_일원본동주민센터,20_푸른마을아파트앞,21_주공4단지,22_개포주공5단지경기여고,23_개포동역.개포시장,24_대치역6번출구.강남구민회관,25_은마아파트,26_은마파출소,27_대치현대아파트,28_대치사거리,29_포스코사거리,30_무역센터.삼성역,31_삼성역,32_휘문중고등학교,33_대치동현대아파트,34_농협대치지점,35_대치SKVIEW아파트.서울교회,36_대치역7번출구.선경아파트,37_개포동역.개포시장,38_경기여고,39_디에이치아너힐즈,40_일원동한솔아파트,41_상록수아파트앞,42_일원본동주민센터,43_시립수서청소년수련관,44_수서119안전센터앞,45_궁마을,46_수서역,47_고속철도수서역,48_쟁골마을,49_강남더샵라르고오피스텔,50_못골마을.LH강남아이파크,51_래미안강남힐즈,52_세곡중학교.세명초등학교,53_세곡푸르지오,54_세곡푸르지오,55_강남신동아파밀리에1단지,56_은곡마을.강남신동아파밀리에,57_대왕초등학교,58_광연자동차학원앞,59_삼일자동차학원.강남자동차검사소,60_복정역환승주차장
2022-03-05 04:00:00,0,0,0,0,0,1,0,2,5,0,3,5,0,2,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,0,0,0,0,1,4,5,7,9,8,6,3,0,0,0,2,0,0,2,1,0,1,0,0,0,1,0,2,1,0,2,0,1,1,2,3,3,0,0,4,0,1,2,0,0,1,0,0,2,0,0,0,2,3,0,1,0
2022-03-05 06:00:00,0,0,0,0,0,1,0,1,6,8,9,8,6,5,3,1,0,0,3,5,2,2,2,1,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,2,0,2,3,2,2,9,0,9,6,5,3,2,2,1,0,2,0,1,0,0
2022-03-05 07:00:00,0,1,0,0,1,1,0,7,14,0,13,14,13,10,5,0,4,0,4,4,5,4,3,2,3,4,3,0,1,0,2,2,1,1,0,0,0,0,0,2,0,0,0,1,0,5,0,0,2,2,2,3,3,0,0,1,2,1,0,0
2022-03-05 08:00:00,0,2,0,0,1,1,0,3,9,15,21,26,26,20,8,6,9,10,9,8,10,8,9,13,12,9,7,3,2,1,3,2,1,6,4,0,3,2,0,3,2,1,3,2,2,7,0,0,5,6,5,3,2,1,0,2,0,1,0,0
2022-03-05 09:00:00,0,0,1,0,2,4,0,5,15,21,22,30,29,19,6,5,6,8,6,10,7,8,9,8,11,7,5,2,1,1,7,3,5,3,3,3,2,1,0,4,6,7,1,8,7,12,0,11,11,10,4,4,3,0,0,3,0,2,1,0
2022-03-05 10:00:00,0,2,0,0,1,2,0,6,17,22,25,24,20,18,8,9,10,9,6,7,8,10,12,12,11,6,8,7,4,1,0,2,1,1,2,0,3,5,2,4,0,3,2,0,1,5,6,4,7,4,5,2,1,2,1,3,2,0,3,0
2022-03-05 11:00:00,0,2,0,2,3,3,0,3,12,14,16,23,22,17,9,0,9,6,8,8,8,10,12,12,9,7,8,6,3,1,3,2,3,4,5,3,4,5,0,5,0,10,9,5,7,12,8,13,8,8,4,3,2,0,2,0,0,1,1,0
2022-03-05 12:00:00,0,2,0,1,0,2,0,7,12,19,21,27,26,22,6,8,8,11,9,10,11,11,8,9,15,16,13,7,5,2,6,4,6,10,9,9,10,9,10,8,6,6,6,11,10,11,0,9,12,10,6,6,7,2,6,4,3,1,1,0
2022-03-05 13:00:00,0,2,0,2,0,1,0,3,5,8,8,19,18,17,8,3,5,11,9,7,9,10,11,14,11,13,12,3,2,2,3,3,9,11,12,12,9,4,5,7,7,7,5,9,2,16,0,0,14,12,12,9,4,0,5,0,5,4,0,0
