Unnamed: 0,1_서울버스종점,2_장지공영차고지,3_아이코리아,4_송파글마루도서관.버들어린이집,5_문현고등학교,6_장지역.가든파이브라이프동,7_가든파이브웍스동,8_가든파이브툴동,9_강남한양수자인아파트,10_세곡2지구3.4단지,11_래미안포레아파트,12_쟁골마을,13_고속철도수서역,14_수서역KT수서지점,15_궁마을,16_태화기독교사회복지관,17_수서삼성아파트앞,18_일원본동주민센터,19_삼성서울병원정문,20_래미안블레스티지아파트,21_개포1단지연금매장,22_개포고등학교,23_구룡역,24_수도공고앞,25_개포동역,26_대치역6번출구.강남구민회관,27_대치역1번출구,28_래미안대치팰리스,29_중대부고,30_단대부고.대치아이파크아파트,31_한티역,32_도성초등학교,33_진선여자중고등학교,34_선릉역.선정릉정문,35_선정릉역.무형문화재전수회관,36_한국토지주택공사앞,37_강남보건소.강남구립국제교육원,38_삼성동서광아파트,39_강남구청.강남세무서,40_청담천주교회,41_청담2치안센터,42_프리마호텔,43_영동교입구,44_청담역.경기고교,45_진흥아파트,46_강남구청.강남세무서,47_청담동래미안아파트,48_강남보건소.강남구립국제교육원,49_한국토지주택공사앞,50_선정릉역.무형문화재전수회관,51_선릉역,52_진선여자중고등학교,53_역삼e-편한세상이아파트,54_한티역,55_도곡렉슬아파트정문,56_중대부고앞,57_대치동우성아파트,58_대치역8번출구,59_대치역7번출구.선경아파트,60_개포동역,61_수도공고,62_구룡역,63_개포고등학교앞,64_개포1단지,65_개포중학교,66_삼성서울병원정문건너편,67_일원역,68_일원본동주민센터,69_시립수서청소년수련관,70_수서119안전센터앞,71_궁마을,72_수서역,73_고속철도수서역,74_쟁골마을,75_래미안포레아파트,76_세곡2지구3.4단지,77_강남한양수자인아파트,78_가든파이브툴동,79_가든파이브웍스동,80_장지역.가든파이브라이프동,81_문현고등학교.송파파인타운5단지,82_송파글마루도서관.버들어린이집,83_아이코리아앞,84_장지공영차고지,85_서울버스종점
2022-03-05 04:00:00,0,1,0,0,0,2,0,0,1,0,0,0,0,1,2,0,3,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,0,2,3,0,4,4,5,5,6,4,4,5,4,0,3,1,0,0,0,0,0,0,0,0,0,2,2,3,2,3,1,2,1,0,0,3,0,0,0,3,1,0,1,2,0,1,1,2,0,4,0,3,0,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,0,0,3,2,5,2,1,5,0,6,6,3,7,6,7,3,2,1,0,0,1,0,0,0,1,0,0,0,1,0,3,1,0,0,2,1,1,0,1,2,3,2,3,3,0,2,4,4,6,0,7,8,0,10,9,1,0,0,21,15,3,2,1,0,2,0,2,2,5,0,2,4,3,3,2,0,1,0,0,0,0,0
2022-03-05 07:00:00,0,1,0,1,2,4,3,4,4,5,2,4,3,1,0,0,6,8,1,0,3,1,0,2,3,1,0,0,0,0,2,1,2,4,1,2,1,2,0,0,2,2,1,0,1,2,2,0,1,2,1,1,5,1,0,0,2,1,2,0,0,1,0,0,2,4,1,3,2,0,3,6,0,2,4,1,5,2,0,0,0,0,0,0,0
2022-03-05 08:00:00,0,2,1,2,2,5,3,5,6,11,12,11,10,3,2,2,0,3,3,3,4,5,1,4,4,4,5,4,0,4,5,6,9,10,10,9,6,7,4,5,2,2,3,2,2,4,4,4,0,5,5,5,4,6,6,0,4,1,2,0,0,1,2,1,0,3,2,3,0,5,4,13,0,6,4,5,4,4,3,2,0,0,0,0,0
2022-03-05 09:00:00,0,3,4,2,2,8,7,9,6,9,11,12,9,3,4,5,1,3,2,1,1,0,0,0,0,3,2,5,8,7,6,6,10,14,16,16,13,14,11,11,5,3,5,4,5,6,7,9,7,8,7,7,3,5,2,0,4,3,2,1,2,0,1,4,4,5,5,4,2,3,5,11,7,10,14,12,8,3,0,3,0,0,2,1,0
2022-03-05 10:00:00,0,1,3,0,1,4,0,6,4,9,0,8,7,8,8,5,9,4,4,3,2,0,0,3,0,4,5,3,2,0,4,6,7,8,9,8,4,6,5,4,3,4,3,4,4,7,4,4,5,4,4,4,4,5,6,5,5,3,0,1,2,0,1,2,6,2,5,4,3,7,5,7,8,0,6,7,7,3,0,1,0,0,0,0,0
2022-03-05 11:00:00,0,3,0,1,0,3,2,4,5,4,0,3,7,4,3,2,0,7,8,7,8,3,4,6,6,6,9,9,10,6,8,7,4,6,7,6,5,8,8,7,3,4,2,4,7,8,8,10,9,8,7,5,5,6,7,0,4,4,1,2,0,3,5,4,5,9,9,10,9,9,5,9,5,6,7,10,12,9,5,2,4,0,3,1,0
2022-03-05 12:00:00,2,4,1,5,5,8,4,14,15,14,13,12,9,4,4,2,3,3,4,7,6,2,4,5,3,3,8,8,8,7,7,5,3,5,6,7,7,8,7,7,4,6,7,9,10,12,4,13,14,12,12,13,16,16,9,14,11,5,2,3,3,0,3,4,4,6,3,5,0,4,0,10,9,0,12,10,9,11,9,4,3,2,0,0,0
2022-03-05 13:00:00,1,2,0,0,0,4,3,8,7,8,10,7,8,4,6,4,7,6,4,3,5,0,2,5,0,3,8,13,15,13,17,20,19,20,19,16,6,14,8,10,7,5,3,3,5,8,5,9,8,8,7,10,8,9,11,9,3,6,8,4,3,9,10,10,11,10,11,9,9,8,6,17,6,15,11,12,14,9,7,2,1,0,0,0,0
2022-03-05 14:00:00,1,4,5,6,1,11,8,10,9,15,16,15,14,6,5,0,0,4,2,1,3,2,0,2,0,1,6,7,8,1,6,4,7,6,6,4,4,5,5,6,4,3,4,5,5,7,2,9,8,8,5,8,8,6,7,6,5,4,3,2,0,4,5,6,7,7,5,6,5,9,10,12,13,8,8,9,4,15,13,5,3,0,2,0,0
2022-03-05 15:00:00,1,2,4,0,4,9,7,9,4,10,8,7,4,4,4,4,3,4,5,7,5,0,3,3,2,6,7,5,9,7,8,9,8,9,7,6,7,8,7,6,5,4,2,3,2,7,5,8,9,8,6,9,8,7,3,4,2,2,3,3,1,1,2,4,3,3,4,5,7,4,7,12,9,11,11,13,12,7,13,6,5,3,2,0,0
