Unnamed: 0,1_복정역환승센터3번승강장,2_장지역.가든파이브,3_문정법조단지.건영아파트,4_문정로데오거리입구,5_가락시장.가락시장역,6_송파역,7_석촌역,8_석촌동한솔아파트앞,9_석촌고분역.올림픽병원,10_송파구민회관구의회,11_삼전역,12_잠실우성4차현대아파트,13_잠실근린공원.성현교회,14_아시아선수촌아파트,15_잠실종합운동장,16_삼성역,17_휘문중고등학교,18_영동농협풍림아이원아파트,19_도성초교사거리,20_역삼동개나리아파트,21_신한은행데이터센터,22_총지사,23_역삼초등학교,24_서초청소년도서관,25_서초동신동아아파트,26_창신교회앞.서리풀노리학교,27_서울교대정문앞,28_서울교대사거리,29_서초유스센터.서초아트자이,30_서초중학교,31_서울고등학교,32_방배동신동아아파트,33_지하철2호선방배역,34_대우효령아파트,35_종로교회,36_서울교통공사,37_사당역,38_이수역,39_총신대입구역.남성시장입구앞,40_경문고등학교,41_정금마을,42_이수교,43_동작역.국립현충원,44_흑석동한강현대아파트,45_비계,46_흑석역.명수대현대아파트,47_흑석동효사정앞,48_노들역앞,49_흑석동효사정앞,50_흑석역.명수대현대아파트,51_비계,52_흑석동한강현대아파트,53_동작역.국립현충원,54_갯마을앞,55_정금마을.방배경찰서,56_경문고교.배나무골앞,57_총신대입구역.남성시장입구앞,58_사당동우체국앞,59_방배노인종합복지관,60_방배동래미안타워.동덕여중고,61_대항병원.연세사랑병원,62_서울교통공사,63_종로교회앞,64_방배동대우효령아파트앞,65_방배역.백석예술대학교,66_신동아아파트앞,67_서울고등학교,68_서초중학교,69_서초아트자이아파트,70_서울교대사거리,71_서울교대정문앞,72_창신교회.서리풀노리학교,73_서초2동주민센터서이초등학교,74_서초청소년도서관,75_역삼초등학교,76_총지사,77_예림당아트홀.신한은행전산센터,78_역삼동개나리아파트,79_도성초교사거리,80_영동농협풍림아이원아파트,81_휘문중고등학교,82_삼성역,83_강남경찰서.강남운전면허시험장,84_잠실종합운동장,85_아시아선수촌아파트,86_아시아선수촌아파트삼거리.성현교회,87_잠실우성4차현대아파트,88_삼전역,89_송파구민회관구의회,90_석촌고분역.올림픽병원,91_석촌동한솔아파트,92_송파역,93_가락시장.가락시장역,94_문정로데오거리입구,95_문정법조단지.건영아파트,96_장지역.가든파이브,97_복정역환승주차장
2022-03-05 04:00:00,1,3,4,6,7,9,2,10,2,10,10,11,12,11,10,10,0,8,6,0,0,5,6,7,0,7,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,0,3,0,2,1,1,1,3,4,5,0,4,4,3,5,5,4,3,2,3,3,4,3,3,2,3,2,0,1,1,0,1,1,4,3,0,0,0,0,2,0,0,1,0,1,0,2,2,0,0,3,0,4,5,3,5,0,0,6,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,1,2,3,5,3,8,6,4,6,6,7,8,7,6,3,5,4,2,2,0,3,2,3,0,1,1,2,2,2,2,3,2,2,0,3,0,1,0,0,0,3,0,0,0,0,1,0,0,1,1,2,1,0,2,3,0,6,3,2,4,2,0,5,4,3,5,6,4,6,5,2,3,2,2,1,2,0,3,1,0,0,0,2,2,3,2,3,4,1,0,4,0,2,0,0
2022-03-05 07:00:00,1,1,0,3,3,2,4,4,4,5,8,10,15,10,5,5,6,5,7,3,6,6,7,6,5,4,3,5,4,2,2,0,3,0,0,2,4,2,3,5,7,2,4,3,3,1,1,2,1,2,4,0,3,5,9,0,6,5,6,3,1,0,3,1,6,8,1,6,7,8,3,5,2,5,8,8,7,2,6,4,3,4,4,1,0,5,6,6,8,9,5,5,4,3,2,0,0
2022-03-05 08:00:00,1,5,6,2,5,7,6,10,9,9,9,13,16,12,8,12,12,8,6,4,6,7,3,2,2,3,3,0,2,5,5,5,5,6,5,2,5,5,4,3,0,6,4,0,2,0,1,3,1,4,5,4,6,3,5,4,7,5,4,5,2,4,5,4,7,4,6,5,8,11,10,9,8,9,12,7,12,15,12,10,8,7,0,8,2,11,12,12,12,9,10,9,7,4,3,2,0
2022-03-05 09:00:00,1,3,5,7,7,12,13,13,14,13,13,14,16,15,13,18,13,10,7,8,10,10,9,9,8,7,7,5,8,7,9,9,7,8,3,8,7,4,7,6,8,8,4,3,3,1,0,0,3,4,10,6,12,13,16,17,13,11,8,8,3,8,7,6,7,10,6,9,11,13,12,14,12,13,17,13,13,12,9,8,6,3,6,6,4,9,12,11,12,12,13,10,9,5,3,3,0
2022-03-05 10:00:00,0,4,5,5,8,9,15,15,12,11,11,11,12,12,9,7,7,5,4,6,7,8,8,5,8,9,10,11,10,10,9,9,9,10,11,9,6,9,7,8,7,6,5,4,6,4,2,1,0,3,8,2,3,6,3,7,7,9,10,7,6,5,6,0,6,6,7,9,12,11,11,12,11,15,17,14,12,15,9,7,6,3,2,6,8,7,8,7,9,12,11,7,5,2,1,0,0
2022-03-05 11:00:00,1,4,1,3,6,7,6,11,8,7,8,11,12,13,9,9,8,8,10,9,11,11,10,9,11,12,10,11,11,10,9,3,5,6,0,6,6,7,9,10,7,7,4,0,3,3,2,1,1,3,7,8,10,9,14,15,12,11,4,8,8,10,6,7,13,10,13,13,13,10,10,11,12,10,15,15,14,17,14,12,10,8,8,8,7,5,8,11,14,14,8,6,4,4,3,1,0
2022-03-05 12:00:00,1,1,6,3,7,11,13,12,14,15,13,16,15,13,9,10,10,13,15,15,16,18,12,10,12,13,15,15,15,13,21,19,15,14,14,13,16,8,14,4,5,6,4,0,3,2,0,0,1,6,8,5,8,8,7,8,12,0,13,11,11,7,9,10,8,9,7,7,7,12,11,12,8,9,11,11,12,16,14,11,9,7,7,5,5,6,8,7,10,11,10,7,6,5,2,1,0
2022-03-05 13:00:00,1,3,3,8,7,8,9,20,18,14,12,10,12,9,10,15,13,15,14,10,15,13,13,10,11,11,13,13,10,11,13,13,14,6,16,16,13,11,13,11,11,13,8,0,6,3,3,4,0,3,5,0,8,4,9,10,11,8,9,8,7,7,8,7,8,10,10,7,9,8,8,8,10,14,14,12,12,16,14,13,10,11,8,10,10,11,14,10,12,12,12,9,9,8,3,1,0
