Unnamed: 0,1_복정역환승센터4번승강장,2_복정고등학교.복정지구,3_남위례역.창곡교차로,4_한국군사문제연구원(위례신도시),5_래미안위례.위례고운초등학교앞,6_위례보미리즌빌.위례아트리버푸르지오,7_한화오벨리스크,8_위례아이파크아파트앞,9_송파더센트레.송례초앞,10_위례포레샤인.송파꿈에그린서문,11_위례포레샤인.위례31단지후문,12_장지역2번출구,13_문정법조단지.건영아파트,14_문정로데오거리입구,15_가락시장.가락시장역,16_송파역,17_석촌역,18_석촌호수.한솔병원,19_잠실역.롯데월드,20_잠실5단지,21_잠실새내역.잠실2동주민센터,22_잠실엘스아파트앞,23_종합운동장사거리,24_잠실종합운동장,25_강남경찰서면허시험장,26_삼성역7번출구,27_봉은사역3번출구.삼성1파출소,28_청담역.경기고교,29_우리은행청담지점.청담삼익아파트,30_프리마호텔,31_청담초등학교,32_한양아파트.압구정로데오역,33_압구정파출소,34_현대아파트,35_광림교회.현대고등학교,36_신사중학교,37_신반포18차아파트,38_잠원한신아파트,39_잠원성당.아크로리버뷰아파트,40_뉴코아아울렛,41_고속터미널,42_신반포역.세화여중고,43_구반포역.세화고등학교,44_동작역.국립현충원,45_흑석동한강현대아파트,46_비계,47_흑석역.명수대현대아파트,48_흑석동효사정앞,49_대방역.여의교앞,50_샛강역1번출구.여의도자이,51_여의도역,52_국회의사당역,53_여의도역,54_샛강역4번출구.여의도자이,55_대방역,56_흑석동효사정앞,57_흑석역.명수대현대아파트,58_비계,59_흑석동한강현대아파트,60_동작역.국립현충원,61_구반포역.세화고등학교,62_신반포역.세화여중고,63_고속터미널,64_신반포자이아파트,65_잠원성당,66_잠원한신아파트,67_래미안신반포리오센트아파트,68_신사중학교,69_광림교회.현대고등학교,70_현대아파트,71_압구정파출소,72_한양아파트.압구정로데오역,73_청담초등학교앞,74_프리마호텔,75_영동교입구,76_청담역.경기고교,77_봉은사.삼성1파출소앞,78_무역센타,79_강남경찰서.강남운전면허시험장,80_잠실종합운동장,81_종합운동장사거리,82_잠실새내역4번출구,83_잠실트리지움아파트앞,84_잠실역.롯데월드,85_석촌호수.한솔병원,86_석촌역,87_송파역,88_가락시장.가락시장역,89_문정로데오거리입구,90_문정법조단지.건영아파트,91_장지역.가든파이브,92_위례31단지.위례포레샤인후문,93_송파꿈에그린서문.위례포레샤인,94_송파더센트레.송례중앞,95_송파꿈에그린아파트,96_자연앤센트럴자이정문,97_위례아트리버푸르지오,98_래미안위례.위례고운초등학교앞,99_한국군사문제연구원(위례신도시),100_남위례역.창곡교차로,101_복정고등학교.복정지구,102_복정역환승센터2번승강장
2022-03-05 04:00:00,0,0,2,0,3,0,0,2,3,1,0,0,0,0,2,2,2,0,2,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,0,1,0,0,1,2,4,6,4,0,2,5,0,4,4,4,4,0,1,2,0,3,6,7,5,5,10,9,9,5,12,9,7,6,8,0,7,4,0,0,0,3,5,0,4,3,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,0,2,4,3,0,2,4,3,7,6,1,4,5,4,3,4,3,0,3,3,0,1,2,3,6,7,8,6,5,3,3,3,3,2,3,5,0,3,2,0,1,1,2,0,2,4,2,0,0,0,1,0,3,0,2,3,4,0,2,0,7,6,5,4,4,3,2,3,4,3,2,0,1,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,0,1,3,2,3,4,6,4,8,9,6,7,4,6,5,4,2,4,4,2,4,3,0,0,4,7,4,9,7,5,2,5,4,2,3,2,2,2,1,1,2,1,2,0,3,3,0,1,2,0,1,2,4,5,4,5,6,7,6,6,5,6,4,5,4,3,4,0,4,1,4,1,2,3,4,4,3,2,2,4,4,2,6,5,6,7,8,7,5,8,0,0,0,0,1,0,3,0,1,0,0
2022-03-05 08:00:00,2,0,2,0,3,9,1,6,11,14,19,15,15,13,14,10,9,9,10,5,9,7,7,7,5,7,8,9,2,10,7,4,6,4,6,5,5,6,6,5,5,2,0,3,1,3,4,2,3,2,1,2,1,3,4,5,6,7,7,6,7,7,9,7,5,6,10,10,7,7,8,7,6,4,2,0,4,5,4,3,0,1,3,5,5,6,9,7,2,6,8,7,5,6,3,1,2,2,3,1,2,0
2022-03-05 09:00:00,1,0,2,3,3,8,9,8,10,13,17,12,13,11,10,13,13,14,17,16,17,16,15,9,13,17,25,11,24,14,9,9,7,10,7,6,13,15,16,11,6,3,1,0,4,6,6,5,4,3,1,2,3,2,6,7,9,10,11,10,9,11,13,15,14,14,13,10,6,9,8,6,4,7,5,5,5,5,4,0,6,3,4,5,6,2,7,8,7,8,9,6,5,9,5,3,1,3,4,1,0,0
2022-03-05 10:00:00,1,0,4,5,4,6,5,7,9,13,15,16,17,14,16,18,16,14,12,13,11,9,9,9,10,9,13,9,11,14,10,13,13,7,6,7,11,12,13,13,4,4,0,5,4,5,6,3,5,2,1,1,3,2,5,6,5,6,3,5,4,2,9,9,7,6,8,7,6,6,6,7,4,6,7,5,4,3,4,1,7,6,6,4,4,6,6,6,0,3,6,4,0,3,5,3,2,3,2,0,0,1
2022-03-05 11:00:00,1,0,3,2,3,7,7,10,10,14,16,13,17,16,16,15,17,16,15,17,15,13,11,14,13,13,15,15,15,11,11,12,12,11,10,11,13,16,15,11,8,9,5,4,4,4,6,6,5,4,1,2,5,4,5,4,8,10,8,11,11,10,12,16,17,17,21,15,12,12,12,16,16,15,15,12,13,12,8,11,10,10,9,10,6,8,7,8,7,7,7,4,6,1,3,2,4,4,3,1,0,0
2022-03-05 12:00:00,1,0,2,3,8,12,16,18,18,21,18,17,23,25,24,20,18,19,11,10,14,15,10,11,12,18,19,19,20,18,17,17,17,12,11,12,15,16,17,14,10,10,9,5,8,10,4,6,5,4,2,1,4,6,10,11,18,9,19,17,18,8,17,14,16,15,15,14,11,14,17,13,14,17,17,17,17,17,16,14,14,19,19,18,15,14,19,14,11,11,9,9,7,6,3,5,7,7,2,5,6,0
2022-03-05 13:00:00,3,0,2,8,7,7,9,12,16,18,22,14,20,18,24,23,23,20,16,18,18,14,14,15,7,12,11,7,10,11,10,13,16,18,19,20,23,23,24,20,16,13,14,13,11,13,12,11,10,5,1,4,5,6,7,10,15,17,16,10,15,19,19,18,18,18,21,19,22,26,21,17,19,22,17,16,14,12,10,11,10,11,9,12,10,12,9,10,10,10,14,12,7,6,7,4,6,6,2,1,0,0
