Unnamed: 0,1_강동공영차고지,2_강일리버파크6단지,3_강일리버파크8단지,4_강일고등학교.강일리버파크7단지,5_강일리버파크5단지.4단지,6_강일리버파크2단지.4단지,7_강일리버파크1단지.3단지,8_강일동주민센터,9_강동공영차고지,10_고덕리엔파크1단지,11_해뜨는주유소,12_고덕천교차로,13_고덕자이.고덕천물놀이장,14_고덕자이,15_강동첨단업무단지.상일여고입구,16_상일초등학교,17_초이동,18_강동자이.프라자아파트,19_길동주민센터.둔촌2동주민센터,20_길동사거리.강동세무서,21_강동역,22_천호역,23_광나루역,24_새밭교회,25_어린이대공원후문아차산역,26_중곡동입구삼거리,27_군자역4번출구.용마초등학교,28_군자교입구,29_장한평역,30_청년회의소,31_답십리역사거리,32_신답초등학교.청계한신휴플러스,33_동대문구청,34_서울시동부병원,35_신설동역.서울풍물시장,36_동묘앞,37_동대문(흥인지문),38_종로6가.동대문종합시장,39_종로5가.광장시장,40_종로4가.종묘,41_종로3가.탑골공원,42_종로2가,43_종로1가,44_광화문,45_서울역사박물관.경희궁앞,46_서대문경찰서,47_한국경제신문사.서소문역사공원,48_충정로역2호선,49_충정로역5호선,50_서대문역사거리,51_서울역사박물관.경희궁앞,52_광화문,53_종로1가,54_종로2가,55_종로3가.탑골공원,56_종로4가.종묘,57_종로5가.광장시장,58_종로6가.동대문종합시장,59_동대문역.흥인지문,60_숭인동,61_동대문우체국.서울풍물시장,62_용두동신동아아파트,63_용두역,64_동대문구청,65_신답초등학교.청계한신휴플러스,66_답십리역사거리,67_청년회의소.서울새활용플라자,68_장한평역,69_군자교입구,70_군자역5번출구.용마초등학교,71_중곡동입구삼거리,72_어린이대공원후문아차산역,73_새밭교회,74_광나루역,75_천호역,76_강동역,77_길동사거리.강동세무서,78_길동주민센터.둔촌2동주민센터,79_강동자이·프라자아파트,80_초이동,81_상일초교,82_강동첨단업무단지.상일여고입구,83_고덕리엔파크3단지,84_강명초등학교,85_고덕천교차로,86_해뜨는주유소,87_고덕리엔파크1단지,88_강일리버파크3단지,89_강일동주민센터,90_강일리버파크3단지.1단지,91_강일리버파크4단지.2단지,92_강일리버파크4단지.5단지,93_강일고등학교.강일리버파크7단지,94_강일리버파크8단지,95_강일리버파크6단지
2022-03-05 04:00:00,1,0,2,4,2,5,7,8,9,10,6,11,12,5,14,12,13,13,16,16,15,20,20,22,30,28,29,28,27,28,34,28,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,0,1,2,2,0,4,4,2,3,5,2,6,7,8,9,9,8,11,15,14,17,16,15,16,17,21,21,22,22,24,23,22,21,18,15,12,10,7,8,7,6,1,4,4,1,3,1,0,3,5,3,6,5,6,0,0,2,13,18,24,0,5,26,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,2,2,4,6,5,5,6,5,5,9,9,9,11,5,10,9,11,11,10,12,11,8,12,13,14,14,15,18,19,19,16,13,13,12,10,8,6,5,4,4,3,2,0,2,2,1,4,2,4,3,3,4,0,5,5,7,5,9,6,0,6,7,8,9,19,20,23,24,26,27,27,28,29,23,19,18,16,16,12,3,11,3,7,5,1,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,1,2,3,6,7,9,11,11,8,12,13,18,19,21,15,24,26,12,12,15,14,14,13,18,16,16,15,17,16,10,13,11,9,8,8,7,5,4,1,4,1,2,3,0,1,1,0,3,4,6,4,4,5,4,2,5,6,5,11,9,10,12,13,13,14,15,6,19,17,20,19,17,17,20,19,22,18,7,12,7,6,5,8,7,4,2,1,1,0,0,0,0,0
2022-03-05 08:00:00,0,1,2,3,4,7,10,10,12,13,14,14,16,20,19,22,23,23,25,25,23,25,29,28,27,27,27,26,25,21,26,31,27,27,22,19,17,12,8,6,6,6,5,3,2,2,0,2,1,3,2,4,5,3,5,2,6,5,13,12,13,15,15,8,7,15,11,12,11,13,13,15,18,18,15,17,13,10,10,9,9,6,8,7,1,4,0,3,2,0,1,0,0,0,0
2022-03-05 09:00:00,2,0,1,4,4,7,10,12,11,13,15,13,20,21,20,23,15,26,28,22,23,23,20,17,23,23,21,23,24,27,31,32,29,30,25,23,21,14,13,8,7,6,4,1,0,0,1,1,2,7,4,6,7,3,8,6,10,13,19,10,19,20,17,17,17,17,12,16,15,15,16,14,15,12,11,14,14,10,11,8,11,7,6,5,6,2,0,4,3,2,1,0,0,0,0
2022-03-05 10:00:00,0,0,1,3,4,6,7,10,14,13,15,17,19,21,26,34,34,34,43,36,31,35,35,29,27,32,37,34,36,35,35,37,40,39,31,28,24,18,14,11,7,5,4,1,1,2,4,1,1,6,13,20,18,18,14,15,15,15,12,16,16,19,16,20,15,13,14,15,15,18,18,19,21,22,16,13,11,10,10,8,10,9,8,10,8,6,0,3,4,3,1,0,0,0,0
2022-03-05 11:00:00,0,0,2,3,4,8,7,11,12,14,16,17,17,17,21,27,26,27,36,39,41,35,35,31,28,29,33,30,28,33,33,35,36,34,30,29,25,18,17,13,13,12,6,4,3,1,3,2,2,3,6,9,10,10,13,11,12,20,18,19,24,20,20,21,21,22,22,23,24,22,22,22,22,19,17,21,18,16,16,8,17,13,14,4,11,10,0,9,8,0,4,0,0,0,0
2022-03-05 12:00:00,0,0,3,4,5,9,10,10,13,14,16,17,18,22,28,34,32,34,38,34,33,26,31,32,32,33,33,32,36,35,38,38,39,36,31,29,17,14,16,14,11,7,5,3,2,3,5,4,3,4,6,12,13,14,17,20,20,25,24,18,30,30,28,33,33,32,27,26,27,28,27,28,25,19,21,21,21,20,19,14,9,7,10,5,7,7,0,4,4,3,0,0,0,0,0
2022-03-05 13:00:00,1,0,1,2,4,7,11,12,16,11,17,12,16,20,22,28,28,38,47,46,36,30,30,29,25,24,24,28,32,27,34,34,35,32,26,22,18,15,20,13,14,9,7,5,2,2,2,2,0,4,9,10,14,16,19,17,23,24,27,31,32,31,21,29,29,31,29,30,30,28,27,27,27,27,20,20,20,16,10,5,16,13,14,11,10,9,8,5,3,3,2,1,0,0,0
