Unnamed: 0,1_서울버스종점,2_장지공영차고지,3_아이코리아,4_송파글마루도서관.버들어린이집,5_송파파인타운3단지.한림예고,6_문정3차푸르지오아파트.송파파인타운1단지,7_문정동래미안아파트남문,8_문정현대아파트,9_가윤예식장,10_경찰병원.서울동부고용노동지청,11_제일오피스텔,12_가락시장.가락몰,13_가락시장남문,14_수서역KT수서지점,15_궁마을,16_태화기독교사회복지관,17_수서삼성아파트앞,18_일원본동주민센터,19_푸른마을아파트앞,20_연금매점,21_대치아파트,22_쌍용아파트,23_새마을운동중앙회,24_총회회관.휘문고입구,25_삼성역,26_삼성역7번출구,27_봉은사역3번출구.삼성1파출소,28_청담역.경기고교,29_진흥아파트,30_강남구청.강남세무서,31_청담동래미안아파트,32_강남구청역,33_세관앞,34_논현동사거리.학동역,35_영동시장,36_논현사거리.논현역5번출구,37_반포역,38_고속터미널,39_반포대교남단한강시민공원입구,40_한강중학교,41_용산구청.크라운호텔,42_국군재정관리단,43_이태원동남산대림아파트.용산동아파트,44_용암초등학교입구.이태원주공아파트,45_남산3호터널.서울애니메이션센터,46_롯데영프라자,47_우리은행종로지점,48_조계사,49_덕성여중고,50_세종문화회관,51_시청앞.덕수궁,52_시청앞,53_서울역버스환승센터,54_숭례문,55_남대문시장,56_남산3호터널,57_용산한신아파트,58_해방촌,59_용산구청.크라운호텔,60_한강중학교앞,61_반포대교남단한강시민공원입구,62_고속터미널,63_반포역,64_논현사거리.논현역4번출구,65_영동시장,66_논현동사거리.학동역,67_세관앞,68_강남구청역,69_삼성동서광아파트,70_강남구청.강남세무서,71_진흥아파트청담역,72_청담역.경기고교,73_봉은사.삼성1파출소앞,74_무역센타,75_삼성역,76_휘문고.대치2동주민센터,77_대치동은마아파트,78_개원중학교,79_개포주공7단지앞,80_일원동한솔아파트,81_상록수아파트앞,82_일원본동주민센터,83_시립수서청소년수련관,84_수서119안전센터앞,85_궁마을,86_수서역.로즈데일빌딩,87_문정2동주민센터.청소년수련관,88_훼미리근린공원,89_가락시장역,90_경찰병원.서울동부고용노동지청,91_건너말공원입구,92_문정동현대아파트,93_문정중학교후문,94_문정3차푸르지오아파트.송파파인타운1단지,95_송파파인타운2단지.구립송파복지센터,96_송파글마루도서관.버들어린이집,97_아이코리아앞,98_장지공영차고지,99_서울버스종점
2022-03-05 04:00:00,1,0,0,0,2,3,0,6,5,6,4,4,2,1,3,0,0,6,0,0,9,5,0,0,0,9,10,0,9,13,14,16,15,14,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,1,0,0,0,2,1,1,0,0,2,2,0,1,0,3,5,0,4,0,3,4,0,1,3,2,0,0,4,3,5,4,2,1,11,9,0,8,7,5,6,5,4,4,0,3,2,4,2,3,4,3,0,0,5,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,0,0,1,3,2,1,0,0,1,2,1,2,3,2,3,5,1,3,4,3,4,3,2,2,1,0,2,1,2,2,5,4,5,5,3,0,3,2,3,2,2,1,1,0,0,0,1,0,0,2,2,0,0,3,5,7,8,6,5,5,4,0,4,1,0,2,1,4,2,0,3,2,2,0,0,0,2,0,3,0,3,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0
2022-03-05 07:00:00,1,2,1,3,7,4,8,5,5,4,4,2,3,3,2,0,2,1,3,1,2,5,3,3,4,4,2,3,0,1,1,2,2,2,3,4,1,6,0,8,7,5,6,6,1,5,1,0,0,5,2,1,2,4,3,3,0,4,4,6,5,5,3,3,8,4,9,5,4,0,3,4,3,2,3,1,2,2,0,2,1,1,1,2,2,0,1,3,1,2,0,1,0,0,1,0,0,0,0
2022-03-05 08:00:00,0,1,0,0,3,4,5,6,5,6,5,4,4,3,4,2,5,6,7,0,7,8,6,5,4,7,9,6,8,8,6,4,5,6,4,5,7,11,9,9,9,10,6,7,8,4,4,3,1,1,2,0,4,6,3,4,5,6,7,9,4,8,2,7,7,8,6,4,9,7,13,20,19,18,9,4,3,2,2,5,3,2,4,2,0,1,1,0,3,3,2,0,1,1,0,0,0,0,0
2022-03-05 09:00:00,0,0,0,1,2,5,8,6,7,5,4,5,1,3,5,3,4,6,5,4,9,9,9,8,7,8,9,8,7,6,5,8,6,7,6,5,11,13,14,13,13,13,20,16,12,7,4,6,2,2,1,2,4,5,5,5,7,10,10,13,7,9,9,9,10,14,15,12,8,6,8,11,8,7,10,7,4,0,4,4,0,3,1,4,0,3,2,0,1,0,3,4,3,1,0,0,0,0,0
2022-03-05 10:00:00,0,1,0,1,2,5,3,6,3,7,3,6,7,6,0,3,0,8,9,4,10,12,12,10,8,8,8,8,6,10,7,6,7,8,6,5,7,16,14,12,13,10,12,12,9,6,6,6,3,6,5,4,8,11,10,11,12,17,15,19,8,12,11,10,10,9,7,7,6,6,6,12,4,7,6,4,4,3,3,4,3,3,3,0,0,5,2,1,3,1,2,1,0,0,0,1,0,0,0
2022-03-05 11:00:00,1,0,0,0,2,4,5,6,7,8,5,7,8,10,3,10,10,7,6,9,10,11,10,11,7,7,12,10,7,17,20,23,26,23,22,20,21,26,22,24,24,22,18,21,18,15,9,6,4,4,5,6,9,12,14,17,20,25,24,25,20,13,7,7,6,9,8,7,9,10,13,15,12,9,11,8,8,8,1,8,6,10,10,6,5,5,6,7,3,1,4,6,5,3,2,1,1,0,0
2022-03-05 12:00:00,0,2,0,1,7,9,10,10,11,12,7,4,8,7,7,2,8,10,14,5,13,11,16,14,13,15,14,12,11,16,14,15,16,16,16,18,20,31,28,28,27,22,24,21,19,15,13,12,9,6,6,5,7,9,10,14,14,15,19,23,21,17,13,14,16,18,20,20,19,23,16,18,17,15,11,9,8,7,0,7,7,4,8,6,0,6,4,5,7,6,4,4,1,1,1,0,0,0,0
2022-03-05 13:00:00,1,1,0,0,3,1,4,5,9,8,5,4,5,4,4,3,7,5,11,12,14,21,23,18,16,16,22,20,19,21,22,13,24,23,22,27,30,33,32,34,26,25,25,26,25,19,19,18,12,8,7,7,10,8,13,15,14,18,18,20,18,9,10,14,15,18,16,17,19,22,26,24,22,14,9,6,7,8,8,7,5,8,8,10,6,7,5,4,10,6,5,3,4,3,2,0,0,0,0
