Unnamed: 0,1_개포동차고지(가상),2_주공4단지,3_개포주공5단지경기여고,4_개포동역.개포시장,5_대치역6번출구.강남구민회관,6_은마아파트,7_은마아파트입구사거리,8_도곡초등학교,9_한티역2번출구.서울강남고용노동지청,10_한티역7번출구,11_역삼중학교.강남세브란스병원,12_도곡1차아이파크.역삼청소년수련관,13_역삼럭키아파트.역삼월드메르디앙아파트,14_뱅뱅사거리.역삼동,15_래미안아파트.파이낸셜뉴스(중),16_신분당선강남역,17_지하철2호선강남역,18_논현역,19_신사역,20_한남대교전망카페,21_한남5거리,22_순천향대학병원,23_서울중부기술교육원.블루스퀘어,24_국립극장.반얀트리호텔,25_장충동.동국대입구,26_광희동,27_동대문역사문화공원,28_동대문역.흥인지문,29_동묘앞,30_신설동역,31_용두동사거리,32_제기동역.서울약령시,33_청량리수산시장,34_청량리역환승센터,35_서울성심병원,36_떡전교앞,37_서울시립대학교앞,38_전농로터리시장.동부교육지원청,39_전농우체국앞,40_청솔우성아파트.답십리시장,41_답십리1동희망샘교회앞,42_답십리초등학교앞,43_황물로사거리,44_답십리역.동부시장,45_답십리1동주민센터.래미안위브,46_동대문중학교,47_대한노인회동대문구지회,48_서울시동부교육지원청.해성국제컨벤션고교,49_서울시립대입구,50_떡전교앞,51_청량리미주아파트.동대문세무서,52_청량리역환승센타,53_청량리.청과물도매시장,54_제기동역.서울약령시,55_용두동사거리.한국의류시험연구원,56_신설동역,57_동묘앞,58_동대문(흥인지문),59_종로중부새마을금고,60_동대문역사문화공원,61_광희동,62_장충동.동국대입구,63_국립극장.반얀트리호텔,64_장충단로입구,65_서울시중부기술교육원.블루스퀘어,66_순천향대학병원.한남오거리,67_신사역.푸른저축은행,68_논현역,69_지하철2호선강남역,70_신분당선강남역,71_래미안아파트.파이낸셜뉴스(중),72_뱅뱅사거리뱅뱅프라자,73_도곡1동주민센터.역삼럭키아파트,74_도곡1차아이파크.도곡중학교,75_도곡렉슬아파트.강남세브란스병원,76_한티역6번출구,77_한티역3번출구.서울강남고용노동지청,78_삼성아파트입구,79_농협대치지점,80_대치SKVIEW아파트.서울교회,81_대치역7번출구.선경아파트,82_개포동역.개포시장,83_경기여고,84_수도전기공고후문,85_개포도서관,86_개포중학교,87_개포동차고지(종점가상)
2022-03-05 04:00:00,1,0,1,0,2,1,3,2,2,2,0,5,2,5,6,7,9,10,11,0,6,5,0,2,9,12,18,24,27,23,21,17,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,1,2,1,4,5,3,3,4,5,3,4,6,0,9,6,5,5,2,5,10,11,10,7,9,19,19,21,19,18,16,13,5,3,6,5,3,5,6,8,7,6,7,1,0,3,6,5,6,5,8,10,4,0,16,17,14,15,15,18,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,1,0,3,4,3,2,3,4,4,5,3,2,3,5,4,4,6,3,7,8,9,6,8,9,6,7,6,6,5,5,4,2,4,3,4,1,0,5,4,3,3,1,8,2,6,6,8,7,5,6,6,6,8,10,9,10,10,12,12,9,8,11,13,10,10,9,9,7,7,7,4,0,3,2,1,0,2,1,0,0,0,0,0,0
2022-03-05 07:00:00,1,2,2,4,2,4,5,3,6,3,7,6,6,7,6,5,9,8,7,0,9,4,5,5,4,3,4,5,4,0,2,3,4,4,4,3,4,3,2,3,3,4,3,2,2,3,2,7,6,8,12,10,11,11,6,12,16,15,15,9,10,10,6,4,7,6,10,10,9,8,10,11,12,9,8,5,3,3,0,0,0,1,0,0,0,0,0
2022-03-05 08:00:00,1,2,5,11,11,12,10,10,10,16,19,18,22,20,17,13,11,10,11,10,8,11,12,13,12,11,7,5,4,7,8,7,5,7,6,9,7,8,5,8,11,11,9,5,4,5,7,8,9,12,12,12,12,15,18,18,19,15,16,14,13,14,11,10,12,14,13,14,17,24,27,28,31,28,26,21,26,9,6,5,4,3,0,2,1,0,0
2022-03-05 09:00:00,2,0,5,8,10,12,14,13,11,15,16,20,22,20,20,19,24,17,18,17,14,25,24,23,22,20,16,13,9,9,7,7,6,8,7,7,8,7,8,8,8,10,8,4,5,4,8,11,15,19,21,14,14,15,16,17,18,20,18,18,21,21,20,11,21,17,23,24,18,19,22,21,23,16,14,14,10,6,3,2,1,2,1,1,0,0,0
2022-03-05 10:00:00,2,4,5,8,2,8,8,9,11,14,16,17,19,17,17,18,20,21,20,11,21,29,22,24,22,22,14,11,11,12,10,8,6,10,9,10,9,10,9,8,10,7,9,4,4,4,5,12,10,16,16,20,22,23,22,24,22,22,19,16,21,23,17,16,16,13,15,11,10,12,13,13,12,9,14,14,8,6,4,1,2,1,2,0,0,0,0
2022-03-05 11:00:00,1,2,3,3,9,9,12,15,13,17,20,22,32,32,26,30,25,25,25,15,25,27,29,26,22,16,13,12,10,8,12,11,5,10,9,12,9,10,8,7,7,8,7,6,6,4,6,11,15,16,19,17,21,21,20,18,19,25,18,20,23,24,22,12,25,21,18,21,17,21,22,18,20,18,17,14,12,9,8,6,2,6,5,1,2,0,0
2022-03-05 12:00:00,1,2,4,9,10,15,26,30,33,34,47,46,33,30,27,25,23,29,27,18,24,25,26,28,22,13,16,11,10,10,8,8,11,14,16,16,13,11,10,10,11,11,9,3,4,6,6,8,11,10,11,10,10,11,16,20,18,20,26,21,26,27,25,23,23,20,21,16,14,25,29,27,30,29,29,26,24,12,12,9,8,9,7,1,3,0,0
2022-03-05 13:00:00,2,3,6,8,9,12,17,17,21,25,29,29,50,51,39,33,32,35,33,32,30,39,41,37,28,22,21,18,17,12,12,15,16,17,15,13,11,9,4,5,6,5,3,5,5,5,8,12,11,14,11,9,13,15,13,18,23,29,27,27,29,32,32,29,25,24,28,22,26,28,31,26,28,25,32,29,28,14,14,12,11,8,7,5,3,0,0
