Unnamed: 0,1_우신운수종점(기점가상),2_남태령역,3_사당역,4_이수역,5_총신대입구역.남성시장입구앞,6_경문고등학교,7_정금마을,8_이수교,9_구반포역.세화고등학교,10_신반포역.세화여중고,11_고속터미널,12_반포역,13_논현사거리.논현역4번출구,14_신사역3번출구,15_신사역1번출구,16_신사동고개,17_언북중학교입구,18_제일은행.호림아트센터앞,19_영동119안전센터,20_차병원차움,21_프리마호텔,22_영동대교북단,23_노룬산시장,24_건대입구역6번출구,25_건대입구(가상),26_건대입구역사거리.건대병원,27_어린이대공원역.화양천주교회,28_어린이대공원앞,29_능동사거리.군자역,30_중곡2동주민센터앞,31_중곡동성당앞,32_종합의료복합단지,33_중곡역.국립정신건강센터,34_용곡삼거리,35_용마산빌라,36_면곡시장앞,37_중곡3동주민센터앞,38_중곡역입구,39_중마초등학교.중곡제일골목시장앞,40_용마사거리,41_중곡2동주민센터앞,42_능동사거리.군자역,43_능동교회앞,44_어린이대공원앞.세종대학교,45_어린이대공원역.화양천주교회,46_서울화양초등학교,47_건대입구역사거리.건대병원,48_건대입구역1번출구,49_서울효사랑병원,50_경수중학교,51_영동대교북단,52_프리마호텔,53_농협앞,54_씨네시티앞,55_도산공원사거리,56_신사동교회,57_신사동고개,58_신사역8번출구.가로수길,59_신사역4번출구,60_논현사거리.논현역5번출구,61_반포역,62_고속터미널,63_신반포역.세화여중고,64_구반포역.세화고등학교,65_갯마을앞,66_정금마을.방배경찰서,67_경문고교.배나무골앞,68_총신대입구역.남성시장입구앞,69_사당동우체국앞,70_방배노인종합복지관,71_사당역,72_사당자동차학원,73_남태령역,74_우신운수종점(종점가상)
2022-03-05 04:00:00,0,1,10,11,13,15,0,16,7,10,13,12,10,15,15,4,9,8,7,6,7,6,7,6,4,7,8,7,4,4,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,5,8,10,9,11,12,11,10,11,11,10,11,10,14,13,11,9,8,8,9,10,8,5,3,4,2,4,4,3,1,2,2,6,3,7,8,7,13,17,20,23,0,24,22,18,19,21,21,24,22,20,19,20,19,4,17,16,14,14,4,4,3,2,2,0,1,0,0,0,0,0,0
2022-03-05 06:00:00,1,1,3,9,14,13,14,13,13,12,9,10,9,8,14,12,10,9,6,5,6,4,6,4,0,5,3,2,2,2,0,1,2,2,2,4,5,6,8,8,10,10,11,6,8,10,12,14,11,13,19,21,18,12,9,6,5,4,5,6,5,4,3,2,4,3,2,3,3,1,2,0,1,0
2022-03-05 07:00:00,3,3,7,8,7,8,9,10,8,9,10,12,13,14,16,16,14,10,10,7,4,4,3,3,1,3,2,2,4,3,3,2,2,3,4,4,6,8,5,11,12,10,9,8,11,8,12,16,6,17,15,11,8,6,4,7,6,4,4,5,3,4,6,0,4,3,2,3,3,2,1,0,0,0
2022-03-05 08:00:00,1,7,10,14,15,11,14,16,16,15,15,13,14,18,23,19,14,13,9,4,7,9,7,5,4,6,6,4,4,3,1,3,4,3,2,4,8,9,12,18,25,27,27,8,29,30,32,42,44,46,47,33,21,15,13,14,13,9,5,5,6,6,6,5,6,7,5,7,9,6,5,3,0,0
2022-03-05 09:00:00,3,8,17,16,20,24,25,29,27,23,26,25,27,28,36,31,29,20,18,9,5,5,6,6,5,9,10,10,5,7,6,6,5,6,5,5,8,7,10,14,17,17,19,14,20,21,19,36,38,40,46,40,28,16,13,16,14,6,7,9,8,9,10,7,6,7,7,6,7,4,3,2,0,0
2022-03-05 10:00:00,6,10,17,16,22,21,27,27,18,22,21,22,22,17,29,27,23,18,13,10,8,7,12,11,9,10,9,7,7,4,2,2,3,4,3,6,9,8,10,13,17,17,18,19,19,24,21,24,23,25,30,21,19,14,14,14,15,11,10,9,9,7,9,10,12,11,5,9,4,2,5,4,0,0
2022-03-05 11:00:00,8,13,25,23,28,29,30,33,29,28,28,25,24,26,35,37,32,32,22,16,14,14,12,9,7,11,14,10,10,6,4,3,2,7,8,8,8,10,11,11,16,19,20,19,19,21,18,22,21,22,19,18,15,15,19,22,17,17,18,18,12,11,9,9,10,9,7,6,7,8,4,2,1,0
2022-03-05 12:00:00,3,7,16,17,27,30,34,38,36,33,23,22,21,21,28,28,26,22,19,15,13,12,13,13,14,13,12,11,9,5,4,4,3,6,9,9,10,11,16,18,26,26,29,17,27,27,20,22,23,26,27,24,19,22,24,23,21,15,16,18,19,21,21,20,17,19,18,13,12,10,6,2,0,0
2022-03-05 13:00:00,2,4,7,15,20,21,23,26,22,19,22,19,21,22,27,24,23,24,19,13,20,10,9,10,8,10,11,11,9,8,6,6,10,10,7,10,13,16,10,21,22,23,22,15,21,21,21,33,30,32,37,34,33,36,41,39,29,25,26,28,29,16,16,15,14,18,17,16,16,10,2,1,0,0
