Unnamed: 0,1_개포동차고지(가상),2_구룡마을,3_개포우성6차아파트,4_도곡교회.인바디빌딩,5_능인선원앞,6_구룡사입구,7_국악고교사거리,8_삼호물산,9_원불교앞,10_양재역말죽거리.강남베드로병원,11_뱅뱅사거리.구영동중학교,12_역삼초등학교,13_신분당선.강남역4번출구,14_강남역,15_신논현역.구교보타워사거리,16_교보타워,17_영동시장논현역,18_신사역3번출구,19_신사역6번출구,20_신사중학교,21_광림교회.현대고등학교,22_현대아파트,23_압구정파출소,24_한양아파트.압구정로데오역,25_일지아트홀,26_영동고등학교현대아파트,27_강남구청역,28_강남보건소.강남구립국제교육원,29_한국토지주택공사앞,30_선정릉역.무형문화재전수회관,31_선릉역,32_진선여자중고등학교,33_역삼e-편한세상이아파트,34_한티역3번출구.서울강남고용노동지청,35_삼성아파트입구,36_농협대치지점,37_대치SKVIEW아파트.서울교회,38_대치동미도아파트,39_공무원아파트,40_대청역,41_마루공원,42_대청초등학교,43_일원1동주민센터,44_가락시장.헬리오시티,45_가락1동주민센터,46_가락시장.헬리오시티,47_일원주유소.삼성서울병원후문,48_삼성서울병원사거리,49_연금매점,50_대치아파트,51_은마아파트,52_은마아파트,53_은마아파트입구사거리,54_도곡초등학교,55_한티역2번출구.서울강남고용노동지청,56_한티역,57_도성초등학교,58_진선여자중고등학교,59_선릉역.선정릉정문,60_선정릉역.무형문화재전수회관,61_한국토지주택공사앞,62_강남보건소.강남구립국제교육원,63_강남구청역,64_영동고교앞,65_일지아트홀.압구정동노인복지센터,66_한양아파트.압구정로데오역,67_압구정파출소,68_현대아파트,69_광림교회.현대고등학교,70_신사중학교,71_신사역5번출구,72_신사역4번출구,73_논현역,74_반포동,75_신논현역.구교보타워사거리,76_강남역,77_수협서초지점,78_서초문화예술정보학교,79_양재역.양재1동민원분소,80_양재노인종합복지관,81_동원산업앞,82_구룡사,83_구룡사입구,84_능인선원앞,85_도곡교회.인바디빌딩.건너,86_구룡산입구,87_개포동차고지(종점가상)
2022-03-05 04:00:00,0,1,0,0,0,1,2,0,3,2,2,0,0,0,3,3,0,3,0,4,0,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,1,0,1,2,4,3,3,3,3,2,4,3,4,2,2,2,1,4,3,1,6,5,3,1,3,3,4,3,2,4,4,0,4,3,1,2,2,0,1,1,0,0,0,3,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,0,1,0,1,2,2,0,1,2,2,2,2,3,4,2,1,1,1,1,2,3,1,5,3,3,2,3,2,1,2,1,2,0,2,0,0,1,0,0,3,1,0,2,1,3,2,4,5,3,2,3,2,2,2,3,3,6,7,0,1,9,6,2,1,1,1,1,0,0,1,2,3,3,2,1,0,1,1,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,1,1,2,0,1,3,7,0,6,5,4,4,5,5,5,5,4,5,3,2,5,3,0,1,2,4,6,7,8,6,5,4,6,2,3,0,3,1,0,2,1,2,1,1,2,4,5,0,5,2,5,5,2,2,4,3,0,2,2,2,0,5,4,3,4,3,3,1,2,2,3,6,6,6,6,2,0,3,2,0,0,0,0,0,0,0
2022-03-05 08:00:00,1,2,0,1,0,3,5,7,8,9,8,11,9,13,14,13,15,14,9,8,6,5,5,4,5,0,4,2,5,8,6,5,7,9,4,3,2,1,4,5,4,3,1,0,1,6,9,11,9,15,11,11,14,15,13,14,10,7,9,12,5,12,15,9,3,4,5,2,3,5,5,4,9,8,9,7,5,6,5,5,4,2,1,0,1,0,0
2022-03-05 09:00:00,0,1,0,2,0,2,4,9,9,11,8,11,12,14,24,23,23,23,24,16,11,10,8,8,5,6,5,3,3,8,7,10,13,14,6,4,4,3,3,4,3,2,1,0,4,6,12,13,13,24,27,27,22,15,14,13,8,8,11,15,14,12,16,11,4,5,4,5,5,9,7,8,11,9,10,9,6,5,3,4,3,2,2,1,0,0,0
2022-03-05 10:00:00,2,1,4,5,0,4,6,9,9,8,7,9,12,14,18,18,21,18,16,11,11,10,5,6,2,1,7,10,10,2,5,7,10,14,7,4,6,6,4,4,3,0,3,1,3,5,10,13,9,14,13,12,11,9,7,9,10,9,12,12,12,12,15,13,8,9,10,7,9,11,12,13,15,14,16,13,8,4,7,6,5,2,1,0,0,0,0
2022-03-05 11:00:00,1,2,4,3,3,3,8,10,9,12,12,15,14,20,19,17,17,15,14,14,12,10,6,7,8,5,4,9,15,16,13,10,10,8,4,5,4,5,3,3,2,1,2,1,5,6,9,10,11,13,13,22,9,10,11,10,9,12,11,15,13,11,15,11,7,7,8,10,11,11,11,12,15,16,11,11,10,9,8,7,4,3,0,1,1,0,0
2022-03-05 12:00:00,2,2,0,4,3,6,7,15,18,19,20,21,22,21,19,21,18,18,21,13,10,11,11,11,14,17,15,13,13,18,16,10,13,15,14,19,19,14,13,15,13,6,2,1,4,8,10,12,14,19,20,12,25,26,26,21,20,15,16,22,21,23,19,14,13,12,12,10,9,16,14,19,22,20,22,20,16,12,12,7,5,2,2,0,1,0,0
2022-03-05 13:00:00,0,1,1,2,0,3,4,8,9,8,10,11,14,13,28,31,28,30,27,15,12,9,7,7,8,9,6,4,4,8,14,16,22,20,18,24,27,24,13,11,3,12,8,5,6,9,12,14,8,21,24,19,18,23,25,20,17,12,19,17,19,20,19,15,16,6,3,8,12,13,14,16,15,15,15,17,15,13,14,13,8,3,0,0,0,0,0
