Unnamed: 0,1_우신운수종점(가상),2_남태령역,3_사당역,4_이수역,5_총신대입구역.남성시장입구앞,6_경문고등학교,7_정금마을,8_이수교,9_구반포역.세화고등학교,10_신반포역.세화여중고,11_고속터미널,12_신반포자이아파트,13_잠원성당,14_잠원한신아파트,15_래미안신반포리오센트아파트,16_신사중학교,17_광림교회.현대고등학교,18_현대아파트,19_압구정파출소,20_한양아파트.압구정로데오역,21_청담초등학교앞,22_프리마호텔,23_영동교입구,24_청담역.경기고교,25_봉은사.삼성1파출소앞,26_무역센타,27_삼성역,28_휘문고.대치2동주민센터,29_우성아파트,30_아주중학교,31_아시아선수촌아파트,32_종합운동장사거리,33_잠실새내역4번출구,34_새마을시장,35_농협앞,36_영동일고레이크팰리스앞,37_갤러리아팰리스,38_잠실역,39_잠실중학교,40_잠실나루역,41_잠실진주아파트,42_올림픽회관,43_올림픽대교남단교차로,44_풍납중학교앞,45_풍성중학교.잠실올림픽아이파크,46_서울아산병원앞,47_서울아산병원동관,48_한강극동아파트,49_풍납동강변현대아파트,50_갑을.미성아파트,51_풍납1동동아한가람아파트,52_풍납동신성노바빌,53_풍납동씨티극동아파트,54_풍납토성,55_천호역.풍납시장,56_풍납1치안센터입구,57_토성오거리,58_풍납2동주민센터,59_토성초등학교,60_풍납동영어체험마을,61_아산병원기숙사앞,62_아산병원동관,63_아산병원정문앞,64_풍납중학교,65_잠실파크리오아파트상가.올림픽회관,66_잠실4동주민센터.파크리오B상가,67_잠실파크리오아파트앞,68_잠실나루역,69_잠실중학교.장미종합상가,70_잠실역.롯데월드,71_잠실트리지움,72_영동일고트리지움APT정문앞,73_잠실트리지움,74_잠실새내역앞,75_잠실엘스아파트앞,76_아시아선수촌아파트,77_아주중학교,78_탄천교,79_새마을운동중앙회,80_총회회관.휘문고입구,81_삼성역,82_삼성역7번출구,83_봉은사역3번출구.삼성1파출소,84_청담역.경기고교,85_우리은행청담지점.청담삼익아파트,86_프리마호텔,87_청담초등학교,88_한양아파트.압구정로데오역,89_압구정파출소,90_현대아파트,91_광림교회.현대고등학교,92_신사중학교,93_신반포18차아파트,94_잠원한신아파트,95_잠원성당.아크로리버뷰아파트,96_뉴코아아울렛,97_고속터미널,98_신반포역.세화여중고,99_구반포역.세화고등학교,100_갯마을앞,101_정금마을.방배경찰서,102_경문고교.배나무골앞,103_총신대입구역.남성시장입구앞,104_사당동우체국앞,105_방배노인종합복지관,106_사당역,107_사당자동차학원,108_남태령역,109_우신운수종점(종점가상),1_풍납1동동아한가람아파트,2_풍납동신성노바빌,3_풍납동씨티극동아파트,4_풍납토성,5_천호역.풍납시장,6_풍납1치안센터입구,7_토성오거리,8_풍납2동주민센터,9_토성초등학교,10_풍납동영어체험마을,11_아산병원기숙사앞,12_아산병원동관,13_아산병원정문앞,14_풍납중학교,15_잠실파크리오아파트상가.올림픽회관,16_잠실4동주민센터.파크리오B상가,17_잠실파크리오아파트앞,18_잠실나루역,19_잠실중학교.장미종합상가,20_잠실역.롯데월드,21_잠실트리지움,22_영동일고트리지움APT정문앞,23_잠실트리지움,24_잠실새내역앞,25_잠실엘스아파트앞,26_아시아선수촌아파트,27_아주중학교,28_탄천교,29_새마을운동중앙회,30_총회회관.휘문고입구,31_삼성역,32_삼성역7번출구,33_봉은사역3번출구.삼성1파출소,34_청담역.경기고교,35_우리은행청담지점.청담삼익아파트,36_프리마호텔,37_청담초등학교,38_한양아파트.압구정로데오역,39_압구정파출소,40_현대아파트,41_광림교회.현대고등학교,42_신사중학교,43_신반포18차아파트,44_잠원한신아파트,45_잠원성당.아크로리버뷰아파트,46_뉴코아아울렛,47_고속터미널,48_신반포역.세화여중고,49_구반포역.세화고등학교,50_갯마을앞,51_정금마을.방배경찰서,52_경문고교.배나무골앞,53_총신대입구역.남성시장입구앞,54_사당동우체국앞,55_방배노인종합복지관,56_사당역,57_사당자동차학원,58_남태령역,59_우신운수종점(가상),60_남태령역,61_사당역,62_이수역,63_총신대입구역.남성시장입구앞,64_경문고등학교,65_정금마을,66_이수교,67_구반포역.세화고등학교,68_신반포역.세화여중고,69_고속터미널,70_신반포자이아파트,71_잠원성당,72_잠원한신아파트,73_래미안신반포리오센트아파트,74_신사중학교,75_광림교회.현대고등학교,76_현대아파트,77_압구정파출소,78_한양아파트.압구정로데오역,79_청담초등학교앞,80_프리마호텔,81_영동교입구,82_청담역.경기고교,83_봉은사.삼성1파출소앞,84_무역센타,85_삼성역,86_휘문고.대치2동주민센터,87_우성아파트,88_아주중학교,89_아시아선수촌아파트,90_종합운동장사거리,91_잠실새내역4번출구,92_새마을시장,93_농협앞,94_영동일고레이크팰리스앞,95_갤러리아팰리스,96_잠실역,97_잠실중학교,98_잠실나루역,99_잠실진주아파트,100_올림픽회관,101_올림픽대교남단교차로,102_풍납중학교앞,103_풍성중학교.잠실올림픽아이파크,104_서울아산병원앞,105_서울아산병원동관,106_한강극동아파트,107_풍납동강변현대아파트,108_갑을.미성아파트
2022-03-05 04:00:00,0,1,4,8,9,11,9,10,10,9,10,9,0,5,7,4,7,7,7,2,5,0,0,0,6,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,6,4,8,9,10,5,3,2,0,11,12,0,13,14,11,7,6,0,5,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,3,5,6,7,8,4,6,7,5,10,8,6,10,9,5,7,9,12,11,10,11,9,8,7,6,3,5,4,2,4,3,3,4,4,1,4,6,7,2,0,4,8,0,1,6,3,1,2,2,1,2,5,5,27,17,18,29,23,31,20,4,3,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,5,0,3,4,4,8,9,3,0,0,0,2,3,2,2,0,1,2,2,1,0,1,3,0,4,0,0,0,1,3,1,2,1,0,0,0,5,6,5,0,6,5,0,4,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,3,3,9,10,4,11,9,8,6,2,2,1,5,4,2,5,8,8,6,2,5,4,3,2,5,2,2,3,2,1,2,0,1,3,2,5,4,3,0,7,6,4,6,6,3,0,2,2,3,3,3,8,21,13,22,24,14,32,28,10,3,2,2,2,0,0,3,5,4,2,2,1,3,2,3,1,0,0,2,3,3,0,1,5,1,4,2,3,0,0,4,1,2,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,3,6,8,0,0,7,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,3,1,3,4,6,5,0,0,3,3,2,0,2,0,1,0,4,7,8,5,4,1,4,3,0,3,2,2,3,3,2,3,1,4,2,3,5,6,7,4,11,0,0,8,9,19,17,16,15,19,15,18,6,12,7,12,14,11,12,9,8,10,7,7,7,6,6,9,4,0,3,5,2,1,2,3,1,4,2,3,5,4,4,5,6,3,5,3,3,3,4,5,5,6,7,5,3,4,3,4,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,0,7,6,5,9,8,5,9,9,8,7,3,4,1,0,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,4,5,11,13,15,16,18,20,19,18,12,11,14,14,17,16,11,12,8,6,5,5,4,4,3,5,5,4,4,5,2,5,4,0,1,2,0,5,4,5,0,4,2,0,0,4,2,2,3,6,7,9,10,3,9,7,8,12,10,16,15,8,6,9,8,6,7,6,6,6,9,9,9,8,8,8,7,4,5,4,5,8,11,7,8,7,8,5,3,5,4,4,8,8,7,6,8,5,5,5,4,1,3,1,5,4,3,0,0,3,3,5,6,8,7,7,8,8,10,11,12,16,16,13,12,11,6,3,6,6,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,3,1,2,4,0,3,3,4,4,5,6,7,2,8,7,5,0,0,6,5,1,0,0,0
2022-03-05 09:00:00,3,9,13,15,16,19,23,27,24,21,21,20,18,18,20,16,11,18,18,15,12,7,5,5,4,1,4,2,4,6,6,9,9,10,9,10,9,9,7,6,7,6,5,0,3,4,4,4,6,7,9,7,10,6,10,0,10,14,14,15,18,11,10,11,12,6,13,9,11,8,10,9,10,7,5,3,7,5,0,0,5,7,9,10,13,12,8,8,9,4,2,3,5,7,7,9,7,6,5,6,2,3,4,3,4,0,0,0,0,0,5,0,4,16,0,17,13,14,15,14,7,5,6,6,0,10,8,9,13,12,10,11,6,5,6,8,8,10,6,7,12,12,9,13,14,11,10,7,4,4,5,9,9,10,4,6,9,12,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 10:00:00,4,7,15,16,16,17,17,19,20,18,17,16,19,18,20,14,10,14,11,13,7,7,6,5,4,5,6,5,5,6,5,6,6,6,6,7,8,5,4,2,4,10,4,11,12,13,9,9,10,11,12,13,14,4,9,10,11,8,8,10,8,7,8,8,8,12,13,7,7,7,5,6,5,5,11,4,10,5,4,3,4,5,9,10,12,9,10,6,6,8,12,12,16,19,25,19,8,7,8,0,11,9,6,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,8,9,13,8,8,0,10,7,6,5,2,1,2,0,0,0,7,18,19,20,22,24,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 11:00:00,2,5,7,9,12,13,16,18,13,16,17,16,16,16,19,15,15,13,11,14,11,9,5,10,8,6,9,5,6,10,10,12,9,17,13,14,10,11,11,15,13,14,5,15,13,10,8,7,9,13,16,17,16,5,10,9,10,14,15,16,17,16,15,17,15,7,17,10,17,12,11,6,7,5,5,6,9,6,12,13,11,8,10,5,11,10,11,13,12,10,12,14,18,19,23,21,23,21,24,23,21,20,15,12,11,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,13,13,14,11,23,16,19,16,17,18,18,20,20,19,12,8,6,6,6,6,6,7,6,5,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 12:00:00,0,3,13,19,26,25,26,27,27,23,20,19,21,24,25,22,16,19,15,13,5,13,13,12,11,11,7,5,10,13,7,13,11,9,9,11,12,10,9,10,7,9,3,0,0,4,6,6,7,9,0,10,11,4,10,0,9,8,7,8,10,8,11,8,9,7,8,6,9,7,8,10,11,9,13,12,10,6,11,10,8,13,12,9,13,15,14,11,13,11,15,17,19,20,19,20,16,16,16,19,18,16,11,12,6,3,2,0,0,4,5,6,4,5,0,4,6,4,6,7,9,10,0,12,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,4,5,7,6,6,5,4,6,6,13,16,17,18,15,11,11,12,18,0,15,14,11,4,2,0,0
2022-03-05 13:00:00,2,4,8,12,15,16,16,17,16,17,28,24,21,23,23,15,14,12,11,13,14,12,12,11,12,7,6,5,13,24,22,17,14,11,13,13,12,15,13,15,14,18,21,7,5,13,10,10,10,12,13,15,16,4,25,11,18,15,15,18,17,18,23,22,17,15,16,14,14,13,8,8,9,10,12,12,10,5,0,4,0,5,10,9,12,9,10,16,18,13,16,18,22,24,29,28,23,24,26,25,25,23,13,16,12,5,1,0,0,0,0,0,2,5,0,5,5,3,7,6,7,8,8,9,10,11,10,12,8,4,7,9,8,17,16,10,5,13,1,8,7,13,12,3,10,9,10,10,12,13,10,10,9,8,11,16,15,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
