Unnamed: 0,1_우신운수종점(기점가상),2_남태령역,3_사당역,4_이수역,5_이수역,6_방배초등학교,7_방배고개,8_내방역,9_방배1동주민센터.방배아크로타워,10_방배역,11_신동아아파트앞,12_서울고등학교,13_서초중학교,14_남부터미널,15_국제전자센터,16_서일초등학교,17_서초그랑자이아파트,18_뱅뱅사거리,19_서초문화예술정보학교,20_양재역.양재1동민원분소,21_매봉역,22_도곡개포한신아파트,23_군인공제회관,24_도곡역3번출구,25_대치동우성아파트,26_대치역8번출구,27_대치동미도아파트,28_쌍용아파트,29_새마을운동중앙회,30_총회회관.휘문고입구,31_삼성역,32_강남경찰서.강남운전면허시험장,33_잠실종합운동장,34_종합운동장사거리,35_잠실새내역4번출구,36_잠실트리지움아파트앞,37_잠실역.롯데월드,38_잠실역1번.11번출구,39_잠실역9번출구,40_잠실역8번출구,41_잠실역.롯데월드,42_잠실5단지,43_잠실새내역.잠실2동주민센터,44_잠실엘스아파트앞,45_종합운동장사거리,46_잠실종합운동장,47_강남경찰서면허시험장,48_삼성역,49_휘문고.대치2동주민센터,50_대치동은마아파트,51_은마아파트,52_대치역1번출구,53_래미안대치팰리스,54_도곡역2번출구.동부센트레빌,55_숙명여고,56_매봉삼성아파트SK리더스뷰,57_매봉역양재최의원,58_양재역말죽거리.강남베드로병원,59_뱅뱅사거리.구영동중학교,60_뱅뱅사거리,61_서초그랑자이아파트,62_서일초등학교,63_국제전자센터,64_남부터미널.한일시멘트,65_서초중학교,66_서울고등학교,67_방배동신동아아파트,68_방배역,69_방배역.방배서리풀이편한세상,70_방일초교,71_내방역,72_방배고개,73_이수역,74_사당동우체국앞,75_방배노인종합복지관,76_사당역,77_사당자동차학원,78_남태령역,79_우신운수종점(종점가상)
2022-03-05 04:00:00,0,0,3,8,9,0,8,7,8,6,10,0,0,0,0,12,14,11,7,8,8,6,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,7,10,9,0,7,3,6,0,4,5,6,0,6,5,5,8,8,0,6,6,4,3,2,3,0,4,1,0,0,3,2,3,0,1,0,1,2,3,0,0,3,2,0,4,4,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,1,4,3,5,7,7,5,9,7,5,6,5,7,6,4,3,3,5,7,7,5,2,1,2,5,3,0,1,2,0,1,0,0,0,0,0,0,0,2,0,1,3,4,3,4,5,2,3,5,6,5,4,2,0,1,1,2,3,3,2,1,5,3,1,0,2,0,2,1,1,1,1,0,2,1,0,0
2022-03-05 07:00:00,2,1,4,5,6,8,7,8,7,6,5,4,3,4,3,4,3,2,3,2,3,4,3,4,3,4,4,5,4,2,3,2,1,1,0,0,0,0,1,2,3,2,1,4,3,0,3,7,6,4,3,1,0,0,1,4,2,2,2,3,4,5,2,4,2,1,0,2,2,4,3,3,0,3,1,2,1,0,0
2022-03-05 08:00:00,2,3,4,7,8,9,7,11,10,11,11,12,9,10,9,10,9,7,5,4,3,4,5,4,5,3,5,7,5,4,6,0,4,6,4,3,1,0,0,3,5,7,2,6,5,6,4,7,4,6,4,5,1,3,2,3,3,3,3,4,5,4,4,6,6,7,9,11,12,11,7,8,7,9,12,12,8,0,0
2022-03-05 09:00:00,3,1,6,7,11,12,11,16,17,13,13,12,10,8,10,10,12,11,9,8,8,6,7,6,8,8,10,12,15,11,4,7,4,5,2,0,2,0,1,5,6,9,12,11,12,12,9,11,10,11,8,7,4,10,9,8,4,3,4,4,8,7,7,11,12,12,11,10,9,11,13,12,8,3,3,2,1,0,0
2022-03-05 10:00:00,2,2,8,11,14,16,13,14,17,19,18,17,17,14,12,11,8,9,5,8,11,6,8,7,9,8,9,12,13,6,10,5,6,10,7,3,2,1,2,2,3,4,5,7,10,12,0,13,10,8,10,9,6,2,7,6,2,5,6,5,9,11,8,11,11,16,15,13,12,10,8,8,7,7,4,1,0,0,0
2022-03-05 11:00:00,0,4,7,12,16,9,13,14,16,18,11,15,18,17,15,13,14,14,10,15,17,19,17,18,16,17,20,21,24,19,14,12,13,11,10,8,4,3,4,8,3,7,6,10,11,12,12,13,11,8,9,9,8,6,5,10,7,6,14,10,13,12,10,11,13,13,12,14,15,16,12,9,8,8,7,3,1,0,0
2022-03-05 12:00:00,0,3,6,7,15,14,11,14,14,15,17,18,19,14,15,14,15,12,11,11,13,13,14,15,19,24,25,27,27,22,29,18,17,16,16,7,6,2,6,10,4,12,15,15,20,23,5,26,23,18,9,11,12,13,14,13,12,9,10,8,11,12,11,14,13,27,26,24,24,23,21,15,9,7,5,3,2,0,0
2022-03-05 13:00:00,0,3,10,6,13,10,12,17,18,19,23,20,16,22,26,22,21,19,16,13,17,14,17,19,11,25,29,34,27,33,30,21,29,24,20,16,8,7,5,8,9,7,10,14,16,13,12,12,12,12,13,13,12,14,15,12,13,12,15,14,15,14,15,21,20,26,26,18,18,16,14,14,12,8,4,2,1,0,0
