Unnamed: 0,1_개포동차고지(가상),2_래미안블레스티지아파트,3_개포1단지연금매장,4_개포고등학교,5_개일초등학교앞,6_그랑프리백화점,7_중대부고,8_단대부고.대치아이파크아파트,9_한티역7번출구,10_역삼중학교.강남세브란스병원,11_도곡1차아이파크.역삼청소년수련관,12_역삼럭키아파트.역삼월드메르디앙아파트,13_뱅뱅사거리.역삼동,14_서초문화예술정보학교,15_양재역,16_일동제약사거리,17_시민의숲,18_AT센터.양재꽃시장,19_하나로마트.코트라,20_꽃마을,21_개나리골입구,22_새원마을,23_본마을,24_청계산입구역,25_청계산.원터골,26_관현사입구,27_새쟁이마을,28_옛골,29_새쟁이마을,30_관현사입구,31_청계산.원터골,32_서초포레스타7단지,33_청계산입구역,34_본마을,35_새원마을,36_개나리골입구,37_꽃마을,38_코트라,39_양재2동주민센터.양재꽃시장,40_언남고교,41_일동제약사거리,42_양재역,43_뱅뱅사거리.구영동중학교,44_뱅뱅사거리뱅뱅프라자,45_도곡1동주민센터.역삼럭키아파트,46_도곡1차아이파크.도곡중학교,47_도곡렉슬아파트.강남세브란스병원,48_한티역6번출구,49_도곡렉슬아파트정문,50_중대부고앞,51_그랑프리백화점,52_구룡중학교앞,53_개포고등학교앞,54_개포1단지,55_개포중학교,56_개포동차고지(종점가상)
2022-03-05 04:00:00,1,1,0,0,0,2,0,0,0,0,1,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,5,0,0,0,4,5,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,3,0,2,1,0,1,1,2,1,4,5,1,2,3,0,2,1,1,0,0,0,1,0,0,0,1,1,0,1,2,4,0,0,0,4,3,4,1,4,5,9,7,6,3,4,2,0,0,4,0,3,1,0,0
2022-03-05 06:00:00,1,1,2,1,0,1,1,2,4,5,5,5,6,5,6,1,3,6,3,0,5,0,0,5,2,1,0,1,0,0,1,0,3,0,0,0,1,2,3,2,1,4,4,4,3,3,2,2,0,0,3,0,1,0,0,0
2022-03-05 07:00:00,1,2,2,0,1,1,1,1,3,4,5,5,7,6,8,6,6,6,8,2,7,5,4,7,4,1,0,3,5,2,3,2,5,2,3,4,4,5,6,7,7,7,5,5,6,6,3,1,0,1,2,0,0,2,0,0
2022-03-05 08:00:00,1,3,3,2,3,1,3,2,8,9,10,11,10,11,17,18,19,18,13,12,11,5,5,12,9,4,2,1,2,2,4,4,5,6,0,3,4,7,10,11,12,10,3,9,10,9,7,2,0,0,3,0,1,1,0,0
2022-03-05 09:00:00,2,9,6,10,9,4,2,4,8,4,8,9,10,10,20,21,21,25,24,0,10,0,23,22,21,20,16,4,6,4,8,11,12,8,8,11,11,13,7,7,8,8,7,7,9,6,8,5,2,2,3,1,0,0,0,0
2022-03-05 10:00:00,2,2,3,0,1,5,3,4,5,6,7,8,9,8,17,12,17,18,18,18,7,19,14,18,14,11,13,6,5,7,11,12,5,5,0,8,5,9,12,13,10,7,7,5,9,9,6,3,3,2,3,2,0,1,0,0
2022-03-05 11:00:00,0,4,2,3,4,2,6,3,8,12,11,13,15,16,18,16,18,15,18,16,12,4,15,17,13,14,13,7,8,8,10,10,10,10,0,11,6,11,11,10,12,9,9,7,12,7,11,3,4,3,4,2,1,1,0,0
2022-03-05 12:00:00,0,3,5,7,6,5,7,6,8,14,14,15,13,11,16,15,15,15,18,7,17,11,16,19,15,14,12,10,8,6,14,16,18,18,20,20,19,16,15,15,20,6,9,9,11,9,8,4,4,3,6,4,2,1,0,0
2022-03-05 13:00:00,1,3,8,12,11,5,7,8,17,17,15,14,12,12,19,13,19,19,19,13,17,18,16,15,12,10,10,12,8,11,20,20,18,12,10,8,18,18,19,16,18,17,19,18,18,17,15,4,5,0,1,1,0,0,0,0
2022-03-05 14:00:00,1,3,5,7,5,5,3,4,9,8,8,9,10,8,13,12,11,12,10,8,8,7,11,10,9,5,7,21,12,11,26,27,27,0,16,26,23,25,20,19,17,10,12,12,11,9,8,5,4,2,3,1,0,2,1,0
2022-03-05 15:00:00,1,3,8,10,8,5,4,4,12,12,12,9,9,15,16,15,14,15,13,11,10,8,12,8,7,6,4,28,19,29,30,33,34,35,17,36,35,33,30,25,29,12,11,10,8,11,9,7,5,2,4,0,2,1,0,0
2022-03-05 16:00:00,1,2,14,4,14,6,4,3,9,5,11,13,12,10,12,15,12,9,7,8,4,7,6,8,7,0,6,23,25,26,32,37,33,34,25,11,10,31,31,29,18,9,9,8,11,10,8,5,3,3,6,5,7,6,1,0
2022-03-05 17:00:00,1,3,5,6,7,5,4,3,11,10,13,14,13,15,20,5,17,16,13,11,12,8,8,13,9,2,8,14,7,10,16,17,15,13,15,0,12,17,20,19,28,16,14,11,12,9,9,4,3,2,8,1,7,6,0,0
2022-03-05 18:00:00,3,2,4,6,5,4,1,2,10,12,7,11,10,9,10,7,6,8,11,8,0,8,10,7,5,1,2,15,2,0,15,9,7,9,9,0,10,13,14,15,12,11,12,9,11,9,6,5,5,0,9,8,7,5,4,0
2022-03-05 19:00:00,2,0,1,1,0,2,3,0,5,4,7,8,9,6,6,5,5,5,7,6,0,0,5,5,3,0,3,10,0,0,10,13,11,14,0,0,8,14,13,15,13,8,5,7,4,9,7,4,3,3,4,3,2,2,0,0
2022-03-05 20:00:00,0,1,2,0,1,2,0,0,6,5,5,4,6,8,11,9,6,7,9,0,4,8,1,3,0,0,1,7,0,3,10,11,5,10,0,0,12,12,11,6,5,6,7,7,7,3,8,4,3,0,7,5,5,7,6,0
2022-03-05 21:00:00,1,0,2,0,0,1,3,3,6,7,6,6,7,6,10,11,4,8,7,6,0,6,4,4,2,0,1,6,2,6,10,10,5,0,3,4,9,6,8,8,8,7,7,8,5,3,3,2,4,0,5,4,2,2,1,0
2022-03-05 22:00:00,0,4,8,0,9,3,4,3,7,7,6,4,7,6,10,8,9,12,13,12,0,0,11,7,6,0,4,2,0,0,3,6,7,9,0,1,0,10,4,12,11,8,6,8,7,6,5,2,0,0,2,1,0,0,0,0
