Unnamed: 0,1_대흥교통(기점가상),2_염곡동구룡사,3_구룡사입구,4_국악고교사거리,5_삼호물산,6_원불교앞,7_도곡한신아파트,8_삼익아파트앞,9_총지사,10_영동중앙교회,11_역삼역.GS타워,12_차병원,13_언주역3번출구,14_논현고개,15_학동역,16_강남을지병원,17_국민은행압구정지점,18_압구정역3번출구,19_현대아파트,20_성수대교남단.현대아파트,21_뚝섬서울숲,22_응봉사거리,23_무학여고앞,24_코스모타워.서울신용보증재단성동지점,25_상왕십리역,26_왕십리센트라스아파트,27_성동고등학교,28_신당역.중앙시장앞,29_충무아트센터.스포츠센터.중부소방서,30_광희문.광희동사거리,31_퇴계로6가,32_퇴계로5가,33_충무로역8번출구.대한극장앞,34_퇴계로3가.한옥마을.한국의집,35_퇴계로2가.명동역,36_남대문시장.회현역,37_중림동교차로,38_서울의료보건고등학교.서울역서부,39_손기정체육공원입구,40_만리동고개,41_한겨레신문사,42_신덕성결교회,43_공덕역.공덕시장,44_마포역,45_여의도순복음교회,46_산업은행본점,47_국회의사당역.국민은행,48_국회의사당,49_여의도순복음교회,50_마포역,51_공덕시장,52_신덕성결교회,53_한겨레신문사,54_만리동고개,55_손기정체육공원,56_서울역서부,57_서울역버스환승센터,58_남대문시장.회현역,59_명동입구,60_퇴계로3가.한옥마을.한국의집,61_충무로역2번출구.대한극장앞,62_퇴계로5가.제일병원,63_퇴계로6가,64_광희문.광희동사거리,65_충무아트센터.스포츠센터.중부소방서,66_신당역.중앙시장앞,67_성동고등학교,68_신당파인힐하나유보라,69_뉴타운아파트,70_상왕십리역,71_왕십리2동주민센터,72_왕십리역,73_무학여고,74_행당신동아.행당푸르지오아파트,75_뚝섬서울숲,76_압구정중고등학교.현대아파트,77_현대아파트,78_압구정역4번출구,79_국민은행,80_강남을지병원,81_학동역,82_논현동고개,83_언주역2번출구.차병원사거리,84_차병원,85_역삼역,86_영동중앙교회,87_총지사,88_럭키아파트,89_경남아파트,90_도곡한신아파트,91_양재노인종합복지관,92_동원산업앞,93_구룡사,94_구룡사입구,95_구룡사앞,96_도로교통공단서울지부.코트라
2022-03-05 04:00:00,0,1,0,1,2,0,0,0,1,0,4,3,3,4,1,1,2,0,3,1,3,4,4,5,7,9,11,14,20,20,19,18,7,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,2,0,3,2,0,0,2,3,4,3,2,1,3,2,4,2,4,6,0,9,8,5,5,5,6,5,11,13,8,7,12,10,4,7,9,7,3,6,6,5,5,6,1,0,1,2,0,2,1,1,4,8,8,7,2,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,2,1,1,0,4,2,2,1,3,2,3,3,1,0,2,1,0,0,3,2,4,3,4,5,6,4,5,5,4,6,7,6,4,2,3,3,1,1,0,1,3,2,0,5,2,15,8,3,0,3,6,7,6,6,4,2,4,3,4,5,4,3,4,5,6,3,3,5,4,6,6,0,4,4,7,5,3,8,7,6,6,8,8,6,4,0,2,1,1,0,0,0,0
2022-03-05 07:00:00,0,0,1,4,5,5,0,5,7,7,8,7,5,6,6,2,2,2,3,2,0,3,3,6,6,6,8,5,6,7,8,6,5,6,3,6,5,6,1,7,3,5,5,6,4,3,3,3,6,7,9,2,14,13,15,6,10,9,7,6,6,3,2,4,3,2,3,0,0,3,3,1,5,5,0,4,4,7,4,4,10,9,8,7,7,6,3,4,3,3,1,2,0,0,0,0
2022-03-05 08:00:00,0,2,6,9,10,5,10,9,10,8,12,8,11,9,12,9,7,5,3,4,0,7,7,7,7,6,7,8,11,10,7,6,7,9,11,9,8,7,6,6,6,5,5,4,2,0,1,2,3,5,9,11,9,10,12,10,10,7,7,7,6,9,10,8,5,5,5,7,0,9,11,7,7,9,9,4,10,12,12,11,15,11,11,10,14,12,10,10,5,9,8,4,1,1,0,0
2022-03-05 09:00:00,0,0,1,4,6,7,3,6,7,8,9,9,13,14,14,12,9,8,6,5,4,9,5,9,8,10,12,10,10,11,10,11,12,8,14,8,9,7,6,13,17,16,11,4,3,4,0,2,3,4,4,5,8,9,10,10,16,11,7,8,10,12,14,4,10,6,4,5,5,8,8,8,12,14,17,16,15,7,7,0,13,12,12,10,14,10,5,5,4,3,3,2,1,0,0,0
2022-03-05 10:00:00,1,0,0,11,14,15,11,3,14,13,13,11,10,11,15,11,4,4,3,0,2,8,9,8,14,15,16,17,20,19,18,17,16,15,11,6,5,5,7,10,13,11,11,6,2,2,3,4,4,3,7,11,14,15,17,15,18,13,13,11,5,11,11,9,8,6,5,10,9,9,8,3,7,10,5,8,7,12,14,15,17,14,16,17,19,17,12,11,6,8,7,2,0,0,0,0
2022-03-05 11:00:00,1,0,5,7,18,21,11,17,19,17,17,15,16,15,12,11,11,7,5,6,6,8,9,11,13,12,14,12,14,15,10,14,14,12,13,13,5,11,13,10,11,11,8,8,2,1,2,6,7,11,12,15,14,18,20,18,18,18,13,7,8,11,8,8,8,10,11,10,8,9,6,7,10,12,12,13,14,12,11,11,9,9,11,13,14,13,11,13,10,12,8,2,1,0,0,0
2022-03-05 12:00:00,0,1,2,5,9,11,10,13,13,12,13,17,18,19,17,17,14,10,11,4,10,10,11,13,13,14,14,14,15,16,17,13,19,20,14,19,18,11,8,7,11,9,5,4,5,4,4,5,5,16,17,13,19,25,26,26,22,19,18,17,17,14,11,13,9,9,10,11,5,11,10,9,8,9,0,8,9,9,13,13,19,23,20,20,20,10,12,11,0,9,11,7,3,2,1,0
2022-03-05 13:00:00,1,2,5,10,13,16,18,18,20,20,16,19,24,25,19,17,12,10,12,8,9,8,9,8,9,8,9,13,17,12,17,18,20,19,15,13,13,13,13,14,14,12,6,5,3,6,3,6,9,10,12,10,11,12,15,11,11,12,16,17,16,17,13,12,10,10,9,11,9,8,7,6,8,9,10,9,12,14,18,20,28,25,20,18,19,20,20,19,19,11,11,3,0,1,0,0
2022-03-05 14:00:00,0,1,2,6,14,18,2,19,19,21,19,20,26,26,17,15,7,9,9,10,8,10,11,17,19,19,21,18,25,23,26,26,25,23,21,16,15,16,12,9,7,8,6,3,3,4,2,3,5,8,11,12,12,12,14,10,16,13,13,14,13,14,11,9,8,8,11,9,9,11,10,9,10,11,7,7,8,12,10,8,10,10,10,12,10,9,7,9,0,7,4,5,2,1,0,0
2022-03-05 15:00:00,0,1,2,5,8,10,12,7,10,10,8,10,19,18,14,12,11,10,8,10,9,15,13,9,8,9,10,13,11,12,16,12,14,14,19,31,30,28,12,26,27,22,10,6,7,6,5,10,11,16,17,3,19,18,19,18,12,14,18,17,15,15,14,13,13,11,12,10,10,13,14,11,14,13,15,13,13,15,21,20,21,19,22,9,15,12,11,9,0,8,5,2,0,0,0,0
