Unnamed: 0,1_개포동차고지(가상),2_래미안블레스티지아파트,3_개포1단지연금매장,4_개포고등학교,5_개일초등학교앞,6_그랑프리백화점,7_중대부고,8_단대부고.대치아이파크아파트,9_한티역,10_도성초등학교,11_진선여자중고등학교,12_선릉역.선정릉정문,13_선정릉역.무형문화재전수회관,14_한국토지주택공사앞,15_강남보건소.강남구립국제교육원,16_강남구청역,17_영동고교앞,18_일지아트홀.압구정동노인복지센터,19_한양아파트.압구정로데오역,20_압구정파출소,21_현대아파트,22_광림교회.현대고등학교,23_신사중학교,24_한남대교전망카페,25_한남5거리,26_순천향대학병원,27_서울백병원.국가인권위.안중근활동터,28_을지로2가.기업은행본점.서울노동청,29_을지로입구.시청입구,30_서소문,31_충정로역2호선,32_아현가구단지,33_아현역,34_웨딩타운,35_이대역,36_연세로.문학의거리,37_연세로.명물거리,38_세브란스병원,39_신촌기차역,40_이대역,41_웨딩타운,42_아현역,43_아현동가구단지,44_종근당.충정로역,45_서소문,46_시청광장,47_을지로입구.로얄호텔,48_남대문세무서.서울백병원,49_남산1호터널,50_순천향대학병원.한남오거리,51_신사중학교,52_광림교회.현대고등학교,53_현대아파트,54_압구정파출소,55_한양아파트.압구정로데오역,56_일지아트홀,57_영동고등학교현대아파트,58_강남구청역,59_강남보건소.강남구립국제교육원,60_한국토지주택공사앞,61_선정릉역.무형문화재전수회관,62_선릉역,63_진선여자중고등학교,64_역삼e-편한세상이아파트,65_한티역,66_도곡렉슬아파트정문,67_중대부고앞,68_그랑프리백화점,69_구룡중학교앞,70_개포고등학교앞,71_개포1단지,72_개포중학교,73_개포동차고지(종점가상)
2022-03-05 04:00:00,1,1,0,0,0,0,1,0,3,2,0,4,4,5,6,5,3,5,2,1,6,4,7,9,10,6,8,10,11,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,4,1,2,0,2,2,3,2,3,4,4,5,2,4,0,5,3,3,4,5,4,4,2,3,6,5,4,4,5,2,9,7,8,2,0,0,0,3,9,10,12,15,16,13,5,1,9,8,13,12,10,11,8,6,4,3,2,5,4,7,6,0,0,0,0,0,1,0,0,0,0,0
2022-03-05 06:00:00,2,2,3,5,4,3,4,3,2,2,1,5,6,2,5,7,4,2,6,2,3,3,7,2,5,3,4,4,0,2,2,1,2,0,3,0,0,0,5,4,6,11,12,12,10,10,11,10,8,8,9,9,8,5,5,4,3,2,3,3,5,4,7,7,0,0,0,10,0,9,3,2,0
2022-03-05 07:00:00,2,4,5,5,6,5,1,3,4,4,6,7,6,5,3,6,3,2,4,5,5,2,3,7,9,12,11,4,9,7,5,4,1,2,2,0,0,0,4,5,6,7,8,8,5,7,6,7,6,11,9,7,8,7,6,6,5,4,4,4,2,5,4,1,0,0,0,3,0,1,1,0,0
2022-03-05 08:00:00,3,6,8,6,6,7,5,6,8,11,9,11,8,8,6,13,10,5,6,6,7,6,7,5,5,6,8,6,7,6,5,5,5,4,4,0,0,0,9,6,8,11,13,11,11,5,10,9,4,18,16,12,9,10,11,8,8,7,6,7,7,6,5,3,2,2,1,1,0,2,1,0,0
2022-03-05 09:00:00,3,7,6,7,9,8,9,11,9,7,13,17,20,21,24,23,19,10,9,9,9,9,10,7,7,10,11,7,9,8,7,8,5,7,5,0,0,0,7,7,8,12,14,13,10,12,12,13,9,21,19,11,19,16,12,10,7,6,9,7,9,7,8,6,3,2,2,4,3,0,4,1,0
2022-03-05 10:00:00,1,7,8,9,8,8,10,10,10,11,14,18,20,20,17,19,16,11,13,15,14,15,14,16,15,15,16,10,9,7,8,8,7,5,6,0,0,0,9,10,11,11,14,13,13,14,14,13,14,28,14,12,16,14,9,7,6,6,6,7,7,6,9,7,6,3,0,5,4,4,3,1,0
2022-03-05 11:00:00,3,9,14,16,15,10,12,12,17,16,18,20,26,26,27,34,22,18,14,14,14,15,18,13,17,18,15,12,12,12,11,9,7,4,7,0,0,0,11,13,14,12,15,17,17,18,20,18,16,33,28,27,23,20,17,16,18,16,18,14,13,6,7,6,8,5,4,6,5,3,2,0,0
2022-03-05 12:00:00,7,13,12,12,14,11,14,10,10,12,10,20,24,26,24,25,20,21,20,22,21,21,24,25,27,26,23,20,17,14,12,12,10,9,5,0,0,0,10,13,12,16,17,20,20,20,21,20,20,25,17,18,17,16,15,14,14,13,17,17,13,12,14,11,9,10,8,7,6,6,5,1,0
2022-03-05 13:00:00,2,9,15,7,14,12,14,10,14,15,17,18,22,24,27,26,24,23,23,25,24,29,32,31,27,22,25,24,21,22,19,14,14,10,7,0,0,0,10,12,11,13,14,14,15,19,19,21,16,26,23,21,22,17,17,16,23,21,32,33,25,21,15,9,13,13,10,14,11,8,3,2,0
