Unnamed: 0,1_한남운수대학동차고지,2_서울산업정보학교.삼성교,3_관악산입구.관악아트홀.중앙도서관,4_서울대학교,5_서울대학교치과병원.동물병원,6_서울여상.서울문영여중고앞,7_관악구청,8_봉천사거리.봉천중앙시장,9_봉원중학교.행운동우성아파트,10_관악푸르지오아파트,11_봉천고개.관악현대아파트,12_숭실대입구역,13_상도동중앙하이츠빌.상도전통시장,14_상도시장,15_상도터널상도동,16_상도터널노량진동,17_노들섬,18_한강대교북단.LG유플러스,19_신용산역,20_KT용산지사,21_삼각지역,22_숙대입구역,23_갈월동,24_서울역버스환승센터.강우규의거터,25_시청앞,26_서울신문사,27_종로1가,28_종로2가,29_종로2가.삼일교,30_을지로2가.기업은행본점.서울노동청,31_롯데백화점,32_북창동.남대문시장,33_숭례문(가상),34_숭례문,35_서울역버스환승센터,36_갈월동,37_숙대입구역,38_삼각지역,39_KT용산지사,40_신용산역,41_한강대교북단.LG유플러스,42_노들섬,43_상도터널노량진동,44_상도터널상도동,45_상도시장,46_상도동중앙하이츠빌.상도전통시장,47_숭실대입구역,48_봉현초등학교,49_성현동동아아파트,50_봉원중학교.행운동우성아파트,51_봉천사거리.위버폴리스,52_관악구청,53_관악경찰서.관악소방서,54_서울여상.서울문영여중고앞,55_서울대학교치과병원.동물병원,56_서울대학교,57_신림중.삼성고.관악아트홀.도서관,58_한남운수대학동차고지
2022-03-05 04:00:00,8,5,10,0,12,4,12,18,19,21,21,3,24,27,28,0,26,22,21,19,16,15,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,4,6,6,3,0,5,7,10,11,12,13,15,11,12,14,12,0,11,10,9,8,8,7,6,4,2,1,0,0,2,0,1,0,1,0,0,3,4,0,0,1,0,3,2,1,0,2,3,2,1,3,2,0,0,0,0,0,0
2022-03-05 06:00:00,2,3,0,2,2,1,5,6,6,9,11,10,11,12,12,10,12,11,10,5,9,8,5,6,4,3,1,1,0,1,2,0,0,0,2,1,3,1,0,1,1,0,2,4,4,5,4,5,4,4,2,0,2,0,0,1,1,0
2022-03-05 07:00:00,4,6,5,0,0,6,7,9,13,15,17,13,14,17,20,10,6,4,7,6,0,3,0,4,4,2,1,0,1,0,2,3,0,0,4,3,3,7,6,6,0,3,7,8,3,2,9,8,8,7,6,5,4,0,1,0,1,0
2022-03-05 08:00:00,8,14,15,14,0,11,11,14,17,20,20,18,19,21,24,24,23,20,18,15,13,11,10,8,7,6,4,2,2,1,3,2,1,2,4,3,6,7,6,7,8,0,9,8,2,7,10,8,9,9,10,9,3,3,0,5,4,0
2022-03-05 09:00:00,12,16,15,16,16,16,17,17,18,23,26,24,26,26,25,25,23,22,19,15,17,15,10,12,8,8,6,3,2,3,0,3,0,2,5,4,6,8,7,11,14,7,13,10,10,13,11,11,10,10,9,7,7,6,3,5,3,0
2022-03-05 10:00:00,7,15,16,11,12,15,14,19,24,26,36,33,38,41,47,46,45,44,32,29,22,16,14,12,9,8,6,6,5,4,3,5,0,6,10,10,10,12,11,11,12,13,14,11,10,6,10,9,9,13,12,14,7,0,10,6,5,0
2022-03-05 11:00:00,10,17,20,21,20,18,20,21,29,34,38,40,44,28,30,31,30,34,31,27,24,20,19,14,14,13,7,5,8,5,7,8,0,7,8,10,12,13,11,16,11,10,15,11,17,17,22,22,19,16,13,10,13,12,9,7,6,0
2022-03-05 12:00:00,23,25,29,23,13,21,27,28,35,40,40,43,49,51,55,53,48,46,43,39,34,28,30,25,19,14,8,7,6,7,6,7,4,9,9,6,7,13,8,12,13,14,18,19,18,18,22,22,22,21,20,18,17,0,15,13,12,0
2022-03-05 13:00:00,10,16,18,21,18,18,18,29,32,35,35,34,37,41,47,44,42,40,33,32,30,27,25,21,18,16,11,9,9,10,14,13,0,12,14,9,14,17,0,24,24,23,24,23,23,21,20,23,17,15,18,18,17,9,8,14,12,5
2022-03-05 14:00:00,9,14,21,22,21,22,22,27,27,29,28,27,29,31,41,43,38,37,28,26,21,19,23,22,18,17,20,19,15,13,13,19,3,8,19,20,21,22,23,31,24,34,31,26,28,24,29,27,23,12,10,9,8,4,8,5,8,0
2022-03-05 15:00:00,10,18,24,25,26,19,26,28,34,37,39,37,43,38,47,37,35,35,34,29,26,16,14,14,13,10,13,10,9,11,17,15,14,17,21,20,21,20,17,21,25,26,26,16,27,26,31,25,24,24,17,16,15,0,15,14,12,3
2022-03-05 16:00:00,7,17,18,14,16,17,18,19,21,25,25,26,25,27,48,46,42,37,29,26,25,24,22,20,19,16,11,12,15,14,18,18,15,16,19,20,23,24,26,33,37,36,32,29,23,22,30,32,30,26,19,16,15,11,13,10,8,0
2022-03-05 17:00:00,8,17,14,25,24,13,22,20,22,23,22,18,22,24,27,24,27,27,22,23,18,14,12,13,10,9,14,17,19,20,24,26,0,28,29,30,31,32,23,35,35,40,37,34,30,27,28,25,25,25,17,25,21,0,9,0,17,8
2022-03-05 18:00:00,6,11,6,14,10,13,12,30,34,33,30,23,24,21,23,22,24,27,22,13,14,9,8,6,6,7,8,10,11,12,14,18,14,17,21,23,25,33,32,42,43,44,45,36,34,30,33,30,24,21,19,23,23,20,19,16,19,0
2022-03-05 19:00:00,5,9,2,4,0,1,8,10,11,11,11,13,15,15,15,15,16,13,13,12,10,8,3,6,3,4,6,16,20,6,22,25,0,26,31,30,34,35,17,32,31,36,40,30,37,37,43,32,24,22,17,19,18,0,7,14,12,0
2022-03-05 20:00:00,4,7,0,3,8,3,7,15,17,9,12,15,11,7,13,11,9,9,6,2,6,5,0,2,1,1,4,4,8,8,14,16,0,18,18,19,21,30,29,33,28,37,29,23,22,21,16,13,12,13,14,13,12,0,0,0,11,0
2022-03-05 21:00:00,2,2,3,4,0,0,5,10,15,12,9,8,8,8,11,0,5,5,10,5,12,11,10,3,2,3,6,6,6,8,8,13,0,8,16,17,21,28,26,32,33,34,33,29,23,28,31,29,28,17,26,28,26,0,0,24,22,2
2022-03-05 22:00:00,12,14,0,9,0,8,8,17,12,13,17,14,14,12,14,14,13,13,9,6,4,5,4,4,1,2,3,6,8,6,9,6,7,9,16,20,24,34,35,34,34,35,35,30,28,27,26,24,23,11,21,25,13,9,0,21,20,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,7,3,8,0,0,0,7,4,10,16,16,22,18,23,24,22,17,14,18,14,9,8,12,14,13,0,0,24,18,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,6,5,0,0,4,4,4,3,4,6,5,4,0,0,4,0,5,0,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
