Unnamed: 0,1_가산동기점,2_한일유엔아이아파트,3_디지털3단지.롯데정보통신,4_디지털3단지운동장,5_디지털3단지.(주)로옴코리아,6_가산디지털단지역,7_가산디지털단지역1호선,8_에이스하이엔드타워5차,9_구일우성아파트,10_철산리버빌아파트,11_개봉역,12_개봉1동사거리.개봉푸르지오아파트,13_신정학마을아파트,14_서부트럭터미널.신정동일하이빌아파트,15_강신중학교,16_신한은행신월동지점,17_신곡시장.금빛새마을금고,18_동방아파트.신월종합사회복지관,19_신정네거리.신정119안전센터,20_신정네거리역,21_경서농협,22_우리은행신정동지점,23_신정1동우체국,24_서울남부지방법원.서울남부지방검찰청,25_진명여고,26_목동역,27_목동7단지,28_목동대학학원,29_오목교역.동신한방병원,30_관악고등학교,31_양평신동아아파트,32_교보앞,33_당산동진로아파트,34_김안과병원,35_영등포시장,36_영등포시장로터리방면,37_전경련회관,38_여의도환승센터,39_유진투자증권.파이낸셜뉴스신문,40_한국거래소,41_여의도역,42_샛강역4번출구.여의도자이,43_샛강역.앙카라공원,44_진주아파트,45_시범아파트,46_원효대교북단,47_용산전자상가.전자랜드,48_용산전자상가12동,49_신용산지하차도,50_신용산역3번출구,51_용산푸르지오써밋,52_용산역광장앞,53_용산전자상가10동,54_용산전자상가.전자랜드,55_원효대교북단,56_시범아파트.대교아파트,57_KBS별관,58_샛강역1번출구.여의도자이,59_여의도역,60_한국거래소,61_더현대서울,62_여의도환승센터,63_여의도공원,64_영등포로터리,65_영등포시장입구,66_김안과병원,67_당산동진로아파트,68_양남동로타리,69_양평1동주민센터,70_관악고등학교,71_오목교역.동신한방병원,72_목동대학학원,73_목동7단지.종로학원,74_진명여고,75_서울남부지방법원.서울남부지방검찰청,76_신정1동우체국,77_우리은행신정동지점,78_신정4동경서농협,79_신정네거리역,80_신정네거리해누리분수광장,81_동방아파트,82_신곡시장.금빛새마을금고,83_신한은행신월동지점,84_금실어린이공원,85_신월시영아파트중문,86_경창빌딩,87_강신중학교,88_서부트럭터미널.신정동일하이빌아파트,89_신정현대아파트.서부트럭터미널,90_개봉1동사거리,91_개봉고가,92_개봉역,93_철산리버빌아파트,94_구일우성아파트,95_디지털단지입구,96_디지털3단지.롯데정보통신,97_디지털3단지.영창실업,98_가산디지털단지역,99_디지털3단지.한일합섬,100_디지털3단지운동장,101_한일유앤아이아파트,102_가산동종점
2022-03-05 04:00:00,0,0,0,0,0,1,0,0,0,0,2,5,4,3,0,4,3,4,5,8,6,9,5,0,7,0,8,7,8,9,8,10,11,11,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,1,3,1,2,2,3,4,4,6,7,5,8,8,9,7,13,14,5,15,0,6,14,9,13,14,13,1,12,11,10,9,12,10,7,4,6,5,3,3,0,5,4,0,2,1,1,0,1,0,0,0,2,0,0,1,0,2,0,0,1,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,1,0,0,0,3,1,0,1,2,4,6,5,5,6,6,6,5,5,6,4,7,8,3,8,6,7,0,7,9,5,8,7,4,2,6,5,4,3,0,0,0,5,1,1,3,0,0,2,2,0,1,0,0,1,3,4,3,3,0,0,3,0,4,0,1,3,2,1,0,1,0,0,2,0,1,3,4,0,4,5,5,4,2,0,0,0,0,0,0,2,0,0,0,3,0,2,2,0,0,1,0
2022-03-05 07:00:00,0,0,1,0,0,3,4,0,3,0,7,4,4,5,6,8,10,12,7,5,11,11,10,3,5,5,7,5,2,1,6,8,7,6,5,6,5,3,1,0,3,0,2,2,3,5,4,1,0,1,0,1,0,0,1,3,2,0,2,0,3,4,0,0,4,3,1,2,3,4,2,3,4,2,2,2,3,4,2,5,6,5,5,1,3,3,4,5,5,7,5,4,0,2,0,1,0,0,0,0,0,0
2022-03-05 08:00:00,1,1,0,1,0,6,4,3,4,0,7,6,9,12,16,18,18,21,19,20,21,21,0,0,22,12,20,13,13,14,13,14,12,8,8,10,8,6,5,6,6,4,3,4,4,3,0,0,0,2,2,3,2,2,3,4,8,5,4,1,0,3,3,3,5,5,5,4,5,8,6,4,4,6,4,4,2,2,1,3,3,4,4,5,5,6,6,7,7,6,5,5,2,5,4,0,3,0,0,0,0,0
2022-03-05 09:00:00,1,0,1,0,0,2,2,3,6,3,12,12,14,11,13,15,18,21,11,23,25,25,14,15,22,20,15,13,13,10,14,16,16,10,8,12,8,7,3,2,8,7,4,6,5,5,2,2,1,2,1,3,0,1,3,3,5,4,5,4,3,5,4,2,3,8,2,3,2,3,1,3,2,3,4,4,5,5,4,6,7,5,3,1,3,3,8,9,9,4,8,5,3,4,5,2,4,1,0,0,0,0
2022-03-05 10:00:00,1,2,0,2,1,3,3,3,4,2,7,9,8,9,8,12,15,16,20,23,23,22,24,23,21,18,19,15,17,9,14,18,20,11,10,16,9,5,3,2,4,1,0,3,2,3,2,3,1,2,1,4,6,2,8,5,3,6,6,6,2,4,3,4,3,2,7,7,0,3,8,10,6,11,0,7,8,7,6,3,5,5,6,5,4,6,5,6,9,7,5,5,0,2,7,2,6,2,3,0,0,0
2022-03-05 11:00:00,1,2,0,3,0,4,6,5,6,1,11,11,12,14,17,23,23,29,30,30,30,31,29,28,24,23,21,16,17,16,17,19,21,14,11,10,10,9,6,5,7,8,7,6,10,11,5,12,10,5,4,9,9,8,9,11,11,10,8,7,6,8,8,6,3,5,0,6,5,7,6,9,11,17,0,17,16,14,13,13,14,11,13,11,11,12,16,15,15,15,12,9,10,10,10,0,8,0,0,0,0,0
2022-03-05 12:00:00,1,0,2,0,2,5,6,0,8,6,12,13,17,18,18,19,15,17,17,19,19,21,21,22,22,21,16,21,17,13,14,17,15,12,7,8,3,6,5,7,7,9,6,9,9,6,7,4,7,6,3,8,7,5,8,11,10,9,7,8,6,6,6,3,6,9,12,11,9,12,14,16,17,8,16,15,0,12,5,8,9,8,7,11,8,5,6,14,15,14,11,6,5,7,9,0,8,1,0,0,0,0
2022-03-05 13:00:00,1,0,3,1,1,2,3,0,4,6,12,17,20,16,17,19,21,21,19,22,23,25,25,21,23,22,18,17,13,10,10,13,11,10,8,8,9,7,9,10,11,10,11,11,8,13,11,11,9,6,6,12,14,14,17,17,23,22,21,18,12,13,12,10,9,11,10,11,12,14,17,18,19,20,18,18,18,19,17,21,17,12,11,8,6,7,11,11,12,10,8,5,4,1,5,6,4,1,0,0,0,0
2022-03-05 14:00:00,0,1,1,0,1,4,2,3,4,6,8,7,9,13,15,17,17,18,16,22,25,22,25,25,0,21,24,20,17,16,12,15,12,10,8,11,10,9,8,0,9,10,7,7,12,13,12,10,9,8,7,13,16,17,20,20,23,22,22,13,9,11,13,9,8,12,12,13,15,14,11,16,19,21,20,18,21,19,16,15,14,12,11,9,9,8,9,9,10,11,6,9,6,7,3,1,6,3,0,0,0,0
2022-03-05 15:00:00,1,0,0,0,0,4,5,4,4,5,8,9,9,13,9,14,16,17,15,20,19,16,17,18,15,15,14,15,15,13,12,11,10,8,9,9,8,8,10,12,13,15,14,11,12,15,8,13,12,8,11,13,15,14,15,16,16,21,20,21,15,18,17,10,11,16,14,13,12,13,14,19,23,26,16,15,16,15,16,18,17,14,12,10,9,8,9,11,11,16,11,11,10,9,12,7,10,2,0,0,0,0
2022-03-05 16:00:00,1,0,0,0,2,7,10,9,7,10,13,18,19,16,16,27,30,30,23,18,16,16,16,18,10,17,15,11,11,5,7,10,3,8,8,10,9,11,18,13,23,22,23,17,16,16,17,16,12,6,7,13,11,12,17,16,18,20,21,21,15,16,10,13,9,18,17,14,16,16,15,23,26,28,22,27,25,21,21,25,23,22,17,15,14,13,18,20,16,9,12,9,7,6,3,8,6,4,3,0,1,0
2022-03-05 17:00:00,0,0,0,1,3,11,3,12,12,9,24,22,22,24,21,20,19,20,20,21,27,20,30,30,24,21,16,11,13,10,8,9,7,5,5,7,9,7,8,9,9,10,13,4,12,10,8,5,8,4,5,15,16,16,15,13,13,16,18,16,15,15,13,10,15,19,18,17,18,10,20,28,31,36,27,35,30,28,26,28,28,21,17,13,14,15,16,18,16,14,9,9,8,4,5,7,6,3,0,0,0,0
2022-03-05 18:00:00,0,1,2,0,0,10,11,14,15,5,12,12,11,15,10,14,14,15,14,13,12,10,8,9,10,10,10,9,10,5,6,7,6,3,2,6,6,7,10,4,12,11,12,10,9,8,0,0,8,3,3,7,9,10,8,7,9,9,8,6,8,15,9,10,14,20,19,20,18,17,15,30,21,21,22,21,16,17,18,17,17,14,15,12,11,4,12,13,11,8,6,6,4,3,0,0,4,1,0,0,0,0
2022-03-05 19:00:00,0,0,0,0,1,8,4,5,4,0,6,7,0,8,5,7,8,7,6,5,7,8,9,3,0,4,7,8,6,8,4,3,8,6,6,3,0,2,0,2,8,9,1,0,2,4,4,2,0,0,1,6,7,8,3,5,6,6,7,5,9,8,7,9,8,15,13,14,0,17,15,18,20,31,30,25,24,23,19,17,14,13,9,13,12,11,11,8,9,8,5,3,2,2,0,4,3,2,0,0,0,0
2022-03-05 20:00:00,0,0,0,1,1,10,12,5,11,10,7,9,8,6,5,6,6,0,6,7,5,7,7,5,5,5,4,4,3,2,3,3,2,1,3,4,3,2,4,2,5,4,9,8,7,7,7,4,5,4,2,7,8,3,5,5,8,7,6,0,13,14,0,10,9,8,6,8,7,11,11,14,17,19,16,17,15,14,15,14,12,8,8,7,4,2,4,6,6,5,3,5,4,5,0,4,2,2,0,0,0,0
2022-03-05 21:00:00,0,0,1,0,0,4,7,6,5,2,6,7,6,6,3,5,4,2,0,4,2,3,0,0,2,0,0,6,5,4,3,4,3,5,6,8,7,6,8,5,7,6,4,5,0,2,3,4,0,2,3,9,4,8,7,3,6,4,5,4,6,8,0,8,9,10,10,12,0,13,14,17,21,24,23,0,22,23,18,17,15,15,13,6,1,7,11,9,8,5,3,3,2,1,0,0,0,1,0,0,0,0
