Unnamed: 0,1_월암차고지,2_잿말,3_월암교,4_월암IC.월암동,5_도룡마을,6_부곡체육공원,7_장안마을,8_의왕고등학교,9_부곡복지회관,10_창말,11_켄테이너기지,12_교동,13_재활용센타,14_중앙도서관,15_의왕보건소,16_고천파출소,17_고천.의왕시청,18_오전동주민센터,19_의왕지구대.글로벌도서관,20_가구단지입구,21_포도원.현대.대림아파트.유한양행,22_호계3동주민센터,23_호계사거리,24_호계소방파출소,25_덕고개사거리,26_샘마을.대안중학교,27_안양남초등학교,28_농수산물시장.포일단지입구,29_민백마을,30_오뚜기식품.두산벤처다임.나눔초등학교,31_평촌동주민센터.인덕원대우아파트,32_인덕원초교.삼성아파트,33_인덕원역4호선,34_린파밀리에,35_갈현동부대,36_찬우물,37_정보과학도서관,38_과천주공2.3단지,39_정부과천청사,40_KT과천지사,41_경기도립과천도서관앞,42_과천8.9단지,43_과천성당,44_관문사거리부대앞,45_남태령부대,46_남태령역,47_사당역,48_이수역,49_총신대입구역.남성시장입구앞,50_경문고등학교,51_정금마을,52_이수교,53_동작대교전망카페,54_서빙고역1번출구,55_서빙고역교차로,56_국립중앙박물관용산가족공원,57_이촌역,58_용산세무서,59_용산철도고등학교,60_신용산역,61_KT용산지사,62_삼각지역,63_숙대입구역,64_갈월동,65_서울역버스환승센터.강우규의거터,66_시청앞,67_한국은행.신세계앞,68_숭례문(가상),69_숭례문,70_서울역버스환승센터,71_갈월동,72_숙대입구역,73_삼각지역,74_KT용산지사,75_용산역,76_용산푸르지오써밋,77_용산철도고등학교,78_용산세무서,79_이촌역,80_국립중앙박물관용산가족공원,81_동작대교전망카페,82_갯마을앞,83_정금마을.방배경찰서,84_경문고교.배나무골앞,85_총신대입구역.남성시장입구앞,86_사당동우체국앞,87_방배노인종합복지관,88_사당역,89_사당자동차학원,90_남태령역,91_남태령부대,92_관문사거리부대앞,93_과천성당,94_과천10단지,95_경기도립과천도서관앞,96_KT과천지사,97_정부과천청사,98_과천주공2.3단지,99_찬우물,100_갈현동부대,101_린파밀리에,102_인덕원사거리.인덕원역,103_평촌동주민센터.KT동안양지점.대우아파트,104_나눔초등학교.오뚜기식품.두산벤처다임,105_민백마을,106_농수산물시장.포일단지입구,107_안양남초등학교,108_샘마을.대안중학교,109_덕고개사거리,110_호계소방파출소,111_한성병원.민방위교육장,112_호계구삼거리,113_유한양행,114_가구단지입구,115_신안아파트.글로벌도서관,116_오전동주민센터,117_고천.의왕시청,118_의왕보건소,119_중앙도서관,120_재활용센타,121_교동,122_켄테이너기지,123_창말,124_부곡복지회관,125_의왕고등학교,126_장안마을,127_부곡체육공원,128_도룡마을,129_월암IC.월암동,130_월암교,131_잿말,132_월암차고지,133_월암차고지(종점가상)
2022-03-05 04:00:00,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,4,0,3,5,3,7,5,7,6,5,6,7,0,0,0,0,6,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,5,5,9,4,11,6,8,0,0,8,8,6,10,11,3,9,7,4,6,5,0,0,5,6,0,5,8,0,7,7,6,4,3,2,4,5,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,0,0,0,0,1,2,2,0,0,0,0,1,2,3,5,5,7,0,10,11,12,1,0,13,5,12,9,12,12,9,16,12,10,10,7,8,7,9,8,10,0,6,0,8,5,3,3,0,3,6,0,5,2,0,6,0,5,5,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,2,3,3,5,7,6,0,0,3,2,0,1,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,0,0,0,0,1,4,4,5,7,7,0,0,0,6,7,11,13,12,13,17,18,17,0,5,14,16,17,17,13,16,15,13,8,7,0,13,12,11,13,15,14,10,2,5,11,11,9,6,5,6,7,6,5,7,2,1,0,5,3,2,4,3,2,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,4,2,5,3,3,5,4,0,3,3,2,5,6,3,1,3,4,0,8,7,9,8,4,2,3,0,7,7,0,7,8,7,6,7,0,6,5,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,1,0,0,0,0,0,6,6,9,0,0,0,0,0,10,13,16,19,20,6,24,26,24,23,24,23,25,25,27,33,40,34,26,13,10,26,24,23,20,23,25,26,28,33,0,25,14,9,11,8,12,13,0,6,10,9,3,4,7,5,5,4,4,5,2,0,0,0,0,1,2,4,3,5,8,8,7,9,3,7,5,7,10,6,8,7,10,8,5,8,0,7,7,0,6,6,8,7,7,3,0,12,10,11,14,11,12,14,6,4,12,12,11,6,10,5,4,4,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0
2022-03-05 09:00:00,1,0,2,0,0,3,8,10,15,0,0,0,0,6,12,9,10,13,16,16,21,24,22,0,25,29,33,31,31,38,39,29,22,23,11,26,25,22,14,16,6,20,16,20,31,30,17,11,10,12,14,15,6,11,13,6,5,13,9,7,0,2,2,3,2,0,1,0,1,2,3,5,6,5,9,0,5,6,7,5,2,4,5,5,6,8,9,10,8,9,7,12,11,10,5,8,0,7,0,0,4,9,12,13,12,11,10,11,10,9,9,7,8,7,5,5,4,5,6,1,0,0,0,4,4,2,0,0,1,0,0,0,0
2022-03-05 10:00:00,2,0,0,0,0,1,4,3,4,5,5,2,0,3,10,12,17,21,22,24,27,29,28,0,19,28,30,31,26,30,30,22,19,16,0,13,19,13,18,18,19,20,24,23,0,21,14,13,12,0,10,14,15,12,13,9,8,0,10,9,7,8,3,2,7,1,0,0,0,5,5,7,5,6,10,8,10,7,11,9,5,6,5,5,9,8,8,12,0,13,10,9,7,10,8,5,5,6,5,7,6,15,15,14,11,9,5,0,6,3,5,5,4,3,4,3,2,1,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0
2022-03-05 11:00:00,1,3,1,0,0,0,7,8,9,0,0,0,5,2,10,11,13,14,13,0,14,17,16,9,11,16,19,22,24,28,38,33,24,0,0,14,26,24,26,28,27,28,29,30,29,29,23,15,15,18,19,23,20,17,17,13,16,15,17,17,6,9,4,8,5,2,1,0,0,6,7,7,7,6,10,8,9,6,9,8,4,7,8,10,16,14,11,8,7,6,0,14,12,13,10,15,14,11,0,6,10,20,17,19,19,17,17,7,0,0,15,6,13,10,5,6,7,10,11,0,0,0,0,8,4,0,0,0,0,0,0,0,0
2022-03-05 12:00:00,0,0,0,0,0,0,4,6,7,0,0,0,5,5,8,7,8,12,14,13,15,16,16,17,19,22,24,24,25,34,37,32,21,13,22,24,26,25,26,16,27,32,36,40,10,37,17,17,17,17,16,18,0,15,23,24,22,24,19,15,13,10,9,8,6,2,2,0,2,5,6,9,10,12,17,16,14,12,12,12,11,11,13,12,16,17,16,19,17,0,16,18,16,15,15,16,12,14,10,11,15,19,16,13,16,15,13,13,10,2,7,6,6,5,6,5,1,4,6,0,0,0,5,3,1,0,0,0,0,0,0,0,0
2022-03-05 13:00:00,0,0,0,0,0,0,3,0,4,0,0,0,4,0,2,5,8,8,9,9,16,16,19,0,19,24,26,25,27,30,29,24,20,19,20,21,10,23,21,23,25,25,25,26,0,35,23,19,18,19,16,19,19,15,19,21,20,16,18,17,7,7,14,12,9,3,3,0,4,6,8,10,14,12,12,11,11,10,12,12,11,12,13,5,11,12,11,13,0,0,13,11,13,13,13,15,17,9,0,0,0,16,14,16,14,14,13,8,7,0,9,12,12,10,7,9,5,5,0,0,0,0,3,4,2,3,1,0,0,0,0,0,0
2022-03-05 14:00:00,0,0,0,0,0,0,2,0,1,0,0,1,0,2,2,2,3,7,9,11,11,10,11,0,9,12,11,12,11,14,12,9,11,0,8,11,0,12,10,17,15,16,14,14,12,16,18,18,20,20,24,26,23,21,22,19,18,14,17,16,10,14,12,5,6,6,3,0,4,6,8,9,10,12,18,19,20,17,19,18,11,14,14,13,11,10,10,14,11,12,0,13,9,8,12,12,11,10,11,12,11,13,10,10,10,10,13,6,0,5,11,10,7,10,8,12,10,10,3,0,11,0,3,9,6,0,0,0,0,0,0,0,0
2022-03-05 15:00:00,1,2,0,3,3,2,12,13,14,0,0,5,4,13,5,13,12,14,12,13,15,12,13,0,14,17,20,23,13,24,27,22,23,22,12,23,22,22,21,16,12,18,19,25,0,27,16,15,14,11,15,18,0,16,17,17,16,16,17,14,6,12,11,10,9,4,8,7,7,12,13,16,18,19,19,16,19,20,19,17,18,17,16,15,15,16,14,16,13,17,0,16,13,12,11,16,10,11,11,15,14,17,18,17,17,17,15,16,7,9,13,10,9,6,4,3,3,4,6,0,0,0,2,0,4,2,0,0,0,1,0,0,0
2022-03-05 16:00:00,2,1,0,0,0,0,2,2,0,0,0,0,0,2,6,8,10,11,12,4,15,16,13,0,17,15,14,17,16,19,22,16,17,16,17,14,15,11,19,20,21,19,22,22,0,21,16,11,13,17,15,19,20,14,21,26,25,24,23,15,6,7,3,4,3,2,11,0,14,18,18,19,24,16,21,20,15,12,16,15,17,17,19,18,16,17,17,23,21,15,12,15,20,15,14,16,18,19,17,23,21,16,17,16,16,16,18,19,11,20,19,17,8,15,12,11,4,5,7,0,6,0,0,4,2,0,0,0,0,0,0,0,0
