Unnamed: 0,1_광명차고지,2_하안버스공영차고지,3_자동차경매장.가림초등학교,4_가림중학교,5_하안3동주민센터.하안주공7.8단지,6_하안사거리.7단지,7_하안4동주민센터.하안주공4.10단지,8_하안2동주민센터.하안주공1.2.3.4단지,9_광명시민체육관,10_하안1동주민센터,11_복지관운동장,12_철산푸르지오하늘채아파트,13_광명경찰서,14_광명성애병원,15_철산래미안자이아파트,16_디지털3단지사거리,17_금천패션아울렛사거리.W몰,18_디지털단지오거리,19_가리봉시장,20_구로4동자치회관,21_구로시장,22_구로4동우체국.고대구로병원정문,23_구로119안전센터,24_우리유엔미아파트,25_쌍용구로정비사업소,26_신도림동.구로역,27_신도림역,28_문래동남성아파트,29_남부지방법원등기국.구로세무서(에이스하이테크시티),30_영등포역,31_전경련회관,32_여의도역,33_샛강역4번출구.여의도자이,34_샛강역.앙카라공원,35_진주아파트,36_시범아파트,37_원효로3가,38_원효로2가사거리,39_남정초등학교,40_용산e편한세상,41_용산꿈나무종합타운,42_용산경찰서,43_남영역,44_숙대입구역.청파동주민센터,45_청파동,46_서계동,47_서울역서부,48_서울역버스환승센터,49_갈월동,50_갈월동4호선숙대입구,51_남영역,52_용산경찰서,53_용산꿈나무종합타운.원효로우체국,54_원효로2가,55_원효로3가,56_시범아파트.대교아파트,57_KBS별관,58_샛강역1번출구.여의도자이,59_여의도역,60_여의도지하차도입구,61_영등포역,62_남부지방법원등기국.구로세무서(에이스하이테크시티),63_문래동남성아파트,64_신도림역,65_신도림동.구로역,66_구로역,67_쌍용구로정비사업소,68_우리유앤미아파트,69_구로119안전센터,70_구로4동우체국.고대구로병원정문,71_구로시장,72_남구로역,73_가리봉시장,74_금천패션아울렛사거리.마리오,75_디지털3단지사거리,76_광명성애병원,77_광명경찰서,78_철산4단지,79_광명이편한세상센트레빌아파트,80_하안1동주민센터,81_광명시민체육관,82_하안2동주민센터.하안주공1.2.3.4단지,83_하안4동주민센터.하안주공4.10단지,84_하안사거리.7단지,85_하안3동주민센터.하안주공7.8단지,86_가림중학교,87_가림초등학교.자동차경매장,88_하안버스공영차고지,89_광명공영차고지종점
2022-03-05 04:00:00,0,0,0,0,0,1,4,6,0,7,8,9,4,5,11,10,0,0,9,8,8,10,11,0,0,0,9,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,0,2,3,2,4,3,0,2,2,2,0,0,1,0,2,2,8,9,10,14,7,13,15,13,14,13,13,8,11,10,12,11,8,6,7,6,5,6,2,0,6,7,6,5,2,0,0,0,0,0,3,1,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,0,0,1,3,4,0,3,4,0,5,6,8,7,2,6,7,6,4,7,5,7,6,7,9,0,6,6,5,1,4,3,3,3,2,0,2,0,0,1,0,1,0,3,1,2,3,0,2,0,0,4,5,4,2,0,0,4,0,3,2,2,3,7,6,4,6,0,9,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,0,1,0,0,2,4,5,0,0,1,2,0,2,1,2,1,3,2,3,2,6,7,6,8,6,0,5,6,5,7,6,5,4,4,5,0,5,3,6,7,0,5,4,1,1,0,1,0,2,2,0,3,1,2,3,2,2,0,2,1,0,4,0,0,2,4,3,5,5,4,0,6,5,4,3,2,0,3,0,2,0,0,1,0,0,0,0
2022-03-05 08:00:00,0,0,0,0,1,2,3,4,0,7,7,9,5,0,10,10,9,9,11,9,3,8,10,11,8,9,10,9,9,9,8,6,5,6,7,5,6,5,5,4,6,4,3,4,4,1,0,4,5,0,3,6,5,0,7,7,4,4,6,8,5,4,0,5,4,4,9,9,9,8,2,5,6,7,3,5,6,2,4,1,4,3,5,4,0,0,0,0,0
2022-03-05 09:00:00,0,1,2,0,2,0,4,6,2,6,6,7,6,6,7,2,3,4,4,5,4,5,8,9,8,7,10,2,11,11,9,8,7,6,5,6,6,4,5,4,4,4,4,3,3,1,0,3,0,3,4,5,6,8,7,9,10,11,9,8,6,3,0,9,8,8,9,11,12,10,9,7,4,8,7,3,4,7,6,4,3,4,6,3,1,0,0,0,0
2022-03-05 10:00:00,0,1,0,2,0,4,6,7,0,8,0,7,5,2,5,6,3,4,2,5,7,10,11,10,11,11,9,0,6,8,11,11,8,6,5,6,5,3,3,0,4,5,0,6,5,4,2,1,2,0,2,3,0,5,7,7,9,6,11,2,10,9,8,7,8,2,8,8,7,9,3,5,2,7,1,3,3,1,3,4,3,0,3,1,0,0,2,0,0
2022-03-05 11:00:00,0,1,0,0,0,2,2,3,4,4,2,3,4,7,10,9,5,6,5,5,4,11,11,9,10,13,10,6,9,9,10,9,9,12,12,11,8,9,5,4,5,6,5,6,7,6,6,7,3,8,12,13,12,14,15,17,11,19,18,21,13,0,0,5,6,0,10,5,8,5,0,4,3,8,0,7,1,3,0,4,0,0,2,0,0,0,0,0,0
2022-03-05 12:00:00,0,0,2,3,6,6,10,13,14,15,16,13,10,12,10,11,12,6,12,11,10,13,14,16,14,13,10,10,11,11,5,10,9,8,10,3,5,3,6,4,3,3,7,3,4,0,3,5,6,6,9,8,10,9,11,11,12,12,14,13,16,13,12,9,8,7,9,6,7,9,11,8,6,7,4,5,4,3,1,0,2,2,2,0,0,0,0,0,0
2022-03-05 13:00:00,0,1,0,1,3,6,7,8,4,7,6,7,6,8,0,7,11,13,15,17,16,19,21,21,15,14,14,12,11,9,7,8,7,8,6,5,9,8,10,8,7,8,7,6,7,6,4,7,8,0,3,9,10,9,11,14,18,20,20,21,16,17,14,13,12,14,13,13,10,12,14,14,5,9,6,7,4,7,4,1,2,1,1,1,0,0,0,0,0
