Unnamed: 0,1_노온사동차고지,2_온신초등학교,3_사들,4_동창골,5_장절리,6_원가학,7_뒷골사거리,8_호봉골,9_무의공이순신장군묘,10_기형도문학관.황용사,11_충현중학교.광휘고등학교.이원익기념관,12_충현고등학교,13_광명시여성회관,14_서면초.안서중.창의경영고,15_설월리마을,16_소하성당,17_갑종주유소,18_수자원공사광명가압장,19_가리대삼거리.소하상업지구,20_소하초중고등학교,21_신촌마을,22_시흥대교,23_금천구청.금천경찰서,24_말미고개.금천소방서,25_금천우체국,26_문성초등학교,27_구로디지털단지역,28_동작상떼빌아파트,29_신대방경남아파트,30_신대방현대아파트,31_보라매공원,32_보라매역.동작세무서,33_강남중학교,34_서울지방병무청앞,35_공군호텔,36_샛강역.앙카라공원,37_진주아파트,38_시범아파트,39_원효대교북단,40_용산전자상가.전자랜드,41_용산전자상가12동,42_용산전자상가19동,43_문배동이안아파트앞,44_남영역,45_숙대입구역,46_갈월동,47_서울스퀘어앞,48_남대문시장.회현역,49_남산3호터널.서울애니메이션센터,50_북창동.남대문시장,51_숭례문(가상),52_숭례문,53_서울역버스환승센터,54_갈월동,55_갈월동4호선숙대입구,56_숙대입구,57_남영역,58_문배동이안아파트앞,59_용산전자상가17동,60_용산전자상가10동,61_용산전자상가.전자랜드,62_원효대교북단,63_시범아파트.대교아파트,64_KBS별관,65_공군호텔,66_서울지방병무청,67_보라매역.동작세무서,68_보라매공원,69_경남아너스빌아파트,70_강남성심병원.대림성모병원,71_서울영림초등학교,72_구로디지털단지역,73_문성초등학교,74_금천우체국,75_말미고개.금천소방서,76_금천구청.금천경찰서,77_시흥사거리.시흥대교,78_신촌마을,79_소하초중고등학교,80_가리대.소하3단지.소하상업지구,81_가리대사거리.소하상업지구,82_수자원공사광명가압장,83_도돌이주유소,84_소하성당,85_설월리마을,86_서면초.안서중.창의경영고,87_광명시여성회관,88_소하2동주민센터.광명동굴길입구,89_충현중학교.광휘고등학교.이원익기념관,90_기형도문학관.황용사,91_이케아.롯데아울렛.광명점,92_코스트코광명점,93_KTX광명역8번출구,94_양지사거리.체육공원,95_뒷골,96_원가학,97_장절리,98_동창골,99_사들,100_온신초등학교앞,101_노온사동차고지
2022-03-05 04:00:00,0,0,0,0,0,1,0,1,2,0,5,9,6,0,7,6,0,12,14,15,18,19,5,7,20,20,19,18,18,19,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,1,0,2,0,3,5,6,8,12,14,15,7,0,0,5,7,14,15,13,13,16,18,18,16,10,19,20,19,19,18,19,17,13,12,11,11,6,10,5,9,8,9,6,5,4,3,5,0,2,0,4,0,0,0,0,0,0,0,6,7,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,2,5,3,2,0,0,1,1,0,0,2,7,8,9,9,10,8,9,11,10,13,12,13,14,13,11,12,13,15,16,17,17,18,20,20,14,12,11,12,12,0,11,2,8,8,7,4,3,1,0,0,0,1,1,3,2,3,0,0,3,3,5,6,7,7,6,6,12,14,11,14,16,18,18,18,18,15,17,0,16,14,12,0,11,9,0,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,1,0,2,1,1,0,7,1,8,12,18,19,21,8,12,13,8,16,18,22,18,23,23,21,23,14,14,13,14,11,11,12,10,8,9,10,7,9,8,5,6,7,6,7,5,3,0,1,2,0,1,3,5,0,5,6,5,4,5,0,6,7,6,5,8,7,8,9,11,0,16,14,13,11,10,14,11,9,11,7,5,10,9,7,6,5,2,1,2,1,1,1,0,0,0,0,2,0,0,0
2022-03-05 08:00:00,0,2,1,0,0,1,1,6,10,3,11,16,14,18,19,22,20,21,23,24,28,26,35,35,35,31,20,20,16,19,19,18,21,23,23,22,15,13,12,11,9,4,8,7,5,6,5,3,3,4,0,0,6,4,7,5,8,9,8,6,7,8,10,9,10,11,10,9,9,9,6,13,13,15,15,16,19,12,13,12,8,13,12,0,13,7,11,8,3,0,0,1,1,1,1,0,0,0,0,0,0
2022-03-05 09:00:00,0,1,3,0,0,3,0,5,6,4,9,17,22,24,23,0,23,23,25,30,33,30,36,33,28,26,17,18,16,17,17,18,23,25,29,23,17,19,19,17,15,15,14,12,8,7,6,3,2,5,0,6,8,8,9,10,11,8,9,9,4,12,9,9,6,7,7,10,9,10,10,14,14,18,18,18,24,23,21,15,16,17,11,16,10,15,13,14,8,0,1,0,2,1,0,2,0,0,0,0,0
2022-03-05 10:00:00,1,3,2,3,0,4,1,8,3,0,6,14,16,19,21,16,21,19,23,23,26,25,28,26,28,28,15,17,18,22,23,28,29,27,28,26,25,27,28,28,25,24,10,20,17,17,15,13,1,5,0,2,8,8,8,9,10,11,12,10,9,11,10,9,12,15,14,14,15,14,14,20,23,22,27,22,26,26,25,23,14,5,22,0,13,21,21,18,4,16,8,2,0,0,0,0,0,1,1,0,0
2022-03-05 11:00:00,1,3,4,4,0,2,5,7,9,0,12,16,18,22,13,0,19,17,18,19,27,26,28,29,27,26,12,14,16,22,19,18,20,21,23,19,19,21,22,22,21,16,0,19,17,12,9,4,8,7,0,6,15,17,19,11,17,10,15,14,13,15,14,22,18,18,18,13,20,20,17,20,20,21,20,22,22,23,21,18,11,10,0,8,18,16,15,14,6,9,6,4,2,0,1,0,0,1,0,0,0
2022-03-05 12:00:00,1,1,0,2,5,4,3,10,12,8,14,17,24,28,11,0,27,26,21,20,26,27,27,27,29,28,17,17,20,25,22,21,22,27,27,22,19,22,21,22,21,24,23,19,17,15,13,6,4,6,0,5,7,8,10,12,13,13,12,11,13,15,14,20,14,15,14,13,10,11,11,16,18,18,20,20,25,25,24,16,12,13,0,15,12,15,12,11,9,8,6,5,5,0,4,0,3,0,2,0,0
2022-03-05 13:00:00,0,0,1,0,1,1,3,6,6,8,9,17,18,22,13,0,21,20,25,26,31,32,26,26,26,26,13,14,14,20,15,18,20,18,21,18,18,18,16,15,16,15,11,13,12,12,8,6,6,9,0,10,12,13,8,13,13,10,13,13,14,20,18,20,16,16,16,15,15,15,16,22,22,26,27,24,28,25,22,23,24,14,19,23,12,21,16,14,15,12,9,4,3,0,0,2,0,1,0,0,0
2022-03-05 14:00:00,1,1,0,0,0,2,3,9,12,17,18,19,22,21,12,16,17,22,22,21,24,22,33,30,30,27,18,10,24,24,26,23,24,25,23,18,19,16,17,13,18,19,18,18,16,13,12,7,6,9,8,10,12,11,12,13,14,15,9,15,13,16,21,21,16,15,15,14,17,16,10,22,22,22,20,21,29,27,28,30,32,20,15,34,18,19,16,12,0,9,5,5,3,0,2,0,0,0,0,0,0
2022-03-05 15:00:00,2,2,0,0,1,4,0,5,7,11,10,12,12,14,15,9,9,15,18,23,23,20,22,24,25,26,10,6,12,15,12,16,19,19,17,16,14,14,14,15,13,14,12,13,12,11,10,9,7,13,0,14,14,13,16,16,14,20,18,19,18,17,19,21,18,15,16,19,17,17,14,21,22,23,24,26,34,26,28,24,21,18,16,22,15,28,22,19,6,10,7,4,3,2,1,0,2,1,0,0,0
