Unnamed: 0,1_군포공영차고지,2_군포보건소,3_수리산역,4_5단지입구,5_오금동행정복지센터,6_3단지.소월아파트.다산아파트,7_시민체육광장,8_주공1단지.무궁화아파트,9_군포경찰서,10_신환아파트,11_금정고가금정농협,12_삼신아파트,13_농협.홈플러스,14_호계사거리,15_호계소방파출소,16_덕고개사거리,17_샘마을.대안중학교,18_안양남초등학교,19_농수산물시장.포일단지입구,20_민백마을,21_오뚜기식품.두산벤처다임.나눔초등학교,22_평촌동주민센터.인덕원대우아파트,23_인덕원초교.삼성아파트,24_인덕원역4호선,25_린파밀리에,26_갈현동부대,27_찬우물,28_정보과학도서관,29_과천주공2.3단지,30_정부과천청사,31_KT과천지사,32_경기도립과천도서관앞,33_과천8.9단지,34_과천성당,35_관문사거리부대앞,36_남태령부대,37_남태령역,38_사당역,39_이수역,40_총신대입구역.남성시장입구앞,41_경문고등학교,42_정금마을,43_이수교,44_구반포역.세화고등학교,45_신반포역.세화여중고,46_고속터미널,47_서울성모병원,48_고속터미널,49_신반포역.세화여중고,50_구반포역.세화고등학교,51_갯마을앞,52_정금마을.방배경찰서,53_경문고교.배나무골앞,54_총신대입구역.남성시장입구앞,55_사당동우체국앞,56_방배노인종합복지관,57_사당역,58_사당자동차학원,59_남태령역,60_남태령부대,61_관문사거리부대앞,62_과천성당,63_과천10단지,64_경기도립과천도서관앞,65_KT과천지사,66_정부과천청사,67_과천주공2.3단지,68_찬우물,69_갈현동부대,70_린파밀리에,71_인덕원사거리.인덕원역,72_평촌동주민센터.KT동안양지점.대우아파트,73_나눔초등학교.오뚜기식품.두산벤처다임,74_민백마을,75_농수산물시장.포일단지입구,76_안양남초등학교,77_샘마을.대안중학교,78_덕고개사거리,79_호계소방파출소,80_호계사거리,81_농협.홈플러스,82_삼신아파트,83_산본주유소,84_신환아파트,85_느티울공원입구,86_군포경찰서,87_주공2단지,88_시민체육광장,89_3단지.율곡아파트,90_오금동주민센터.흥진고교,91_5단지입구,92_수리산역.5단지,93_군포보건소,94_군포공영차고지
2022-03-05 04:00:00,0,0,0,0,0,4,0,6,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,2,0,3,5,0,7,5,8,7,6,8,8,7,9,8,11,9,9,11,12,11,14,0,8,0,8,8,8,10,11,12,14,6,0,5,2,9,5,10,0,0,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,0,0,2,3,2,2,5,8,7,7,8,0,8,8,11,9,14,20,24,11,17,16,6,7,6,0,9,9,8,12,13,5,0,10,10,9,8,8,6,7,6,5,3,0,4,3,0,5,4,3,5,8,9,8,2,4,0,0,3,0,7,2,5,5,0,1,0,3,3,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,3,3,4,5,4,8,10,8,12,13,12,14,12,13,10,15,16,16,15,22,18,14,9,8,15,14,15,14,13,11,12,12,11,10,12,12,6,8,5,8,9,8,8,2,2,3,5,2,5,5,3,7,7,8,8,0,7,7,6,5,5,5,4,3,5,6,4,3,8,5,8,5,7,8,9,5,7,6,6,4,5,4,4,0,2,3,3,4,1,0,0,0
2022-03-05 08:00:00,0,1,5,0,7,9,11,14,15,16,18,19,22,21,20,20,23,22,22,24,25,26,23,17,0,20,19,18,17,16,17,18,21,24,21,16,20,15,14,14,12,14,16,11,14,6,1,5,5,6,7,6,9,8,8,10,11,11,8,10,4,9,11,6,8,5,0,0,6,5,17,17,15,14,11,12,11,11,9,7,5,4,5,4,3,1,2,0,3,1,3,2,0,0
2022-03-05 09:00:00,0,1,3,4,5,6,5,8,7,9,16,17,15,18,15,21,22,20,22,22,26,27,22,17,0,16,17,18,19,19,19,22,18,27,31,26,29,21,16,18,16,20,23,19,15,5,1,3,3,0,4,4,0,10,12,12,14,0,5,0,12,11,12,11,8,7,9,6,8,7,9,6,8,3,4,5,6,2,5,6,8,5,6,3,4,1,3,1,1,2,0,1,0,0
2022-03-05 10:00:00,0,1,2,0,1,3,1,4,7,10,11,11,11,11,6,13,13,21,21,21,26,26,27,26,28,30,31,32,27,24,25,24,25,21,26,23,26,20,17,13,15,15,16,12,11,1,3,8,9,10,9,10,10,16,16,14,12,13,14,13,15,11,12,10,8,7,9,3,0,9,11,10,8,8,8,10,12,13,11,7,6,5,4,3,3,1,0,0,0,2,1,0,0,0
2022-03-05 11:00:00,1,2,1,3,5,6,0,7,9,10,13,14,15,19,0,13,18,20,21,23,27,30,28,23,0,19,14,19,17,16,17,15,26,27,29,15,41,24,22,20,20,21,18,16,16,9,2,4,5,6,7,6,7,12,14,15,16,12,18,10,19,12,18,9,14,14,6,5,10,4,15,13,12,14,11,13,12,11,10,11,6,6,5,3,2,2,2,0,0,4,0,1,0,0
2022-03-05 12:00:00,0,1,2,2,3,4,0,11,12,9,11,10,13,13,11,9,13,14,16,18,22,25,22,20,23,24,26,29,26,23,28,29,31,33,35,30,34,25,26,27,28,20,25,22,16,2,3,13,15,17,12,12,12,16,15,13,16,14,14,12,15,13,13,15,11,13,14,0,0,13,19,15,13,14,11,12,11,10,9,12,14,13,10,10,8,7,3,6,3,2,2,0,1,0
2022-03-05 13:00:00,0,1,2,0,0,2,4,5,7,8,9,7,8,14,0,15,14,15,19,25,28,31,23,13,12,12,14,13,17,15,20,21,27,28,29,0,28,17,14,15,15,16,16,14,12,3,2,14,18,17,15,18,19,17,19,18,20,21,20,18,16,16,19,15,15,16,17,16,0,21,18,18,17,14,15,12,12,12,13,12,15,11,12,7,11,8,6,4,3,1,1,0,0,0
2022-03-05 14:00:00,0,1,1,1,2,4,0,4,5,4,6,6,7,7,7,9,13,15,17,18,23,30,26,17,15,16,19,15,16,19,21,22,21,22,26,17,27,19,13,17,18,19,17,16,10,1,3,15,15,17,19,18,16,21,25,29,28,27,20,26,26,25,23,22,20,21,20,8,12,19,21,16,16,16,17,14,13,15,12,12,11,12,9,2,8,7,4,3,3,3,0,0,0,0
2022-03-05 15:00:00,0,3,4,1,7,2,0,6,9,6,11,10,8,10,9,9,8,12,13,11,18,24,20,20,18,9,19,20,18,19,20,19,19,21,26,25,21,17,16,17,18,18,20,17,14,2,7,25,27,29,24,22,9,28,24,20,27,19,29,13,21,20,20,18,19,18,19,20,13,10,16,13,13,12,13,12,11,18,16,16,19,16,11,8,7,5,4,0,0,2,1,1,0,0
2022-03-05 16:00:00,0,0,3,0,1,3,3,4,3,7,8,9,8,9,6,8,9,13,12,13,12,18,15,13,8,15,20,16,0,15,19,19,21,21,13,0,20,16,14,12,13,17,21,12,17,2,6,30,31,30,30,29,28,31,32,29,31,33,32,27,31,29,26,21,20,21,14,20,21,19,19,19,20,16,17,16,15,17,15,14,13,13,11,9,6,7,6,3,4,3,2,1,0,0
2022-03-05 17:00:00,0,4,2,0,2,3,0,6,7,6,8,8,10,11,0,9,9,11,12,11,13,15,14,12,13,0,7,8,12,10,16,11,12,17,15,0,18,17,18,24,24,18,27,25,18,3,4,31,32,33,32,37,32,21,27,24,26,22,25,24,24,23,24,22,20,20,22,25,23,22,20,16,13,14,12,10,11,9,12,11,11,11,9,7,4,2,1,1,0,4,3,1,0,0
