Unnamed: 0,1_제2공학관,2_유회진학술정보관.제1공학관,3_유전공학연구소.반도체공동연구소,4_교수회관입구,5_관악사삼거리,6_국제대학원,7_수의대입구.보건대학원앞,8_경영대,9_서울대학교,10_서울대학교치과병원.동물병원,11_서울여상.서울문영여중고앞,12_관악구청,13_서울대입구역,14_봉천사거리.봉천중앙시장,15_봉원중학교.행운동우성아파트,16_관악푸르지오아파트,17_봉현초등학교,18_관악드림타운115동,19_관악드림타운북문,20_구암중학교,21_벽산아파트.선의사회복지관,22_벽산블루밍아파트종점,23_벽산블루밍벽산아파트303동앞,24_벽산아파트.선의사회복지관,25_구암중학교,26_관악드림타운북문,27_관악드림타운115동,28_동아아파트105동앞,29_성현동동아아파트,30_봉원중학교.행운동우성아파트,31_봉천사거리.위버폴리스,32_서울대입구역,33_관악경찰서.관악소방서,34_서울여상.서울문영여중고앞,35_서울대학교치과병원.동물병원,36_서울대학교,37_서울대정문,38_법대.사회대입구,39_자연대.행정관입구,40_농생대,41_공대입구,42_신소재,43_건설환경종합연구소앞,44_제2공학관
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,0,3,4,5,4,4,5,5,10,2,5,6,5,8,4,3,2,0,7,6,0
2022-03-05 07:00:00,0,0,0,0,1,0,0,0,2,0,3,2,6,6,5,6,4,2,3,2,1,0,2,3,5,6,8,9,10,7,5,9,10,0,5,8,0,6,3,1,0,4,1,0
2022-03-05 08:00:00,1,0,0,1,5,0,0,3,6,0,2,7,12,21,24,24,24,22,18,2,0,0,4,3,6,9,12,7,15,11,14,38,21,30,29,28,29,27,19,18,8,17,5,0
2022-03-05 09:00:00,2,0,1,0,4,0,4,4,5,5,3,5,5,4,3,0,4,4,3,1,0,0,7,10,16,21,25,17,24,22,20,48,47,42,43,34,35,34,26,25,10,19,1,0
2022-03-05 10:00:00,8,8,0,9,12,13,14,6,12,11,7,6,6,7,10,9,8,7,3,0,0,0,5,7,26,33,34,35,35,33,25,54,54,42,53,45,45,40,38,34,33,25,6,0
2022-03-05 11:00:00,12,15,0,9,26,27,0,28,30,16,15,25,12,17,17,16,9,8,7,5,3,3,9,13,20,22,26,27,28,25,24,49,39,33,48,34,34,29,29,25,24,14,3,0
2022-03-05 12:00:00,11,7,0,8,21,0,16,23,24,19,17,20,23,30,37,37,34,27,23,5,0,2,6,7,9,15,19,18,18,24,16,40,27,0,25,42,40,24,29,16,14,12,4,0
2022-03-05 13:00:00,13,13,0,8,31,33,31,38,37,0,17,27,10,11,19,15,14,8,6,3,2,0,3,4,6,11,14,16,17,15,15,33,34,0,0,33,33,30,27,17,16,15,4,0
2022-03-05 14:00:00,38,40,40,40,43,25,41,44,45,37,25,35,11,18,23,21,17,11,5,6,2,1,5,2,14,17,20,14,10,13,14,34,31,30,30,22,29,26,19,9,5,5,3,0
2022-03-05 15:00:00,18,19,14,15,24,24,20,28,20,18,17,26,17,21,23,22,17,9,7,7,5,2,7,9,19,23,24,25,28,28,23,20,16,17,18,18,10,16,12,11,10,9,3,0
2022-03-05 16:00:00,2,3,0,2,9,3,23,24,33,36,0,30,17,24,27,13,19,13,10,7,5,0,2,3,7,7,11,12,10,10,12,12,10,9,0,9,8,6,5,2,0,0,0,0
2022-03-05 17:00:00,3,4,7,13,27,18,28,28,27,13,26,21,17,26,29,28,22,13,11,8,4,0,3,3,4,8,8,9,10,11,11,14,12,4,0,10,10,9,5,5,3,1,0,0
2022-03-05 18:00:00,2,0,0,3,23,24,26,28,38,31,29,37,18,26,29,28,22,15,14,13,12,0,3,5,9,5,7,8,8,7,6,9,4,0,0,6,4,4,3,2,1,0,0,0
2022-03-05 19:00:00,1,0,3,3,6,0,7,8,17,9,19,16,22,21,22,20,19,12,7,5,4,0,2,1,3,3,5,6,0,4,3,11,9,0,0,8,7,6,2,4,0,0,0,0
2022-03-05 20:00:00,3,1,0,1,4,0,5,6,7,0,4,5,11,16,14,15,13,5,4,5,2,0,1,0,1,3,0,0,1,3,4,5,4,0,0,4,0,3,1,0,1,0,0,0
2022-03-05 21:00:00,2,3,0,2,5,4,7,8,5,7,6,8,9,20,19,17,14,11,8,6,0,0,1,0,0,2,1,2,1,0,2,4,3,0,0,1,1,2,0,1,0,0,0,0
