Unnamed: 0,1_신동아아파트(가상),2_금호타운아파트,3_대학동노인정,4_대학동치안센터,5_대학동고시촌입구,6_서울산업정보학교.삼성교,7_관악산입구.관악아트홀.중앙도서관,8_서울대학교,9_서울대학교치과병원.동물병원,10_서울여상.서울문영여중고앞,11_관악구청,12_서울대입구역,13_봉천사거리.봉천중앙시장,14_봉원중학교.행운동우성아파트,15_관악푸르지오아파트,16_청림동현대아파트입구,17_청림동현대아파트,18_청림동현대아파트,19_성현동동아아파트,20_봉원중학교.행운동우성아파트,21_봉천사거리.위버폴리스,22_서울대입구역,23_관악경찰서.관악소방서,24_서울여상.서울문영여중고앞,25_서울대학교치과병원.동물병원,26_서울대학교,27_신림중.삼성고.관악아트홀.도서관,28_서울산업정보학교.삼성교,29_고시촌입구,30_대학동치안센터,31_대학동노인정,32_금호타운아파트,33_신동아아파트(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,18,21,22,24,13,14,9,13,7,6,16,2,1,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,6,9,10,13,15,16,14,15,0,7,12,4,2,3,0,2,4,3,5,6,6,7,6,5,3,0,4,0,6,5,4,0,0
2022-03-05 07:00:00,6,12,14,18,19,21,23,18,0,14,20,3,3,3,2,1,3,4,6,6,4,8,5,0,2,7,7,7,7,5,3,0,0
2022-03-05 08:00:00,19,30,37,41,36,38,38,37,21,34,24,6,5,4,3,4,6,9,12,10,8,19,18,10,16,14,12,5,5,3,1,1,0
2022-03-05 09:00:00,15,26,16,34,45,32,41,44,30,37,31,9,8,9,10,4,16,18,24,20,15,23,22,22,19,21,18,18,11,9,7,2,0
2022-03-05 10:00:00,10,17,17,22,26,27,28,27,17,18,24,6,8,13,12,10,12,16,18,19,17,35,21,12,19,25,15,13,11,9,5,6,0
2022-03-05 11:00:00,9,14,16,18,22,28,32,29,27,26,21,7,9,10,10,8,11,20,15,17,16,25,10,25,21,23,20,18,16,10,8,6,0
2022-03-05 12:00:00,8,11,11,16,22,29,30,32,29,31,23,15,20,19,18,10,15,16,17,12,14,27,23,0,21,24,20,15,15,8,5,4,0
2022-03-05 13:00:00,6,12,13,21,24,26,32,30,30,31,23,10,12,15,18,16,15,9,16,13,12,31,30,29,10,24,23,19,15,12,9,5,0
2022-03-05 14:00:00,8,12,12,17,20,22,37,38,43,42,39,13,24,24,23,18,13,16,12,15,16,26,23,15,20,23,21,20,17,15,10,7,0
2022-03-05 15:00:00,6,18,22,27,30,37,37,35,33,28,25,12,16,22,18,16,10,10,14,12,17,28,24,13,27,21,23,20,15,15,12,4,0
2022-03-05 16:00:00,7,13,14,19,25,25,24,24,33,31,25,13,20,19,18,13,13,15,17,14,19,39,38,37,38,28,35,32,23,18,16,10,0
2022-03-05 17:00:00,12,15,17,21,27,31,33,35,34,34,29,14,15,18,18,13,10,11,14,13,17,33,31,23,22,34,31,28,23,22,14,9,0
2022-03-05 18:00:00,3,10,11,14,18,21,26,25,16,23,18,13,17,18,13,11,8,6,8,10,16,40,29,37,23,40,39,32,26,19,16,6,0
2022-03-05 19:00:00,1,3,3,9,14,10,15,14,16,9,9,6,8,12,13,10,5,6,7,7,18,35,39,27,40,39,35,32,29,23,21,10,0
2022-03-05 20:00:00,2,6,4,9,11,10,10,13,10,8,11,8,19,17,16,12,3,4,5,4,11,41,42,43,0,23,40,35,26,22,16,5,0
2022-03-05 21:00:00,1,2,2,7,10,12,12,13,9,12,10,12,14,11,10,9,3,0,5,7,13,41,32,0,0,42,37,32,28,23,20,6,0
