Unnamed: 0,1_신림2동차고지,2_대학동고시촌입구,3_서울산업정보학교.삼성교,4_관악산입구.관악아트홀.중앙도서관,5_서울대학교,6_경영대,7_수의대입구.보건대학원앞,8_국제대학원,9_관악사삼거리,10_공동기기원,11_유전공학연구소.반도체공동연구소,12_에너지자원연구소,13_공대입구,14_농생대,15_자연대.행정관입구,16_문화관입구,17_법대.사회대입구,18_서울대정문,19_신림중.삼성고.관악아트홀.도서관,20_서울산업정보학교.삼성교,21_신성초등학교,22_영광메디컬센터,23_쑥고개입구,24_서원동문화교앞,25_신림역2번출구,26_패션문화의거리입구,27_롯데관악점.건강보험관악지사,28_서울특별시.보라매병원,29_보라매삼성아파트.모자원고개,30_신대방삼거리,31_성대시장,32_상도초등학교입구,33_청화병원,34_동작구청.노량진초등학교앞,35_노량진역,36_사육신공원,37_노들역,38_노들역,39_사육신공원,40_노량진역,41_동작구청.노량진초등학교앞,42_장성교회,43_장승배기역,44_상도초등학교입구,45_성대시장,46_신대방삼거리,47_보라매병원입구,48_롯데백화점관악점,49_패션문화의거리입구,50_신림사거리,51_서원동문화교앞,52_서림동주민센터.신화단지,53_삼성동시장,54_대학동고시촌입구,55_서울산업정보학교.삼성교,56_관악산입구.관악아트홀.중앙도서관,57_서울대학교,58_서울대정문,59_법대.사회대입구,60_자연대.행정관입구,61_농생대,62_공대입구,63_신소재,64_건설환경종합연구소앞,65_제2공학관,66_유회진학술정보관.제1공학관,67_유전공학연구소.반도체공동연구소,68_교수회관입구,69_관악사삼거리,70_국제대학원,71_수의대입구.보건대학원앞,72_경영대,73_신림중.삼성고.관악아트홀.도서관,74_서울산업정보학교.삼성교,75_신림2동차고지
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,2,0,0,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3,6,12,23,9,11,9,7,6,5,6,12,12,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,1,0,1,0,0,0,0,0,0,2,1,1,0,2,0,1,3,4,9,13,14,5,5,5,4,3,3,8,8,7,4,1,0,0,2,0,3,1,2,3,0,2,1,1,0,3,5,5,4,3,4,0,1,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,2,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,12,14,19,19,9,7,6,5,9,8,10,11,9,7,3,1,0,1,2,4,5,6,5,4,3,5,5,5,6,12,12,11,10,7,4,0,2,6,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,0,1,4,5,5,1,1,4,2,0,0,0,1,0,2,0,1,1,3,7,11,14,22,27,10,16,12,12,13,12,13,14,12,12,2,0,0,3,0,5,6,4,8,7,6,7,6,7,7,17,16,15,13,13,14,0,15,16,14,13,10,6,5,4,3,2,0,1,2,0,0,1,0,0,0
2022-03-05 09:00:00,2,4,3,0,6,4,2,0,8,7,2,0,6,2,2,0,0,0,3,6,9,14,24,25,11,13,10,11,13,12,20,24,21,12,6,0,0,4,0,6,4,5,6,8,12,17,15,13,13,22,22,24,22,22,21,18,16,17,14,11,8,4,7,4,3,1,3,2,6,1,0,2,1,0,0
2022-03-05 10:00:00,7,4,7,9,7,4,6,5,4,0,1,0,4,2,3,0,3,1,4,6,22,27,37,43,16,14,11,11,9,9,17,19,18,17,2,0,0,4,0,7,7,8,10,11,14,13,12,12,12,24,24,25,26,29,25,18,17,13,14,14,13,13,12,6,4,3,0,2,3,2,4,0,3,0,0
2022-03-05 11:00:00,3,5,8,8,9,9,7,6,6,7,6,5,11,13,15,3,8,6,16,17,24,30,39,36,9,9,10,11,11,12,19,21,20,16,2,1,0,5,1,6,7,8,9,11,12,12,13,15,10,23,24,27,23,19,17,13,15,15,14,12,9,8,7,14,8,3,4,8,8,2,5,9,7,4,0
2022-03-05 12:00:00,6,3,12,6,11,10,9,8,5,5,4,3,6,7,9,2,4,8,12,18,29,32,42,40,26,23,19,23,21,14,12,15,14,12,1,0,0,4,1,8,11,14,13,13,12,17,18,19,19,28,26,27,18,15,15,18,13,16,13,11,8,6,7,10,9,10,1,9,8,5,8,6,7,3,0
2022-03-05 13:00:00,5,3,12,0,5,12,5,11,8,7,5,0,4,6,7,0,6,6,12,15,29,33,36,39,15,15,14,28,25,18,20,17,23,19,3,2,1,3,1,8,10,9,8,7,13,16,17,16,14,20,19,19,21,19,21,16,18,19,18,15,12,11,6,7,8,7,4,7,9,0,8,8,3,5,0
2022-03-05 14:00:00,7,3,7,3,8,9,8,7,7,6,5,7,6,8,10,0,8,4,8,11,24,25,21,32,11,14,11,15,13,14,16,17,16,12,2,1,0,3,0,11,14,15,7,7,7,11,12,11,16,20,20,21,16,16,15,10,11,0,8,10,10,5,6,12,11,7,0,12,14,0,4,9,5,0,0
2022-03-05 15:00:00,0,2,4,2,4,6,2,1,4,1,3,0,10,14,17,10,17,9,14,20,32,41,41,39,16,19,11,19,18,15,13,13,13,10,4,0,1,3,0,6,7,9,9,4,15,15,15,14,16,39,36,16,15,11,14,13,12,13,5,10,10,6,2,11,9,10,9,6,15,0,14,12,8,1,0
2022-03-05 16:00:00,4,4,7,0,5,4,5,1,5,0,2,0,8,10,9,10,14,7,15,15,25,26,25,30,18,19,15,15,15,15,17,11,10,10,2,0,0,2,0,15,14,18,17,18,20,24,22,21,16,29,27,27,19,7,6,3,5,6,0,3,5,4,0,5,3,2,0,2,6,0,2,8,7,5,0
2022-03-05 17:00:00,0,4,3,0,5,5,4,0,2,4,1,0,5,8,12,14,18,13,19,24,36,37,40,37,13,15,12,15,10,15,12,11,10,11,2,1,0,4,5,25,17,17,18,19,16,16,15,14,16,34,31,20,12,11,9,7,3,7,8,8,6,0,0,9,10,0,0,5,11,0,6,7,10,5,0
2022-03-05 18:00:00,0,1,1,1,2,1,1,0,0,4,0,5,7,11,14,15,9,0,10,12,21,22,32,29,11,12,12,16,16,12,10,9,9,10,2,1,1,2,3,10,27,26,24,19,16,16,14,14,12,22,30,22,15,7,8,7,6,0,3,4,2,0,0,4,4,0,3,3,8,0,9,8,8,3,0
2022-03-05 19:00:00,0,2,3,0,1,5,6,5,1,1,2,0,4,2,5,0,8,8,17,16,17,16,18,17,15,22,17,15,14,10,9,8,6,3,1,2,2,1,3,12,12,11,14,14,14,14,13,12,13,26,25,16,17,10,8,0,0,1,0,0,0,1,0,2,4,1,0,1,3,0,4,4,7,5,0
2022-03-05 20:00:00,0,0,1,0,0,0,2,0,3,0,0,0,4,6,11,0,4,7,10,11,10,13,14,12,7,11,15,18,17,7,8,5,9,7,2,0,0,1,2,9,7,10,9,10,8,9,7,6,8,25,23,18,15,5,2,0,6,0,1,0,1,0,0,0,2,0,0,4,2,2,3,0,1,0,0
2022-03-05 21:00:00,1,1,0,0,0,2,0,0,0,0,1,0,2,3,5,6,7,3,4,5,5,7,8,10,6,7,3,9,5,5,7,3,6,4,2,1,0,4,1,16,19,18,14,13,14,15,14,11,13,21,19,13,12,3,3,0,0,2,1,1,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0
2022-03-05 22:00:00,0,1,3,1,4,0,0,3,2,0,1,0,1,5,9,7,10,9,8,5,20,22,22,19,9,7,8,9,8,6,6,5,3,1,0,0,0,2,3,12,14,6,14,13,14,4,6,8,10,28,25,19,15,4,3,2,0,0,0,1,2,0,0,0,3,4,0,3,1,0,2,2,1,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,3,11,0,12,0,0,5,12,15,13,12,6,14,11,12,8,6,5,4,3,2,1,1,0,1,0,11,13,12,12,9,10,15,10,9,18,40,36,23,20,6,2,0,1,0,0,2,2,0,0,0,3,0,1,2,2,0,0,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
