Unnamed: 0,1_우방아파트,2_은천성결교회,3_신사동주민센터,4_봉림교,5_신림사거리.신림역,6_서원동승리교앞,7_서원동문화교앞,8_서림동주민센터.신화단지,9_삼성동시장,10_대학동고시촌입구,11_서울산업정보학교.삼성교,12_청담고시원,13_우리슈퍼,14_명호고시원,15_동작마트,16_제일성도교회,17_삼양슈퍼,18_금성마트용천사,19_삼양슈퍼,20_제일성도교회,21_동작마트,22_쑥고개입구,23_서원동문화교앞,24_신림사거리,25_신림사거리.신림역,26_봉림교,27_남부초교후문,28_신사동주민센터.신사시장,29_건영유치원,30_신대방역,31_우방아파트
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,2,3,4,4,2,2,0,0,3,2,1,0,0,0,0,0,0,1,3,2,0,4,1,3,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,1,4,0,5,3,5,2,0,0,4,0,3,1,2,0,0,1,3,6,8,9,8,4,1,0,1,2,1,0,0
2022-03-05 08:00:00,4,7,4,3,3,1,3,4,4,4,3,0,1,1,2,1,0,4,7,8,10,16,18,5,2,1,4,6,1,0,0
2022-03-05 09:00:00,2,6,10,5,4,4,4,3,4,5,4,3,1,0,2,0,1,2,7,8,9,9,8,5,3,1,1,2,1,1,0
2022-03-05 10:00:00,1,2,5,1,3,4,4,6,7,7,6,2,5,6,6,5,0,3,6,8,9,9,11,8,4,0,2,4,3,0,0
2022-03-05 11:00:00,3,4,5,4,5,7,8,9,9,12,5,10,8,3,4,3,1,5,6,9,12,14,16,10,5,4,4,5,3,2,0
2022-03-05 12:00:00,1,0,3,0,5,6,6,7,9,10,9,0,6,8,4,7,2,3,7,9,12,14,12,6,8,0,5,5,2,1,0
2022-03-05 13:00:00,0,1,2,1,9,10,12,10,12,13,13,6,12,10,9,5,5,2,5,7,9,16,15,4,3,0,2,5,4,0,0
2022-03-05 14:00:00,1,1,2,0,9,11,5,11,15,9,17,15,12,13,15,10,8,2,6,10,11,12,13,9,7,6,3,4,1,0,0
2022-03-05 15:00:00,1,2,3,0,16,14,15,19,18,18,15,14,12,9,9,7,4,2,3,4,0,5,5,3,4,0,5,1,0,2,0
2022-03-05 16:00:00,1,2,6,0,14,14,11,13,16,13,18,16,12,11,0,8,3,2,4,7,8,11,12,6,9,8,3,5,3,1,0
2022-03-05 17:00:00,2,0,3,0,12,15,15,17,17,16,18,17,14,13,14,11,7,4,3,5,6,7,13,6,8,5,4,1,0,1,0
2022-03-05 18:00:00,0,0,2,1,8,13,12,14,15,17,19,10,16,15,13,7,6,2,0,3,2,6,9,4,7,4,5,6,4,2,0
2022-03-05 19:00:00,0,2,1,0,14,17,14,13,15,16,17,16,11,10,9,7,2,1,0,2,3,4,0,2,5,0,2,5,3,3,0
2022-03-05 20:00:00,0,1,2,0,14,15,15,16,17,13,18,17,13,12,9,10,3,4,0,5,0,7,7,6,7,7,6,3,2,2,0
2022-03-05 21:00:00,1,0,3,0,13,15,15,17,17,16,15,14,13,12,12,8,3,0,0,0,0,2,2,2,9,4,2,2,0,0,0
2022-03-05 22:00:00,1,0,0,0,12,15,15,14,14,16,19,14,13,11,0,11,7,1,2,0,1,0,0,3,7,8,3,2,2,3,0
2022-03-05 23:00:00,0,0,0,0,12,12,13,14,15,14,10,13,8,7,6,0,6,0,0,0,0,1,0,5,7,0,6,3,0,2,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,1,2,3,1,2,0,2,1,0,0,0,0,1,0,0,0,0,2,3,3,4,4,6,4,3,0,1,0,0,0,0
2022-03-06 07:00:00,3,3,4,3,6,4,0,0,0,0,0,3,0,0,2,1,0,2,3,5,6,7,4,1,2,0,2,1,0,0,0
2022-03-06 08:00:00,3,2,4,0,3,3,0,1,0,2,0,1,0,0,0,0,0,3,5,6,7,6,6,4,2,0,2,2,1,0,0
2022-03-06 09:00:00,2,3,6,6,5,4,3,6,5,4,4,0,3,2,5,2,1,2,3,5,5,10,11,6,3,1,6,3,2,0,0
2022-03-06 10:00:00,2,0,4,2,5,2,0,4,4,2,4,3,2,3,3,4,2,1,4,5,5,10,12,7,5,4,3,2,0,0,0
2022-03-06 11:00:00,2,1,3,2,3,4,3,3,5,6,6,5,4,0,7,3,2,5,7,8,9,13,14,7,6,0,5,2,0,0,0
2022-03-06 12:00:00,3,4,5,6,6,3,2,9,9,1,7,0,4,2,3,0,3,4,6,6,7,10,13,6,3,1,1,1,0,1,0
2022-03-06 13:00:00,3,4,4,0,7,9,8,8,9,7,10,8,6,5,6,5,3,3,5,8,8,21,18,6,2,1,4,5,1,1,0
2022-03-06 14:00:00,3,4,4,3,6,7,5,8,9,10,7,6,3,6,2,4,3,2,4,6,0,11,12,8,7,6,5,4,2,2,0
2022-03-06 15:00:00,1,3,5,0,14,16,14,14,16,15,14,12,11,10,9,7,5,1,3,1,4,3,5,2,5,3,2,1,0,1,0
2022-03-06 16:00:00,0,0,2,0,10,12,11,10,13,7,10,8,6,5,8,7,4,6,8,3,0,6,9,6,5,4,2,2,1,0,0
2022-03-06 17:00:00,5,0,8,0,15,18,16,12,17,16,17,13,10,9,11,9,5,1,4,0,3,6,0,1,5,0,5,4,1,2,0
2022-03-06 18:00:00,1,1,2,0,12,16,11,16,16,14,10,13,15,5,10,12,4,3,4,6,4,8,11,5,7,0,3,2,0,4,0
2022-03-06 19:00:00,1,2,2,3,11,14,14,13,17,13,16,13,12,10,11,8,4,4,0,1,0,12,14,3,13,0,9,7,4,1,0
2022-03-06 20:00:00,1,0,0,0,10,14,0,11,15,10,17,16,6,2,9,6,1,1,0,2,0,2,3,2,7,0,6,0,0,0,0
2022-03-06 21:00:00,2,2,4,0,8,12,11,10,0,10,11,10,12,10,9,7,7,1,2,1,0,2,2,2,16,15,4,2,1,1,0
2022-03-06 22:00:00,0,1,0,0,14,8,13,12,14,15,16,4,11,9,10,9,4,1,0,1,0,2,0,2,7,6,5,3,2,0,0
2022-03-06 23:00:00,0,1,0,0,6,4,4,0,0,7,8,4,7,5,0,4,3,0,2,0,0,5,4,6,12,11,7,3,0,1,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 06:00:00,2,4,9,3,2,3,1,0,3,2,0,0,0,0,0,1,0,1,6,8,8,8,9,5,1,0,2,4,0,0,0
2022-03-07 07:00:00,6,9,14,15,3,4,4,4,3,2,3,0,0,1,0,1,1,8,16,27,36,30,36,10,2,0,2,11,10,0,0
2022-03-07 08:00:00,5,12,24,22,8,9,10,12,13,6,6,4,2,4,2,4,0,7,14,24,37,46,49,10,7,3,7,12,10,0,0
2022-03-07 09:00:00,3,8,13,9,4,3,4,1,4,5,5,0,3,0,2,2,1,2,10,11,15,14,20,7,3,0,3,8,2,1,0
2022-03-07 10:00:00,3,3,4,3,4,3,5,6,6,4,5,4,3,2,5,3,1,2,5,5,6,7,9,5,3,1,1,4,1,0,0
