Unnamed: 0,1_보성운수기종점,2_서울난향초등학교.난향동주민센터,3_관악산휴먼시아.신림푸르지오2차,4_관악산휴먼시아아파트1단지입구,5_삼성산주공아파트,6_산장아파트,7_삼성산성지,8_신우초등학교,9_미림여고.미림여자정보과학고,10_미림고개.고시촌입구,11_관악농협신림지점앞,12_영광메디컬센터,13_쑥고개입구,14_서원동문화교앞,15_신림사거리,16_패션문화의거리입구,17_롯데관악점.건강보험관악지사,18_보라매공원입구,19_신대방역,20_신사시장.평화교회,21_난곡사거리,22_신림청소년독서실.신림체육센터,23_난곡우체국사거리,24_신일교회앞,25_세이브마트앞,26_남강중고등학교입구,27_우림시장.난곡보건분소,28_난우중학교입구,29_신림복지관앞,30_서울난향초등학교.난향동주민센터,31_관악산휴먼시아.신림푸르지오2차,32_관악산휴먼시아아파트1단지입구,33_삼성산주공아파트,34_산장아파트,35_삼성산성지,36_신우초등학교,37_미림여고.미림여자정보과학고,38_미림고개.고시촌입구,39_관악농협신림지점앞,40_영광메디컬센터,41_쑥고개입구,42_서원동문화교앞,43_신림사거리,44_신림사거리.신림역,45_남부초등학교,46_호림박물관,47_신림청소년독서실.신림체육센터,48_난곡우체국사거리,49_신일교회앞,50_세이브마트앞,51_남강중고등학교입구,52_우림시장.난곡보건분소,53_난우중학교입구,54_신림복지관앞,55_보성운수기종점(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,3,1,4,5,3,7,9,9,8,12,9,11,6,2,3,0,2,0,0,4,0,5,4,1,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,1,1,2,0,0,2,5,6,8,7,4,2,2,3,3,5,4,2,2,3,2,4,0,3,4,3,3,2,4,3,0,2,1,2,4,4,7,6,6,4,4,3,0,3,2,0,0,0,1,1,0,0
2022-03-05 07:00:00,0,2,1,2,3,0,0,2,3,7,5,8,9,12,5,1,3,3,4,0,0,4,4,0,0,3,3,1,3,2,1,3,2,0,0,1,1,4,5,11,15,15,3,5,7,0,1,2,1,0,0,0,0,0,0
2022-03-05 08:00:00,6,1,4,2,3,4,4,0,6,9,10,17,22,24,7,3,3,2,8,4,8,9,11,9,8,8,7,8,5,9,8,9,9,10,0,11,9,12,15,16,18,16,4,9,9,0,2,8,6,4,3,3,0,0,0
2022-03-05 09:00:00,0,0,1,2,3,4,0,3,4,4,5,7,14,16,6,6,4,4,11,10,10,0,10,8,7,6,6,0,4,5,4,7,3,7,8,6,11,12,15,15,16,14,4,6,5,7,8,8,5,5,3,2,1,0,0
2022-03-05 10:00:00,0,1,3,5,4,5,0,6,7,9,12,20,23,22,10,6,6,7,10,0,9,8,12,4,8,11,11,9,5,3,5,6,3,7,0,7,9,14,16,17,21,23,6,10,9,4,10,10,9,6,4,2,1,1,0
2022-03-05 11:00:00,0,2,3,6,7,11,10,4,13,18,18,18,18,19,5,7,9,4,11,10,8,10,11,10,11,11,7,8,7,8,9,11,15,17,12,15,18,14,16,17,19,22,12,11,6,6,8,8,7,10,9,6,4,3,0
2022-03-05 12:00:00,0,1,3,4,0,5,4,3,8,10,14,20,31,35,6,5,8,9,10,0,7,8,9,8,11,14,15,17,16,16,13,15,15,16,0,15,19,18,28,31,31,33,4,9,8,10,8,7,5,5,4,4,3,2,0
2022-03-05 13:00:00,0,2,3,7,8,8,0,9,12,14,24,24,20,23,8,8,11,12,36,35,37,38,38,36,19,18,18,15,19,14,11,16,9,16,10,9,9,10,22,16,20,18,7,13,13,0,12,10,8,6,7,6,0,0,0
