Unnamed: 0,1_보성운수기종점,2_신림복지관앞,3_난우중학교입구,4_우림시장.난곡보건분소,5_남강중고등학교입구,6_세이브마트앞,7_신일교회앞,8_난곡우체국사거리,9_신림청소년독서실.신림체육센터,10_난곡입구,11_호림박물관,12_남서울중학교.성보중고등학교,13_신림사거리.신림역,14_관악우체국.양지병원,15_KT&G관악지점,16_봉천역.관악초등학교,17_KT관악지점,18_관악구청,19_청룡시장,20_영락고교.영락의료과학고,21_e편한세상서울대입구아파트,22_쑥고개,23_신림2교,24_서원동문화교앞,25_신림사거리,26_신림사거리.신림역,27_남부초등학교,28_호림박물관,29_신림청소년독서실.신림체육센터,30_난곡우체국사거리,31_신일교회앞,32_세이브마트앞,33_남강중고등학교입구,34_우림시장.난곡보건분소,35_난우중학교입구,36_신림복지관앞,37_보성운수기종점(가상)
2022-03-05 04:00:00,4,0,3,6,9,13,17,0,16,11,0,0,4,8,0,5,4,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,3,5,8,9,14,7,15,7,13,11,0,7,7,8,7,6,5,3,1,2,0,3,1,4,5,8,7,4,6,4,5,2,2,1,1,0,0
2022-03-05 06:00:00,3,4,4,9,12,15,13,12,0,10,9,9,4,3,4,3,3,3,3,3,3,2,0,4,2,5,7,8,2,6,4,2,3,1,0,0,0
2022-03-05 07:00:00,4,5,6,16,10,20,18,17,16,15,9,13,4,2,3,3,0,4,4,4,5,3,5,6,5,5,3,5,2,4,3,0,2,1,1,0,0
2022-03-05 08:00:00,6,8,13,19,26,35,39,41,40,35,34,34,9,9,7,6,5,8,8,5,4,7,8,7,5,7,7,7,5,1,4,2,2,3,2,0,0
2022-03-05 09:00:00,2,8,8,22,26,33,34,32,31,29,19,27,18,14,14,13,8,11,14,16,13,15,11,10,6,9,10,6,11,10,9,8,6,3,0,2,0
2022-03-05 10:00:00,2,7,8,16,24,29,29,30,29,21,23,28,18,16,15,12,10,10,14,13,10,11,10,11,8,16,16,10,12,11,10,9,7,3,0,0,0
2022-03-05 11:00:00,4,8,10,14,16,22,23,30,30,29,29,25,15,18,18,18,14,11,16,13,17,16,13,13,10,18,21,17,19,17,14,12,9,8,7,5,0
2022-03-05 12:00:00,3,4,4,12,15,21,22,25,26,25,24,24,10,11,8,11,11,13,10,14,14,18,17,18,13,15,13,15,15,15,13,13,8,6,5,1,0
2022-03-05 13:00:00,2,6,5,13,15,16,23,24,26,28,16,25,9,9,9,13,12,17,21,20,20,16,15,16,11,18,14,13,15,14,16,13,16,9,8,6,0
2022-03-05 14:00:00,0,1,0,2,21,21,24,23,23,20,22,9,13,12,10,11,11,15,15,20,19,21,20,18,14,23,23,22,23,17,14,13,10,5,3,2,0
2022-03-05 15:00:00,0,2,3,5,7,8,10,11,14,18,9,10,13,8,12,11,8,23,25,22,18,18,14,13,12,19,20,0,17,16,15,6,5,2,1,0,0
2022-03-05 16:00:00,2,4,5,7,11,14,15,4,16,16,17,19,6,10,8,7,10,14,17,17,16,12,12,12,13,20,19,18,18,11,17,12,10,3,0,1,0
2022-03-05 17:00:00,0,3,7,18,27,32,35,36,34,37,36,36,18,18,17,14,11,21,20,19,20,15,15,14,10,28,31,31,29,28,20,18,12,6,2,1,0
2022-03-05 18:00:00,2,4,4,12,15,22,23,15,24,25,23,24,10,8,7,12,11,22,21,21,20,14,12,11,11,27,28,29,19,27,20,18,15,12,11,4,0
