Unnamed: 0,1_범일운수종점,2_시흥동은행나무.은행나무시장,3_은행나무입구사거리,4_경남아파트,5_시흥초등학교.금천구보훈회관,6_동산교회앞,7_현대시장.시흥4동주민센터,8_남부여성발전센터,9_독산동정훈단지,10_독산4동주민센터,11_독산동성당앞,12_독산동쌈지공원,13_독산동남문시장,14_독산3동주민센터,15_독산3치안센터.꿈꾸는나무,16_독산고등학교,17_신림청소년독서실.신림체육센터,18_난곡입구,19_호림박물관,20_남서울중학교.성보중고등학교,21_신림사거리.신원시장,22_패션문화의거리입구,23_롯데관악점.건강보험관악지사,24_서울특별시.보라매병원,25_롯데백화점관악점,26_패션문화의거리입구,27_신림사거리.신림역,28_남부초등학교,29_호림박물관,30_신림청소년독서실.신림체육센터,31_독산고등학교,32_독산3치안센터.꿈꾸는나무,33_독산3동주민센터,34_독산동남문시장,35_독산동쌈지공원,36_독산동성당앞,37_독산동정훈단지,38_남부여성발전센터,39_현대시장.시흥4동주민센터,40_동산교회앞,41_시흥초등학교.금천구보훈회관,42_은행나무입구사거리,43_시흥동은행나무.은행나무시장,44_범일운수종점
2022-03-05 04:00:00,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,2,3,5,7,0,0,6,0,4,5,5,8,9,10,5,0,8,4,4,2,2,3,3,6,7,0,6,0,7,0,4,3,4,5,0,3,0,2,1,0,0
2022-03-05 06:00:00,2,3,0,2,0,0,4,5,6,5,6,0,7,8,8,7,5,7,0,4,4,4,1,0,2,1,4,2,0,3,2,3,1,0,0,4,5,4,3,0,2,1,0,0
2022-03-05 07:00:00,2,4,1,6,7,3,8,6,8,9,6,4,10,11,13,15,6,14,12,12,6,6,4,1,1,3,3,2,4,3,4,5,3,2,4,3,0,4,3,0,0,0,0,0
2022-03-05 08:00:00,3,4,0,4,5,4,6,7,10,9,10,11,12,10,12,14,16,17,11,16,7,9,8,3,7,7,11,10,8,9,10,9,8,7,6,6,7,5,3,0,0,3,2,0
2022-03-05 09:00:00,3,5,0,6,0,5,7,9,9,12,13,0,14,15,16,17,17,17,19,19,10,14,6,5,2,5,8,7,8,6,5,6,8,8,3,7,6,6,6,2,5,4,2,0
2022-03-05 10:00:00,1,3,0,0,0,0,5,0,2,5,7,0,11,13,16,18,20,21,18,19,7,7,2,5,7,6,6,6,7,6,9,8,8,7,10,10,7,6,6,5,3,1,2,1
2022-03-05 11:00:00,1,3,0,5,6,8,10,9,8,8,7,7,8,14,14,15,17,16,7,11,7,7,4,2,3,4,9,8,0,7,8,7,6,6,3,5,5,6,7,1,0,0,0,0
2022-03-05 12:00:00,3,4,0,1,5,2,8,7,9,10,10,0,11,14,8,10,9,10,12,14,13,12,4,5,6,9,12,11,10,12,14,10,9,2,10,12,13,12,12,10,6,4,2,0
2022-03-05 13:00:00,2,3,2,2,3,4,10,8,9,10,9,0,12,11,16,15,17,15,17,18,8,7,8,7,5,5,17,0,10,19,13,13,11,12,13,12,8,13,11,6,4,3,1,0
2022-03-05 14:00:00,2,4,0,5,6,7,11,0,10,9,9,10,12,14,14,11,12,11,9,9,5,6,8,7,12,12,14,12,12,13,12,11,11,10,7,9,7,7,7,4,3,0,1,0
2022-03-05 15:00:00,1,3,0,5,0,4,6,6,7,10,14,0,9,13,16,13,15,16,16,16,8,7,3,5,4,5,15,18,12,17,9,15,14,6,3,5,3,0,2,1,1,0,0,0
2022-03-05 16:00:00,2,6,8,11,12,10,9,9,9,0,6,11,10,0,10,12,11,15,16,17,12,7,3,6,6,8,19,21,12,20,18,19,20,19,21,20,14,11,10,7,6,2,0,0
2022-03-05 17:00:00,3,1,2,4,0,5,9,11,11,12,9,11,0,11,12,12,12,11,13,16,5,8,3,8,8,10,34,29,26,26,24,24,21,20,19,14,11,11,9,9,8,3,0,0
2022-03-05 18:00:00,4,6,9,8,10,10,5,7,8,9,0,9,10,12,10,14,4,15,16,15,7,6,0,5,5,8,19,17,20,17,16,15,15,14,16,14,13,12,9,4,8,1,0,0
2022-03-05 19:00:00,2,1,0,2,0,0,6,7,7,6,6,8,0,5,8,4,6,3,7,7,5,2,2,6,0,6,13,9,13,13,12,13,10,8,10,9,10,8,7,5,8,0,0,0
2022-03-05 20:00:00,0,6,0,7,5,0,7,7,7,6,7,6,7,6,5,4,5,4,3,3,2,3,8,8,11,13,18,19,16,17,14,13,10,15,12,5,7,4,2,0,0,2,0,0
2022-03-05 21:00:00,0,2,0,2,2,3,1,3,4,5,4,2,5,3,0,6,5,5,4,5,3,3,3,1,5,8,17,16,10,15,13,12,9,8,6,12,9,8,7,5,3,4,2,0
2022-03-05 22:00:00,0,3,0,0,0,0,4,3,4,2,3,2,0,0,0,2,2,0,2,0,1,2,2,1,2,5,15,15,14,7,13,12,10,10,8,6,7,3,3,2,1,2,0,0
2022-03-05 23:00:00,0,1,0,0,3,0,0,1,0,2,4,0,5,3,4,0,3,2,0,1,0,2,4,5,4,7,19,0,18,16,13,9,8,8,8,5,3,1,2,1,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,2,0,0,3,2,0,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,1,1,2,2,3,0,0,0,4,0,0,5,4,6,1,0,1,0,1,0,1,0,2,5,4,0,0,0,4,3,3,4,0,4,0,2,0,0,0,0,0
2022-03-06 06:00:00,1,1,0,1,0,3,0,2,3,2,1,0,2,0,0,0,0,4,3,3,0,5,3,0,2,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0
