Unnamed: 0,1_가산동기점,2_한일유엔아이아파트,3_디지털3단지.롯데정보통신,4_디지털3단지운동장,5_디지털3단지.(주)로옴코리아,6_가산디지털단지역,7_가산디지털단지역1호선,8_에이스하이엔드타워5차,9_구일우성아파트,10_구로1동우체국,11_구일우성아파트,12_가산디지털단지역입구,13_디지털단지오거리.가산파출소,14_디지털단지오거리,15_가산초등학교,16_모두의학교.금천문화예술정보학교,17_관악구보훈회관.신림푸르지오,18_난곡입구,19_호림박물관,20_남서울중학교.성보중고등학교,21_신림사거리.신림역,22_서원동승리교앞,23_서원동문화교앞,24_서림동주민센터.신화단지,25_삼성동시장,26_대학동고시촌입구,27_서울산업정보학교.삼성교,28_관악산입구.관악아트홀.중앙도서관,29_서울대학교,30_서울대학교치과병원.동물병원,31_서울여상.서울문영여중고앞,32_관악구청,33_서울대입구역,34_봉천사거리,35_낙성대동,36_낙성대입구,37_인헌중고.서울미술고,38_예술인마을.사당초등학교,39_남서울농협남현동지점,40_사당역4번출구,41_사당역,42_사당역9번출구앞,43_사당1동관악시장앞,44_예술인마을,45_서울미술고.인헌중고,46_낙성대입구,47_행운동주민센터,48_관악구청,49_관악경찰서.관악소방서,50_서울여상.서울문영여중고앞,51_서울대학교치과병원.동물병원,52_서울대학교,53_신림중.삼성고.관악아트홀.도서관,54_서울산업정보학교.삼성교,55_신성초등학교,56_영광메디컬센터,57_쑥고개입구,58_서원동문화교앞,59_신림사거리,60_신림사거리.신림역,61_남부초등학교,62_호림박물관,63_난곡입구,64_관악구보훈회관.신림푸르지오,65_천주교성령봉사회관.등불교회,66_KT구로지사,67_삼부르네상스.효성아파트,68_가리봉파출소,69_디지털단지오거리,70_구일우성아파트,71_구로1동우체국,72_구일우성아파트,73_디지털단지입구,74_디지털3단지.롯데정보통신,75_디지털3단지.영창실업,76_가산디지털단지역,77_디지털3단지.한일합섬,78_디지털3단지운동장,79_한일유앤아이아파트,80_가산동종점
2022-03-05 04:00:00,0,1,0,0,0,0,0,1,0,2,1,0,0,0,2,3,0,5,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,1,1,0,2,2,1,0,1,3,4,3,3,3,4,3,6,4,10,12,14,18,18,18,0,0,0,14,8,7,5,0,8,7,6,0,1,4,5,3,4,6,0,7,0,0,0,0,0,6,5,9,13,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,1,0,0,0,2,2,3,4,3,0,5,6,4,5,4,6,3,3,2,0,2,3,3,8,5,0,3,0,7,6,5,5,6,4,8,5,0,3,4,7,4,5,6,6,4,0,0,0,0,1,4,4,10,11,10,7,7,6,7,5,6,3,9,1,9,8,7,8,0,8,7,4,1,0,0,0,0
2022-03-05 07:00:00,2,0,0,0,0,1,3,2,3,6,2,4,6,5,0,8,7,10,11,7,6,2,5,4,6,9,10,12,7,11,10,8,6,8,8,6,5,7,5,0,3,6,5,5,4,4,6,4,5,0,0,3,4,3,6,8,10,13,6,5,5,5,4,5,5,3,4,3,4,1,4,0,4,3,2,1,0,0,0,0
2022-03-05 08:00:00,1,0,0,0,0,4,4,2,4,5,5,5,5,6,8,6,10,11,12,16,10,8,10,10,11,16,18,19,9,0,0,17,11,10,8,7,9,9,8,0,2,5,6,6,10,9,10,9,9,0,8,5,6,6,9,14,16,15,12,14,14,8,13,12,9,8,6,6,7,9,4,11,4,3,2,1,0,0,0,0
2022-03-05 09:00:00,0,1,1,1,0,2,3,1,4,7,9,11,9,13,16,16,17,17,18,19,15,12,16,18,21,24,28,26,25,20,24,23,18,17,15,12,11,10,9,0,5,9,8,10,11,12,13,17,16,15,13,8,8,9,13,14,22,22,13,7,9,7,11,11,12,14,15,12,8,7,7,2,7,8,2,0,0,0,0,0
2022-03-05 10:00:00,1,1,0,2,1,2,1,3,2,4,3,4,6,10,6,14,16,20,21,24,22,23,22,24,27,29,32,31,31,13,18,24,18,17,18,16,10,14,9,6,5,8,18,10,19,25,23,23,14,15,13,11,10,13,16,15,16,16,11,12,9,11,9,8,7,8,7,4,2,3,4,4,5,1,6,1,0,0,0,0
2022-03-05 11:00:00,1,1,0,3,0,2,2,3,4,9,5,7,9,9,12,14,16,16,17,17,14,12,12,18,23,27,31,32,32,33,32,31,17,16,13,14,14,10,8,0,4,10,11,10,12,17,20,20,16,16,21,18,29,26,17,23,28,26,22,19,17,8,10,10,6,5,6,5,4,3,8,0,9,8,5,3,2,0,1,0
2022-03-05 12:00:00,1,3,1,2,3,1,4,1,5,6,0,7,6,7,5,7,7,8,0,10,11,8,11,11,16,21,24,36,40,27,38,33,27,23,18,18,18,17,14,0,8,12,16,14,14,16,18,20,18,0,16,17,17,30,31,29,30,37,19,12,10,16,11,10,9,8,7,6,4,3,7,2,1,4,3,2,2,1,0,0
2022-03-05 13:00:00,1,1,3,5,4,4,5,2,3,5,6,9,7,10,13,10,12,11,14,14,13,15,14,16,13,21,27,39,47,44,38,34,18,15,14,11,8,8,7,0,6,11,16,15,15,19,22,22,23,11,17,20,22,16,21,22,28,21,13,11,11,11,11,8,9,8,6,5,4,2,1,0,5,0,2,3,0,3,2,0
2022-03-05 14:00:00,5,6,9,4,0,5,5,5,5,6,0,5,4,5,5,7,8,10,11,12,12,12,13,13,13,15,26,34,36,16,32,35,24,21,19,19,16,20,19,1,7,15,14,18,17,20,17,24,23,23,21,22,25,20,17,15,20,21,13,20,15,11,10,9,7,8,6,5,4,6,3,5,6,3,5,2,0,0,1,0
2022-03-05 15:00:00,0,2,3,2,1,4,4,5,5,7,4,7,9,6,10,10,11,13,13,14,10,9,12,12,10,13,17,25,24,25,0,24,20,18,14,16,17,19,10,1,3,8,9,12,13,18,21,22,22,18,21,14,23,18,20,21,23,23,14,14,9,0,7,10,8,10,8,9,9,8,7,4,6,2,1,5,0,0,0,0
2022-03-05 16:00:00,1,0,0,2,0,5,7,8,6,5,6,7,9,8,10,8,13,13,15,16,20,19,18,15,16,14,20,29,31,23,30,28,23,19,19,22,18,17,16,2,3,12,14,14,15,17,20,22,24,9,20,25,28,24,20,20,27,26,13,16,15,11,6,14,13,12,9,8,6,4,4,3,3,0,1,5,4,3,0,0
2022-03-05 17:00:00,0,2,2,1,3,7,5,8,6,5,6,8,9,15,10,15,15,19,21,21,26,30,28,20,15,28,26,29,37,34,34,26,19,17,22,14,14,14,10,3,7,14,19,16,16,19,19,31,25,24,0,31,32,23,19,17,19,20,17,17,15,14,18,11,18,16,12,7,6,2,6,0,3,0,4,5,4,2,0,0
2022-03-05 18:00:00,0,0,3,5,0,4,6,11,10,9,6,8,9,10,10,11,12,13,0,15,12,14,14,11,9,17,23,26,23,27,25,19,15,12,11,8,9,6,8,1,6,14,14,14,11,12,10,17,19,16,0,12,18,15,14,20,24,24,16,13,10,8,8,6,6,10,6,5,8,6,4,0,1,2,0,1,0,0,0,0
2022-03-05 19:00:00,1,3,1,4,3,4,4,0,1,2,0,3,8,9,10,11,12,14,9,14,16,17,9,8,7,7,10,9,10,6,8,9,9,10,11,10,8,8,4,3,6,15,17,13,12,16,15,15,14,0,13,15,14,14,11,9,9,11,7,13,10,11,6,4,4,5,2,1,0,0,1,0,0,1,0,3,0,0,2,0
2022-03-05 20:00:00,0,0,0,0,1,3,5,4,5,4,2,5,8,6,3,8,10,9,7,6,10,5,19,17,11,7,9,7,9,8,0,7,5,6,5,7,6,4,1,1,5,8,7,7,8,16,15,16,0,0,0,18,16,15,17,18,15,11,13,15,16,11,10,7,7,5,4,2,2,2,1,1,0,0,0,3,0,0,0,0
2022-03-05 21:00:00,1,1,0,3,0,4,6,7,3,5,0,6,10,12,12,15,14,12,12,0,13,14,12,12,11,10,12,0,9,10,0,11,8,7,4,3,3,3,0,1,3,5,10,7,10,14,14,22,16,0,21,0,19,12,12,11,12,12,10,12,11,8,6,5,4,5,4,0,2,1,1,2,0,0,1,3,2,0,0,0
