Unnamed: 0,1_범일운수종점,2_은행나무로입구,3_화인전자산업,4_경동택배,5_문일고입구,6_금천구청.금천경찰서,7_말미고개.금천소방서,8_금천우체국.독산1동주민센터,9_진도아파트,10_시흥모터스,11_제일모직아울렛,12_벽산디지털밸리,13_마리오아울렛,14_국민연금공단.구로금천지사앞,15_가산디지털단지역,16_마리오아울렛,17_벽산디지털밸리,18_제일모직아울렛,19_진도아파트,20_현대지식산업센터,21_홈플러스금천점,22_말미고개.금천소방서,23_금천구청.금천경찰서,24_시흥사거리,25_삼화약국,26_대우당약국,27_시흥동은행나무.은행나무시장,28_범일운수종점
2022-03-05 04:00:00,8,9,8,10,10,11,12,12,14,0,10,8,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,4,8,5,7,0,9,10,13,11,12,11,10,9,2,2,0,2,0,2,0,0,0,1,2,1,1,0,0
2022-03-05 06:00:00,3,5,6,5,5,6,5,8,7,5,6,5,2,1,4,5,0,0,4,2,2,0,1,0,0,0,0,0
2022-03-05 07:00:00,2,4,2,6,5,7,5,8,7,0,3,6,1,3,10,11,0,10,8,2,1,0,0,0,0,0,0,0
2022-03-05 08:00:00,4,7,8,8,9,10,10,11,10,8,6,5,2,4,7,8,0,7,7,2,3,0,4,0,3,0,1,0
2022-03-05 09:00:00,2,8,0,0,7,8,9,9,8,6,7,4,3,3,7,9,0,8,3,2,4,3,3,1,0,0,1,0
2022-03-05 10:00:00,3,7,0,2,6,10,11,10,10,0,9,8,5,2,5,7,9,6,5,3,5,5,4,3,0,1,0,0
2022-03-05 11:00:00,3,10,0,5,13,14,13,11,8,0,9,6,4,1,5,8,3,9,8,4,7,3,6,5,0,4,1,0
2022-03-05 12:00:00,7,13,7,0,0,7,14,16,15,12,11,10,7,5,9,12,13,12,11,8,8,7,6,6,3,5,3,0
2022-03-05 13:00:00,4,16,0,7,15,16,17,13,11,16,14,11,6,4,10,12,14,0,9,6,6,7,5,6,0,5,1,0
2022-03-05 14:00:00,6,8,5,6,10,13,12,14,14,12,13,12,6,4,7,11,0,0,14,9,6,3,7,8,3,7,1,0
2022-03-05 15:00:00,6,8,4,0,7,12,13,13,15,14,16,13,8,3,9,20,20,21,20,17,17,12,9,11,10,8,3,0
2022-03-05 16:00:00,1,6,0,0,6,8,9,10,11,4,12,12,13,3,14,21,23,24,23,21,20,17,16,15,8,12,2,0
2022-03-05 17:00:00,2,5,0,6,4,5,6,14,16,14,15,17,15,5,10,21,15,17,20,17,14,13,12,9,5,6,2,0
2022-03-05 18:00:00,2,3,0,0,4,0,5,4,6,0,3,6,6,4,11,18,13,19,17,15,14,11,7,9,4,6,4,0
2022-03-05 19:00:00,2,2,4,0,0,0,0,4,5,1,0,4,6,7,9,14,17,8,15,13,13,13,15,12,10,9,7,0
2022-03-05 20:00:00,1,5,0,4,3,2,0,7,0,5,0,6,4,4,8,5,6,7,5,8,7,4,6,7,5,5,4,0
2022-03-05 21:00:00,2,4,0,0,0,3,4,9,0,7,0,10,9,8,11,9,12,13,9,12,16,9,6,7,5,4,0,0
2022-03-05 22:00:00,0,1,1,0,0,0,2,4,0,0,0,0,3,4,7,5,5,3,0,8,6,14,11,12,10,9,2,0
2022-03-05 23:00:00,0,1,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,5,1,3,0,1,3,0,1,1,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,2,0,3,2,3,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,2,4,0,4,7,0,7,6,0,0,5,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0
2022-03-06 06:00:00,1,1,0,0,0,1,0,4,2,1,2,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2022-03-06 07:00:00,2,0,0,0,0,0,0,2,0,0,0,0,1,2,4,0,1,0,5,0,0,1,0,0,0,0,0,0
2022-03-06 08:00:00,2,5,3,6,0,5,5,7,6,2,1,0,2,3,4,5,0,0,6,4,3,2,1,0,2,1,0,0
2022-03-06 09:00:00,3,11,6,5,13,11,12,8,7,0,7,6,4,1,5,4,0,0,2,2,1,2,1,4,0,0,1,0
2022-03-06 10:00:00,2,3,0,2,0,5,4,4,11,0,9,6,4,2,4,4,0,0,3,4,3,0,2,3,1,0,0,0
2022-03-06 11:00:00,1,7,0,0,4,7,6,8,10,11,11,8,6,0,5,7,8,0,6,5,5,4,0,1,0,2,1,0
2022-03-06 12:00:00,3,6,0,8,2,2,10,12,7,6,6,6,3,2,4,0,0,0,0,4,4,0,3,0,0,2,1,0
2022-03-06 13:00:00,4,7,0,0,8,11,8,15,16,0,15,11,6,1,3,7,0,5,8,5,4,4,5,3,2,2,1,0
2022-03-06 14:00:00,4,5,0,0,5,8,8,9,12,11,9,6,6,3,6,10,0,7,9,9,6,4,4,1,3,0,0,0
2022-03-06 15:00:00,5,9,9,3,7,10,9,14,10,17,4,12,7,3,10,12,14,12,13,13,10,9,10,7,3,5,2,0
2022-03-06 16:00:00,4,11,4,0,10,11,9,10,10,11,0,11,14,14,13,21,23,19,22,21,22,20,12,13,8,6,2,0
2022-03-06 17:00:00,6,5,7,4,6,8,9,11,11,7,10,9,8,5,18,19,21,7,17,17,17,9,9,8,6,4,1,0
2022-03-06 18:00:00,0,6,0,2,3,3,4,4,3,4,5,7,2,2,7,32,0,9,30,22,15,12,4,11,8,5,2,0
2022-03-06 19:00:00,1,1,0,0,0,3,2,4,0,0,0,2,4,3,13,17,24,0,23,18,17,18,14,14,0,11,5,0
2022-03-06 20:00:00,1,0,0,2,0,3,0,13,5,3,12,4,10,4,10,13,14,0,11,11,20,6,18,4,16,3,5,0
2022-03-06 21:00:00,1,2,0,0,0,2,1,5,3,2,0,7,4,4,5,10,10,7,9,9,10,8,9,8,6,5,1,0
2022-03-06 22:00:00,0,1,0,0,0,0,0,0,2,0,0,4,3,2,5,0,0,4,3,3,5,4,5,0,0,2,0,0
2022-03-06 23:00:00,2,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,0,1,0,0,0,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,10,13,10,14,13,12,13,13,14,9,11,9,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,5,10,2,8,0,9,12,13,11,12,14,11,10,1,2,0,1,0,2,0,0,0,2,2,1,1,0,0
2022-03-07 06:00:00,4,9,5,9,8,8,11,12,11,11,6,9,8,5,6,0,1,0,7,3,0,1,0,0,0,0,0,0
2022-03-07 07:00:00,23,29,30,37,39,43,47,51,53,52,32,29,22,13,22,23,16,9,15,7,4,8,7,4,3,2,1,0
2022-03-07 08:00:00,29,38,21,44,48,54,56,60,61,63,51,37,27,24,55,48,54,51,41,10,6,4,5,3,2,0,3,0
2022-03-07 09:00:00,9,20,21,23,25,30,28,29,30,31,28,22,17,9,21,23,22,6,17,5,6,4,3,3,2,0,1,0
2022-03-07 10:00:00,3,6,7,8,9,11,10,13,14,15,14,11,8,2,11,0,0,0,11,8,7,2,0,0,1,0,0,0
2022-03-07 11:00:00,2,7,4,5,5,8,8,9,10,14,13,10,9,5,8,4,0,1,6,5,3,6,4,4,3,2,0,0
2022-03-07 12:00:00,5,8,4,7,9,10,8,9,10,0,9,8,7,1,7,9,11,2,9,8,5,3,5,3,0,2,0,0
2022-03-07 13:00:00,3,5,0,6,7,10,12,13,11,7,10,7,5,2,11,13,14,0,3,16,12,12,11,1,0,1,0,0
2022-03-07 14:00:00,2,5,0,7,4,8,3,7,0,7,7,6,5,6,7,11,17,11,16,12,10,8,7,6,8,7,4,0
2022-03-07 15:00:00,4,8,7,9,9,8,7,10,9,5,6,6,7,3,14,13,16,15,14,13,13,12,10,7,6,5,3,1
2022-03-07 16:00:00,6,8,2,9,10,12,11,12,13,12,12,9,11,3,14,16,20,12,11,10,10,11,10,9,10,8,4,0
2022-03-07 17:00:00,1,2,3,3,4,5,6,17,19,16,28,35,31,15,26,26,30,23,26,26,25,20,18,15,13,12,4,0
2022-03-07 18:00:00,3,4,0,3,4,7,6,38,44,45,46,44,35,22,34,36,47,41,39,44,37,35,31,31,26,18,10,0
2022-03-07 19:00:00,1,5,0,1,4,5,6,19,19,17,18,19,18,9,25,27,32,31,28,36,32,28,24,27,25,20,5,0
2022-03-07 20:00:00,0,1,0,1,2,3,2,8,10,7,9,10,9,4,13,15,17,18,13,18,16,15,14,12,7,7,2,0
2022-03-07 21:00:00,0,1,0,1,2,1,2,5,4,5,0,7,8,8,14,17,21,22,22,22,20,15,12,8,7,6,4,0
2022-03-07 22:00:00,0,0,0,0,1,3,1,5,1,0,0,6,5,3,9,7,8,0,7,6,12,10,11,12,11,6,4,0
2022-03-07 23:00:00,1,0,0,0,0,3,4,4,0,0,0,2,0,2,12,4,0,11,3,8,9,6,4,3,0,2,0,0
2022-03-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 04:00:00,7,9,11,12,8,12,13,14,0,9,13,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
