Unnamed: 0,1_보성운수(기점가상),2_보성운수차고지맞은편,3_신림복지관앞,4_난우중학교입구,5_우림시장.난곡보건분소,6_남강중고등학교입구,7_세이브마트앞,8_신일교회앞,9_난곡우체국사거리,10_신림청소년독서실.신림체육센터,11_관악구보훈회관.신림푸르지오,12_천주교성령봉사회관.등불교회,13_KT구로지사,14_삼부르네상스.효성아파트,15_가리봉파출소,16_디지털단지오거리,17_하이엔드1차.보건지소.치매센터,18_구로남초등학교,19_남구로역,20_구로4동자치회관,21_구로시장,22_구로4동우체국.고대구로병원정문,23_구로119안전센터,24_구로변전소.구로초등학교,25_구로역.NC신구로점,26_구로역,27_신도림중학교,28_신도림역,29_문래동남성아파트,30_남부지방법원등기국.구로세무서(에이스하이테크시티),31_영등포역,32_전경련회관,33_여의도환승센터,34_삼부아파트,35_여의나루역,36_여의도순복음교회,37_국회의사당,38_국회의사당역,39_KBS,40_영등포역,41_남부지방법원등기국.구로세무서(에이스하이테크시티),42_문래동남성아파트,43_신도림역,44_신도림중학교,45_구로역,46_쌍용구로정비사업소,47_우리유앤미아파트,48_구로119안전센터,49_구로4동우체국.고대구로병원정문,50_구로시장,51_남구로역,52_가리봉시장,53_디지털단지오거리.가산파출소,54_디지털단지오거리,55_가산초등학교,56_모두의학교.금천문화예술정보학교,57_관악구보훈회관.신림푸르지오,58_신림청소년독서실.신림체육센터,59_난곡우체국사거리,60_신일교회앞,61_세이브마트앞,62_남강중고등학교입구,63_우림시장.난곡보건분소,64_난우중학교입구,65_신림복지관앞,66_보성운수기종점(가상)
2022-03-05 04:00:00,3,3,5,7,9,10,11,13,15,20,21,22,23,24,21,22,21,18,15,15,17,17,20,20,8,0,6,0,4,5,4,5,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,2,1,3,5,6,5,8,11,9,16,16,23,24,20,15,20,22,17,15,16,17,21,19,11,0,7,8,0,5,6,5,4,3,2,1,0,2,0,1,3,0,9,8,4,13,14,11,10,11,5,4,0,7,6,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,3,4,7,7,9,11,11,9,8,9,8,9,5,7,6,5,4,5,5,8,13,14,10,8,7,10,4,11,9,0,1,1,1,3,4,1,0,2,2,0,3,1,0,5,5,4,3,9,10,0,3,9,0,9,6,3,8,4,2,0,6,0,1,0
2022-03-05 07:00:00,0,3,1,2,5,6,8,9,8,8,8,8,8,8,6,8,9,8,7,8,7,7,11,11,11,7,10,8,5,8,6,5,8,4,0,4,5,3,3,6,4,5,5,6,0,5,3,4,7,6,8,6,10,8,0,5,5,6,3,2,0,1,2,0,1,0
2022-03-05 08:00:00,0,2,4,6,13,14,15,22,24,21,11,10,9,11,11,12,12,12,10,12,12,15,17,17,12,8,10,10,8,7,7,7,5,2,0,1,3,2,4,3,1,2,5,4,5,11,12,11,11,9,12,5,2,11,10,10,8,8,6,5,2,0,1,0,0,0
2022-03-05 09:00:00,3,2,3,6,13,14,15,14,18,18,14,13,13,14,11,11,8,11,13,14,13,14,22,24,22,21,17,15,13,12,11,8,6,6,5,3,2,1,3,2,0,1,4,4,1,6,6,6,8,10,11,12,11,10,10,12,11,11,9,8,6,5,4,0,2,0
2022-03-05 10:00:00,0,2,5,4,7,10,12,11,14,13,14,11,11,13,14,16,17,18,15,14,13,14,16,12,15,0,14,17,16,14,15,11,6,3,4,4,3,4,5,4,3,4,5,4,5,8,10,12,10,10,17,16,15,13,11,8,9,7,0,3,3,1,0,0,0,0
2022-03-05 11:00:00,7,1,1,8,12,18,23,25,26,23,16,14,16,19,21,22,19,16,13,12,12,12,14,15,12,12,12,8,7,7,10,6,4,2,3,8,8,8,9,11,9,7,4,7,6,9,10,8,9,8,10,9,8,7,8,10,11,12,10,9,9,8,7,1,0,0
2022-03-05 12:00:00,1,6,8,10,12,13,15,17,18,20,17,15,16,15,13,15,16,14,12,13,13,18,20,20,22,21,23,19,17,13,9,10,8,9,7,6,10,10,8,15,8,4,16,17,18,22,10,18,16,17,18,16,15,12,8,13,16,17,6,12,9,5,4,2,4,0
2022-03-05 13:00:00,0,1,4,6,10,15,20,21,23,24,30,24,25,26,0,26,27,26,23,21,28,26,27,28,24,19,27,23,22,19,17,16,11,5,3,5,6,7,6,5,6,3,6,6,7,8,10,9,11,14,15,16,15,11,12,13,17,18,10,10,10,8,5,4,1,0
