Unnamed: 0,1_가산동기점(가상),2_가산디지털단지역,3_마리오아울렛,4_금천패션아울렛사거리.W몰,5_디지털단지오거리,6_가산동주민센터.금천글로벌센터,7_구립가산도서관.두산위브아파트,8_독산사거리,9_남문시장입구.청춘삘딩,10_독산동쌈지공원,11_독산동남문시장,12_독산3동주민센터,13_독산3치안센터.꿈꾸는나무,14_독산고등학교,15_난곡우체국사거리,16_신일교회앞,17_세이브마트앞,18_남강중고등학교입구,19_우림시장.난곡보건분소,20_난우중학교입구,21_신림복지관앞,22_난곡공영차고지,23_난곡종점,24_신림복지관앞,25_난우중학교입구,26_우림시장.난곡보건분소,27_남강중고등학교입구,28_세이브마트앞,29_신일교회앞,30_난곡우체국사거리,31_신림청소년독서실.신림체육센터,32_관악구보훈회관.신림푸르지오,33_천주교성령봉사회관.등불교회,34_KT구로지사,35_구로디지털단지역,36_동작상떼빌아파트,37_신대방경남아파트,38_태양의집.KT대방지사,39_신길주유소,40_신풍역.백악관웨딩문화원앞,41_신길힐스테이트클래시안아파트,42_우신초등학교,43_신길동홍어거리,44_대신시장,45_신길역,46_영등포로터리,47_영등포시장입구,48_김안과병원,49_당산동진로아파트,50_양남동로타리,51_양평1동주민센터,52_관악고등학교,53_오목교역.동신한방병원,54_목동대학학원,55_목동7단지.종로학원,56_목동역.홍익병원,57_홍익병원목동관,58_목동사거리,59_영도중.강서고입구.기아양서대리점,60_목동시장.대일고교.배광교회,61_목동성원아파트,62_목3동주민센터.현대아이파크.실로암안과,63_목3동시장.강서도서관,64_등촌역.강서보건소,65_염창역.서울도시가스,66_안양천입구,67_양평동한솔아파트,68_양평한신아파트.선유도공원입구,69_당산역삼성래미안아파트,70_삼환아파트,71_신화병원,72_영등포시장,73_경방타임스퀘어.신세계백화점,74_영등포역,75_영등포공원.영등포문화원,76_대성병원,77_우신초등학교,78_사러가쇼핑센타,79_신길한화꿈에그린아파트,80_신풍역.백악관웨딩문화원앞,81_태양의집,82_강남성심병원.대림성모병원,83_서울영림초등학교,84_구로디지털단지역,85_모두의학교.금천문화예술정보학교,86_관악구보훈회관.신림푸르지오,87_신림청소년독서실.신림체육센터,88_난곡우체국사거리,89_신일교회앞,90_세이브마트앞,91_남강중고등학교입구,92_우림시장.난곡보건분소,93_난우중학교입구,94_신림복지관앞,95_난곡공영차고지,96_신림복지관앞,97_난우중학교입구,98_우림시장.난곡보건분소,99_남강중고등학교입구,100_세이브마트앞,101_신일교회앞,102_난곡우체국사거리,103_신림청소년독서실.신림체육센터,104_관악구보훈회관.신림푸르지오,105_천주교성령봉사회관.등불교회,106_KT구로지사,107_구로디지털단지역(중),108_구로디지털단지역,109_한국산업단지공단.이마트구로점,110_디지털산업1단지,111_지하이시티.보건지소.치매센터,112_디지털단지오거리,113_금천패션아울렛사거리.마리오,114_가산디지털단지역,115_가산동종점(가상)
2022-03-05 04:00:00,0,1,0,2,0,0,3,0,2,2,1,0,1,0,2,1,0,0,0,0,0,0,2,3,4,3,4,5,6,0,0,7,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,0,1,0,0,1,0,2,0,0,0,0,2,0,2,1,0,0,0,1,3,2,4,6,9,10,8,9,7,10,8,8,6,7,7,5,9,5,10,6,14,18,11,8,3,7,5,0,0,0,0,1,0,0,0,0,2,3,4,6,6,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,0,0,0,1,1,2,0,4,0,1,0,5,1,0,3,0,2,0,1,0,3,1,5,8,10,6,9,3,9,5,3,4,5,0,4,6,4,6,8,9,4,11,8,6,5,4,2,1,0,7,5,4,3,2,3,0,4,2,5,5,4,3,3,4,2,3,4,3,3,4,2,5,2,7,6,5,6,7,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,3,0,3,0,1,1,2,1,1,0,3,0,0,0,0,0,2,0,1,0,0,2,3,4,7,9,10,12,13,12,13,11,10,10,6,9,10,11,5,9,6,11,12,10,2,0,1,0,2,0,3,0,0,0,1,0,4,8,6,10,9,10,10,11,10,9,0,8,3,4,7,5,0,3,1,3,6,5,4,11,10,8,3,2,1,0,1,0,1,0,0,0,0,1,4,6,11,13,17,19,10,16,9,8,6,5,2,3,3,2,5,4,0,0
2022-03-05 08:00:00,0,3,0,1,0,0,2,4,2,2,5,3,6,5,3,0,2,1,1,0,1,0,6,7,10,14,17,21,16,22,20,17,18,20,16,15,12,14,15,16,19,17,18,20,15,14,13,11,10,8,7,6,5,5,4,4,6,6,7,9,11,12,11,10,9,4,3,9,14,13,13,11,6,4,3,5,4,6,5,7,7,5,9,9,9,9,7,5,3,2,0,3,2,1,3,6,5,4,7,10,8,11,7,7,5,4,3,4,4,1,2,3,2,0,0
2022-03-05 09:00:00,0,7,2,5,6,3,5,5,3,3,5,5,4,5,4,3,3,3,3,2,0,0,3,4,5,8,10,13,10,12,0,10,11,12,10,13,15,12,12,16,18,17,16,22,10,9,6,6,5,2,3,4,3,2,4,3,5,6,8,10,12,18,21,21,19,8,0,0,18,18,18,15,11,10,13,6,12,10,12,10,5,9,7,6,5,7,6,5,4,4,3,1,1,0,6,0,4,7,8,5,6,9,8,8,7,8,5,8,7,5,6,5,4,0,0
2022-03-05 10:00:00,0,7,7,6,7,0,1,6,5,4,4,4,5,0,5,2,6,2,1,0,0,0,5,6,6,11,13,16,16,13,17,15,13,11,6,6,7,9,7,8,12,12,12,17,11,7,7,6,7,5,6,11,8,6,3,6,5,6,8,9,10,10,9,10,14,13,11,12,9,8,9,8,8,7,5,8,8,7,5,9,8,6,6,7,11,15,14,13,10,10,9,4,3,1,2,4,0,7,11,15,16,16,17,13,12,14,6,6,5,4,3,3,2,0,0
2022-03-05 11:00:00,0,3,2,3,0,3,2,1,4,3,0,5,4,4,3,0,5,3,4,2,3,0,9,11,15,18,18,25,5,23,22,19,19,18,12,11,12,13,14,21,23,19,20,18,16,11,5,6,4,3,8,4,9,9,4,11,8,11,12,13,18,20,16,15,11,7,10,0,12,13,10,9,7,7,9,10,5,9,6,6,8,11,10,13,11,13,11,10,8,9,8,6,6,4,6,7,8,10,9,10,11,16,10,12,6,10,10,10,9,9,8,4,4,0,0
2022-03-05 12:00:00,0,3,5,5,3,1,4,7,4,5,6,5,5,4,5,6,7,8,7,1,6,4,4,6,10,11,9,10,13,15,13,11,12,10,12,11,14,15,15,17,15,18,17,20,17,14,11,12,11,11,7,10,8,10,11,16,14,14,19,19,20,23,19,21,18,16,17,11,14,15,14,15,18,18,17,17,20,18,17,15,9,8,9,11,11,13,12,9,7,7,4,1,2,2,10,2,0,11,8,14,15,11,11,14,16,17,12,11,5,7,6,7,4,0,0
2022-03-05 13:00:00,0,2,4,8,9,9,10,11,8,6,5,7,4,6,3,4,2,1,1,0,0,0,7,10,9,12,13,16,20,21,20,17,8,9,16,17,21,23,7,10,10,10,11,15,20,15,10,9,9,9,8,9,8,12,15,18,16,16,17,18,19,19,18,11,12,11,11,13,16,18,16,18,14,13,13,12,13,12,10,14,13,14,13,14,13,14,13,12,12,8,9,6,0,0,2,4,2,6,8,6,7,7,9,7,9,9,4,6,6,7,8,7,4,0,0
