Unnamed: 0,1_범일운수종점,2_은행나무로입구,3_백산초등학교,4_시흥사거리,5_금천구청.금천경찰서,6_말미고개.금천소방서,7_금천우체국,8_문성초등학교,9_구로디지털단지역(중),10_문성초등학교,11_금천우체국,12_말미고개.금천소방서,13_금천구청.금천경찰서,14_시흥사거리,15_백산초등학교,16_대우당약국,17_시흥동은행나무.은행나무시장,18_범일운수종점
2022-03-05 04:00:00,3,4,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,3,8,8,11,17,21,20,20,4,5,0,2,3,3,1,0,0,0
2022-03-05 06:00:00,4,7,7,8,0,7,5,8,5,4,5,3,2,2,3,1,1,0
2022-03-05 07:00:00,8,6,6,7,9,11,10,8,8,9,8,6,1,2,1,0,0,0
2022-03-05 08:00:00,9,14,14,19,23,20,21,23,9,8,5,6,6,3,4,3,1,0
2022-03-05 09:00:00,12,12,12,13,20,18,20,19,15,12,10,12,7,8,8,5,1,0
2022-03-05 10:00:00,9,16,17,25,22,21,21,18,16,13,10,10,7,6,5,4,2,0
2022-03-05 11:00:00,11,17,16,21,19,20,19,18,12,14,11,10,9,8,9,6,5,0
2022-03-05 12:00:00,8,14,12,14,15,21,18,11,18,13,12,14,13,10,8,7,2,0
2022-03-05 13:00:00,9,15,14,22,24,25,26,23,12,13,12,11,10,9,8,6,3,0
2022-03-05 14:00:00,7,11,10,18,18,22,22,23,9,8,12,12,11,8,10,8,2,0
2022-03-05 15:00:00,6,11,12,12,15,16,17,16,16,15,14,15,12,16,18,13,3,0
2022-03-05 16:00:00,8,12,11,14,14,14,14,13,47,38,31,24,17,12,12,9,3,0
2022-03-05 17:00:00,9,13,11,15,9,15,15,12,23,23,23,21,18,17,16,13,3,0
2022-03-05 18:00:00,3,7,4,10,11,11,9,7,19,15,20,20,15,17,11,10,4,0
2022-03-05 19:00:00,2,5,4,5,7,6,5,7,19,15,14,12,11,11,9,9,3,0
2022-03-05 20:00:00,3,3,4,6,5,0,7,6,14,13,14,12,9,12,11,9,5,0
2022-03-05 21:00:00,2,3,2,0,3,4,3,3,26,23,24,15,14,14,11,13,12,0
2022-03-05 22:00:00,2,2,2,1,0,1,2,0,23,22,23,19,17,16,15,12,6,0
2022-03-05 23:00:00,0,0,1,4,2,3,3,0,19,19,20,17,16,14,13,11,7,6
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,5,6,7,6,4,5,4,5,2,2,3,2,1,1,1,0,0,0
2022-03-06 06:00:00,3,5,4,4,4,5,6,6,3,3,2,1,0,0,2,1,0,0
2022-03-06 07:00:00,6,0,8,5,6,7,10,7,3,0,1,4,1,3,0,1,0,0
2022-03-06 08:00:00,7,10,9,7,5,7,6,6,8,8,7,6,2,5,4,3,2,0
2022-03-06 09:00:00,11,13,10,13,9,13,14,8,6,8,7,7,7,8,8,4,0,0
2022-03-06 10:00:00,7,13,11,11,12,13,12,12,7,8,7,7,5,3,2,2,0,0
2022-03-06 11:00:00,3,7,9,12,13,17,13,13,9,7,5,4,4,4,5,3,2,0
2022-03-06 12:00:00,7,11,9,15,18,21,24,15,11,10,11,9,9,6,5,4,3,0
2022-03-06 13:00:00,12,16,16,19,20,20,14,23,8,10,12,9,7,5,4,3,1,0
2022-03-06 14:00:00,6,12,13,13,18,20,18,20,9,6,7,5,4,6,7,5,1,0
2022-03-06 15:00:00,10,16,13,19,20,21,22,24,20,16,11,10,9,8,2,6,2,0
2022-03-06 16:00:00,5,6,5,9,10,11,11,12,19,18,16,15,13,13,7,5,1,0
2022-03-06 17:00:00,20,21,20,19,9,10,8,7,22,19,18,16,12,10,9,7,3,0
2022-03-06 18:00:00,12,17,16,15,12,11,11,8,27,24,20,22,19,14,12,11,6,0
2022-03-06 19:00:00,3,6,5,6,6,7,5,6,22,22,16,16,14,12,8,11,3,0
2022-03-06 20:00:00,2,2,0,4,2,4,7,8,16,10,47,45,41,31,27,22,6,0
2022-03-06 21:00:00,3,2,1,3,2,3,6,6,20,9,15,13,11,10,12,10,6,0
2022-03-06 22:00:00,2,2,0,3,0,2,1,0,23,20,20,15,12,8,9,10,3,0
2022-03-06 23:00:00,1,3,0,1,1,0,1,0,12,6,7,9,6,8,5,4,1,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,5,3,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,5,11,11,9,10,13,12,13,5,7,2,6,5,3,1,0,0,0
2022-03-07 06:00:00,10,15,16,17,13,9,14,8,9,7,7,5,1,0,3,2,0,0
2022-03-07 07:00:00,29,33,36,45,49,58,61,49,21,18,20,19,17,11,9,7,6,0
2022-03-07 08:00:00,32,41,43,49,50,50,53,46,20,16,8,11,8,4,4,3,2,0
2022-03-07 09:00:00,19,28,28,32,34,33,34,31,9,14,10,8,5,6,4,2,2,0
2022-03-07 10:00:00,6,14,15,19,14,17,12,13,10,8,11,8,6,4,6,4,1,0
2022-03-07 11:00:00,5,11,11,10,9,8,11,10,9,10,13,9,9,10,6,5,1,0
2022-03-07 12:00:00,7,13,17,15,14,11,11,11,8,9,11,12,11,11,7,7,3,0
2022-03-07 13:00:00,7,8,8,10,12,11,14,14,14,13,13,11,10,6,7,5,4,0
2022-03-07 14:00:00,6,8,7,8,8,10,8,7,11,13,12,10,9,10,9,6,2,0
2022-03-07 15:00:00,10,13,12,15,13,12,9,8,20,16,18,17,18,12,12,11,8,0
2022-03-07 16:00:00,24,28,16,16,16,12,15,16,26,23,23,22,23,23,20,17,9,0
2022-03-07 17:00:00,6,14,11,14,16,16,19,15,45,40,37,33,23,23,20,17,6,0
2022-03-07 18:00:00,8,11,8,15,16,19,17,12,56,53,52,49,48,40,40,31,10,0
2022-03-07 19:00:00,5,6,5,8,11,7,8,3,54,49,41,42,39,37,35,31,13,0
2022-03-07 20:00:00,2,1,1,4,5,5,5,4,32,27,24,19,19,21,19,17,7,0
2022-03-07 21:00:00,2,5,4,7,8,7,4,3,35,30,28,24,13,12,11,8,3,0
2022-03-07 22:00:00,1,3,4,5,0,0,4,2,25,22,20,23,24,23,19,18,10,0
2022-03-07 23:00:00,1,0,0,3,4,2,1,1,17,16,17,12,9,11,9,8,6,0
2022-03-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 04:00:00,4,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 05:00:00,6,12,11,13,18,12,18,17,9,12,12,7,4,4,3,0,0,0
2022-03-08 06:00:00,12,15,15,16,15,15,15,10,9,5,4,5,4,2,2,1,1,0
2022-03-08 07:00:00,28,39,37,36,37,39,41,39,9,10,8,9,9,8,6,4,5,0
2022-03-08 08:00:00,28,39,46,53,62,65,68,65,26,21,17,14,10,7,7,5,4,0
2022-03-08 09:00:00,14,25,22,26,27,30,33,29,16,13,9,8,7,7,5,4,1,0
2022-03-08 10:00:00,9,13,8,13,16,13,14,13,8,8,8,7,3,8,7,6,4,0
2022-03-08 11:00:00,7,12,12,13,14,15,14,13,9,7,8,9,10,7,5,4,1,0
2022-03-08 12:00:00,4,7,8,11,11,11,11,12,12,12,10,11,7,8,6,5,2,0
2022-03-08 13:00:00,7,8,7,8,9,9,10,10,12,11,11,10,9,7,6,4,2,0
2022-03-08 14:00:00,5,7,7,9,11,9,8,6,11,10,12,11,8,8,8,7,3,0
2022-03-08 15:00:00,15,20,20,16,13,13,14,13,16,19,23,20,18,9,9,8,3,0
2022-03-08 16:00:00,17,19,11,14,13,14,16,10,22,26,28,17,18,18,15,13,7,0
2022-03-08 17:00:00,11,16,15,13,17,16,15,13,35,31,28,29,24,19,16,13,4,0
2022-03-08 18:00:00,6,8,7,11,14,24,37,39,60,55,47,44,42,41,38,31,10,0
2022-03-08 19:00:00,4,6,3,5,5,5,7,16,41,40,37,37,33,34,28,22,9,0
2022-03-08 20:00:00,2,3,2,8,5,4,6,3,26,22,20,18,18,16,12,13,6,0
2022-03-08 21:00:00,2,3,3,7,3,2,5,0,28,24,19,19,18,21,18,16,15,0
2022-03-08 22:00:00,2,4,4,4,6,7,4,3,21,19,21,18,16,14,14,10,6,0
2022-03-08 23:00:00,0,1,0,3,0,0,2,2,30,12,30,26,25,17,13,11,8,0
2022-03-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 04:00:00,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09 05:00:00,4,5,5,6,9,3,8,6,6,8,5,0,9,5,3,2,1,0
2022-03-09 06:00:00,4,6,8,6,8,9,10,9,4,2,0,3,1,0,0,0,1,0
2022-03-09 07:00:00,7,6,7,8,8,7,8,7,6,5,4,4,3,4,3,1,0,0
2022-03-09 08:00:00,7,8,10,8,11,11,11,12,7,5,4,3,1,1,3,2,1,0
2022-03-09 09:00:00,10,17,14,16,24,27,29,17,5,5,8,6,4,3,3,2,1,0
2022-03-09 10:00:00,9,13,10,13,14,13,12,25,12,11,8,7,2,5,4,4,1,0
2022-03-09 11:00:00,5,10,8,14,14,13,15,15,9,11,12,10,6,6,7,6,2,0
2022-03-09 12:00:00,9,17,18,24,25,24,22,22,7,8,11,8,11,7,8,8,3,0
2022-03-09 13:00:00,4,8,5,8,5,27,27,23,13,11,10,8,9,5,6,5,2,0
2022-03-09 14:00:00,8,11,9,12,13,14,10,9,14,13,11,11,12,12,11,8,2,0
2022-03-09 15:00:00,5,10,7,15,19,15,19,18,14,11,18,17,18,12,10,8,2,0
2022-03-09 16:00:00,8,11,10,12,15,13,11,14,16,11,13,12,15,10,8,6,3,0
2022-03-09 17:00:00,5,9,5,9,12,13,13,12,23,18,17,17,15,14,12,11,6,0
2022-03-09 18:00:00,4,7,6,11,9,8,12,15,24,22,23,19,19,16,13,10,4,0
2022-03-09 19:00:00,4,4,6,4,0,3,7,1,14,15,13,10,11,13,13,9,4,0
2022-03-09 20:00:00,4,4,5,6,6,5,10,4,29,28,23,14,14,15,13,11,9,0
2022-03-09 21:00:00,4,4,5,6,0,2,1,3,27,30,25,21,15,12,9,6,5,0
2022-03-09 22:00:00,0,3,1,2,1,6,6,5,19,20,24,21,16,14,10,8,3,0
2022-03-09 23:00:00,1,1,0,1,1,1,0,0,16,6,8,17,16,14,6,4,4,0
2022-03-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 04:00:00,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 05:00:00,7,13,12,14,14,18,17,19,5,8,9,7,5,2,1,0,0,0
2022-03-10 06:00:00,10,14,14,13,21,24,24,12,5,5,4,3,2,0,1,2,1,0
2022-03-10 07:00:00,30,33,37,38,42,55,50,47,35,13,8,6,7,5,6,3,4,0
2022-03-10 08:00:00,39,44,40,47,56,58,58,51,28,20,11,9,6,5,5,3,4,0
2022-03-10 09:00:00,17,23,23,25,24,30,29,32,15,15,6,5,4,5,4,0,1,0
2022-03-10 10:00:00,6,11,11,17,18,12,17,21,8,7,6,7,7,6,5,5,2,0
2022-03-10 11:00:00,6,11,9,16,11,12,16,13,10,5,7,5,6,6,8,6,2,0
2022-03-10 12:00:00,5,8,7,10,10,10,14,12,7,8,9,7,5,5,3,2,2,0
2022-03-10 13:00:00,8,13,12,14,17,22,23,21,7,6,5,9,10,9,8,6,3,0
2022-03-10 14:00:00,5,10,10,11,7,11,12,11,12,9,15,16,14,10,11,9,3,0
2022-03-10 15:00:00,12,14,14,13,13,14,13,11,21,19,21,20,18,17,11,16,4,0
2022-03-10 16:00:00,32,33,20,16,17,17,19,14,22,17,21,20,13,13,11,10,5,1
2022-03-10 17:00:00,6,9,11,21,21,18,15,13,44,36,36,30,25,22,23,18,6,0
2022-03-10 18:00:00,10,12,11,12,11,10,12,15,54,47,46,41,37,32,30,25,8,0
2022-03-10 19:00:00,3,4,6,12,15,14,24,20,51,49,41,34,31,31,28,25,12,0
2022-03-10 20:00:00,1,3,1,2,3,2,5,5,34,32,27,23,19,22,20,17,7,0
2022-03-10 21:00:00,1,3,2,6,9,6,9,0,33,23,21,19,19,18,14,9,3,0
2022-03-10 22:00:00,1,3,1,2,1,1,3,2,31,28,24,18,17,17,15,13,7,0
