Unnamed: 0,1_보성운수기종점,2_구로두산아파트,3_남구로역6번출구,4_남구로역,5_남구로역,6_가리봉시장,7_디지털단지오거리.가산파출소,8_디지털단지오거리,9_가산동주민센터.금천글로벌센터,10_구립가산도서관.두산위브아파트,11_독산사거리,12_금천우체국,13_말미고개.금천소방서,14_금천구청.금천경찰서,15_시흥사거리,16_박미삼거리.국립전통예술중고,17_시흥유통센터,18_석수역,19_석수역,20_시흥유통센터,21_박미삼거리.국립전통예술중고,22_시흥사거리,23_금천구청.금천경찰서,24_말미고개.금천소방서,25_금천우체국,26_독산사거리,27_구립가산도서관.두산위브아파트,28_가산동주민센터.금천글로벌센터,29_디지털단지오거리,30_디지털단지오거리,31_가리봉시장,32_남구로역,33_구로종합사회복지관,34_영서중학교,35_대림역,36_대림역12번출구,37_대동초등학교.명지성모병원,38_대림동우성아파트,39_신길5동새마을금고우리시장,40_신길5동주민센터,41_성락교회,42_도림마을금고,43_남부지방법원등기국.구로세무서(에이스하이테크시티),44_영등포역,45_전경련회관,46_여의도환승센터,47_유진투자증권.파이낸셜뉴스신문,48_한국거래소,49_여의도역,50_샛강역4번출구.여의도자이,51_진주아파트,52_시범아파트,53_여의도중학교,54_여의나루역,55_여의도순복음교회,56_국회의사당,57_국회의사당역,58_KBS,59_영등포역,60_남부지방법원등기국.구로세무서(에이스하이테크시티),61_도림마을금고,62_성락교회,63_신길5동주민센터,64_신길5동새마을금고,65_대림동우성아파트,66_대동초등학교.명지성모병원,67_대림역,68_대림역,69_보성운수기종점
2022-03-05 04:00:00,10,11,11,5,11,8,9,10,11,7,5,10,7,6,10,13,7,0,3,4,7,8,10,14,15,14,21,23,24,21,20,17,18,18,18,13,14,15,16,17,18,19,12,8,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,5,4,7,8,12,10,9,10,9,10,10,11,9,11,9,11,7,0,1,1,3,4,7,11,15,17,19,26,29,29,29,33,33,25,13,14,14,12,13,13,16,18,15,11,7,9,8,6,4,1,1,2,0,1,0,0,2,0,4,0,5,8,5,9,11,5,2,0,0
2022-03-05 06:00:00,2,3,5,6,7,7,8,5,2,7,6,5,5,5,4,6,1,0,3,1,2,4,4,6,5,5,6,6,7,4,8,6,7,8,6,5,4,15,16,18,13,19,18,16,16,15,13,6,5,3,2,1,0,0,6,5,1,0,1,2,1,1,0,2,5,2,1,0,0
2022-03-05 07:00:00,2,4,6,7,7,6,8,4,7,7,8,7,5,5,5,3,4,0,5,5,6,5,7,7,9,5,8,5,6,6,7,3,3,3,2,1,3,4,6,8,9,10,7,6,5,4,3,3,3,1,2,0,1,0,3,0,0,4,4,5,6,7,4,5,9,8,3,1,0
2022-03-05 08:00:00,3,6,8,9,13,12,13,14,15,16,12,9,8,6,4,3,0,0,3,6,2,7,13,13,14,13,14,13,13,13,14,14,16,16,13,14,11,14,16,17,16,19,17,11,9,4,4,1,5,4,3,2,1,1,5,1,2,3,5,8,6,8,10,9,13,6,2,0,0
2022-03-05 09:00:00,4,4,5,7,8,7,4,6,6,9,7,7,9,8,6,7,4,1,3,6,3,10,11,13,15,14,14,15,17,18,21,18,19,18,12,13,15,19,20,23,27,29,22,12,11,5,3,2,2,2,1,3,0,1,2,0,2,1,5,7,8,6,8,9,14,12,6,2,0
2022-03-05 10:00:00,7,9,11,10,11,9,10,7,8,14,13,12,10,5,2,3,1,0,4,3,7,9,10,13,15,16,14,18,19,19,18,17,17,19,15,11,12,16,18,20,22,23,19,11,9,7,2,1,5,2,1,2,4,7,3,3,4,3,6,8,10,10,11,8,12,13,9,10,0
2022-03-05 11:00:00,10,11,13,10,13,19,17,15,20,19,17,15,11,8,6,5,3,0,7,8,8,17,15,16,14,18,17,22,25,25,29,27,22,22,21,20,22,25,29,31,33,34,28,14,15,9,7,0,4,6,3,2,3,4,2,2,5,7,8,9,9,7,8,7,9,6,5,4,0
2022-03-05 12:00:00,5,9,8,11,13,12,12,13,18,20,19,19,15,9,8,9,6,1,3,5,10,9,14,16,23,23,19,24,21,23,21,22,24,24,25,18,20,20,23,27,28,27,23,14,13,14,8,7,8,3,9,6,4,2,2,2,4,3,9,10,8,9,10,7,10,3,2,1,0
2022-03-05 13:00:00,8,10,12,13,16,18,16,13,15,17,15,14,9,6,5,3,5,0,2,3,4,5,8,12,14,14,14,14,12,10,10,21,22,19,15,13,17,23,24,28,33,40,32,13,11,4,7,9,12,11,8,6,3,6,6,7,4,8,10,11,8,10,8,9,12,10,10,9,0
2022-03-05 14:00:00,3,7,8,6,8,9,8,14,13,16,16,13,14,11,10,11,7,1,3,6,7,10,12,14,23,23,20,17,14,16,20,18,18,18,19,18,19,27,33,36,32,34,27,15,15,11,9,9,9,0,7,6,5,4,2,3,4,0,12,14,15,15,12,11,12,7,6,5,0
2022-03-05 15:00:00,6,9,11,10,15,11,15,12,15,14,12,11,9,7,3,4,2,0,4,3,5,13,14,20,19,21,19,21,24,17,18,17,17,18,16,22,28,27,27,29,32,31,25,9,6,3,4,7,8,7,7,8,13,10,7,11,13,14,18,20,18,15,15,11,8,7,9,5,0
2022-03-05 16:00:00,6,10,12,19,21,20,20,18,21,21,10,19,16,13,11,5,5,0,7,3,5,24,31,29,35,35,33,30,21,23,26,25,23,21,18,15,15,14,15,22,20,19,17,12,13,13,8,8,4,4,5,3,5,4,3,5,7,6,20,21,19,17,20,15,13,8,4,3,0
2022-03-05 17:00:00,11,16,20,27,21,22,20,18,21,20,18,23,16,11,7,6,6,0,5,7,14,19,23,24,28,30,29,25,30,32,35,36,35,33,26,23,22,22,21,20,21,22,21,5,5,3,4,1,7,3,5,4,8,10,5,0,7,8,24,24,22,20,19,16,15,10,9,5,0
2022-03-05 18:00:00,11,11,12,12,28,23,19,24,19,18,21,19,18,13,6,5,3,1,9,5,5,7,10,12,14,15,18,16,17,17,19,18,10,12,7,8,6,8,17,18,18,16,13,7,6,6,4,6,1,5,4,2,3,10,3,12,16,17,18,14,15,15,12,13,15,12,4,3,0
2022-03-05 19:00:00,3,5,0,6,5,4,4,9,7,8,6,9,10,7,6,2,2,0,2,1,2,8,8,9,13,13,11,14,12,12,12,12,11,11,10,13,11,10,9,1,5,5,6,5,3,3,3,0,5,4,3,2,2,5,3,0,4,6,19,15,16,13,8,12,10,6,4,3,0
