Unnamed: 0,1_범일운수종점,2_시흥동은행나무.은행나무시장,3_은행나무입구사거리,4_경남아파트,5_시흥초등학교.금천구보훈회관,6_동산교회앞,7_현대시장.시흥4동주민센터,8_남부여성발전센터,9_독산동정훈단지,10_독산4동주민센터,11_독산동성당앞,12_독산동쌈지공원,13_독산동남문시장,14_독산3동주민센터,15_모두의학교.금천문화예술정보학교,16_삼부르네상스.효성아파트,17_가리봉파출소,18_디지털단지오거리,19_가리봉시장,20_구로4동자치회관,21_구로시장,22_구로4동우체국.고대구로병원정문,23_고대구로병원후문,24_구로구청,25_구로고등학교,26_거리공원,27_한국SGI,28_서울미래초등학교,29_신도림역,30_서울미래초등학교,31_거리공원.구로신협본점앞,32_구로도서관.대성스카이렉스,33_영림중학교,34_구로구청,35_구로4동우체국.고대구로병원정문,36_구로시장,37_남구로역,38_가리봉시장,39_디지털단지오거리.가산파출소,40_디지털단지오거리,41_가산초등학교,42_모두의학교.금천문화예술정보학교,43_독산3동주민센터,44_독산동남문시장,45_독산동쌈지공원,46_독산동성당앞,47_독산동정훈단지,48_남부여성발전센터,49_현대시장.시흥4동주민센터,50_동산교회앞,51_시흥초등학교.금천구보훈회관,52_은행나무입구사거리,53_시흥동은행나무.은행나무시장,54_범일운수종점
2022-03-05 04:00:00,2,3,4,5,7,12,20,25,30,31,35,40,42,44,48,47,42,38,32,23,19,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,3,6,5,7,7,8,12,16,19,21,22,25,29,33,35,29,33,25,17,15,13,12,11,13,13,9,15,13,2,2,2,4,2,4,6,7,7,5,4,6,0,5,0,4,5,4,3,2,0,3,0,0,0,0
2022-03-05 06:00:00,1,2,0,3,6,3,7,5,8,8,8,9,10,11,12,12,11,6,9,7,7,9,7,6,7,9,9,8,3,3,3,0,4,8,7,7,8,9,7,8,10,11,7,10,3,9,5,4,3,2,1,2,1,0
2022-03-05 07:00:00,2,6,7,6,7,9,11,12,14,12,15,17,19,12,20,15,13,11,12,11,10,10,8,6,6,7,9,8,5,0,6,7,4,7,11,12,11,12,0,15,15,11,10,4,9,8,6,0,5,3,4,3,2,0
2022-03-05 08:00:00,5,8,9,11,9,15,18,19,22,26,28,30,29,27,30,33,32,30,31,28,25,24,20,15,11,12,12,10,7,9,8,7,8,10,12,13,13,14,14,14,13,13,12,11,8,12,11,8,4,2,4,2,2,0
2022-03-05 09:00:00,4,8,10,12,15,18,21,22,23,25,27,32,34,37,38,24,21,18,16,17,18,18,17,10,16,14,15,10,6,7,6,7,8,9,12,15,14,13,13,13,15,15,15,13,12,11,12,11,9,4,5,2,1,0
2022-03-05 10:00:00,2,4,6,12,4,12,14,13,16,17,17,19,25,26,25,23,19,18,15,13,11,10,9,9,8,10,10,7,4,9,6,10,9,9,17,15,17,12,6,12,14,13,12,9,10,11,9,7,5,3,2,1,1,0
2022-03-05 11:00:00,6,10,10,13,13,11,16,18,22,24,25,23,23,25,24,23,21,18,15,14,9,14,14,17,20,20,20,13,11,10,11,11,11,12,11,12,15,21,23,23,24,23,23,20,16,13,9,7,6,3,5,2,1,0
2022-03-05 12:00:00,4,7,9,11,9,14,19,20,21,22,22,25,33,34,36,31,31,30,29,23,22,21,21,17,16,13,15,10,12,16,15,11,11,10,15,21,20,16,19,22,24,21,23,16,16,15,15,11,6,7,6,5,2,0
2022-03-05 13:00:00,6,12,7,13,11,10,13,16,16,19,20,24,21,23,25,22,22,23,20,18,16,16,22,19,22,19,18,15,17,19,16,16,16,18,19,20,23,24,22,21,20,18,16,15,15,12,15,11,12,8,8,5,1,0
