Unnamed: 0,1_범일운수종점,2_시흥동은행나무.은행나무시장,3_은행나무입구사거리,4_경남아파트,5_시흥초등학교.금천구보훈회관,6_동산교회앞,7_현대시장.시흥4동주민센터,8_남부여성발전센터,9_독산동정훈단지,10_독산4동주민센터,11_독산동성당앞,12_독산동쌈지공원,13_독산동남문시장,14_독산3동주민센터,15_모두의학교.금천문화예술정보학교,16_구로디지털단지역,17_동작상떼빌아파트,18_신대방경남아파트,19_태양의집.KT대방지사,20_신길주유소,21_신풍역.백악관웨딩문화원앞,22_신길힐스테이트클래시안아파트,23_우신초등학교,24_영등포공원.영등포문화원,25_영등포로터리,26_영등포시장입구,27_김안과병원,28_당산동진로아파트,29_현대아파트,30_영등포구청,31_당산삼성아파트,32_당산역,33_당산역,34_선유도역.롯데제과,35_한신아파트.선유도역,36_한신아파트.선유도역,37_선유도역.롯데제과,38_당산역,39_당산역,40_당산유원제일1차아파트,41_영등포구청,42_당산동진로아파트,43_김안과병원,44_영등포시장,45_영등포시장로터리방면,46_영등포공원.영등포문화원,47_대성병원,48_우신초등학교,49_사러가쇼핑센타,50_신길한화꿈에그린아파트,51_신풍역.백악관웨딩문화원앞,52_태양의집,53_강남성심병원.대림성모병원,54_서울영림초등학교,55_구로디지털단지역,56_모두의학교.금천문화예술정보학교,57_독산3동주민센터,58_독산동남문시장,59_독산동쌈지공원,60_독산동성당앞,61_독산동정훈단지,62_남부여성발전센터,63_현대시장.시흥4동주민센터,64_동산교회앞,65_시흥초등학교.금천구보훈회관,66_은행나무입구사거리,67_시흥동은행나무.은행나무시장,68_범일운수종점
2022-03-05 04:00:00,3,6,0,8,9,10,14,15,16,17,17,16,17,19,18,19,18,19,19,20,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,3,5,6,8,10,14,15,16,18,19,22,28,26,29,34,22,18,18,17,15,13,10,22,23,18,15,14,5,13,12,11,9,6,2,0,2,0,1,3,4,5,6,8,2,10,13,0,5,12,10,7,6,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,4,5,5,7,8,11,12,14,16,17,12,13,18,22,21,9,10,11,11,11,12,13,15,17,13,10,7,8,7,7,6,4,3,1,0,1,2,3,4,4,6,7,8,6,7,4,6,7,4,7,7,3,5,7,6,6,8,3,6,5,3,3,2,3,1,1,0,0
2022-03-05 07:00:00,4,9,11,14,16,15,20,21,26,26,27,33,38,38,36,30,12,11,8,7,9,9,11,13,9,8,5,3,4,3,3,2,3,1,0,1,2,1,4,3,4,4,5,4,5,6,8,13,15,14,13,9,6,3,8,9,3,4,3,2,3,2,1,0,2,1,0,0
2022-03-05 08:00:00,5,9,8,10,11,16,19,23,25,33,31,33,34,39,42,22,16,17,18,17,16,19,19,21,20,17,13,13,11,8,8,3,5,2,1,3,5,4,3,5,6,6,7,8,8,9,10,14,18,16,13,10,9,10,16,15,12,11,10,9,9,10,10,9,3,5,2,0
2022-03-05 09:00:00,5,10,12,17,19,19,24,26,32,36,41,44,49,51,54,24,22,28,33,30,29,31,28,27,21,11,13,10,9,6,7,6,3,2,0,2,5,8,12,11,11,12,11,13,15,12,15,15,13,12,9,9,12,10,15,13,13,12,11,13,9,8,5,5,3,3,1,0
2022-03-05 10:00:00,4,10,11,15,16,18,24,26,29,29,28,33,40,44,48,18,17,16,15,15,18,21,24,28,20,14,16,7,16,9,9,8,7,4,0,7,9,5,7,6,12,11,11,11,13,12,12,12,13,9,11,11,13,13,11,12,11,12,16,18,18,12,9,9,8,7,3,0
2022-03-05 11:00:00,6,9,12,12,13,14,22,29,18,23,30,31,34,40,44,20,20,23,27,26,22,24,22,23,21,20,17,18,17,15,12,10,7,3,2,4,9,11,13,11,12,13,13,12,13,16,13,12,15,14,13,13,13,15,22,25,23,20,18,15,13,11,10,9,9,7,2,0
2022-03-05 12:00:00,5,10,14,16,19,21,20,16,18,19,19,22,26,30,38,17,18,21,20,21,26,27,25,21,18,10,17,18,15,12,6,7,9,3,3,11,13,15,14,10,11,13,15,18,19,19,16,18,19,19,16,19,19,19,21,20,19,24,27,28,24,22,22,20,16,12,7,0
2022-03-05 13:00:00,2,9,11,7,10,7,15,21,22,24,25,27,33,37,37,17,20,22,25,22,18,17,17,18,16,14,17,16,14,8,5,5,2,1,0,2,10,6,8,7,13,14,17,17,18,17,13,16,19,17,17,18,17,17,26,27,21,16,12,13,10,9,13,6,5,10,3,0
2022-03-05 14:00:00,3,6,6,6,7,8,15,19,20,22,22,26,28,31,34,18,17,19,20,20,19,22,21,23,11,14,13,12,8,8,8,9,9,5,0,2,5,6,8,14,15,14,15,15,19,18,16,17,21,21,15,14,16,12,21,19,16,17,16,16,18,17,13,12,9,6,3,0
2022-03-05 15:00:00,2,6,5,7,12,8,19,20,25,26,26,29,30,33,34,26,15,17,17,16,17,19,17,16,18,13,13,16,14,13,13,13,9,3,0,6,7,8,11,14,17,18,20,22,22,22,19,20,20,22,20,13,15,15,28,28,26,21,22,16,16,14,11,5,10,8,3,0
2022-03-05 16:00:00,4,9,14,7,7,8,14,15,18,21,13,16,18,19,22,20,21,19,15,15,18,19,20,17,13,11,10,13,7,10,10,5,8,7,1,2,5,7,9,11,15,17,17,18,21,19,20,21,24,17,23,22,25,22,36,34,30,28,25,20,16,14,12,11,7,6,2,0
2022-03-05 17:00:00,5,6,9,15,19,17,18,19,21,24,30,32,31,33,37,18,17,19,21,24,30,31,30,22,12,13,12,10,9,6,5,4,3,2,2,5,7,11,11,12,14,16,24,26,28,28,30,27,25,22,27,27,25,30,39,38,38,36,31,32,25,17,13,11,9,7,2,0
2022-03-05 18:00:00,3,7,8,10,10,13,18,18,18,19,22,23,26,28,32,15,15,17,19,18,19,16,17,14,12,11,12,8,13,9,8,6,11,7,1,4,11,13,11,12,15,14,20,26,30,31,28,27,26,21,24,22,21,20,32,35,35,31,25,22,21,17,15,12,11,7,2,0
2022-03-05 19:00:00,2,8,1,6,6,2,12,10,11,0,12,10,12,14,20,11,12,11,11,12,13,11,14,12,13,9,12,13,12,9,8,8,8,6,2,2,6,10,12,14,17,18,21,28,27,26,16,27,28,27,26,27,24,22,33,30,27,25,25,29,26,26,22,19,17,10,4,0
2022-03-05 20:00:00,1,4,3,1,0,5,7,6,10,9,9,7,8,9,8,6,5,4,8,7,6,5,6,5,10,7,6,4,5,4,1,3,3,1,2,3,4,4,7,7,12,14,20,24,25,22,22,21,20,18,20,21,21,21,33,29,26,23,24,21,19,13,9,8,7,7,2,0
