Unnamed: 0,1_가산동기점(가상),2_가산디지털단지역,3_마리오아울렛,4_금천패션아울렛사거리.W몰,5_디지털단지오거리,6_가리봉시장,7_구로4동자치회관,8_구로시장,9_구로4동우체국.고대구로병원정문,10_구로119안전센터,11_구로변전소.구로초등학교,12_구로역.나인스애비뉴,13_구일역.중앙유통상가,14_동양미래대학.구로성심병원,15_고척중학교,16_고척시장,17_목동아파트11단지(1117동),18_계남초등학교,19_양명초교.신서중,20_신정1동주민센터.신오새마을금고,21_신정네거리역,22_제일여성병원,23_양강중학교,24_까치산역2번출구,25_화곡동백구사,26_화곡동대림아파트.화곡중앙시장,27_가로공원.나누리병원,28_신월초등학교,29_화곡역,30_화곡본동시장,31_한국폴리텍1.서울강서대학교,32_우장초등학교,33_강서구청.한국건강관리협회,34_강서구청사거리.서울디지털대학교,35_등촌중학교백석초등학교,36_등촌역.강서보건소,37_염창역.서울도시가스,38_안양천입구,39_양평동한솔아파트,40_양평한신아파트.선유도공원입구,41_양화대교전망카페,42_합정역(가상),43_합정역,44_서교동,45_홍대입구역(가상),46_홍대입구역,47_홍대입구역(가상),48_홍대입구역,49_서교동,50_합정역(가상),51_합정역,52_양화대교전망카페,53_양평한신아파트.선유도공원입구,54_영등포아리수정수센터,55_염창역.서울도시가스,56_등촌역.강서보건소,57_등촌중학교백석초등학교,58_강서구청사거리.서울디지털대학교,59_강서구청.한국건강관리협회,60_우장초등학교,61_한국폴리텍1.서울강서대학교,62_화곡본동시장,63_화곡역.현대주유소,64_신월초등학교,65_가로공원.나누리병원,66_화곡중앙골목시장,67_화곡대림아파트,68_화곡동백구사,69_다운어린이공원.치유하는교회,70_까치산역4번출구,71_KT강서지사,72_양강중학교,73_신월2동우체국,74_신정네거리역,75_신정1동주민센터.신오새마을금고,76_남명초교.신정3동주민센터,77_신트리사거리,78_계남초등학교,79_고척파크푸르지오아파트,80_고척시장,81_고척중학교,82_동양미래대학.구로성심병원,83_구일역.제일제당,84_쌍용구로정비사업소,85_우리유앤미아파트,86_구로119안전센터,87_구로4동우체국.고대구로병원정문,88_구로시장,89_남구로역,90_가리봉시장,91_스타밸리앞,92_가산디지털단지역,93_가산동종점(가상)
2022-03-05 04:00:00,0,1,0,3,4,10,7,15,19,24,20,8,5,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,1,4,6,8,11,12,15,14,12,11,12,13,14,14,11,14,15,13,10,11,7,11,9,15,5,14,8,15,16,15,12,11,5,7,8,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,0,0,3,4,6,5,7,9,10,8,6,7,7,13,14,15,9,15,13,14,10,10,10,8,9,8,8,11,11,13,11,12,10,8,9,8,9,0,0,8,5,2,2,0,0,2,2,0,4,0,1,2,5,2,3,6,6,9,7,8,10,9,11,10,11,11,4,12,14,15,16,18,19,20,0,18,17,13,11,10,8,7,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,2,0,2,4,2,4,4,6,7,10,11,9,6,7,11,10,7,9,10,10,11,11,8,10,11,12,12,12,16,17,17,9,11,11,11,12,14,5,5,4,7,5,4,3,0,0,1,1,0,3,0,4,5,6,7,4,6,5,10,11,8,8,7,12,16,14,18,17,17,22,11,8,9,9,11,10,9,9,11,10,9,9,10,10,8,9,9,7,3,4,0,0
2022-03-05 08:00:00,0,3,1,4,6,5,5,5,6,6,7,9,7,11,15,16,21,11,21,22,19,8,17,13,13,21,25,27,24,25,26,25,27,30,26,22,19,13,14,15,0,18,10,8,5,0,0,4,5,0,7,0,6,5,6,9,9,8,13,14,13,13,13,12,14,19,21,20,13,19,22,22,23,25,23,23,22,20,16,16,16,14,15,12,13,10,10,9,6,2,2,0,0
2022-03-05 09:00:00,0,8,2,3,5,8,10,9,13,15,15,14,9,10,11,18,21,22,22,19,17,15,16,18,20,25,33,31,25,24,24,26,29,32,28,26,25,19,14,24,16,21,16,12,8,0,0,4,6,0,8,0,0,8,7,9,9,9,10,13,16,15,13,4,12,12,15,20,18,15,15,16,18,17,12,16,5,15,14,16,16,13,14,12,16,16,13,8,6,3,3,0,0
2022-03-05 10:00:00,0,5,0,1,4,9,11,11,20,8,8,7,12,14,14,13,21,22,21,18,16,16,16,15,19,17,21,22,23,24,27,29,31,35,34,29,27,24,26,23,19,25,14,9,7,0,0,2,4,0,6,4,6,5,8,11,9,9,12,14,14,15,17,17,16,18,19,19,18,20,23,24,22,22,21,22,22,19,20,22,25,21,20,17,17,17,11,10,6,5,4,0,0
2022-03-05 11:00:00,0,11,8,6,7,7,9,5,14,20,18,14,15,16,14,17,24,22,21,22,22,20,14,17,17,19,26,28,24,26,28,26,35,34,31,27,26,28,29,30,24,27,15,8,6,0,1,5,6,4,11,0,12,10,10,13,12,13,20,23,25,26,24,23,22,22,23,22,22,17,21,19,18,20,21,21,18,20,17,20,22,23,20,18,20,20,12,11,8,3,4,0,0
2022-03-05 12:00:00,0,4,4,6,4,8,8,10,20,13,11,13,11,13,14,16,21,17,19,10,14,14,21,15,17,19,21,23,22,25,28,31,38,49,49,48,45,47,25,16,24,24,13,12,8,2,6,9,11,10,22,0,15,16,18,16,15,16,18,19,18,16,20,9,22,24,23,25,20,16,17,12,18,22,26,20,22,25,22,16,16,14,13,13,11,11,9,10,9,7,2,0,0
2022-03-05 13:00:00,1,4,4,6,7,8,11,10,22,23,18,20,17,20,20,29,36,32,33,34,27,28,23,24,19,21,24,24,24,25,23,27,29,36,41,42,44,45,47,48,46,43,23,15,13,0,0,8,10,0,19,18,19,20,20,22,21,20,21,27,26,22,21,14,18,17,17,16,14,20,23,21,23,24,26,25,25,21,19,18,16,24,26,22,21,18,18,19,14,11,3,0,0
