Unnamed: 0,1_개화역광역환승센터,2_개화역1번출구.개화검문소,3_개화119안전센터,4_김포공항국제선,5_한국공항공사,6_김포공항국내선,7_송정역,8_공항중학교.마곡엠밸리9.10단지,9_마곡역,10_마곡동로사거리,11_발산역,12_한국가스기술공사,13_KBS스포츠월드,14_강서구청사거리.서울디지털대학교,15_등촌중학교백석초등학교,16_등촌역.강서보건소,17_염창역.서울도시가스,18_안양천입구,19_마포구청역,20_마포중앙도서관,21_성산2교,22_연희104고지앞.구성산회관,23_서대문우체국,24_연세대앞,25_세브란스병원앞,26_이대후문,27_사직단,28_서울경찰청.경복궁역,29_경복궁,30_안국역.종로경찰서.인사동,31_창덕궁.우리소리박물관,32_창경궁.서울대학교병원,33_명륜동2가.성균관대입구,34_혜화역.서울연극센터(장면총리가옥),35_혜화역.서울대병원입구,36_방송통신대.이화장,37_이화동(이화장),38_원남동,39_종로3가.탑골공원,40_종로2가,41_종로1가,42_광화문,43_광화문.금호아시아나본관앞,44_서울역사박물관.경교장.강북삼성병원,45_서대문역사거리.적십자병원,46_서대문.서울시교육청,47_독립문(가상),48_독립문공원.극동아파트,49_이대후문,50_세브란스병원앞,51_연세대앞,52_서대문우체국,53_연희104고지앞.구성산회관,54_성산2교,55_마포중앙도서관,56_마포구청역,57_영등포아리수정수센터,58_염창역.서울도시가스,59_등촌역.강서보건소,60_등촌중학교백석초등학교,61_강서구청사거리.서울디지털대학교,62_KBS스포츠월드,63_한국가스기술공사,64_발산역,65_마곡동로사거리,66_마곡역,67_공항중학교.마곡엠밸리9.10단지,68_송정역,69_롯데몰.김포공항역,70_김포공항국제선,71_한국공항공사,72_김포공항국내선,73_방화동도시개발11단지,74_개화119안전센터,75_개화역광역환승센터,76_강서공영차고지(종점가상),9_강서세무서,10_마곡역,11_마곡동로사거리,12_발산역,13_한국가스기술공사,14_KBS스포츠월드,15_강서구청사거리.서울디지털대학교,16_등촌중학교백석초등학교,17_등촌역.강서보건소,18_염창역.서울도시가스,19_안양천입구,20_마포구청역,21_마포중앙도서관,22_성산2교,23_연희104고지앞.구성산회관,24_서대문우체국,25_연세대앞,26_세브란스병원앞,27_이대후문,28_사직단,29_서울경찰청.경복궁역,30_경복궁,31_안국역.종로경찰서.인사동,32_창덕궁.우리소리박물관,33_창경궁.서울대학교병원,34_명륜동2가.성균관대입구,35_혜화역.서울연극센터(장면총리가옥),36_혜화역.서울대병원입구,37_방송통신대.이화장,38_이화동(이화장),39_원남동,40_종로3가.탑골공원,41_종로2가,42_종로1가,43_광화문,44_광화문.금호아시아나본관앞,45_서울역사박물관.경교장.강북삼성병원,46_서대문역사거리.적십자병원,47_서대문.서울시교육청,48_독립문(가상),49_독립문공원.극동아파트,50_이대후문,51_세브란스병원앞,52_연세대앞,53_서대문우체국,54_연희104고지앞.구성산회관,55_성산2교,56_마포중앙도서관,57_마포구청역,58_영등포아리수정수센터,59_염창역.서울도시가스,60_등촌역.강서보건소,61_등촌중학교백석초등학교,62_강서구청사거리.서울디지털대학교,63_KBS스포츠월드,64_한국가스기술공사,65_발산역,66_마곡동로사거리,67_마곡역,68_강서세무서,69_공항중학교.마곡엠밸리9.10단지,70_송정역,71_롯데몰.김포공항역,72_김포공항국제선,73_한국공항공사,74_김포공항국내선,75_방화동도시개발11단지,76_개화119안전센터,77_개화역광역환승센터,78_강서공영차고지(종점가상)
2022-03-05 04:00:00,1,2,3,0,0,2,8,9,11.0,4.0,12.0,13.0,14.0,17.0,14.0,13.0,21.0,12.0,20.0,25.0,22.0,17.0,13.0,12.0,9.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 05:00:00,1,0,0,2,0,4,4,6,7.0,6.0,8.0,9.0,9.0,5.0,10.0,12.0,11.0,13.0,14.0,0.0,14.0,15.0,15.0,20.0,15.0,13.0,11.0,6.0,3.0,5.0,4.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,4.0,3.0,6.0,0.0,4.0,5.0,3.0,0.0,12.0,9.0,7.0,8.0,0.0,9.0,0.0,10.0,9.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 06:00:00,2,0,0,0,0,0,3,4,6.0,3.0,7.0,8.0,10.0,11.0,12.0,12.0,12.0,11.0,11.0,10.0,0.0,9.0,9.0,8.0,5.0,0.0,3.0,8.0,6.0,5.0,5.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,4.0,0.0,3.0,4.0,3.0,2.0,2.0,4.0,0.0,7.0,4.0,5.0,2.0,5.0,8.0,7.0,4.0,5.0,7.0,7.0,7.0,7.0,11.0,11.0,13.0,11.0,0.0,7.0,10.0,8.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 07:00:00,0,1,0,0,0,1,5,5,7.0,7.0,15.0,18.0,19.0,21.0,22.0,16.0,14.0,14.0,11.0,13.0,11.0,8.0,10.0,8.0,7.0,7.0,7.0,6.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,6.0,5.0,3.0,0.0,5.0,6.0,0.0,8.0,7.0,5.0,0.0,7.0,11.0,11.0,9.0,13.0,13.0,12.0,15.0,17.0,16.0,10.0,12.0,9.0,7.0,5.0,6.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 08:00:00,1,3,2,0,0,11,10,14,17.0,19.0,21.0,22.0,21.0,17.0,18.0,20.0,19.0,20.0,14.0,17.0,17.0,15.0,14.0,15.0,13.0,13.0,14.0,13.0,10.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,5.0,6.0,7.0,4.0,5.0,4.0,4.0,3.0,11.0,7.0,7.0,9.0,13.0,15.0,14.0,10.0,18.0,16.0,16.0,20.0,23.0,22.0,21.0,17.0,12.0,11.0,12.0,7.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 09:00:00,1,1,0,0,0,3,13,13,13.0,13.0,14.0,16.0,23.0,29.0,26.0,21.0,20.0,20.0,17.0,18.0,18.0,18.0,20.0,21.0,20.0,21.0,20.0,13.0,12.0,9.0,9.0,5.0,2.0,4.0,6.0,4.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,8.0,6.0,11.0,10.0,10.0,11.0,11.0,15.0,14.0,11.0,18.0,14.0,17.0,24.0,28.0,30.0,30.0,25.0,16.0,12.0,9.0,6.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 10:00:00,0,3,0,0,0,9,8,11,14.0,12.0,11.0,21.0,25.0,25.0,21.0,28.0,33.0,32.0,28.0,27.0,26.0,23.0,15.0,24.0,24.0,24.0,20.0,13.0,11.0,7.0,5.0,6.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,1.0,8.0,8.0,6.0,3.0,7.0,5.0,3.0,9.0,10.0,11.0,9.0,10.0,14.0,11.0,10.0,15.0,17.0,19.0,24.0,24.0,34.0,31.0,27.0,21.0,13.0,8.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 11:00:00,1,1,2,0,0,5,13,14,17.0,16.0,19.0,20.0,23.0,25.0,23.0,21.0,25.0,26.0,20.0,22.0,20.0,19.0,17.0,18.0,15.0,16.0,15.0,18.0,15.0,10.0,8.0,4.0,3.0,3.0,6.0,8.0,9.0,6.0,7.0,7.0,8.0,10.0,8.0,7.0,10.0,12.0,7.0,11.0,10.0,16.0,14.0,15.0,14.0,15.0,16.0,23.0,25.0,28.0,27.0,23.0,22.0,24.0,23.0,19.0,12.0,11.0,9.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 12:00:00,0,1,0,2,1,9,10,11,11.0,12.0,18.0,23.0,24.0,30.0,24.0,24.0,37.0,38.0,32.0,31.0,33.0,24.0,22.0,25.0,25.0,21.0,19.0,16.0,12.0,9.0,8.0,7.0,5.0,4.0,11.0,4.0,12.0,8.0,12.0,13.0,14.0,13.0,9.0,14.0,17.0,13.0,12.0,19.0,17.0,19.0,21.0,22.0,25.0,26.0,25.0,24.0,26.0,31.0,34.0,35.0,33.0,31.0,27.0,16.0,15.0,13.0,9.0,6.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-05 13:00:00,0,1,0,2,3,6,10,13,18.0,20.0,29.0,34.0,33.0,32.0,32.0,24.0,28.0,31.0,27.0,31.0,27.0,25.0,27.0,28.0,26.0,26.0,25.0,16.0,18.0,14.0,17.0,14.0,12.0,6.0,9.0,7.0,15.0,16.0,18.0,19.0,20.0,18.0,16.0,12.0,16.0,19.0,18.0,28.0,22.0,20.0,21.0,21.0,25.0,29.0,29.0,31.0,24.0,31.0,39.0,36.0,39.0,36.0,34.0,21.0,20.0,20.0,13.0,8.0,6.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
