Unnamed: 0,1_중부운수앞(가상),2_신월동우성상가,3_신월문화체육센터,4_신월시영아파트중문,5_금실어린이공원,6_신한은행신월동지점,7_신곡시장.금빛새마을금고,8_동방아파트.신월종합사회복지관,9_신정네거리.신정119안전센터,10_신정네거리역,11_경서농협,12_우리은행신정동지점,13_신정1동우체국,14_서울남부지방법원.서울남부지방검찰청,15_진명여고,16_목동역,17_목동7단지,18_목운초등학교.목운중학교,19_목동운동장남문.아이스링크,20_목동5단지C상가.목동운동장북문,21_파리공원,22_목동5단지B상가.목5동주민센터,23_목동이대병원.목동6단지앞,24_한신아파트.선유도역,25_선유도역.롯데제과,26_당산역,27_선유도공원,28_합정역(가상),29_합정역,30_서교동,31_홍대입구역(가상),32_홍대입구역,33_동교동삼거리,34_신촌오거리.현대백화점,35_신촌오거리.2호선신촌역,36_이대역,37_웨딩타운,38_아현역,39_종근당.충정로역,40_서소문,41_삼성본관앞,42_숭례문(가상),43_숭례문,44_서울역버스환승센터,45_한국경제신문사.서소문역사공원,46_충정로역2호선,47_아현역,48_웨딩타운,49_이대역,50_신촌오거리.2호선신촌역,51_신촌오거리.현대백화점,52_동교동삼거리,53_홍대입구역(가상),54_홍대입구역,55_서교동,56_합정역(가상),57_합정역,58_선유도공원,59_당산역,60_선유도역.롯데제과,61_한신아파트.선유도역,62_월촌중학교.목동1단지,63_목동2단지,64_목동3단지,65_목동4단지상가.목동종합운동장,66_목1동주민센터,67_목동7단지,68_목동7단지.종로학원,69_진명여고,70_서울남부지방법원.서울남부지방검찰청,71_신정1동우체국,72_우리은행신정동지점,73_신정4동경서농협,74_신정네거리역,75_신정네거리해누리분수광장,76_동방아파트,77_신곡시장.금빛새마을금고,78_신한은행신월동지점,79_금실어린이공원,80_신월시영아파트중문,81_신월동우성상가,82_중부운수앞(가상)
2022-03-05 04:00:00,5,9,0,4,10,10,9,11,12,14,0,15,16,9,17,18,20,19,18,16,14,9,7,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,4,2,5,3,9,6,6,8,9,6,11,10,0,11,11,15,15,15,9,15,9,8,7,7,5,2,4,6,8,1,2,7,5,2,2,1,2,4,3,1,0,1,3,2,2,3,0,4,0,3,2,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,2,3,0,4,6,5,7,8,8,9,10,10,11,6,7,8,6,9,8,6,6,6,6,4,0,3,0,2,4,3,0,3,1,4,3,3,4,2,2,1,3,2,2,3,0,4,2,3,5,3,4,3,3,5,0,4,6,0,7,6,9,7,6,5,5,4,2,3,2,0,2,0,3,1,1,0,0,0,0,0,0,0
2022-03-05 07:00:00,4,7,2,6,7,10,11,12,10,10,11,13,11,12,9,10,10,5,9,8,9,8,11,10,11,10,0,4,4,3,0,2,2,2,0,4,2,3,3,1,2,0,0,2,2,1,2,0,0,3,3,0,0,3,4,0,5,0,6,7,10,9,0,10,9,6,8,9,8,5,4,5,0,4,4,2,3,2,0,2,0,0
2022-03-05 08:00:00,3,6,7,9,9,19,24,27,27,27,29,31,30,31,28,29,25,21,16,14,14,13,11,10,10,11,0,10,8,6,5,10,10,9,2,8,8,3,4,6,3,1,2,3,0,2,5,1,5,4,6,3,0,8,9,0,9,0,11,11,12,14,12,13,14,11,7,10,10,9,8,7,8,7,7,6,5,4,3,2,0,0
2022-03-05 09:00:00,7,11,15,14,17,18,22,24,21,24,27,29,28,29,32,34,18,33,29,25,19,16,17,17,18,15,0,14,5,15,11,10,9,10,6,10,9,6,8,3,3,1,2,4,0,2,2,5,4,5,4,6,3,8,8,0,15,0,17,16,17,11,12,8,9,7,5,3,3,0,2,6,3,4,2,6,3,4,5,2,0,0
2022-03-05 10:00:00,4,17,13,15,17,21,24,26,27,24,25,26,21,27,29,32,24,20,16,17,14,16,23,26,26,25,24,23,22,21,3,17,18,16,5,4,5,6,5,6,3,2,3,6,5,6,8,6,7,0,8,7,4,7,3,6,6,3,8,7,10,11,13,13,11,11,9,10,9,7,6,7,6,7,8,7,4,4,3,2,1,0
2022-03-05 11:00:00,3,19,14,20,19,19,21,21,20,19,22,25,26,22,23,25,31,25,19,19,19,25,30,32,33,25,15,18,15,14,13,12,9,7,15,11,7,7,10,7,5,4,4,7,5,6,10,6,9,9,11,12,10,14,8,7,17,8,20,20,19,22,21,19,19,23,19,14,12,11,7,11,12,8,10,9,6,9,6,5,1,0
2022-03-05 12:00:00,2,6,8,4,7,13,15,24,23,27,33,37,38,40,41,41,27,28,24,19,19,25,27,25,23,24,22,22,17,16,15,13,16,15,14,11,8,5,6,4,5,2,6,9,10,9,8,9,9,12,13,14,0,15,16,15,21,14,22,20,19,18,24,25,24,25,22,19,21,19,22,21,19,24,21,19,16,16,13,8,1,0
2022-03-05 13:00:00,3,6,8,9,10,18,25,26,28,30,31,33,22,34,36,34,36,34,30,33,34,35,28,27,25,26,21,18,21,21,18,15,16,17,15,12,14,11,9,9,14,3,13,15,12,5,13,14,14,12,12,13,12,14,12,0,16,15,19,19,20,19,21,16,20,22,19,16,18,16,11,15,11,14,13,15,13,12,10,10,9,0
