Unnamed: 0,1_양천공영차고지,2_신정현대아파트,3_신정현대아파트.서부트럭터미널,4_개봉1동사거리,5_개봉고가,6_개봉역,7_철산리버빌아파트,8_구일우성아파트,9_가산디지털단지역입구,10_디지털단지오거리.가산파출소,11_디지털단지오거리,12_가산초등학교,13_모두의학교.금천문화예술정보학교,14_관악구보훈회관.신림푸르지오,15_난곡입구,16_호림박물관,17_남서울중학교.성보중고등학교,18_신림사거리.신림역,19_관악우체국.양지병원,20_KT&G관악지점,21_봉천역.관악초등학교,22_KT관악지점,23_봉천사거리,24_낙성대동,25_낙성대입구,26_인헌중고.서울미술고,27_예술인마을.사당초등학교,28_남서울농협남현동지점,29_사당역,30_이수역,31_총신대입구역.남성시장입구앞,32_경문고등학교,33_정금마을,34_이수교,35_구반포역.세화고등학교,36_신반포역.세화여중고,37_고속터미널,38_사평역,39_KCC사옥,40_서초푸르지오써밋,41_진흥아파트,42_래미안에스티지,43_서초청소년도서관,44_신분당선강남역,45_지하철2호선강남역,46_신논현역.구교보타워사거리,47_제일약품사옥,48_사평역,49_고속터미널,50_신반포역.세화여중고,51_구반포역.세화고등학교,52_갯마을앞,53_정금마을.방배경찰서,54_경문고교.배나무골앞,55_총신대입구역.남성시장입구앞,56_사당동우체국앞,57_방배노인종합복지관,58_사당역9번출구앞,59_사당1동관악시장앞,60_예술인마을,61_서울미술고.인헌중고,62_낙성대입구,63_행운동주민센터,64_서울대입구역5번출구,65_KT관악지점,66_봉천역.관악초등학교,67_KT&G관악지점,68_관악우체국(양지병원),69_신림사거리.신림역,70_남부초등학교,71_호림박물관,72_난곡입구,73_관악구보훈회관.신림푸르지오,74_천주교성령봉사회관.등불교회,75_KT구로지사,76_삼부르네상스.효성아파트,77_가리봉파출소,78_디지털단지오거리,79_구일우성아파트,80_철산리버빌아파트,81_개봉역,82_개봉1동사거리.개봉푸르지오아파트,83_신정학마을아파트,84_신정현대아파트.서부트럭터미널,85_양천공영차고지
2022-03-05 04:00:00,2,2,6,12,19,20,20,16,17,15,11,18,13,8,12,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,6,14,14,15,16,15,14,14,15,13,14,16,18,19,19,18,19,18,19,20,18,20,19,20,21,20,18,19,21,23,17,22,17,12,6,5,3,7,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,2,4,6,7,11,12,13,12,11,10,10,11,10,11,6,13,11,9,8,13,13,15,12,9,16,17,18,14,12,13,14,13,13,11,9,4,3,3,4,3,1,3,2,5,3,7,5,6,1,0,3,2,4,4,5,8,7,7,6,7,6,7,5,4,6,4,5,4,0,2,4,2,5,9,6,3,0,4,3,2,1,0,0,0
2022-03-05 07:00:00,3,6,8,12,15,19,19,13,17,15,14,14,10,11,11,11,12,10,9,10,10,9,13,7,9,12,13,15,15,15,14,15,13,11,11,10,6,6,6,1,6,5,4,3,3,6,3,5,7,8,6,5,7,9,9,10,9,7,10,4,11,12,11,7,10,9,11,11,10,11,9,7,9,8,9,7,7,8,8,6,6,3,1,0,0
2022-03-05 08:00:00,3,0,6,12,18,25,28,17,27,27,31,32,25,24,24,25,30,27,18,18,20,15,17,21,22,24,29,29,25,20,16,15,14,15,14,11,8,8,7,3,6,6,5,4,6,5,9,10,7,8,5,7,9,11,12,14,16,13,11,12,11,12,13,12,11,13,6,12,13,11,12,10,11,9,10,10,9,10,8,0,6,5,3,2,0
2022-03-05 09:00:00,1,0,6,12,14,24,25,27,26,21,24,27,25,27,30,30,32,22,28,27,23,19,22,22,23,26,28,30,28,26,26,26,25,25,24,21,16,18,18,16,11,8,6,12,11,7,13,10,7,11,6,12,13,14,9,11,10,12,13,17,13,11,14,14,10,11,8,12,13,11,12,12,11,10,11,10,4,10,8,6,7,3,4,1,0
2022-03-05 10:00:00,2,3,7,10,10,15,17,15,16,12,15,16,18,19,22,23,31,20,24,26,23,27,28,27,27,31,31,38,36,30,25,21,24,26,25,22,11,12,10,9,7,7,9,12,11,10,16,13,11,13,13,12,15,18,14,18,16,16,14,13,12,15,17,15,13,11,10,11,11,10,10,8,8,7,8,8,8,8,8,6,4,2,1,0,0
2022-03-05 11:00:00,2,4,5,8,9,16,20,16,14,13,21,14,17,18,20,20,20,23,30,26,30,26,21,20,20,23,30,36,34,30,24,25,24,28,26,24,22,14,12,13,14,13,10,9,11,14,23,20,18,24,26,20,20,20,22,22,22,22,25,23,23,32,29,26,24,20,19,19,20,18,17,17,18,17,16,11,12,10,8,8,4,2,1,0,0
2022-03-05 12:00:00,2,3,5,11,14,18,21,22,17,21,22,23,23,27,29,27,26,21,22,23,26,29,26,26,32,33,36,40,34,29,33,33,34,33,30,23,20,16,14,12,10,10,11,14,16,19,29,30,21,23,15,24,27,27,36,35,36,30,25,22,23,20,21,25,22,19,20,18,19,17,16,16,14,14,15,14,13,12,11,10,9,4,2,1,0
2022-03-05 13:00:00,4,5,7,10,12,19,20,16,20,21,20,24,25,31,33,37,40,24,22,28,23,25,28,26,26,28,32,31,29,27,33,26,28,28,24,24,19,18,14,11,10,7,10,11,15,19,24,24,37,40,25,41,39,39,40,40,37,34,36,37,36,34,29,28,31,32,31,27,25,24,19,21,19,16,15,15,13,11,12,8,8,5,5,3,0
2022-03-05 14:00:00,3,4,4,10,14,23,24,18,17,17,20,20,18,14,17,16,18,19,20,20,22,21,23,23,28,26,30,33,26,28,29,35,36,38,30,26,17,15,14,9,11,9,8,11,10,16,17,21,24,25,30,27,25,24,27,30,33,31,25,23,21,22,22,16,23,19,19,17,16,16,16,15,15,14,15,13,11,13,12,6,8,4,3,2,0
2022-03-05 15:00:00,10,11,6,13,13,16,17,16,17,17,19,20,21,22,22,23,23,19,22,20,21,22,29,27,28,31,36,38,38,35,32,28,26,28,28,27,19,19,16,14,13,10,12,23,22,24,28,25,28,28,28,28,30,29,30,36,32,34,33,30,22,24,24,23,22,23,20,18,24,22,20,21,22,21,19,17,14,16,15,17,13,7,4,1,0
