Unnamed: 0,1_외발산동차고지(가상),2_외발산동기점,3_신월5동주민센터.신월중학교,4_신화중학교,5_강서구청소년상담복지센터,6_화곡역,7_화곡본동시장,8_한국폴리텍1.서울강서대학교,9_우장초등학교,10_강서구청.한국건강관리협회,11_하이웨이주유소.KC대학교,12_등촌중학교.한국임업진흥원,13_영일고등학교.강서도서관,14_아이파크아파트.백석중학교.실로암안과,15_등촌2동주민센터.등촌동대림아파트,16_대일고교.임광아파트.배광교회,17_용문사.시립화곡청소년센터,18_목동사거리,19_목동역.홍익병원,20_목동7단지,21_목동대학학원,22_오목교역.동신한방병원,23_관악고등학교,24_양평신동아아파트,25_교보앞,26_당산동진로아파트,27_김안과병원,28_영등포시장,29_영등포시장로터리방면,30_신길역,31_신길역1호선,32_신길새마을금고,33_대방역,34_현대아파트,35_KT동작지사,36_동작구청정문,37_동작구청.노량진초등학교앞,38_장성교회,39_동작문화복지센터.동작보건소,40_상도노빌리티아파트,41_상도시장,42_상도동중앙하이츠빌.상도전통시장,43_숭실대입구역,44_봉현초등학교,45_성현동동아아파트,46_봉원중학교.행운동우성아파트,47_봉천사거리.봉천중앙시장,48_봉천사거리,49_낙성대입구,50_행운동주민센터,51_봉천사거리.봉천중앙시장,52_봉원중학교.행운동우성아파트,53_관악푸르지오아파트,54_봉천고개.관악현대아파트,55_숭실대입구역,56_상도동중앙하이츠빌.상도전통시장,57_상도시장,58_상도노빌리티아파트,59_동작문화복지센터.동작보건소,60_청화병원,61_동작구청.노량진초등학교앞,62_노량진수산시장.CTS기독교TV,63_현대아파트.유한양행,64_대방역,65_신길새마을금고,66_신길역,67_영등포로터리,68_영등포시장입구,69_김안과병원,70_당산동진로아파트,71_양남동로타리,72_양평1동주민센터,73_관악고등학교,74_오목교역.동신한방병원,75_목동대학학원,76_목동7단지.종로학원,77_목동역.홍익병원,78_홍익병원목동관,79_목동사거리,80_영도중.강서고입구.기아양서대리점,81_목동시장.대일고교.배광교회,82_목동성원아파트,83_목3동주민센터.현대아이파크.실로암안과,84_목3동시장.강서도서관,85_등촌중학교백석초등학교,86_강서구청사거리.서울디지털대학교,87_강서구청.한국건강관리협회,88_우장초등학교,89_한국폴리텍1.서울강서대학교,90_화곡본동시장,91_화곡역,92_화곡푸르지오,93_신화중학교,94_신월5동주민센터.신월중학교,95_신월중학교입구,96_외발산신광명마을,97_강서면허시험장.메이필드호텔,98_외발산신광명마을,99_외발산동차고지(가상)
2022-03-05 04:00:00,0,1,2,2,5,7,12,14,15,18,18,15,16,15,14,15,16,20,12,17,14,16,14,8,0,13,7,0,6,4,2,5,4,3,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,3,0,2,3,0,6,6,8,3,7,6,8,16,17,15,12,10,9,8,9,5,1,8,8,8,6,4,5,8,4,4,4,3,5,6,6,6,5,5,6,5,6,5,3,4,1,2,7,9,10,10,11,9,10,8,8,9,10,12,12,14,13,14,16,15,13,11,10,9,0,8,7,8,7,6,5,6,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,2,3,2,3,4,6,8,3,7,3,3,2,0,6,5,7,6,3,0,6,3,4,5,3,2,3,2,0,0,0,3,3,2,3,2,5,4,2,3,0,3,3,2,3,2,1,1,1,2,1,2,3,2,3,4,5,3,5,0,5,3,6,5,5,5,9,2,4,3,4,2,4,3,2,6,1,5,2,7,6,9,9,8,6,6,5,6,3,3,1,1,2,1,0,0,0,0
2022-03-05 07:00:00,0,1,5,6,5,3,5,7,3,5,6,5,8,5,10,9,11,12,12,12,11,12,11,12,11,10,10,9,13,5,11,7,5,5,3,4,4,3,4,4,5,7,10,9,10,7,2,1,0,3,2,5,7,3,7,6,8,9,4,12,3,7,4,4,6,7,4,6,3,4,2,3,7,7,5,4,5,2,5,6,7,3,7,6,5,5,5,6,7,6,5,3,3,2,1,2,0,1,0
2022-03-05 08:00:00,2,3,5,6,6,7,8,8,8,11,12,14,13,12,15,17,20,24,22,17,14,14,13,12,11,9,8,6,9,12,11,11,11,11,10,14,14,16,13,15,12,9,13,11,10,12,9,4,1,4,6,6,9,12,9,11,13,12,10,11,13,9,10,6,9,10,9,12,9,7,8,8,8,7,4,5,10,10,10,12,15,14,11,12,11,10,7,8,8,7,8,4,3,5,3,2,1,0,0
2022-03-05 09:00:00,0,4,7,6,7,7,8,12,11,12,13,7,12,11,11,14,17,18,18,19,16,16,15,14,15,14,9,7,10,8,7,10,7,9,9,9,9,7,10,13,14,14,14,12,13,9,7,5,1,5,10,9,12,13,11,14,15,15,13,16,17,14,15,16,17,13,14,10,12,13,15,15,15,14,14,13,14,13,11,12,13,13,15,14,11,10,6,8,8,6,6,4,2,0,0,5,1,0,0
2022-03-05 10:00:00,0,5,8,6,7,5,8,13,14,19,20,19,21,25,24,22,24,21,18,17,15,17,0,16,14,9,10,9,7,8,8,12,14,13,5,14,12,12,9,7,9,8,11,4,9,7,4,2,4,4,5,9,16,18,14,13,14,14,15,17,16,16,17,20,23,24,19,17,16,15,13,12,14,8,8,8,4,7,11,10,11,12,12,13,12,12,7,9,10,11,6,5,4,3,2,1,0,0,0
2022-03-05 11:00:00,0,2,6,5,6,3,3,7,8,10,9,11,15,16,17,19,26,26,21,14,14,14,15,14,15,14,17,18,17,18,19,19,21,22,20,22,18,17,19,18,19,16,16,17,15,11,10,8,2,6,11,15,22,18,15,16,16,16,16,19,17,16,19,17,17,12,16,17,15,14,13,12,11,11,10,9,10,9,9,10,6,10,10,11,10,8,8,9,8,7,9,8,5,0,4,3,0,0,0
2022-03-05 12:00:00,0,2,3,3,3,5,4,4,6,12,4,11,7,7,10,11,15,19,20,19,17,17,16,16,18,13,16,18,26,25,24,23,22,21,19,21,19,18,15,16,15,16,28,31,35,26,14,2,4,5,9,14,14,18,20,21,22,23,21,23,22,23,22,21,28,26,20,17,18,13,19,12,19,16,17,22,21,19,13,14,14,15,14,14,15,14,13,10,7,9,8,7,6,6,5,2,1,0,0
2022-03-05 13:00:00,0,3,5,6,7,6,8,9,9,11,11,12,15,17,15,14,14,14,15,19,17,15,0,12,17,19,20,11,14,15,14,16,13,17,15,19,17,13,14,15,13,11,11,12,17,13,12,8,4,5,13,15,16,16,17,21,22,23,27,26,27,22,21,23,23,24,16,11,11,13,7,12,11,13,14,13,16,14,9,11,10,11,8,16,18,18,18,17,19,16,16,9,5,8,5,2,3,0,0
