Unnamed: 0,1_거리공원,2_한국SGI,3_서울미래초등학교,4_신도림역,5_서울미래초등학교,6_거리공원.구로신협본점앞,7_구로보건소,8_구로구청후문,9_구로중학교,10_대림역,11_대림역12번출구,12_대동초등학교.명지성모병원,13_대동초등학교,14_흰돌교회,15_대림동우체국,16_동작상떼빌아파트,17_신대방역,18_신사동진양빌딩앞,19_보라매공원입구,20_보라매갑을아파트,21_롯데관악점.건강보험관악지사,22_봉천교,23_당곡중학교,24_은천교,25_봉일시장,26_은천초등학교,27_두산.벽산아파트.서울관광고등학교,28_현대시장앞,29_관악동부센트레빌아파트앞,30_중앙동성당앞,31_봉원중학교.행운동우성아파트,32_봉천사거리.위버폴리스,33_관악구청,34_관악경찰서.관악소방서,35_서울여상.서울문영여중고앞,36_서울대학교치과병원.동물병원,37_서울대학교,38_서울대학교치과병원.동물병원,39_서울여상.서울문영여중고앞,40_관악구청,41_봉천사거리.봉천중앙시장,42_중앙동성당앞,43_관악동부센트레빌아파트앞,44_현대시장,45_벽산.두산아파트.서울관광고등학교,46_은천초등학교,47_봉일시장,48_은천교,49_당곡중학교,50_롯데관악점.건강보험관악지사,51_보라매공원입구,52_신대방역,53_신대방경남아파트,54_대림동우체국,55_흰돌교회,56_대동초등학교,57_대동초등학교.명지성모병원,58_대림역,59_대림역,60_구로중학교,61_구로구청,62_구로보건소,63_한국SGI,64_서울미래초등학교,65_신도림역,66_삼각공원
2022-03-05 04:00:00,0,0,0,1,0,0,1,2,5,8,7,6,5,4,2,5,3,0,4,0,0,7,0,0,9,0,9,6,5,0,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,5,0,2,0,0,2,6,4,6,3,0,4,5,5,6,5,0,0,4,0,0,0,2,1,0,4,5,4,3,2,1,0,1,0,0,1,0,0,0,0,1,1,2,0,1,7,8,2,7,5,4,4,0,6,0,5,4,3,1,2,3,2,0,0,0
2022-03-05 06:00:00,1,0,0,1,1,1,1,2,3,2,1,4,2,4,3,2,0,0,3,0,3,3,3,4,5,0,5,6,5,3,4,1,2,1,0,0,0,0,0,1,1,0,0,0,2,4,5,4,0,2,0,0,0,0,5,4,3,4,0,3,1,2,3,2,0,0
2022-03-05 07:00:00,0,5,0,1,0,0,2,0,3,4,3,3,3,1,3,2,1,4,1,2,1,0,0,0,2,2,2,4,5,3,2,1,2,0,1,0,0,0,0,2,4,3,0,1,6,8,3,9,10,6,5,5,3,5,6,3,2,2,3,1,1,2,3,0,0,0
2022-03-05 08:00:00,4,5,0,2,3,2,4,6,9,9,3,10,12,7,12,8,10,7,11,9,10,6,11,8,14,11,9,13,12,11,10,5,3,6,0,4,1,0,0,2,2,4,3,3,3,3,0,4,5,6,7,4,5,0,5,7,5,5,4,0,4,3,3,2,0,0
2022-03-05 09:00:00,1,1,0,6,7,5,6,7,8,8,8,9,11,12,13,13,13,15,14,13,8,8,11,13,14,18,23,31,31,25,18,10,9,0,0,0,1,1,1,5,6,6,8,7,7,7,4,6,8,6,6,7,7,7,10,9,8,4,9,9,9,5,8,3,0,0
2022-03-05 10:00:00,2,6,7,4,5,4,3,5,0,6,4,6,7,5,4,7,7,7,7,16,13,0,15,11,17,19,22,19,14,13,12,6,9,8,0,7,3,0,0,5,9,13,8,9,11,10,12,13,10,6,9,8,9,6,6,5,7,8,5,4,4,5,7,6,1,0
2022-03-05 11:00:00,1,0,0,3,5,8,7,10,9,10,8,9,8,9,10,8,8,8,8,7,7,6,7,7,12,10,12,18,24,22,17,12,6,5,2,0,2,0,0,4,11,17,16,17,20,16,14,11,12,8,8,10,9,11,10,7,5,9,8,0,4,9,10,7,2,1
2022-03-05 12:00:00,2,3,0,1,2,1,4,5,6,5,5,8,10,9,8,6,10,9,6,7,8,6,10,9,9,10,11,9,8,14,11,6,2,0,0,1,2,0,0,3,7,6,11,14,16,15,12,10,11,13,12,13,12,12,12,10,11,10,9,8,7,8,7,6,1,0
2022-03-05 13:00:00,1,9,8,5,7,8,8,8,7,8,9,14,15,16,18,18,16,9,9,8,14,13,12,11,15,15,16,17,16,14,13,7,4,0,0,0,4,8,7,4,12,13,11,13,9,9,9,9,7,8,7,4,6,4,4,0,3,8,1,6,2,5,6,4,0,0
2022-03-05 14:00:00,1,6,4,3,0,2,4,2,2,4,5,7,9,5,8,5,8,13,12,13,20,18,20,21,19,15,17,21,18,13,10,3,3,0,0,0,9,3,8,8,17,20,17,15,13,11,10,9,8,10,10,10,13,14,14,15,12,10,7,7,5,5,10,9,0,0
2022-03-05 15:00:00,1,2,0,2,5,5,7,8,8,7,10,10,8,12,12,13,11,9,7,5,15,16,15,15,16,16,18,28,26,21,19,6,3,0,0,1,3,4,0,6,11,14,12,11,9,8,6,6,4,11,12,13,13,13,14,12,5,11,8,7,3,2,7,5,1,0
2022-03-05 16:00:00,2,0,1,8,9,6,11,12,11,12,11,13,14,14,12,11,10,8,7,5,10,9,10,13,14,13,12,15,16,9,10,4,1,0,0,0,8,0,6,6,17,15,14,12,11,9,10,11,9,13,10,9,0,10,11,11,12,14,12,10,7,5,38,33,0,0
2022-03-05 17:00:00,2,1,0,6,0,0,2,5,6,12,14,17,19,17,15,14,11,11,12,12,9,0,4,3,3,2,1,3,2,0,4,3,0,0,0,0,2,7,0,6,14,19,14,13,16,15,12,9,7,6,6,9,7,8,9,9,7,9,10,7,4,5,4,3,1,0
2022-03-05 18:00:00,1,1,0,6,7,8,5,6,5,5,7,7,8,8,8,8,6,8,9,8,10,4,13,11,13,12,12,16,15,11,10,3,1,0,0,0,1,2,1,4,10,10,15,11,10,11,7,10,10,10,5,10,9,8,7,8,4,6,4,9,6,5,5,4,3,0
2022-03-05 19:00:00,0,0,0,15,14,14,10,6,5,6,8,10,8,9,10,12,9,12,13,4,7,0,5,5,4,3,5,3,4,3,2,1,1,0,0,0,1,0,0,5,9,10,8,5,3,2,3,4,0,10,7,10,11,0,9,5,8,6,5,3,3,2,1,0,0,0
2022-03-05 20:00:00,0,0,0,6,2,5,4,3,6,7,6,6,1,5,6,4,4,6,5,11,14,1,15,4,14,13,10,11,10,9,0,8,2,0,0,0,1,1,0,4,8,9,4,8,5,6,5,3,3,11,9,6,4,2,4,2,6,4,2,1,1,0,0,0,1,0
2022-03-05 21:00:00,0,1,0,5,7,5,4,3,3,3,6,2,7,7,7,6,6,6,2,4,4,5,6,4,5,5,5,5,4,0,3,0,0,0,0,0,0,1,2,5,6,8,3,8,7,6,5,4,5,7,5,7,6,6,10,11,9,7,4,2,4,3,2,0,0,0
2022-03-05 22:00:00,0,0,0,4,4,7,6,5,4,4,5,3,5,3,7,6,7,5,2,0,5,4,5,4,5,4,8,6,5,4,3,0,0,0,0,0,1,1,0,2,11,0,7,8,7,6,3,3,3,5,4,0,1,0,2,0,3,6,4,4,3,1,1,0,0,0
2022-03-05 23:00:00,0,0,0,7,2,2,0,0,2,4,1,4,1,3,4,2,1,5,3,4,5,4,6,8,13,12,10,13,10,7,0,4,1,0,0,1,1,1,0,1,8,2,3,5,4,3,4,2,1,2,3,5,1,2,4,3,2,4,5,4,3,1,1,0,1,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,1,0,1,0,0,1,4,2,2,3,2,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,1,0,2,4,5,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,2,0,2,3,0,0,1,2,0,3,4,0,3,0,2,0,2,0,0,0,1,0,0
2022-03-06 06:00:00,1,3,1,1,0,0,0,0,0,1,0,2,0,0,1,3,2,0,1,0,1,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0
2022-03-06 07:00:00,0,1,0,1,0,0,3,4,4,1,0,0,0,5,1,0,2,3,2,1,1,0,2,2,1,2,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,6,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2022-03-06 08:00:00,0,1,0,5,1,3,4,2,6,7,9,4,5,6,7,5,6,4,3,1,0,1,7,5,9,8,11,8,11,8,5,3,2,1,0,0,1,0,0,2,1,4,2,2,5,5,5,4,5,4,7,6,4,7,8,3,9,1,7,4,2,3,3,0,0,0
2022-03-06 09:00:00,5,12,0,3,2,1,5,6,7,8,7,11,13,7,13,14,15,14,13,11,10,0,12,2,13,12,12,11,12,11,13,8,5,0,4,0,0,0,0,3,4,5,4,4,6,4,8,8,7,7,8,7,8,9,10,9,7,5,5,4,4,3,6,1,0,0
2022-03-06 10:00:00,1,0,0,0,0,1,2,5,6,5,6,2,4,3,3,5,5,7,9,9,7,4,6,7,9,9,12,11,7,9,7,7,7,4,0,3,2,2,0,5,3,6,7,3,0,8,7,8,10,12,12,9,10,7,12,11,6,8,7,6,5,5,6,5,0,0
2022-03-06 11:00:00,2,3,2,4,0,4,7,9,3,11,6,7,12,11,11,11,10,12,11,9,11,10,9,8,9,8,11,10,10,9,8,6,5,4,0,0,1,1,0,3,7,11,10,12,14,11,12,11,7,6,7,8,8,8,9,10,8,10,6,3,2,2,2,0,1,0
2022-03-06 12:00:00,0,0,0,2,3,2,4,5,6,9,9,10,11,12,14,15,12,9,11,9,8,5,9,11,13,1,10,12,16,15,15,11,3,0,2,1,2,0,2,5,10,15,15,19,18,17,19,0,15,14,15,17,15,18,17,16,16,15,11,12,12,11,12,6,0,0
2022-03-06 13:00:00,0,1,0,2,3,4,5,4,5,5,9,10,11,14,17,7,14,14,15,14,11,10,11,9,8,10,8,10,13,9,7,9,7,5,0,0,1,3,0,5,8,10,10,9,10,8,3,12,7,8,9,8,7,9,13,10,7,11,10,9,5,6,6,7,1,0
