Unnamed: 0,1_양천공영차고지,2_트럭터미널주유소앞,3_넓은들공원,4_대일관광고.푸른마을3단지,5_푸른마을1단지.이든채아파트,6_푸른마을2단지아파트,7_신월시영아파트.강월초등학교,8_강월초교사거리,9_신한은행신월동지점,10_신곡시장.금빛새마을금고,11_동방아파트.신월종합사회복지관,12_신정네거리.신정119안전센터,13_제일여성병원,14_양강중학교,15_까치산역2번출구,16_화곡역,17_화곡본동시장,18_한국폴리텍1.서울강서대학교,19_우장초등학교,20_강서구청.한국건강관리협회,21_강서구청사거리.서울디지털대학교,22_등촌중학교백석초등학교,23_등촌역.강서보건소,24_염창역.서울도시가스,25_안양천입구,26_양평동한솔아파트,27_양평한신아파트.선유도공원입구,28_당산초등학교앞,29_선유도역.롯데제과,30_당산역,31_당산역삼성래미안아파트,32_삼환아파트,33_신화병원,34_영등포시장,35_영등포시장로터리방면,36_신길역,37_신길역1호선,38_대윤병원,39_신길새마을금고,40_대방역,41_공군호텔,42_서울지방병무청,43_대방초등학교,44_서울공업고등학교,45_대림초등학교,46_신대방삼거리,47_보라매병원입구,48_롯데백화점관악점,49_패션문화의거리입구,50_신림사거리,51_서원동문화교앞,52_서림동주민센터.신화단지,53_삼성동시장,54_대학동고시촌입구,55_서울산업정보학교.삼성교,56_관악산입구.관악아트홀.중앙도서관,57_서울대학교,58_신림중.삼성고.관악아트홀.도서관,59_서울산업정보학교.삼성교,60_신성초등학교,61_영광메디컬센터,62_쑥고개입구,63_서원동문화교앞,64_신림역2번출구,65_패션문화의거리입구,66_보라매공원.보라매병원,67_보라매삼성아파트.모자원고개,68_신대방삼거리,69_대림초등학교,70_서울공업고등학교,71_강남중학교,72_서울지방병무청앞,73_공군호텔,74_대방역,75_신길새마을금고,76_신길역,77_영등포로터리,78_영등포시장입구,79_영등포시장,80_신화병원,81_당산푸르지오아파트,82_당산역삼성래미안아파트,83_당산역,84_선유도역.롯데제과,85_한신아파트.선유도역,86_영등포아리수정수센터,87_염창역.서울도시가스,88_등촌역.강서보건소,89_등촌중학교백석초등학교,90_강서구청사거리.서울디지털대학교,91_강서구청.한국건강관리협회,92_우장초등학교,93_한국폴리텍1.서울강서대학교,94_화곡본동시장,95_화곡역.현대주유소,96_까치산역4번출구,97_KT강서지사,98_양강중학교,99_신월2동우체국,100_신정네거리해누리분수광장,101_동방아파트,102_신곡시장.금빛새마을금고,103_신한은행신월동지점,104_강월초교사거리,105_신월시영아파트.강월초등학교,106_푸른마을2단지아파트,107_푸른마을1단지.이든채아파트,108_대일관광고.푸른마을3단지,109_넓은들공원,110_신정현대아파트,111_양천공영차고지
2022-03-05 04:00:00,0,1,2,0,1,3,5,6,8,4,8,5,9,7,11,12,6,13,12,8,11,9,10,10,10,9,8,10,9,10,5,9,10,9,0,10,0,9,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,2,1,3,4,6,7,5,9,11,9,6,6,9,8,9,9,7,7,5,1,5,5,6,5,6,6,6,5,7,8,3,2,7,5,8,8,10,9,7,2,5,6,4,3,6,5,1,0,2,1,0,0,0,2,4,9,10,0,5,7,5,6,5,4,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,2,3,4,0,5,6,7,8,9,6,6,9,9,10,11,7,6,5,5,4,3,4,3,5,4,6,2,5,3,5,6,3,5,6,4,5,0,7,7,4,5,3,5,4,5,1,7,4,4,4,4,0,0,0,1,1,4,7,14,18,7,7,3,6,9,8,7,6,7,7,6,6,4,5,7,7,4,5,6,3,2,3,4,5,0,0,0,5,6,5,6,7,8,9,8,0,7,6,3,0,0,0,2,0,1,0,0,0
2022-03-05 07:00:00,0,0,1,1,3,5,7,10,11,12,12,11,5,12,11,10,12,16,16,10,10,8,9,5,6,7,6,7,6,6,7,6,4,8,10,4,9,6,5,10,11,10,11,10,7,10,9,11,9,12,10,9,8,3,2,1,0,1,5,8,11,14,19,15,12,16,17,13,14,13,12,13,13,11,8,9,6,4,5,5,8,6,5,3,4,3,4,3,6,8,7,9,7,6,6,7,6,5,3,3,2,4,4,3,2,1,1,0,0,0,0
2022-03-05 08:00:00,1,0,1,2,6,9,10,11,16,17,17,12,13,15,16,12,15,16,17,22,20,18,12,15,16,11,11,12,14,8,16,13,14,13,13,14,13,12,14,15,15,15,14,13,14,15,14,11,9,21,20,18,16,12,2,1,0,2,6,11,20,24,32,13,21,19,17,17,16,17,21,22,23,22,21,23,18,14,8,9,9,6,7,7,7,4,9,13,5,11,13,13,17,18,18,16,20,19,19,18,5,8,5,0,2,0,1,0,0,0,0
2022-03-05 09:00:00,0,0,2,1,3,6,8,8,8,9,13,14,17,18,23,20,20,20,18,19,21,14,16,13,9,10,0,11,11,12,11,13,11,12,10,11,11,12,14,12,12,19,13,19,18,21,18,18,17,31,31,9,28,22,18,4,1,2,2,9,13,17,24,10,10,13,10,13,12,15,19,19,18,14,18,18,15,14,12,14,13,9,9,7,6,7,9,13,11,12,16,18,20,16,13,12,10,10,9,7,3,4,5,3,3,2,0,0,0,0,0
2022-03-05 10:00:00,1,0,0,2,2,5,6,5,9,11,12,6,12,12,17,12,12,15,18,21,18,17,16,14,12,13,13,13,13,13,13,13,13,14,15,0,17,19,20,19,18,15,14,20,19,20,22,23,20,38,41,37,34,28,20,17,2,4,6,20,25,31,37,17,17,19,21,18,16,18,19,20,20,20,18,19,16,13,15,14,15,12,6,10,11,10,9,16,15,12,18,20,21,20,16,8,8,9,8,9,3,5,4,3,2,1,0,0,0,0,0
2022-03-05 11:00:00,0,0,1,1,9,13,16,16,12,14,14,12,14,18,20,16,16,15,14,14,14,14,10,6,7,9,8,10,10,11,14,11,10,15,19,20,18,20,20,12,18,15,16,16,16,18,19,21,20,27,28,24,19,14,11,2,3,10,13,20,26,27,32,15,17,20,19,19,22,26,24,23,24,21,22,21,17,13,11,10,11,11,11,6,7,6,7,7,14,16,14,17,18,17,18,10,13,13,4,13,11,5,3,2,0,0,0,0,0,0,0
2022-03-05 12:00:00,1,2,0,2,8,9,11,12,16,14,18,11,11,14,12,9,11,14,15,23,30,29,21,20,18,0,19,9,18,18,19,20,19,16,16,16,18,18,19,22,23,27,24,18,16,16,19,18,16,31,31,28,17,9,3,28,27,28,32,34,35,37,38,14,17,25,26,24,24,26,26,27,26,27,27,26,23,22,19,17,18,12,10,8,9,12,13,12,10,8,12,13,13,13,18,16,10,11,10,11,7,7,9,7,6,5,2,1,0,0,0
2022-03-05 13:00:00,1,0,0,1,2,5,7,6,10,13,11,10,11,10,16,16,18,19,15,19,18,15,13,10,8,13,0,14,19,19,25,27,20,19,20,18,19,20,24,20,20,18,18,20,23,27,23,21,17,26,22,19,16,5,3,5,7,8,12,26,32,34,35,15,16,20,22,21,22,20,25,26,30,28,29,28,24,18,18,22,15,12,8,6,12,4,13,15,0,9,13,18,16,16,14,10,10,11,10,10,10,9,7,6,7,2,0,1,0,0,0
