Unnamed: 0,1_양천공영차고지,2_신정현대아파트,3_양천고등학교,4_정랑고개.양천벤처타운,5_신트리아파트,6_신트리사거리,7_계남초등학교,8_고척파크푸르지오아파트,9_고척시장,10_고척중학교,11_동양미래대학.구로성심병원,12_구일역.제일제당,13_신도림동.구로역,14_신도림역,15_문래동남성아파트,16_남부지방법원등기국.구로세무서(에이스하이테크시티),17_영등포역,18_신길역,19_신길역1호선,20_신길새마을금고,21_대방역,22_현대아파트,23_KT동작지사,24_동작구청정문,25_동작구청.노량진초등학교앞,26_장성교회,27_장승배기역,28_상도초등학교입구,29_성대시장,30_신대방삼거리,31_보라매병원입구,32_롯데백화점관악점,33_패션문화의거리입구,34_관악우체국.양지병원,35_KT&G관악지점,36_봉천역.관악초등학교,37_KT관악지점,38_관악구청,39_관악경찰서.관악소방서,40_서울여상.서울문영여중고앞,41_서울대학교치과병원.동물병원,42_서울대학교,43_신림중.삼성고.관악아트홀.도서관,44_서울산업정보학교.삼성교,45_신성초등학교,46_삼성동주민센터,47_미림고개,48_미림여고.미림여자정보과학고,49_신우초등학교,50_삼성산성지,51_산장아파트,52_삼성산주공아파트,53_산복터널.관악산휴먼시아2단지,54_벽산아파트1단지.호압사입구,55_벽산아파트5단지,56_경인교육대학교,57_벽산아파트5단지,58_벽산아파트1단지.호압사입구,59_산복터널.관악산휴먼시아2단지,60_삼성산주공아파트,61_산장아파트,62_삼성산성지,63_신우초등학교,64_미림여고.미림여자정보과학고,65_미림고개.고시촌입구,66_관악농협신림지점앞,67_대학동고시촌입구,68_서울산업정보학교.삼성교,69_관악산입구.관악아트홀.중앙도서관,70_서울대학교,71_서울대학교치과병원.동물병원,72_서울여상.서울문영여중고앞,73_관악구청,74_서울대입구역,75_봉천사거리,76_낙성대입구,77_행운동주민센터,78_서울대입구역5번출구,79_KT관악지점,80_봉천역.관악초등학교,81_KT&G관악지점,82_관악우체국(양지병원),83_패션문화의거리입구,84_보라매공원.보라매병원,85_보라매삼성아파트.모자원고개,86_신대방삼거리,87_성대시장,88_상도초등학교입구,89_청화병원,90_동작구청.노량진초등학교앞,91_노량진수산시장.CTS기독교TV,92_현대아파트.유한양행,93_대방역,94_신길새마을금고,95_신길역,96_영등포역,97_남부지방법원등기국.구로세무서(에이스하이테크시티),98_문래동남성아파트,99_신도림역,100_신도림동.구로역,101_구일역.중앙유통상가,102_동양미래대학.구로성심병원,103_고척중학교,104_고척시장,105_덕의초등학교,106_고척근린공원.고척도서관,107_세곡초등학교,108_개봉푸르지오아파트,109_신정학마을아파트,110_신정현대아파트.서부트럭터미널,111_양천공영차고지
2022-03-05 04:00:00,1,2,1,0,1,3,4,5,10,11,10,4,10,10,0,9,5,8,2,8,5,6,5,0,0,0,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,1,3,0,3,4,8,9,7,0,6,5,3,2,7,8,4,4,7,6,5,4,3,3,1,3,4,8,4,7,6,4,4,5,2,6,4,0,1,3,0,5,3,1,0,2,0,1,0,1,0,0,0,1,0,5,0,7,9,0,0,12,13,12,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,1,2,1,3,4,4,7,8,9,8,7,7,4,0,3,4,1,3,3,4,3,0,3,1,0,2,4,3,3,5,6,3,5,4,3,1,5,2,3,0,4,0,0,4,3,2,1,0,0,1,0,0,1,0,2,2,4,5,6,5,2,2,8,7,7,11,9,12,0,6,5,10,3,1,1,2,3,4,5,2,3,4,3,4,3,5,8,7,6,1,0,2,4,3,2,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,2,3,4,5,6,5,6,9,10,11,12,0,14,10,4,9,8,7,5,8,7,8,4,7,2,8,8,7,5,6,5,5,5,3,1,4,3,6,3,3,0,0,0,5,4,3,4,4,0,0,3,5,2,1,0,3,3,7,8,10,12,0,6,14,7,7,9,11,4,0,10,9,7,3,2,3,4,2,3,4,1,6,3,5,5,5,5,8,10,7,7,7,7,7,6,5,4,0,7,3,6,5,3,1,2,3,0,2,2,0,0
2022-03-05 08:00:00,1,2,3,4,8,9,10,12,16,18,18,15,15,9,8,8,6,4,5,8,8,6,7,9,10,11,10,13,14,11,10,11,8,11,11,7,4,7,6,3,6,5,1,7,8,6,4,3,3,2,4,5,4,1,2,2,6,7,8,12,15,0,18,22,24,25,24,27,26,24,25,24,21,7,3,3,5,6,6,7,6,11,15,11,9,8,11,11,12,9,8,9,8,9,7,6,5,4,7,5,2,3,3,5,5,2,3,2,0,0,0
2022-03-05 09:00:00,1,2,4,3,5,5,4,10,16,19,23,20,21,9,4,10,11,12,7,9,11,9,10,8,8,9,9,7,9,10,10,10,10,13,13,12,10,15,11,0,12,12,11,8,8,5,4,5,0,4,3,4,3,4,3,7,9,10,10,10,9,0,9,12,14,16,24,27,29,24,3,27,22,6,4,5,8,9,9,12,6,11,14,16,17,15,18,16,16,15,14,12,15,15,17,7,6,6,8,8,7,8,8,6,4,4,1,2,1,2,0
2022-03-05 10:00:00,1,2,2,4,4,7,6,12,17,20,20,17,19,11,10,8,9,9,7,8,10,11,8,17,20,6,10,10,13,11,8,9,12,11,11,10,9,12,11,4,8,6,6,5,6,6,7,3,1,0,2,6,7,6,4,4,5,9,11,12,14,6,10,17,17,23,24,26,28,31,0,23,24,9,5,4,7,7,10,8,8,11,12,14,15,11,18,20,21,16,15,14,15,13,12,6,5,3,14,15,4,14,12,10,9,6,7,2,1,0,0
2022-03-05 11:00:00,0,2,4,5,10,10,6,22,23,29,30,30,34,16,17,16,12,13,10,11,10,11,11,14,16,20,21,19,18,21,20,18,18,17,15,15,14,15,15,0,11,14,14,11,11,11,10,8,0,7,9,8,7,5,3,3,5,8,12,13,14,13,7,15,18,19,28,33,34,29,35,34,29,12,7,6,8,11,9,12,11,10,11,15,16,14,23,21,22,22,19,14,22,25,23,20,21,20,30,28,26,10,12,13,14,12,4,3,1,0,0
2022-03-05 12:00:00,1,7,8,12,8,11,12,15,17,23,24,23,25,12,10,12,13,16,17,18,17,17,7,14,12,15,13,16,13,15,13,14,13,14,20,16,15,25,23,10,22,8,22,21,16,12,10,9,0,8,6,10,7,3,3,2,7,10,12,12,13,12,13,13,15,19,28,38,41,42,44,44,37,14,12,11,13,11,9,12,12,9,12,14,17,14,17,18,23,25,24,25,14,26,25,8,9,7,11,16,14,27,20,19,13,11,5,5,3,1,0
2022-03-05 13:00:00,3,3,6,8,9,11,12,14,19,23,26,29,28,15,14,16,12,12,9,12,13,15,9,24,23,23,16,12,18,17,18,14,12,14,15,13,12,24,23,24,24,25,24,21,18,17,15,13,12,11,11,10,9,3,3,6,6,11,11,13,16,5,0,17,18,27,37,39,45,43,39,38,31,10,8,9,11,15,16,18,18,21,22,20,20,11,14,23,28,28,20,22,18,24,24,14,15,13,15,16,17,14,11,8,7,6,3,4,2,2,0
