Unnamed: 0,1_양천공영차고지,2_신정현대아파트,3_양천고등학교,4_정랑고개.양천벤처타운,5_신트리아파트,6_신트리사거리,7_계남초등학교,8_봉영여중.목동고,9_목동우성아파트입구,10_은정초등학교,11_갈산초등학교후문,12_기업은행구로중앙지점,13_신도림동.구로역,14_신도림역,15_문래동남성아파트,16_문래우체국.문래예술공단,17_문래자이아파트,18_벽산메가트리움APT,19_영일시장.록스,20_남부지방법원등기국.구로세무서(에이스하이테크시티),21_도림마을금고,22_성락교회,23_신길5동주민센터,24_신풍역,25_래미안에스티움,26_영진시장,27_보라매역,28_서울공업고등학교,29_대림초등학교,30_신대방삼거리,31_보라매병원입구,32_당곡사거리.롯데백화점관악점,33_당곡중학교,34_은천교,35_봉일시장,36_은천초등학교,37_두산.벽산아파트.서울관광고등학교,38_은천동두산아파트3단지,39_봉천역,40_봉일시장,41_당곡중학교,42_롯데관악점.건강보험관악지사,43_보라매공원입구,44_신대방역,45_조원동주민센터,46_골목시장앞,47_모두의학교.금천문화예술정보학교,48_독산3동주민센터,49_독산동남문시장,50_독산동쌈지공원,51_독산동성당앞,52_독산동정훈단지,53_남부여성발전센터,54_현대시장.시흥4동주민센터,55_동산교회앞,56_시흥초등학교.금천구보훈회관,57_은행나무입구사거리,58_경동택배,59_백산초등학교,60_은행나무입구사거리,61_경남아파트,62_시흥초등학교.금천구보훈회관,63_동산교회앞,64_현대시장.시흥4동주민센터,65_남부여성발전센터,66_독산동정훈단지,67_독산4동주민센터,68_독산동성당앞,69_독산동쌈지공원,70_독산동남문시장,71_독산3동주민센터,72_모두의학교.금천문화예술정보학교,73_KT구로지사,74_조원동주민센터,75_신대방역,76_신사동진양빌딩앞,77_보라매공원입구,78_보라매갑을아파트,79_롯데관악점.건강보험관악지사,80_봉천교,81_당곡중학교,82_봉일시장,83_봉천역,84_신봉초등학교입구,85_벽산.두산아파트.서울관광고등학교,86_은천초등학교,87_봉일시장,88_은천교,89_당곡중학교,90_보라매공원.보라매병원,91_보라매삼성아파트.모자원고개,92_신대방삼거리,93_대림초등학교,94_서울공업고등학교,95_보라매역.5번출구,96_영진시장,97_래미안에스티움,98_신풍역,99_신길5동주민센터,100_성락교회,101_도림마을금고,102_남부지방법원등기국.구로세무서(에이스하이테크시티),103_금호아파트,104_문래역,105_문래우체국.문래예술공단,106_문래동남성아파트,107_신도림역,108_신도림동.구로역,109_구로역.구로기계공구상가,110_기업은행구로중앙지점,111_갈산초등학교후문,112_은정초등학교,113_양천아파트,114_봉영여중.목동고,115_목동아파트11단지(1117동),116_계남초등학교,117_신트리아파트,118_정랑고개.양천벤처타운,119_금옥중.금옥여고.백암고등학교,120_신정현대아파트.서부트럭터미널,121_양천공영차고지
2022-03-05 04:00:00,1,0,1,0,0,2,0,0,4,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0,1,1,2,3,4,0,6,8,7,6,5,0,8,6,7,6,7,8,0,11,10,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,0,5,0,4,0,6,7,0,8,9,10,7,4,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,4,4,0,3,2,2,0,0,1,0,0,2,5,7,6,3,0,0,2,0,2,0,3,0,0,1,1,0,0,1,0,1,0,2,3,4,5,4,6,0,0,4,5,2,3,1,0,0,1,0,1,2,3,0,5,6,3,7,9,0,0,10,9,9,0,7,4,1,0,0,0,3,1,2,1,0,4,2,2,5,0,5,5,2,2,0,2,1,5,1,0,7,0,3,1,0,0,2,2,2,2,0,3,0,4,0,5,0,3,0,0,1,0
2022-03-05 06:00:00,0,1,0,3,0,0,0,2,3,5,0,3,5,2,0,1,0,0,0,0,1,3,4,1,0,0,0,0,4,2,1,1,0,0,0,0,0,2,1,0,2,0,0,1,1,0,2,2,1,1,0,1,2,0,0,1,0,0,0,0,1,1,3,4,5,3,3,4,6,9,11,11,4,10,2,0,0,1,1,0,2,1,0,1,0,0,2,4,0,5,4,4,3,4,5,2,5,0,1,0,2,1,0,1,0,1,2,0,2,0,1,0,0,0,0,0,2,0,0,1,0
2022-03-05 07:00:00,2,1,4,2,4,3,5,8,12,13,12,10,9,6,6,5,4,0,0,2,5,9,8,6,5,6,0,1,2,4,2,0,1,1,2,0,3,2,3,0,4,4,6,6,7,0,7,5,4,3,2,4,3,3,2,0,0,0,2,0,2,4,5,5,6,6,5,6,7,8,9,9,7,7,4,4,5,2,2,0,1,2,0,0,3,0,4,1,4,3,4,1,3,2,2,4,5,0,3,4,0,3,2,1,0,1,2,0,3,0,1,3,1,0,0,0,1,0,0,0,0
2022-03-05 08:00:00,0,2,3,4,0,3,0,5,6,6,7,6,9,4,3,2,2,0,2,3,4,5,5,8,9,11,11,10,13,11,10,6,5,4,4,6,6,5,0,0,6,7,7,7,5,5,10,9,6,6,6,5,4,3,5,1,0,1,2,4,5,8,9,10,11,12,13,8,9,10,13,13,10,15,9,10,6,8,7,6,5,3,1,3,4,5,6,8,10,10,11,9,11,10,10,10,8,4,7,8,7,4,1,2,0,0,3,1,2,0,0,0,1,0,2,0,0,0,0,0,0
2022-03-05 09:00:00,1,1,2,4,5,3,0,8,13,15,7,14,13,4,3,2,1,0,0,0,2,6,5,8,0,10,12,1,12,16,15,11,9,5,4,3,3,5,3,3,0,6,3,7,0,6,7,4,6,5,3,6,7,5,6,5,4,0,1,2,5,8,9,10,9,10,11,10,11,11,13,15,14,16,9,7,4,4,4,3,0,3,3,2,4,6,9,12,0,11,0,9,8,5,3,6,5,4,1,6,4,4,2,5,0,0,5,5,8,7,0,3,4,1,1,5,4,0,0,0,0
2022-03-05 10:00:00,2,4,7,8,10,11,12,4,13,15,0,14,15,5,4,3,2,1,0,4,1,2,5,0,3,2,5,7,8,7,6,4,3,2,4,3,2,0,2,1,1,4,3,4,0,4,4,0,2,1,1,2,1,1,0,0,0,0,4,5,6,7,8,12,7,11,14,13,0,15,12,13,0,13,8,9,9,8,5,4,3,2,1,1,4,5,4,8,9,10,7,8,7,8,8,0,7,11,6,12,11,5,5,5,4,3,5,0,6,3,0,5,4,3,4,2,0,0,0,0,0
2022-03-05 11:00:00,0,2,3,1,5,4,3,6,10,11,0,12,11,8,0,1,3,3,4,7,8,5,4,7,5,5,7,8,9,9,7,6,4,6,5,8,6,4,4,0,5,7,8,8,6,6,8,6,5,8,7,6,5,4,4,1,0,0,8,8,9,3,5,12,14,15,15,13,0,16,17,18,17,18,9,8,0,6,4,4,4,3,3,1,4,7,8,10,9,9,8,7,3,5,8,10,12,8,5,8,8,5,5,9,8,7,6,7,7,9,6,10,8,6,1,0,2,4,3,0,0
2022-03-05 12:00:00,0,2,4,5,6,6,0,7,15,18,18,17,18,8,10,8,6,0,6,7,8,11,13,6,13,10,11,10,11,12,9,7,6,1,3,1,2,4,6,3,4,10,9,15,10,14,14,14,11,8,0,11,8,8,6,4,0,0,2,3,6,4,7,6,5,7,8,10,9,10,8,11,11,11,9,8,0,3,4,3,5,5,5,4,6,10,6,11,11,12,12,10,8,6,6,7,9,10,9,10,9,7,2,4,3,2,6,6,6,4,5,6,3,5,3,4,5,4,1,0,0
2022-03-05 13:00:00,0,0,2,0,2,3,3,5,9,11,7,11,12,3,3,0,0,4,6,6,7,7,0,5,7,8,6,7,8,8,4,6,4,8,6,5,1,2,3,0,3,6,4,8,9,6,10,13,10,9,3,5,3,1,0,0,0,0,0,2,2,0,0,4,5,8,10,0,0,12,10,12,13,15,11,10,10,11,7,1,0,6,5,1,4,6,7,6,8,10,10,8,9,9,4,6,7,8,8,10,10,7,5,4,0,6,12,11,11,10,3,9,7,6,6,5,3,0,2,0,0
